kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023779,전주태평아이파크,5211111900,전북특별자치도,전주완산구,태평동,,전북특별자치도 전주완산구 태평동 123-19 전주태평아이파크,분양,개별난방,188456.0,12,1319.0,HDC현대산업개발,태평1구역주택재개발정비사업조합,0632540300,,아파트,전북특별자치도 전주시 완산구 태진로 35,위탁관리,계단식,20220531,0632540301,1319,95681.94,532.0,787.0,0.0,0.0,95681.9371,25,25,2,33,54998,35.8251304785526,127.136524118756
A10025261,대양아리스타,5211111900,전북특별자치도,전주완산구,태평동,,전북특별자치도 전주완산구 태평동 304 대양아리스타,분양,개별난방,24740.941,2,198.0,대양종합건설,(주)메디파크,0632517702,,주상복합,전북특별자치도 전주시 완산구 태평4길 11,위탁관리,계단식,20190920,0632517705,198,15836.975,198.0,0.0,0.0,0.0,11543.8501,27,27,2,4,54996,35.8233706445343,127.142684483526
A56008001,SK VIEW,5211111900,전북특별자치도,전주완산구,태평동,,전북특별자치도 전주완산구 태평동 291 SK VIEW,분양,개별난방,187523.33,10,712.0,sk건설,KT&G,0632737712,,아파트,전북특별자치도 전주시 완산구 태평2길 22,자치관리,계단식,20090108,0632739712,712,111173.46,0.0,0.0,166.0,546.0,111175.578,18,18,2,22,54997,35.8245821822735,127.139403340091
A10026521,한옥마을 서해그랑블아파트,5211112000,전북특별자치도,전주완산구,중노송동,,전북특별자치도 전주완산구 중노송동 797 한옥마을 서해그랑블아파트,분양,개별난방,125141.0,14,821.0,(주)서해종합건설,물왕멀구역 주택재개발정비사업조합,0632821022,,아파트,전북특별자치도 전주시 완산구 견훤왕궁1길 10,위탁관리,계단식,20180312,0632821023,821,86934.41,102.0,649.0,70.0,0.0,66408.7185,23,23,3,24,55007,35.827636185062,127.15211491596
A56010001,중노송동 기린봉,5211112000,전북특별자치도,전주완산구,중노송동,,전북특별자치도 전주완산구 중노송동 26-1 중노송동 기린봉,분양,개별난방,34673.5,3,302.0,거성건설,도청주택조합,0632870554,kiringbong.apti.co.kr/aptHome/,아파트,전북특별자치도 전주시 완산구 견훤로 100,위탁관리,계단식,19930809,0632310194,302,31891.2,0.0,302.0,0.0,0.0,25651.88,15,15,0,11,55108,35.8203383064857,127.163062189842
A56082702,중노송동 우성해오름,5211112000,전북특별자치도,전주완산구,중노송동,,전북특별자치도 전주완산구 중노송동 303 중노송동 우성해오름,분양,개별난방,56617.94,7,400.0,(유)우성종합건설,(유)우성종합건설,0632842001,,아파트,전북특별자치도 전주시 완산구 인봉남로 56,위탁관리,계단식,20051229,0632878040,400,41010.504,32.0,68.0,200.0,100.0,41010.5036,19,19,2,13,55010,35.825467027373,127.159694713106
A10024256,서완산 골드클래스아파트,5211112400,전북특별자치도,전주완산구,서완산동2가,,전북특별자치도 전주완산구 서완산동2가 345-1 서완산 골드클래스아파트,분양,개별난방,38423.0,4,248.0,보광종합건설(주),골드종합건설(주),0632320028,,아파트,전북특별자치도 전주시 완산구 안행로 149,위탁관리,계단식,20210604,0632320029,248,26467.11,0.0,248.0,0.0,0.0,20421.8032,17,17,2,0,55048,35.8092570384904,127.132405792669
A56015201,오페라하우스,5211112400,전북특별자치도,전주완산구,서완산동2가,,전북특별자치도 전주완산구 서완산동2가 335 오페라하우스,분양,개별난방,43262.0,4,160.0,(유)예림,(유)KC,0632312330,오페라하우스.ma-um.co.kr,아파트,전북특별자치도 전주시 완산구 안행로 150,위탁관리,계단식,20080111,0632312335,160,27635.6,0.0,0.0,120.0,40.0,22491.264,10,10,2,8,55047,35.8101667971046,127.132954662317
A56012001,동서학동 진흥하이츠,5211112500,전북특별자치도,전주완산구,동서학동,,전북특별자치도 전주완산구 동서학동 279-4 동서학동 진흥하이츠,분양,개별난방,28943.38,1,283.0,진흥건설,진흥건설,0632319380,동서학동진흥하이츠.ma-um.co.kr,아파트,전북특별자치도 전주시 완산구 학봉2길 11,자치관리,혼합식,19931129,0632319381,283,25753.27,172.0,111.0,0.0,0.0,19225.5,20,20,1,4,55114,35.8059868956422,127.154677401252
A56012002,동서학동 거산황궁,5211112500,전북특별자치도,전주완산구,동서학동,,전북특별자치도 전주완산구 동서학동 290-3 동서학동 거산황궁,분양,개별난방,57067.0,4,433.0,(유)거산건설,(유)거산건설,0632875761,거산황궁 apti.co.kr,아파트,전북특별자치도 전주시 완산구 장승배기로 398,자치관리,계단식,19930630,0639015763,433,54128.62,0.0,283.0,90.0,60.0,45587.53,15,15,0,16,55114,35.8049821018749,127.153110264251
