kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021918,타운하우스이지,4425010100,충청남도,계룡시,금암동,,충청남도 계룡시 금암동 76-1 타운하우스이지,분양,개별난방,12776.0,1,144.0,화성토건(주),평화주택건설(주),0425515224,,도시형 생활주택(연립주택),충청남도 계룡시 서금암5길 24,위탁관리,계단식,20171013,,147,12449.542,112.0,32.0,0.0,0.0,7992.6944,4,4,1,0,,36.2681336772107,127.254038584592
A10026049,계룡한양아이클래스,4425010100,충청남도,계룡시,금암동,,충청남도 계룡시 금암동 163-3 계룡한양아이클래스,분양,개별난방,12155.25,1,209.0,한양산업개발주식회사,주식회사 계룡팰리스,0428412816,계룡한양아이클래스.apti.co.kr,주상복합,충청남도 계룡시 서금암로 10,위탁관리,복도식,20151230,0425512816,209,10676.48,209.0,0.0,0.0,0.0,6804.29,7,7,2,2,32826,36.2727477548065,127.251488103435
A32190001,계룡금암주공,4425010100,충청남도,계룡시,금암동,,충청남도 계룡시 금암동 141 계룡금암주공,분양,개별난방,29573.67,6,274.0,"금성백조,동성",한국토지주택공사,0428413622,,아파트,충청남도 계룡시 서금암4길 6-9,위탁관리,계단식,20020708,0428413623,274,29573.67,4.0,270.0,0.0,0.0,22382.86,14,14,1,12,32827,36.2709373798244,127.256651430235
A32190003,계룡 신성미소지움2차아파트,4425010100,충청남도,계룡시,금암동,,충청남도 계룡시 금암동 74 계룡 신성미소지움2차아파트,분양,개별난방,108653.23,11,608.0,신성건설,신성건설,0428405522,a60523@hanmail.net,아파트,충청남도 계룡시 서금암5길 9,위탁관리,계단식,20051116,0428405523,608,87134.72,0.0,320.0,108.0,180.0,68380.6,20,20,2,20,32828,36.2679885610943,127.256541065954
A32190004,계룡 신성미소지움1차아파트,4425010100,충청남도,계룡시,금암동,,충청남도 계룡시 금암동 190 계룡 신성미소지움1차아파트,분양,개별난방,107350.0,13,832.0,신성건설,신성건설,0428407001,신성미소지움1차.apti.co.kr,아파트,충청남도 계룡시 장안1길 9,위탁관리,계단식,20050616,0428407002,832,89668.41,245.0,469.0,118.0,0.0,68477.05,20,20,2,26,32824,36.2715834802624,127.246698149548
A32190005,계룡 우림 루미아트아파트,4425010100,충청남도,계룡시,금암동,,충청남도 계룡시 금암동 167-1 계룡 우림 루미아트아파트,분양,개별난방,129961.42,14,868.0,우림건설,세건주택,0428410993,urimrumiart.com,아파트,충청남도 계룡시 장안로 75,위탁관리,계단식,20050616,0428410994,868,105800.0,0.0,628.0,240.0,0.0,83038.1572,15,15,0,31,32825,36.2706001779121,127.249052746097
A32191402,계룡더샵아파트,4425031021,충청남도,계룡시,두마면,두계리,충청남도 계룡시 두마면 두계리 67 계룡더샵아파트,분양,개별난방,177391.36,18,987.0,(주)포스코건설,"(주)구월건설,한국토지신탁",0428409707,www.grtsapt.com,아파트,충청남도 계룡시 사계로 101,위탁관리,계단식,20080424,0423229706,987,138393.67,0.0,390.0,450.0,147.0,110114.31,18,18,2,35,32837,36.2680157446637,127.271060634272
A32191404,계룡대림e-편한세상아파트,4425031021,충청남도,계룡시,두마면,두계리,충청남도 계룡시 두마면 두계리 116 계룡대림e-편한세상아파트,분양,개별난방,135941.88,15,918.0,(주)대림산업,(주)대림산업,0425510880,http://계룡이편한.apt.co.kr,아파트,충청남도 계룡시 사계로 51,위탁관리,계단식,20071227,0425510990,918,109435.22,0.0,606.0,312.0,0.0,87446.832,18,18,0,31,32835,36.2697298574733,127.265169453239
A10023095,계룡자이아파트,4425031024,충청남도,계룡시,두마면,농소리,충청남도 계룡시 두마면 농소리 970 계룡자이아파트,분양,개별난방,95569.0,7,600.0,gs건설,한가람이스탑(주),0427108180,,아파트,충청남도 계룡시 대실남북로 81,위탁관리,계단식,20230724,0427108181,600,63848.777,0.0,600.0,0.0,0.0,50990.5175,26,26,3,16,32843,36.2622504903321,127.255829034033
A10023341,계룡 한라비발디 더 센트럴,4425031024,충청남도,계룡시,두마면,농소리,충청남도 계룡시 두마면 농소리 971 계룡 한라비발디 더 센트럴,분양,개별난방,115131.49,12,905.0,HLD&I HALLA,주식회사 혜움,0428410505,,아파트,충청남도 계룡시 대실남북3길 16,위탁관리,계단식,20230216,0428410606,905,78372.32,606.0,299.0,0.0,0.0,59252.9197,25,25,2,0,32843,36.2648791196258,127.257785716256
A10023679,계룡푸르지오더퍼스트아파트,4425031024,충청남도,계룡시,두마면,농소리,충청남도 계룡시 두마면 농소리 973 계룡푸르지오더퍼스트아파트,분양,개별난방,119735.0,10,883.0,대우건설,(주)태유,0425510883,계룡푸르지오더퍼스트.apti.co.kr,아파트,충청남도 계룡시 농소로 63,위탁관리,계단식,20220812,0425510884,883,61850.05,510.0,373.0,0.0,0.0,61850.0502,25,25,2,0,32844,36.2605350113748,127.258956310564
A10024004,계룡대실리슈빌,4425031024,충청남도,계룡시,두마면,농소리,충청남도 계룡시 두마면 농소리 972 계룡대실리슈빌,분양,개별난방,74552.52,10,600.0,계룡건설,LH,0425510981,,아파트,충청남도 계룡시 농소로 64,위탁관리,계단식,20211117,0425510991,600,48436.555,600.0,0.0,0.0,0.0,35951.47,25,25,2,16,32844,36.2611407913436,127.257663156251
A10024595,계룡대실LH4단지아파트,4425031024,충청남도,계룡시,두마면,농소리,충청남도 계룡시 두마면 농소리 969 계룡대실LH4단지아파트,임대,개별난방,61811.39,8,842.0,성지건설,한국토지주택공사,0425514777,,아파트,충청남도 계룡시 대실남북로 82,위탁관리,복도식,20201020,0425514666,842,45970.96,842.0,0.0,0.0,0.0,29479.48,20,20,1,17,32831,36.2624990283876,127.253463496355
