kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A31409001,교동대우,4415010600,충청남도,공주시,교동,,충청남도 공주시 교동 167-1 교동대우,분양,개별난방,34197.625,4,295.0,(주)대우건설,(주)신풍건설,0418560508,,아파트,충청남도 공주시 무령로 169-5,위탁관리,계단식,19990729,0418560556,295,27086.678,149.0,111.0,35.0,0.0,22426.639,20,20,2,8,32542,36.4569545249446,127.118728456077
A10026981,금성백조예미지아파트,4415010700,충청남도,공주시,웅진동,,충청남도 공주시 웅진동 771 금성백조예미지아파트,분양,개별난방,49602.0,8,423.0,(주)금성백조주택,명진건설산업(주),0418818782,,아파트,충청남도 공주시 웅진절골3길 38,위탁관리,계단식,20170427,0418818784,423,34425.562,423.0,0.0,0.0,0.0,25314.7023,15,15,2,15,32543,36.4551630869934,127.108815055515
A31402002,공주 청실아파트,4415010700,충청남도,공주시,웅진동,,충청남도 공주시 웅진동 242-2 공주 청실아파트,분양,개별난방,23671.24,4,240.0,배원건설,배원건설,0418561966,,아파트,충청남도 공주시 백제문화로 2151,자치관리,계단식,19931217,0418561966,240,23671.2,160.0,20.0,40.0,20.0,19068.2,10,10,1,12,32543,36.457507048474,127.108481984967
A10022639,공주 대웅 맨션,4415010900,충청남도,공주시,옥룡동,,충청남도 공주시 옥룡동 56-5 공주 대웅 맨션,분양,개별난방,11650.0,5,170.0,알수없음,알수없음,0418528161,없음,아파트,충청남도 공주시 월성산1길 19-2,자치관리,계단식,19861209,0418568161,170,11649.6,0.0,170.0,0.0,0.0,11649.6,5,5,0,0,32558,36.4544815580639,127.136110985464
A31404005,공주옥룡1,4415010900,충청남도,공주시,옥룡동,,충청남도 공주시 옥룡동 123 공주옥룡1,임대,중앙난방,27794.59,3,589.0,대아건설,한국토지주택공사,0418565898,kohom.co.kr,아파트,충청남도 공주시 우금티로 709-12,위탁관리(직영+위탁),복도식,19930518,0418563812,592,24397.33,589.0,0.0,0.0,0.0,16269.48,15,15,0,8,32559,36.4482702488117,127.134147445055
A31480401,덕성그린타운,4415010900,충청남도,공주시,옥룡동,,충청남도 공주시 옥룡동 93 덕성그린타운,분양,개별난방,27027.0,2,265.0,덕성건설,덕성건설,0418530751,,아파트,충청남도 공주시 우금티로 704,위탁관리,혼합식,19950622,0418580751,265,22953.12,107.0,158.0,0.0,0.0,18529.66,18,18,1,7,32558,36.4479968145157,127.136392458379
A31480406,옥룡주공2단지,4415010900,충청남도,공주시,옥룡동,,충청남도 공주시 옥룡동 103 옥룡주공2단지,분양,개별난방,40637.22,6,593.0,대한주택공사,대한주택공사,0418550376,옥룡주공2단지.apti.co.kr,아파트,충청남도 공주시 우금티로 709-11,위탁관리,복도식,19940805,0418579449,593,39519.215,593.0,0.0,0.0,0.0,28644.45,15,15,0,8,32559,36.4473968034631,127.134099093321
A31408002,공주금학e편한세상,4415011000,충청남도,공주시,금학동,,충청남도 공주시 금학동 389 공주금학e편한세상,분양,개별난방,82212.0,9,476.0,(주) 삼호,수석산업개발(주),0418569966,금학이편한세상.apti.co.kr.,아파트,충청남도 공주시 우금티로 580,위탁관리,계단식,20081218,0418569965,476,61837.22,0.0,351.0,64.0,61.0,46836.7419,20,20,3,14,32603,36.4424734438473,127.12377122692
A10022858,화성파크드림 공주월송,4415011900,충청남도,공주시,월송동,,충청남도 공주시 월송동 669 화성파크드림 공주월송,분양,개별난방,48781.027,4,303.0,(주)화성개발,(주)화성개발,0418539901,,아파트,충청남도 공주시 무령로 600-26,위탁관리,계단식,20231221,0418539902,303,33655.848,0.0,303.0,0.0,0.0,25747.0917,20,20,1,9,32594,36.4744529362017,127.154548697415
A10023753,공주월송LH천년나무4단지,4415011900,충청남도,공주시,월송동,,충청남도 공주시 월송동 671 공주월송LH천년나무4단지,임대,개별난방,55803.0,8,820.0,남양건설,LH 한국토지주택공사,0418530821,www.공주월송LH천년나무4단지.apti.co.kr,아파트,충청남도 공주시 무령로 550-39,위탁관리,혼합식,20220826,0418530822,821,55451.34,820.0,0.0,0.0,0.0,27732.14,16,16,1,0,32594,36.4723677364029,127.151386886616
A10025859,NHF공주월송2단지아파트,4415011900,충청남도,공주시,월송동,,충청남도 공주시 월송동 618 NHF공주월송2단지아파트,분양,개별난방,78920.67,7,671.0,양우건설,(주)NHF제7호공공임대위탁관리부동산투자회사,0418580998,월송2단지관리사무소.apti.co.kr,아파트,충청남도 공주시 무령로 600-85,위탁관리,계단식,20181105,0418580997,671,78920.555,539.0,132.0,0.0,0.0,42567.17,24,24,2,18,32594,36.4775508377446,127.15581108274
A10026615,공주월송LH천년나무3단지아파트,4415011900,충청남도,공주시,월송동,,충청남도 공주시 월송동 619 공주월송LH천년나무3단지아파트,임대,개별난방,43239.0,4,788.0,(주)서한,한국토지주택공사,0418541300,월송천년나무3단지.apti.co.kr,아파트,충청남도 공주시 무령로 600-25,위탁관리,복도식,20171031,0418541301,788,43070.277,788.0,0.0,0.0,0.0,24218.64,21,21,1,13,32594,36.4757747790407,127.155712012058
