kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023818,천안역필하우스에듀시티1단지아파트,4413110300,충청남도,천안동남구,문화동,,충청남도 천안동남구 문화동 180 천안역필하우스에듀시티1단지아파트,분양,개별난방,242735.0,13,1532.0,한성건설(주),문성.원성구역 주택재개발정비사업,0416228574,,아파트,충청남도 천안시 동남구 성황로 40,위탁관리,계단식,20220419,0416228576,1532,166746.92,144.0,1314.0,74.0,0.0,124378.8408,28,28,2,40,31127,36.8112723601283,127.154513534845
A10023821,천안역필하우스에듀시티2단지,4413110300,충청남도,천안동남구,문화동,,충청남도 천안동남구 문화동 181 천안역필하우스에듀시티2단지,분양,개별난방,32677.0,3,252.0,한성건설,문성원성구역주택재개발정비사업조합,0415526661,,아파트,충청남도 천안시 동남구 성황로 66,위탁관리,계단식,20220419,0415526662,252,19674.799,158.0,94.0,0.0,0.0,14445.521,17,17,3,7,31127,36.8120781812945,127.157226563841
A10024342,힐스테이트천안,4413110300,충청남도,천안동남구,문화동,,충청남도 천안동남구 문화동 112-17 힐스테이트천안,분양,개별난방,47065.78,3,451.0,현대건설,주)천안미드힐타운위탁관리부동산투자회사,0415230451,hscheonan.aptnet.com,주상복합,충청남도 천안시 동남구 옛시청길 29,위탁관리,계단식,20210315,0415230452,451,47065.754,164.0,287.0,0.0,0.0,32924.2546,44,44,4,10,31131,36.8069022655532,127.15020650491
A10027588,거송그랑데리움,4413110300,충청남도,천안동남구,문화동,,충청남도 천안동남구 문화동 63-9 거송그랑데리움,분양,개별난방,18322.79,1,296.0,(주) 두진건설,한국자산신탁(주),0415521331,천안그랑데리움.apti.co.kr,주상복합,충청남도 천안시 동남구 버들로 121-3,위탁관리,복도식,20160325,0415521221,311,16229.88,296.0,0.0,0.0,0.0,7727.7891,20,20,5,3,31126,36.8087765851602,127.150484276379
A10026542,영성 펜타폴리스 25,4413110500,충청남도,천안동남구,영성동,,충청남도 천안동남구 영성동 67-2 영성 펜타폴리스 25,분양,개별난방,22481.602,1,170.0,백상건설(주),대한토지신탁(주),0416226253,,주상복합,충청남도 천안시 동남구 대흥로 90,위탁관리,혼합식,20171124,0416226254,170,10116.047,170.0,0.0,0.0,0.0,10116.0472,20,20,3,3,31131,36.7994265214681,127.152287820881
A33005001,영성동 금성아파트,4413110500,충청남도,천안동남구,영성동,,충청남도 천안동남구 영성동 154-12 영성동 금성아파트,분양,개별난방,17209.287,3,168.0,금성건설,금성건설,0415535937,,아파트,충청남도 천안시 동남구 천안천공원5길 24,위탁관리,복도식,19910803,0415535937,168,17209.287,0.0,168.0,0.0,0.0,12057.96,10,10,0,4,31188,36.796734297966,127.151630040628
A10023117,이편한세상천안역아파트,4413110700,충청남도,천안동남구,원성동,,충청남도 천안동남구 원성동 429-133 이편한세상천안역아파트,혼합,개별난방,226568.0,15,1579.0,디엘이앤씨(주),원성동주택재건축정비사업조합,0415665421,e편한세상천안역.apti.co.kr/aptHome,아파트,충청남도 천안시 동남구 원성천1길 99,위탁관리,계단식,20230426,0415665423,1579,155924.31,687.0,892.0,0.0,0.0,111256.9404,35,35,2,38,31132,36.8047950765946,127.1561083412
A10027102,초원라이프아파트,4413110700,충청남도,천안동남구,원성동,,충청남도 천안동남구 원성동 481-1 초원라이프아파트,분양,개별난방,8702.554,1,83.0,라이프종합건설,초원주택합자회사,0415532327,,아파트,충청남도 천안시 동남구 원성5길 17,위탁관리,계단식,19940525,0415532327,83,6283.17,30.0,53.0,0.0,0.0,6264.72,15,15,1,3,31126,36.807981607138,127.162284915731
A33095401,원성동 극동아파트,4413110700,충청남도,천안동남구,원성동,,충청남도 천안동남구 원성동 559-15 원성동 극동아파트,분양,개별난방,26059.0,2,341.0,극동건설,극동건설,0415518882,원성극동.apti.co.kr,아파트,충청남도 천안시 동남구 충절로 190,위탁관리,혼합식,19951031,0415528882,341,25393.0,267.0,74.0,0.0,0.0,19201.83,20,20,0,6,31186,36.8025710104187,127.158653204954
A33006001,구성 현대I-PARK 아파트,4413110800,충청남도,천안동남구,구성동,,충청남도 천안동남구 구성동 388-72 구성 현대I-PARK 아파트,분양,개별난방,25542.0,1,184.0,현대산업개발(주),화인건설(주),0415679538,http://www.onlineapt.co.kr/apt/60836													www.onlineapt.co.kr/apt/60836,아파트,충청남도 천안시 동남구 청수로 136-8,위탁관리,계단식,20041221,0415579538,184,20118.0,0.0,178.0,0.0,6.0,15821.2888,15,15,0,7,31194,36.7932195265908,127.15947109738
A33006002,구성동 쌍용아파트,4413110800,충청남도,천안동남구,구성동,,충청남도 천안동남구 구성동 293-21 구성동 쌍용아파트,분양,개별난방,21079.8,2,216.0,남광토건(주),남양토건(주),0415522205,,아파트,충청남도 천안시 동남구 충절로 295-14,자치관리,계단식,19901228,0415662205,216,16752.402,0.0,216.0,0.0,0.0,16752.88,12,12,1,10,31193,36.7938035062527,127.16182957779
A33006003,구성향목그라비스아파트,4413110800,충청남도,천안동남구,구성동,,충청남도 천안동남구 구성동 300-6 구성향목그라비스아파트,분양,개별난방,26722.0,3,216.0,향목건설,대한토지신탁,0415520150,향목그라비스/apti.co.kr,아파트,충청남도 천안시 동남구 충절로 303,위탁관리,계단식,20050207,0415520151,216,22571.9,30.0,186.0,0.0,0.0,17602.0674,15,15,2,0,31193,36.7926929994917,127.162076197672
A33006004,천안 신성미소지움 아파트,4413110800,충청남도,천안동남구,구성동,,충청남도 천안동남구 구성동 259 천안 신성미소지움 아파트,분양,개별난방,125180.164,12,1029.0,신성건설,신성건설,0415690064,misozium.or.kr,아파트,충청남도 천안시 동남구 천안대로 483-8,위탁관리,계단식,20060501,0415690065,1029,101646.25,355.0,614.0,60.0,0.0,80019.73,15,15,0,35,31193,36.7926085216032,127.163752827237
A33074601,구성휴먼시아,4413110800,충청남도,천안동남구,구성동,,충청남도 천안동남구 구성동 525 구성휴먼시아,분양,개별난방,59967.016,7,473.0,이수건설,LH 한국토지주택공사,0415670036,https://구성휴먼시아.apti.co.kr,아파트,충청남도 천안시 동남구 대흥로 35,위탁관리,계단식,20100723,0415670026,473,59966.906,137.0,336.0,0.0,0.0,36352.45,23,23,3,14,31191,36.796727513371,127.155970957576
A10023396,청수행정타운금호어울림,4413110900,충청남도,천안동남구,청수동,,충청남도 천안동남구 청수동 435 청수행정타운금호어울림,분양,개별난방,79688.98,7,584.0,금호건설,청수행정타운지역주택조합,0415693908,https://천안청수금호어울림아파트.apti.co.kr,아파트,충청남도 천안시 동남구 수도산공원길 1,위탁관리,계단식,20230104,0415693909,584,53739.133,258.0,326.0,0.0,0.0,40387.7146,25,25,2,19,31189,36.7925758705548,127.151183652294
A33019001,청수 경남아너스빌,4413110900,충청남도,천안동남구,청수동,,충청남도 천안동남구 청수동 267 청수 경남아너스빌,분양,개별난방,38231.766,5,230.0,경남기업,한백씨에씨,0416216335,청수경남아너스빌.apti.co.kr,아파트,충청남도 천안시 동남구 청수로 15,위탁관리,계단식,20081030,0416216334,230,29697.08,0.0,138.0,92.0,0.0,22783.468,15,15,1,12,31190,36.7886439318798,127.149488898344
A33019002,청수극동1차아파트,4413110900,충청남도,천안동남구,청수동,,충청남도 천안동남구 청수동 209 청수극동1차아파트,분양,개별난방,49588.0,7,450.0,(주)동방주택,(주)극동건설,0415535394,,아파트,충청남도 천안시 동남구 청수로 99,위탁관리,계단식,19920117,0415535397,450,47306.4,0.0,390.0,60.0,0.0,39266.7,15,15,0,15,31190,36.7914521378207,127.155275478148
A33019003,청수동 극동2차아파트,4413110900,충청남도,천안동남구,청수동,,충청남도 천안동남구 청수동 183 청수동 극동2차아파트,분양,개별난방,58835.88,6,510.0,(주)극동건설,(주)동방주택,0415561639,청수극동2차.apti.co.kr,아파트,충청남도 천안시 동남구 청수로 71-7,위탁관리,계단식,19920430,0415684284,510,56628.6,0.0,390.0,120.0,0.0,47268.6,15,15,0,17,31190,36.7904538914373,127.153115275627
A33019004,청수동 현대아파트,4413110900,충청남도,천안동남구,청수동,,충청남도 천안동남구 청수동 219-4 청수동 현대아파트,분양,개별난방,59096.574,5,520.0,현대건설(주),현대건설(주),0415514595,,아파트,충청남도 천안시 동남구 풍세로 1010-31,위탁관리,계단식,19961012,0419004595,520,50478.504,244.0,242.0,34.0,0.0,39331.11,22,22,2,2,31191,36.7973961264026,127.153905137561
A33019005,청수동 청솔LG.SK아파트,4413110900,충청남도,천안동남구,청수동,,충청남도 천안동남구 청수동 261 청수동 청솔LG.SK아파트,분양,개별난방,136017.77,16,898.0,LGSK건설,"엘지건설(주),에스케이건설(주)",0415672772,lgsk.apti.co.kr,아파트,충청남도 천안시 동남구 청수로 98,위탁관리,계단식,19990226,0415672773,898,112234.2,120.0,358.0,240.0,180.0,91804.64,15,15,0,30,31194,36.7918994116855,127.157702161093
A10022834,삼룡호반써밋포레센트,4413111000,충청남도,천안동남구,삼룡동,,충청남도 천안동남구 삼룡동 218-33 삼룡호반써밋포레센트,분양,개별난방,91710.55,8,594.0,호반건설,교보자산신탁,0415555940,삼룡호반써밋포레센트.apti.co.kr,아파트,충청남도 천안시 동남구 충절로 369,위탁관리,계단식,20231227,0415565940,594,64258.547,0.0,590.0,2.0,2.0,49396.1506,20,20,2,21,31070,36.7869495305595,127.168717509566
A10020456,천안롯데캐슬더청당,4413111100,충청남도,천안동남구,청당동,,충청남도 천안동남구 청당동 1012- 천안롯데캐슬더청당,분양,개별난방,197110.62,11,1199.0,롯데건설(주),롯데건설(주),0415510153,,아파트,충청남도 천안시 동남구 청당4로 20,위탁관리,계단식,20250826,0415510154,1199,134174.0,145.0,942.0,112.0,0.0,99961.7967,29,29,4,0,,36.7774426463195,127.14532893568
A10023358,행정타운센트럴두산위브아파트,4413111100,충청남도,천안동남구,청당동,,충청남도 천안동남구 청당동 1005 행정타운센트럴두산위브아파트,분양,개별난방,96758.0,9,655.0,두산건설,킴앤코투자개발,0415662342,,아파트,충청남도 천안시 동남구 청당5로 20,위탁관리,계단식,20230217,0415662343,655,69912.1,0.0,655.0,0.0,0.0,52916.0433,26,26,2,16,31211,36.7787176824497,127.152980803836
