kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A37380012,향수마을,4373025021,충청북도,옥천군,옥천읍,죽향리,충청북도 옥천군 옥천읍 죽향리 196-2 향수마을,분양,개별난방,19311.0,2,165.0,(주)영락건설,(주)영락건설,0437321029,,아파트,충청북도 옥천군 성왕로 1262,위탁관리,계단식,20040204,0437320065,165,17580.75,0.0,165.0,0.0,0.0,13992.3135,15,15,0,6,29030,36.3160732506504,127.578073987948
A37380405,주은옥향아파트,4373025021,충청북도,옥천군,옥천읍,죽향리,충청북도 옥천군 옥천읍 죽향리 153 주은옥향아파트,분양,개별난방,31216.113,3,323.0,주은산업,주은산업,0437310655,,아파트,충청북도 옥천군 성왕로 1274,위탁관리,혼합식,19971031,0437311700,323,29030.535,165.0,101.0,57.0,0.0,24624.053,15,15,0,8,29030,36.3171558645058,127.578737084844
A37380301,옥천하늘빛,4373025022,충청북도,옥천군,옥천읍,문정리,충청북도 옥천군 옥천읍 문정리 430-1 옥천하늘빛,분양,개별난방,59946.0,6,491.0,천광산업(주),문정재개발조합,0437310706,,아파트,충청북도 옥천군 동부로 16,위탁관리,계단식,20070723,0437310710,491,50350.37,173.0,290.0,28.0,0.0,38240.55,15,15,0,17,29039,36.3052802996043,127.575076250093
A37380302,대성진달래아파트,4373025022,충청북도,옥천군,옥천읍,문정리,충청북도 옥천군 옥천읍 문정리 467-5 대성진달래아파트,분양,개별난방,16750.0,1,154.0,(주)두진공영,(주)대성,0437310533,,아파트,충청북도 옥천군 관성로1길 18,위탁관리,계단식,19970515,0437310533,154,13576.08,90.0,49.0,15.0,0.0,11417.205,15,15,1,6,29039,36.3032165987059,127.572826149942
A37380307,옥천문정3단지아파트,4373025022,충청북도,옥천군,옥천읍,문정리,충청북도 옥천군 옥천읍 문정리 376 옥천문정3단지아파트,분양,개별난방,34428.85,5,445.0,계룡건설산업주식회사,대한주택공사,0437318218,,아파트,충청북도 옥천군 문장로2길 10,위탁관리,복도식,19990912,0437318219,445,32613.459,445.0,0.0,0.0,0.0,21266.59,15,15,0,10,29040,36.3018405543368,127.576976397848
A37380310,문정주공2단지아파트,4373025022,충청북도,옥천군,옥천읍,문정리,충청북도 옥천군 옥천읍 문정리 374 문정주공2단지아파트,분양,개별난방,34655.38,5,475.0,대한주택공사,롯데기공,0437316214,,아파트,충청북도 옥천군 문장로2길 9,위탁관리,복도식,19980515,0437316136,475,34655.38,475.0,0.0,0.0,0.0,23569.5,15,15,0,6,29040,36.3030365680364,127.577000237911
A10020764,e편한세상 옥천퍼스트원,4373025026,충청북도,옥천군,옥천읍,동안리,충청북도 옥천군 옥천읍 동안리 15-1 e편한세상 옥천퍼스트원,분양,개별난방,83267.74,8,545.0,DL건설(주),교보자산신탁(주),0437312232,,아파트,충청북도 옥천군 매동로 150,위탁관리,계단식,20250227,0437322232,545,62449.49,0.0,485.0,60.0,0.0,89078.108,1,20,0,17,,36.3145030793353,127.586907710549
A10021761,청솔아파트,4373025033,충청북도,옥천군,옥천읍,대천리,충청북도 옥천군 옥천읍 대천리 373-1 청솔아파트,분양,개별난방,4885.0,3,102.0,확인안됨,확인안됨,0437337673,,아파트,충청북도 옥천군 성암응천길 41-10,자치관리,계단식,19930701,0437337673,102,4074.9,102.0,0.0,0.0,0.0,4074.9,5,5,0,0,,36.2889837511901,127.572778425236
A10020846,옥천역금호어울림더퍼스트,4373025034,충청북도,옥천군,옥천읍,마암리,충청북도 옥천군 옥천읍 마암리 2-3 옥천역금호어울림더퍼스트,분양,개별난방,77401.67,6,499.0,금호건설(주),대한토지신탁(주),0437313400,,아파트,충청북도 옥천군 대천길 42,위탁관리,계단식,20250123,0437313401,499,58593.016,0.0,459.0,40.0,0.0,43576.5514,21,21,1,14,,36.2973063180436,127.567993641834
A10026556,옥천양우내안애,4373025034,충청북도,옥천군,옥천읍,마암리,충청북도 옥천군 옥천읍 마암리 487 옥천양우내안애,분양,개별난방,35247.98,4,280.0,양우건설,한국자산신탁,0437339731,옥천양우내안애.apti.co.kr,아파트,충청북도 옥천군 마장로 20,위탁관리,계단식,20171215,0437339732,280,27628.12,120.0,160.0,0.0,0.0,20787.14,20,20,1,8,29050,36.2921371798507,127.570962806355
A37380804,마암현대아파트,4373025034,충청북도,옥천군,옥천읍,마암리,충청북도 옥천군 옥천읍 마암리 16 마암현대아파트,분양,개별난방,28378.31,2,275.0,현대건설(주),현대건설(주),0437327693,,아파트,충청북도 옥천군 성암1길 30,위탁관리,계단식,19920604,0437327694,275,28046.426,0.0,275.0,0.0,0.0,21948.3,15,15,1,10,29049,36.295805452502,127.570558820969
A10026754,옥천지엘리베라움아파트,4373025035,충청북도,옥천군,옥천읍,양수리,충청북도 옥천군 옥천읍 양수리 438 옥천지엘리베라움아파트,분양,개별난방,60043.918,5,446.0,지엘건설(주),아성산업개발(주),0437310827,www.ok1000gl.com,아파트,충청북도 옥천군 양수로 25-7,위탁관리,계단식,20170929,0437310828,446,46285.684,0.0,446.0,0.0,0.0,34570.7842,20,20,1,0,29036,36.3004203018182,127.563179865685
A10024418,옥천계룡리슈빌,4373025036,충청북도,옥천군,옥천읍,금구리,충청북도 옥천군 옥천읍 금구리 259-2 옥천계룡리슈빌,분양,개별난방,33735.965,4,284.0,계룡건설,(주)한국토지신탁,0437627500,okk.aptner.com,아파트,충청북도 옥천군 가화4길 65,위탁관리,계단식,20210125,0437627501,284,25953.453,231.0,53.0,0.0,0.0,18357.1244,20,20,1,8,29034,36.3011598428879,127.561812117332
A37380209,가화현대아파트,4373025036,충청북도,옥천군,옥천읍,금구리,충청북도 옥천군 옥천읍 금구리 235-1 가화현대아파트,분양,개별난방,44131.008,4,459.0,(주)조원개발,(주)조원개발,0437311179,,아파트,충청북도 옥천군 가화3길 18,위탁관리,혼합식,19950610,0437311181,459,42952.55,279.0,180.0,0.0,0.0,31951.62,15,15,1,11,29034,36.3041114712027,127.561004051251
A37380603,다산금빛아파트,4373025036,충청북도,옥천군,옥천읍,금구리,충청북도 옥천군 옥천읍 금구리 235-26 다산금빛아파트,분양,개별난방,22698.0,2,270.0,다산건설,다산건설,0437316396,,아파트,충청북도 옥천군 가화3길 8,위탁관리,혼합식,20020808,0437316398,270,22447.53,270.0,0.0,0.0,0.0,15723.6,15,15,1,9,29034,36.304491764286,127.562481438433
A10024437,더퍼스트이안 아파트,4373025037,충청북도,옥천군,옥천읍,장야리,충청북도 옥천군 옥천읍 장야리 444 더퍼스트이안 아파트,분양,개별난방,39985.64,4,325.0,대우산업개발주식회사,옥천장야지역주택조합,0437330167,,아파트,충청북도 옥천군 장야4길 51,위탁관리,계단식,20210114,0437330164,325,29433.73,125.0,200.0,0.0,0.0,22641.0499,20,20,1,10,29045,36.2949470592966,127.580059281399
A37380508,장야주공1단지아파트,4373025037,충청북도,옥천군,옥천읍,장야리,충청북도 옥천군 옥천읍 장야리 313 장야주공1단지아파트,분양,개별난방,34325.69,6,446.0,대화건설(주),대한주택공사,0437317811,,아파트,충청북도 옥천군 장야3길 9,위탁관리,계단식,20020930,0437317812,446,33444.78,446.0,0.0,0.0,0.0,25220.24,15,15,2,13,29045,36.2962935361897,127.577558412274
A37380513,옥천장야2,4373025037,충청북도,옥천군,옥천읍,장야리,충청북도 옥천군 옥천읍 장야리 311 옥천장야2,임대,개별난방,45480.0,6,610.0,흥진건설,흥진건설,0437318901,340230@kohom.or.kr,아파트,충청북도 옥천군 장야3길 10,위탁관리,계단식,20030522,0437318903,610,45175.227,610.0,0.0,0.0,0.0,32538.7,15,15,0,15,29045,36.2950211884226,127.577870981663
