kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020499,진천풍림아이원트리니움,4375025021,충청북도,진천군,진천읍,교성리,충청북도 진천군 진천읍 교성리 466- 진천풍림아이원트리니움,분양,개별난방,352830.97,33,2450.0,풍림,대명수안,0437538807,,아파트,충청북도 진천군 대학로 36,위탁관리,계단식,20250725,0437538809,2450,229744.05,986.0,1415.0,49.0,0.0,170648.83,29,29,4,0,,36.8474493579559,127.435406228786
A10027363,진천대명루첸,4375025021,충청북도,진천군,진천읍,교성리,충청북도 진천군 진천읍 교성리 616 진천대명루첸,분양,개별난방,71195.07,7,499.0,대명건설(주),서울산업,0435379108,,아파트,충청북도 진천군 문화2길 36,위탁관리,계단식,20160729,0435379109,499,52017.242,0.0,499.0,0.0,0.0,38239.4837,19,19,2,15,27838,36.8526075754803,127.446538602568
A36570001,진천교성주공아파트,4375025021,충청북도,진천군,진천읍,교성리,충청북도 진천군 진천읍 교성리 144 진천교성주공아파트,분양,개별난방,47873.695,8,691.0,LH공사,LH공사,0435344621,,아파트,충청북도 진천군 중앙서로 89,위탁관리,복도식,20000915,0435348874,690,34396.5,691.0,0.0,0.0,0.0,34446.35,15,15,1,16,27839,36.8511389659387,127.441715272781
A10020293,장산아파트,4375025022,충청북도,진천군,진천읍,신정리,충청북도 진천군 진천읍 신정리 651-1 장산아파트,분양,개별난방,11651.0,1,108.0,(주)장산개발,장산개발,0435340503,,아파트,충청북도 진천군 중앙동로 8,위탁관리,복도식,19910810,0435340503,108,11058.444,0.0,108.0,0.0,0.0,8253.36,12,12,0,2,,36.8505733090503,127.44440906921
A10025252,진천양우내안애해오르미아파트,4375025022,충청북도,진천군,진천읍,신정리,충청북도 진천군 진천읍 신정리 827 진천양우내안애해오르미아파트,분양,개별난방,18557.28,3,270.0,양우건설(주),(주)드림디벨로퍼,0435378070,,아파트,충청북도 진천군 농다리로 1431,위탁관리,복도식,20160812,0435378071,270,18557.28,270.0,0.0,0.0,0.0,14021.1,15,15,0,3,27837,36.8469994387209,127.455110156248
A36570003,삼진동산아파트,4375025022,충청북도,진천군,진천읍,신정리,충청북도 진천군 진천읍 신정리 390 삼진동산아파트,분양,개별난방,26338.0,3,381.0,(주)삼진건설,(주)삼진건설,0435343986,,아파트,충청북도 진천군 농다리로 1411,위탁관리,복도식,19961119,0435343987,381,18743.79,381.0,0.0,0.0,0.0,18743.79,15,15,1,6,27837,36.8458484930326,127.456794857297
A36580502,영화블렌하임아파트,4375025022,충청북도,진천군,진천읍,신정리,충청북도 진천군 진천읍 신정리 377-2 영화블렌하임아파트,분양,개별난방,29258.0,3,268.0,영화건설,영화건설,0435324030,https://xn--sm2b93i5thkrby38aemb.apti.co.kr/aptHome/,아파트,충청북도 진천군 농다리로 1422,위탁관리,계단식,20080603,0435324032,268,24108.8,120.0,148.0,0.0,0.0,19130.46,15,15,1,9,27836,36.8474182147659,127.457307951312
A36580506,진천신정주공아파트,4375025022,충청북도,진천군,진천읍,신정리,충청북도 진천군 진천읍 신정리 824 진천신정주공아파트,임대,개별난방,41548.0,6,511.0,LH,거동건설,0435370450,진천신정주공.apti.co.kr,아파트,충청북도 진천군 문화2길 14,위탁관리,혼합식,20060327,0435370451,511,34782.195,511.0,0.0,0.0,0.0,23996.2,15,15,0,12,27838,36.8513280736611,127.446979215742
A10023103,e편한세상 진천로얄하임아파트,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 969-6 e편한세상 진천로얄하임아파트,분양,개별난방,59979.934,5,400.0,디엘건설(주),대한토지신탁(주),0435363233,,아파트,충청북도 진천군 문화로 404,위탁관리,계단식,20230714,0435363238,400,46872.36,0.0,304.0,96.0,0.0,36965.632,26,26,1,8,27848,36.8604793443725,127.453401680943
A10024513,진천성석 LH 행복주택,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 969-1 진천성석 LH 행복주택,임대,개별난방,25989.83,3,450.0,동문건설,한국토지주택공사,0435378340,,아파트,충청북도 진천군 문화로 394,위탁관리,복도식,20201215,0435378341,450,25790.867,450.0,0.0,0.0,0.0,13689.76,15,15,1,0,27848,36.8591961218169,127.452282706714
A10026769,지안스로가아파트,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 556 지안스로가아파트,분양,개별난방,40431.84,6,340.0,지안스건설(주),진천2차지역주택조합,0435375560,,아파트,충청북도 진천군 대촌길 33-15,위탁관리,계단식,20170923,0435375561,340,40431.84,103.0,237.0,0.0,0.0,24993.9639,18,18,1,11,27849,36.8627014166898,127.448612305371
A10027426,진천우림필유아파트,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 539 진천우림필유아파트,분양,개별난방,34446.332,4,296.0,지안스건설(주),진천지역주택조합,0435371820,지안스필유1차아파트.apti.co.kr,아파트,충청북도 진천군 대촌1길 16,위탁관리,계단식,20160830,0435371830,296,34228.754,114.0,182.0,0.0,0.0,22306.8658,18,18,1,10,27849,36.8624622954331,127.446930120477
A36580601,우주동백1차 아파트,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 480-13 우주동백1차 아파트,분양,개별난방,20951.25,2,244.0,우주건설,"보배, 성진종합건설",0435334748,우주동백1단지.apti.co.kr,아파트,충청북도 진천군 진광로 72,위탁관리,혼합식,19941221,0435334741,244,18976.355,214.0,30.0,0.0,0.0,14653.4,15,15,1,5,27844,36.8706845232722,127.44259401798
A36580603,동백3차아파트,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 327-1 동백3차아파트,분양,개별난방,21210.15,3,274.0,동백건설,동백건설,0435346312,진천동백.apti.co.kr,아파트,충청북도 진천군 덕금로 55,위탁관리,혼합식,19991224,0435336312,274,18643.94,184.0,90.0,0.0,0.0,14789.58,15,15,1,6,27844,36.8665917305034,127.454984880373
A36580604,산호오크힐아파트,4375025025,충청북도,진천군,진천읍,성석리,충청북도 진천군 진천읍 성석리 450 산호오크힐아파트,분양,개별난방,30123.36,6,288.0,(주)산호,(주)산호,0435338341,,아파트,충청북도 진천군 성중로 57,위탁관리,계단식,20030130,0435378343,288,21448.8,120.0,168.0,0.0,0.0,21448.8,12,12,0,12,27844,36.8688248046972,127.448039796568
A36570005,진천벽암휴먼시아,4375025026,충청북도,진천군,진천읍,벽암리,충청북도 진천군 진천읍 벽암리 581 진천벽암휴먼시아,임대,개별난방,42748.16,8,632.0,서희건설,한국토지주택공사,0435355810,,아파트,충청북도 진천군 문화로 237-19,위탁관리,복도식,20110620,0435355811,632,42551.613,632.0,0.0,0.0,0.0,25887.94,15,15,0,16,27830,36.8610358389953,127.437049108961
A36570002,진천남해오네뜨,4375025028,충청북도,진천군,진천읍,장관리,충청북도 진천군 진천읍 장관리 2-1 진천남해오네뜨,분양,개별난방,45793.0,8,392.0,남해건설,에이텐홀딩스,0435335340,cafenaver.com/7870827,아파트,충청북도 진천군 장관2길 159,위탁관리,계단식,20090609,0435335341,392,38970.98,0.0,392.0,0.0,0.0,30648.5184,15,15,0,14,27844,36.8713588979637,127.440144513105
A36570006,진천장관2차부영,4375025028,충청북도,진천군,진천읍,장관리,충청북도 진천군 진천읍 장관리 880 진천장관2차부영,혼합,개별난방,82851.94,8,694.0,(주)부영주택,(주)부영주택,0435339733,,아파트,충청북도 진천군 진광로 97-13,위탁관리,계단식,20130611,0435339734,694,61141.28,534.0,160.0,0.0,0.0,45616.939,20,20,1,0,27844,36.8729804441819,127.439065327078
A36570007,진천장관1차부영,4375025028,충청북도,진천군,진천읍,장관리,충청북도 진천군 진천읍 장관리 884 진천장관1차부영,혼합,개별난방,70276.03,7,570.0,(주)부영주택,(주)부영주택,0435331047,,아파트,충청북도 진천군 장관2길 139,위탁관리,계단식,20130611,0435331048,570,51966.582,384.0,186.0,0.0,0.0,38832.5442,20,20,1,15,27844,36.8711762321712,127.437952966611
A36580205,우주동백2차아파트,4375025028,충청북도,진천군,진천읍,장관리,충청북도 진천군 진천읍 장관리 3-1 우주동백2차아파트,분양,개별난방,32760.76,3,395.0,우주건설,우주건설,0435345674,,아파트,충청북도 진천군 장관2길 153,위탁관리,복도식,19961231,0435335674,395,28423.062,395.0,0.0,0.0,0.0,20842.78,15,15,1,6,27844,36.8710910554474,127.439302151684
