kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10026253,아트에비뉴198,4311110300,충청북도,청주상당구,북문로2가,,충청북도 청주상당구 북문로2가 78-10 아트에비뉴198,분양,개별난방,9719.435,1,198.0,동서건설,한국자산신탁,0432250716,,주상복합,충청북도 청주시 상당구 중앙로 9-1,위탁관리,혼합식,20160129,0432250717,213,8132.711,198.0,0.0,0.0,0.0,4442.876,15,15,2,2,28545,36.6380166668865,127.488530436882
A10024536,청주행정타운 코아루휴티스,4311110400,충청북도,청주상당구,북문로3가,,충청북도 청주상당구 북문로3가 21-1 청주행정타운 코아루휴티스,분양,개별난방,98135.59,3,530.0,(주)금강건설,한국토지신탁,0432259257,koaroohutis.aptner.com/v2,주상복합,충청북도 청주시 상당구 중앙로 80,위탁관리,계단식,20201201,0432259258,530,61010.695,0.0,530.0,0.0,0.0,44965.0526,49,49,5,6,28542,36.6440725374095,127.489205295743
A36071401,청주북문로한신휴플러스,4311110400,충청북도,청주상당구,북문로3가,,충청북도 청주상당구 북문로3가 49-1 청주북문로한신휴플러스,분양,개별난방,42605.33,4,286.0,한신공영(주),대한토지신탁(주),0432229370,,아파트,충청북도 청주시 상당구 중앙로 83,위탁관리,계단식,20130622,0432229371,286,42604.22,0.0,276.0,6.0,4.0,24051.3036,25,25,2,8,28541,36.6444766221348,127.487530026548
A10021707,트레비앙,4311110500,충청북도,청주상당구,남문로1가,,충청북도 청주상당구 남문로1가 53- 트레비앙,분양,,0.0,1,127.0,금강건설,무궁화신탁,0432250485,,도시형 생활주택(아파트),충청북도 청주시 상당구 상당로29번길 20,자치관리,복도식,20160216,0432250486,127,5845.263,127.0,0.0,0.0,0.0,3834.92,12,12,1,1,,36.6311113074706,127.489981800761
A10025801,센트럴칸타빌아파트,4311110700,충청북도,청주상당구,문화동,,충청북도 청주상당구 문화동 118 센트럴칸타빌아파트,분양,개별난방,119188.555,4,630.0,대원,자영/문화칸타빌PFV,0432251811,센트럴칸타빌.apti.co.kr/,주상복합,충청북도 청주시 상당구 용담로 7,위탁관리,계단식,20181227,0432251817,630,74677.82,0.0,508.0,120.0,2.0,55440.266,33,33,3,12,28516,36.6329194242652,127.491752889716
A10021045,탑동삼일맨션,4311111700,충청북도,청주상당구,탑동,,충청북도 청주상당구 탑동 83- 탑동삼일맨션,분양,개별난방,17801.07,1,170.0,삼일주택,삼일주택,0432572863,,아파트,충청북도 청주시 상당구 산성로49번길 18,자치관리,계단식,19880923,null3397031,170,17460.0,0.0,140.0,30.0,0.0,15519.3,1,5,0,0,,36.6293042288083,127.499540602633
A10021283,탑동석탑아파트,4311111700,충청북도,청주상당구,탑동,,충청북도 청주상당구 탑동 297-75 탑동석탑아파트,분양,개별난방,8190.0,1,130.0,자료 없음,자료없음,0432234600,,아파트,충청북도 청주시 상당구 탑동로1번길 70,자치관리,계단식,19840119,,130,8190.0,130.0,0.0,0.0,0.0,7564.05,1,5,0,0,,36.6315073264557,127.49569582565
A10023239,청주 센트럴힐데스하임,4311111700,충청북도,청주상당구,탑동,,충청북도 청주상당구 탑동 233-25 청주 센트럴힐데스하임,혼합,개별난방,223226.02,16,1368.0,원건설,원건설,0432258565,,아파트,충청북도 청주시 상당구 용담로 50,위탁관리,계단식,20221129,0432258566,1368,148849.56,70.0,1102.0,196.0,0.0,224548.698,35,35,2,30,28717,36.6291143598737,127.497322213772
A36008102,보성트윈힐스아파트,4311111700,충청북도,청주상당구,탑동,,충청북도 청주상당구 탑동 42 보성트윈힐스아파트,혼합,개별난방,28510.234,2,444.0,보성건설주식회사,보성건설주식회사,0432222245,,아파트,충청북도 청주시 상당구 중고개로 349,위탁관리,복도식,19980525,0432222245,444,23483.16,444.0,0.0,0.0,0.0,17284.92,15,15,1,4,28720,36.6305882810323,127.501826917667
A36077703,탑동현대아파트,4311111700,충청북도,청주상당구,탑동,,충청북도 청주상당구 탑동 44 탑동현대아파트,분양,지역난방,50199.0,7,485.0,현대산업개발,현대산업개발,0432573349,,아파트,충청북도 청주시 상당구 탑동로 78,위탁관리,계단식,19910427,0432243350,485,49812.83,0.0,485.0,0.0,0.0,40124.265,13,13,1,19,28523,36.631528890698,127.502294553391
A36077704,탑클래스아파트,4311111700,충청북도,청주상당구,탑동,,충청북도 청주상당구 탑동 344 탑클래스아파트,분양,개별난방,58347.49,6,400.0,(주)삼호건설,LH토지주택공사,0432225234,www.raybol.net/A10018,아파트,충청북도 청주시 상당구 산성로 55,위탁관리,혼합식,20140318,0422225239,400,40900.414,86.0,314.0,0.0,0.0,30794.22,19,19,2,12,28720,36.6298685189052,127.501127724525
A36076902,대성우성3차아파트,4311111800,충청북도,청주상당구,대성동,,충청북도 청주상당구 대성동 5 대성우성3차아파트,분양,지역난방,70460.0,8,554.0,우성건설,우성건설,0432213912,대성우성3차.apti.co.kr/,아파트,충청북도 청주시 상당구 용담로63번길 33,자치관리,계단식,19911030,0432213913,554,55519.74,0.0,390.0,112.0,52.0,55519.74,15,15,1,20,28521,36.6333840188746,127.498718193997
A10021324,영운미림아파트,4311111900,충청북도,청주상당구,영운동,,충청북도 청주상당구 영운동 179-11 영운미림아파트,분양,개별난방,13883.0,6,250.0,영운미림아파트,영운미림아파트,0432573596,,아파트,충청북도 청주시 상당구 무심동로 124,위탁관리(직영+위탁),계단식,19910827,0432573595,250,12497.5,250.0,0.0,0.0,0.0,12497.5,6,6,0,0,,36.6175125638434,127.495336928236
A10026017,파모스라움아파트,4311111900,충청북도,청주상당구,영운동,,충청북도 청주상당구 영운동 72 파모스라움아파트,분양,개별난방,28736.043,4,246.0,금장건설(주),금천동지역주택조합,0432210941,,아파트,충청북도 청주시 상당구 수영로 180,위탁관리,계단식,20181002,0432220941,246,21371.613,246.0,0.0,0.0,0.0,14631.0789,25,25,1,8,28739,36.6205047547775,127.502890971899
A36009001,영운삼일아파트,4311111900,충청북도,청주상당구,영운동,,충청북도 청주상당구 영운동 204 영운삼일아파트,분양,개별난방,23015.27,4,228.0,삼일주택,삼일주택,0432219317,so2219317@hanmail.net,아파트,충청북도 청주시 상당구 수영로 136,위탁관리,계단식,19920811,0432219319,228,21089.82,92.0,136.0,0.0,0.0,16790.72,15,15,0,4,28743,36.6166002830481,127.500506842202
