kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A38002001,성서현대타운,4313010300,충청북도,충주시,성서동,,충청북도 충주시 성서동 161 성서현대타운,분양,개별난방,37934.0,2,276.0,현대종합건설,현대,0438454610,,주상복합,충청북도 충주시 성서1길 50,자치관리,혼합식,19890131,0438454610,276,22386.0,72.0,180.0,24.0,0.0,16305.6,12,12,0,5,27387,36.9713631490501,127.930540555044
A10021437,남산아파트1단지,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1061- 남산아파트1단지,분양,개별난방,14000.0,24,250.0,lh 주택공사,lh,0438440201,,아파트,충청북도 충주시 남산4길 35,자치관리(직영),계단식,19840101,0438440201,250,14000.0,250.0,0.0,0.0,0.0,12559.36,1,5,0,0,,36.9653330486656,127.944028936322
A38006001,중흥S클래스아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1358 중흥S클래스아파트,분양,개별난방,87304.87,6,516.0,중흥종합건설(주),중흥에스클래스개발(주),0438545577,중흥s클래스.apti.co.kr/,아파트,충청북도 충주시 금봉8길 23,위탁관리,계단식,20081121,0438545578,516,63878.605,0.0,439.0,77.0,0.0,47188.591,15,15,1,18,27392,36.9679429657196,127.940484619982
A38095001,교현충일아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 155 교현충일아파트,분양,개별난방,24350.64,6,360.0,충일건설,충일건설,0438439615,,아파트,충청북도 충주시 만리산9길 54,자치관리,계단식,19860825,0438459615,358,22446.6,360.0,0.0,0.0,0.0,16135.2,5,5,0,0,27381,36.9730280981371,127.943931041855
A38095002,교현동아아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 397 교현동아아파트,분양,개별난방,38724.67,3,392.0,동아건설(주),동아건설(주),0438482601,,아파트,충청북도 충주시 봉현로 313,자치관리(직영),계단식,19901217,0438542528,392,38724.56,0.0,392.0,0.0,0.0,31257.52,14,14,0,14,27374,36.9778673081585,127.93806285978
A38095003,남산주공2.3차 아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1060 남산주공2.3차 아파트,분양,개별난방,33290.0,19,720.0,LH 공사,LH 공사,0438471317,,아파트,충청북도 충주시 남산4길 42,자치관리,계단식,19860424,0438561317,720,32980.88,720.0,0.0,0.0,0.0,28994.94,5,5,0,0,27396,36.9653762919427,127.945547177271
A38095103,교현주공아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 518 교현주공아파트,분양,개별난방,32199.0,17,720.0,대한주택공사,대한주택공사,0438476670,,아파트,충청북도 충주시 예성로 273,자치관리,계단식,19790101,0438538565,720,31606.6,720.0,0.0,0.0,0.0,26299.81,5,5,0,0,27370,36.9815892184291,127.932409650612
A38095401,교현성원아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1309 교현성원아파트,분양,개별난방,31111.75,2,360.0,(주)성원,(주)성원,0438548296,,아파트,충청북도 충주시 삼원로 175,위탁관리,복도식,19950915,0438523986,360,27630.3,360.0,0.0,0.0,0.0,20124.9,12,12,1,4,27363,36.9814406371845,127.923777000779
A38095402,교현부강아파트,4313010500,충청북도,충주시,교현동,,충청북도 충주시 교현동 1087 교현부강아파트,분양,개별난방,37342.21,3,400.0,부강건설,부강건설,0438454011,cafe.daum.net/bugang4011,아파트,충청북도 충주시 예성로 279,자치관리,복도식,19900419,0438454011,400,37274.19,0.0,400.0,0.0,0.0,27992.61,14,14,1,4,27370,36.9814118886217,127.933980322412
A10026280,충주3차푸르지오아파트,4313010600,충청북도,충주시,용산동,,충청북도 충주시 용산동 2628 충주3차푸르지오아파트,분양,개별난방,74565.0,8,474.0,대우건설,(주)지앤인,0438461152,충주3차푸르지오.apti.co.kr,아파트,충청북도 충주시 염밭로 13,위탁관리,계단식,20180426,0438461153,474,53936.777,0.0,474.0,0.0,0.0,40273.0656,24,24,2,16,27403,36.9584582728513,127.943247140457
