kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025845,엘에이치(LH)미디어촌 6단지 아파트,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 1044 엘에이치(LH)미디어촌 6단지 아파트,혼합,개별난방,129523.0,13,1144.0,KR산업,한국토지주택공사,0336426110,,아파트,강원특별자치도 강릉시 선수촌로 10,위탁관리,계단식,20181019,0336426111,1144,129229.586,1144.0,0.0,0.0,0.0,68544.33,25,25,1,29,25522,37.752803625158,128.867462355074
A10025849,미디어촌 LH5단지아파트,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 1039 미디어촌 LH5단지아파트,임대,개별난방,64291.37,5,1054.0,대창기업,한국토지주택공사,0336414734,,아파트,강원특별자치도 강릉시 선수촌로 11,위탁관리,복도식,20181109,0336414735,1057,64025.473,1054.0,0.0,0.0,0.0,33042.14,23,23,1,14,25522,37.7544790660027,128.867476456183
A10025924,강릉유천LH미디어촌7단지아파트,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 1043 강릉유천LH미디어촌7단지아파트,혼합,개별난방,49649.68,5,363.0,일성건설(주),한국토지주택공사 강원지역본부,0336455700,,아파트,강원특별자치도 강릉시 선수촌로 36,위탁관리,계단식,20181012,0336455704,363,49557.477,0.0,363.0,0.0,0.0,29048.58,22,22,1,10,25522,37.7537349043963,128.869383379466
A10027592,유천우미린아파트,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 1037 유천우미린아파트,분양,개별난방,72357.17,9,662.0,우미건설,서령개발,0336482348,,아파트,강원특별자치도 강릉시 선수촌로 55,위탁관리,계단식,20160212,0336482349,662,71297.42,0.0,662.0,0.0,0.0,55208.7864,20,20,1,17,25522,37.7559648959668,128.868267891331
A10027945,홍제한신휴플러스,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 1055 홍제한신휴플러스,분양,개별난방,50310.0,6,391.0,대한토지신탁(주),피앤씨건설,0336559091,,아파트,강원특별자치도 강릉시 토성로 100,위탁관리,계단식,20150724,0336559092,391,39183.395,158.0,233.0,0.0,0.0,29228.26,19,19,1,12,25535,37.750069646068,128.883298021651
A21001001,우산아파트,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 122 우산아파트,분양,개별난방,14419.097,1,182.0,우산건설(주),우산건설(주),0336470232,,아파트,강원특별자치도 강릉시 토성로 51,자치관리,복도식,19971213,0336470232,182,12694.34,171.0,11.0,0.0,0.0,9183.035,14,14,1,3,25536,37.751112849753,128.883499305117
A21094802,강릉홍제푸르지오,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 158 강릉홍제푸르지오,분양,개별난방,38335.816,6,273.0,대우건설,대우건설,0336417886,"Apti.co,kr",아파트,강원특별자치도 강릉시 홍제로71번길 1,위탁관리,계단식,20050930,0336417802,273,32217.42,0.0,159.0,114.0,0.0,25550.61,12,12,0,12,25526,37.7531313435025,128.883827895404
A21094903,홍제힐스테이트,5115010100,강원특별자치도,강릉시,홍제동,,강원특별자치도 강릉시 홍제동 1007 홍제힐스테이트,분양,개별난방,87654.79,7,493.0,현대건설(주),준흥건설(주),03306559530,홍제힐스테이트.apti.co.kr/,아파트,강원특별자치도 강릉시 토성로 39,위탁관리,혼합식,20070629,0336559531,493,66554.19,0.0,256.0,211.0,26.0,52717.438,15,15,1,12,25536,37.7508501270039,128.881798989849
A21002001,남문삼익아파트,5115010200,강원특별자치도,강릉시,남문동,,강원특별자치도 강릉시 남문동 183-2 남문삼익아파트,분양,개별난방,20027.8,2,156.0,삼익,삼익,0336476030,,아파트,강원특별자치도 강릉시 홍제로 7-13,위탁관리,계단식,19921214,0336476030,156,20027.8,0.0,104.0,26.0,26.0,16338.01,15,15,0,6,25537,37.7495428435297,128.885370155067
A10020364,강릉역경남아너스빌더센트로,5115011000,강원특별자치도,강릉시,교동,,강원특별자치도 강릉시 교동 2020- 강릉역경남아너스빌더센트로,분양,개별난방,75248.66,8,456.0,SM경남기업,강릉교동센트럴파크지역주택조합,0336513007,,아파트,강원특별자치도 강릉시 명륜로 85,위탁관리,계단식,20251029,0336513008,456,70701.52,345.0,111.0,0.0,0.0,30060.089,24,24,3,0,,37.767321303805,128.898554358834
A10020437,강릉교동아테라아파트,5115011000,강원특별자치도,강릉시,교동,,강원특별자치도 강릉시 교동 2003- 강릉교동아테라아파트,분양,개별난방,59885.684,4,346.0,주식회사금호건설,준씨엠에스,0336516881,,아파트,강원특별자치도 강릉시 노가니남길 25,위탁관리,계단식,20250624,0336516882,346,41956.0,0.0,245.0,101.0,0.0,32821.1701,20,20,2,13,,37.7722771597471,128.891730242023
A10021044,강릉롯데캐슬시그니처아파트,5115011000,강원특별자치도,강릉시,교동,,강원특별자치도 강릉시 교동 2000- 강릉롯데캐슬시그니처아파트,분양,개별난방,239411.4,11,1305.0,롯데건설,강릉교동홀딩스,0336442001,,아파트,강원특별자치도 강릉시 원대로 76,위탁관리,계단식,20241129,0336442009,1305,157634.56,0.0,1031.0,261.0,13.0,118695.9141,29,29,2,29,,37.7615674978464,128.883719420516
A10021138,교동하늘채스카이파크,5115011000,강원특별자치도,강릉시,교동,,강원특별자치도 강릉시 교동 1989- 교동하늘채스카이파크,분양,개별난방,117069.1,8,688.0,코오롱글로벌(주),한국자산신탁(주),0336539972,,아파트,강원특별자치도 강릉시 가작로 240,위탁관리,계단식,20241118,0336539973,688,116510.78,0.0,646.0,37.0,5.0,59717.857,25,25,4,17,,37.7691906549366,128.899916637624
A10026838,풍림아이원 아파트,5115011000,강원특별자치도,강릉시,교동,,강원특별자치도 강릉시 교동 1984 풍림아이원 아파트,분양,개별난방,27250.0,3,194.0,풍림산업(주),티엔에스(주),0336480660,,아파트,강원특별자치도 강릉시 화부산로40번길 29,위탁관리,계단식,20170728,0336480661,194,20831.72,0.0,194.0,0.0,0.0,15503.5064,20,20,2,6,25502,37.7612636056827,128.889774222437
