kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022772,삼척당저행복주택,5123010500,강원특별자치도,삼척시,당저동,,강원특별자치도 삼척시 당저동 166-10 삼척당저행복주택,임대,개별난방,8124.921,1,127.0,(주)동서,"한국토지주택공사, 삼척시",0335732928,,아파트,강원특별자치도 삼척시 대학로 29,위탁관리,복도식,20231226,020000000,128,8124.92,127.0,0.0,0.0,0.0,6963.14,7,7,1,0,25917,37.4436425074842,129.162937177089
A10021187,삼척교동현대아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 555- 삼척교동현대아파트,분양,개별난방,12954.0,1,120.0,현대건설(주),현대건설(주),0335750215,,아파트,강원특별자치도 삼척시 봉황로 147,자치관리,계단식,19970310,0335720910,120,10304.08,60.0,60.0,0.0,0.0,8664.9,15,15,1,4,,37.4504793678667,129.169049898524
A10026368,e편한세상삼척교동아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 145 e편한세상삼척교동아파트,분양,개별난방,90029.0,8,722.0,대림산업(주),대한토지신탁(주),0335757720,cafe.naver.com/scaptno1,아파트,강원특별자치도 삼척시 하실길 72,위탁관리,계단식,20180330,0335757721,727,70882.43,241.0,481.0,0.0,0.0,104770.4675,35,35,3,15,25911,37.4525509184729,129.171248322892
A10026447,삼척 지웰아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 99-7 삼척 지웰아파트,분양,개별난방,71470.26,10,612.0,신영건설(주),한국자산신탁,0335725514,,아파트,강원특별자치도 삼척시 동해대로 4183-1,위탁관리,계단식,20171229,0335725515,616,60740.65,182.0,430.0,0.0,0.0,45040.6096,20,20,2,18,25911,37.4531759378765,129.175277365587
A24572501,코아루아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 733-1 코아루아파트,분양,개별난방,78773.02,9,757.0,(주)투어스건설,한국토지신탁(주),0335730061,,아파트,강원특별자치도 삼척시 교동로 113,위탁관리,혼합식,20050822,0335730062,757,71381.81,380.0,377.0,0.0,0.0,54818.233,15,15,0,18,25911,37.4512840546846,129.173756670743
A24572502,청솔2차아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 757 청솔2차아파트,분양,개별난방,41886.15,4,490.0,한국토지신탁,한국토지신탁,0335742394,,아파트,강원특별자치도 삼척시 정상로 81,위탁관리,복도식,20031124,0335742395,490,37777.04,490.0,0.0,0.0,0.0,29326.5,15,15,1,2,25923,37.4485738493511,129.173444320167
A24572503,삼척코아루타워,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 781 삼척코아루타워,분양,개별난방,59972.12,6,474.0,동호종합건설,한국토지신탁,0335751934,삼척코아루타워.apti.co.kr,아파트,강원특별자치도 삼척시 교동로 97,위탁관리,계단식,20140514,0335751935,474,50983.645,153.0,242.0,79.0,0.0,37260.14,24,24,0,12,25911,37.450219353845,129.170464069417
A24593001,강부2차아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 130-2 강부2차아파트,분양,개별난방,12256.2,1,165.0,강부주택,강부주택,0335747443,,아파트,강원특별자치도 삼척시 동해대로 4122-21,위탁관리,복도식,19931228,0335747443,172,12256.2,165.0,0.0,0.0,0.0,8219.475,15,15,0,2,25925,37.4483350781901,129.179280366888
A24593103,동부아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 501-5 동부아파트,분양,개별난방,45798.0,3,480.0,동부건설(주),동부건설(주),0335741548,,아파트,강원특별자치도 삼척시 동해대로 4273,위탁관리,계단식,19960628,0335751548,480,43958.01,360.0,90.0,30.0,0.0,32700.45,15,15,1,16,25912,37.4554772133511,129.164641810525
A24593302,신동아아파트,5123010600,강원특별자치도,삼척시,교동,,강원특별자치도 삼척시 교동 745-1 신동아아파트,분양,개별난방,30872.0,4,360.0,신동아건설,신세대건설,0335760577,,아파트,강원특별자치도 삼척시 정상로 90,자치관리,계단식,19981224,0335760578,360,21502.297,360.0,0.0,0.0,0.0,21562.2,15,15,0,12,25924,37.4494339141026,129.175419909888
