kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022234,대명드림빌,5121010100,강원특별자치도,속초시,영랑동,,강원특별자치도 속초시 영랑동 180-1 대명드림빌,분양,개별난방,12968.0,1,110.0,대명주택건설,대명종합건설,0336350408,,,강원특별자치도 속초시 영랑로 23,자치관리,계단식,20041122,,110,12967.058,26.0,84.0,0.0,0.0,8609.9352,15,15,0,0,,38.2148305557764,128.592260740589
A21701001,양우비치타워맨션,5121010100,강원특별자치도,속초시,영랑동,,강원특별자치도 속초시 영랑동 157 양우비치타워맨션,분양,개별난방,21973.0,3,218.0,양우종합건설,효성건설,0336318474,,아파트,강원특별자치도 속초시 영랑로4길 10,자치관리,복도식,19901126,0336358474,218,21359.602,138.0,61.0,19.0,0.0,15435.15,15,15,1,2,24809,38.2154807406215,128.592601003065
A10023004,속초디오션자이,5121010200,강원특별자치도,속초시,동명동,,강원특별자치도 속초시 동명동 600 속초디오션자이,분양,개별난방,86873.0,3,454.0,GS건설,(주)하나자산신탁,0338007024,myapt.xi.co.kr,아파트,강원특별자치도 속초시 장안로 31,위탁관리,계단식,20230922,0338007025,454,53788.062,0.0,448.0,6.0,0.0,38864.6739,43,43,6,0,24823,38.2111052544921,128.593162335617
A10023369,롯데캐슬인더스카이아파트,5121010200,강원특별자치도,속초시,동명동,,강원특별자치도 속초시 동명동 599 롯데캐슬인더스카이아파트,분양,개별난방,94229.63,8,568.0,롯데건설,(주)하나자산신탁,0336322288,xn--9m1b2bu6sywmdb177cza024lcha.apti.co.kr/aptHome/,아파트,강원특별자치도 속초시 수복로 235,위탁관리,계단식,20230224,026322299,568,62439.81,37.0,525.0,6.0,0.0,46659.12,29,29,2,17,24827,38.2094205170955,128.589776707883
A10026409,이편한세상영랑호아파트,5121010200,강원특별자치도,속초시,동명동,,강원특별자치도 속초시 동명동 596 이편한세상영랑호아파트,분양,개별난방,74742.0,4,497.0,대림산업,KB부동산신탁,0336384006,,아파트,강원특별자치도 속초시 번영로129번길 22,위탁관리,계단식,20171026,0336384007,497,43681.773,0.0,437.0,53.0,7.0,43681.7746,29,29,2,10,24821,38.2117016199166,128.586736853525
A21781001,속초대명타워영랑호아파트,5121010200,강원특별자치도,속초시,동명동,,강원특별자치도 속초시 동명동 512 속초대명타워영랑호아파트,분양,개별난방,18698.44,2,188.0,(주)대명건설,(주)대명건설,0336315875,,아파트,강원특별자치도 속초시 영랑호반길 103,자치관리,혼합식,19971115,0336315875,188,18697.518,128.0,60.0,0.0,0.0,12765.04,15,15,1,5,24828,38.2111626916118,128.584207337934
A10024112,힐스테이트 속초 센트럴,5121010300,강원특별자치도,속초시,중앙동,,강원특별자치도 속초시 중앙동 468-19 힐스테이트 속초 센트럴,분양,개별난방,56180.17,3,256.0,현대건설,아시아신탁(주),0336354623,hssc.aptner.com/,주상복합,강원특별자치도 속초시 중앙로 170,위탁관리,계단식,20211022,0336354624,256,28462.316,0.0,238.0,18.0,0.0,21737.7553,36,36,4,5,24824,38.2057022655193,128.592670544657
A10024840,보람레이크더하임아파트,5121010400,강원특별자치도,속초시,금호동,,강원특별자치도 속초시 금호동 629 보람레이크더하임아파트,분양,개별난방,25295.34,2,110.0,보람건설(주),대한주택보증(주),0336328884,보람레이크더하임.apti.co.kr,아파트,강원특별자치도 속초시 영랑호반길 115-13,위탁관리,계단식,20080501,0336358887,110,19849.5,0.0,0.0,0.0,110.0,17243.6,15,15,1,4,24813,38.2110323156169,128.582199329981
A21776101,생모리츠,5121010400,강원특별자치도,속초시,금호동,,강원특별자치도 속초시 금호동 630 생모리츠,분양,개별난방,27584.86,3,251.0,제이에스건설산업주식회사,(주)웰스엔지니어링,0336359155,생모리츠.apti.co.kr,아파트,강원특별자치도 속초시 수복로 174,위탁관리,계단식,20111205,0336359156,251,27558.82,18.0,178.0,55.0,0.0,21313.9192,19,19,2,7,24833,38.2029901935048,128.587815888807
A21780801,금호대명,5121010400,강원특별자치도,속초시,금호동,,강원특별자치도 속초시 금호동 622-66 금호대명,분양,개별난방,18992.05,2,200.0,대명건설,대명건설,0336312876,,아파트,강원특별자치도 속초시 미시령로 3429,자치관리,혼합식,19930526,null6312876,200,18873.2,85.0,115.0,0.0,0.0,14781.45,15,15,0,6,24813,38.2096353241952,128.579812411308
