kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025239,철원석미모닝파크2차아파트,5178025021,강원특별자치도,철원군,철원읍,화지리,강원특별자치도 철원군 철원읍 화지리 773 철원석미모닝파크2차아파트,임대,개별난방,26319.0,4,220.0,석미건설(주),석미건설(주),0334589877,,아파트,강원특별자치도 철원군 북원로 1525,자치관리,계단식,20190926,0334589878,220,16114.88,14.0,206.0,0.0,0.0,16114.88,15,15,1,6,24007,38.2151225800408,127.218559303545
A26982101,철원산호그린빌,5178025021,강원특별자치도,철원군,철원읍,화지리,강원특별자치도 철원군 철원읍 화지리 71-2 철원산호그린빌,분양,개별난방,30442.0,5,330.0,산호건설,산호건설,0334560367,,아파트,강원특별자치도 철원군 금학로317번길 17,위탁관리,계단식,20030618,0334560368,330,28075.5,270.0,60.0,0.0,0.0,21258.3,15,15,1,11,24004,38.2141133176397,127.210065776873
A10022091,철원갈말단지,5178025622,강원특별자치도,철원군,갈말읍,지포리,강원특별자치도 철원군 갈말읍 지포리 462- 철원갈말단지,임대,개별난방,5619.0,2,100.0,우탑건설(주),한국토지주택공사,0334529371,,아파트,강원특별자치도 철원군 명성로111번길 18,위탁관리,복도식,20220921,0334529372,100,5618.74,100.0,0.0,0.0,0.0,3130.94,9,9,0,0,,38.1424887632382,127.304251966797
A10023698,리치먼드힐철원아파트,5178025622,강원특별자치도,철원군,갈말읍,지포리,강원특별자치도 철원군 갈말읍 지포리 227 리치먼드힐철원아파트,분양,개별난방,26424.03,4,184.0,태원건설(주),"코리아신탁(주),AAA디엔아이.",0334521714,,아파트,강원특별자치도 철원군 명성로139번길 33-46,위탁관리,계단식,20220726,0334521718,184,20015.88,0.0,184.0,0.0,0.0,15624.91,15,15,1,0,24036,38.1446328796688,127.302241933951
A10024515,철원모닝파크포레스트,5178025622,강원특별자치도,철원군,갈말읍,지포리,강원특별자치도 철원군 갈말읍 지포리 461 철원모닝파크포레스트,임대,개별난방,22491.34,3,198.0,석미건설(주),석미건설(주),0334522230,,아파트,강원특별자치도 철원군 명성로125번길 37,자치관리(직영),혼합식,20201123,0334522235,198,13970.84,39.0,159.0,0.0,0.0,13970.84,15,15,1,5,24036,38.1424367298217,127.303191663524
A26980101,철원명품ESA아파트,5178025622,강원특별자치도,철원군,갈말읍,지포리,강원특별자치도 철원군 갈말읍 지포리 138 철원명품ESA아파트,분양,개별난방,45360.3,4,314.0,SR개발,SR개발,0334528745,,아파트,강원특별자치도 철원군 명성로139번길 13-22,위탁관리,계단식,20080908,0334526058,314,29183.37,0.0,256.0,58.0,0.0,29183.3684,15,15,2,11,24045,38.1434822212604,127.305143142526
A10027767,철원석미모닝파크,5178025624,강원특별자치도,철원군,갈말읍,군탄리,강원특별자치도 철원군 갈말읍 군탄리 1752 철원석미모닝파크,혼합,개별난방,21695.74,3,171.0,석미건설(주),석미건설(주),0334529667,,아파트,강원특별자치도 철원군 군탄로8번길 38,위탁관리,혼합식,20151118,0334529678,171,13417.93,2.0,169.0,0.0,0.0,13417.93,15,15,1,5,24037,38.1466236612398,127.301625216083
A26980001,철원갈말유명아파트,5178025624,강원특별자치도,철원군,갈말읍,군탄리,강원특별자치도 철원군 갈말읍 군탄리 1028-97 철원갈말유명아파트,분양,개별난방,19585.0,1,299.0,유명개발,유명개발,0334520355,,아파트,강원특별자치도 철원군 군탄로8번길 16,자치관리,혼합식,19980831,0334520356,299,18926.275,299.0,0.0,0.0,0.0,12937.86,14,14,1,4,24037,38.1474709600999,127.301520441559
A10022032,철원동송2단지,5178025921,강원특별자치도,철원군,동송읍,이평리,강원특별자치도 철원군 동송읍 이평리 1589- 철원동송2단지,임대,개별난방,5780.0,2,100.0,원성종합건설(주)/에스원건설(주),한국토지주택공사,024587410,,아파트,강원특별자치도 철원군 이평1로37번길 4-27,위탁관리,복도식,20230621,0334587411,100,5779.14,100.0,0.0,0.0,0.0,3213.14,7,7,0,0,,38.2047221885552,127.214653695426
A10022746,철원석미아데나퍼스티어,5178025921,강원특별자치도,철원군,동송읍,이평리,강원특별자치도 철원군 동송읍 이평리 1590 철원석미아데나퍼스티어,분양,개별난방,31802.0,5,230.0,석미건설(주),건일아이앤디(주),0334583929,,아파트,강원특별자치도 철원군 이평3로 105,위탁관리,계단식,20240207,0334583930,230,24413.25,49.0,181.0,0.0,0.0,18225.38,20,20,1,0,24017,38.2051706848693,127.222239213329
