kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A20003001,한신휴플러스,5111010200,강원특별자치도,춘천시,요선동,,강원특별자치도 춘천시 요선동 200 한신휴플러스,분양,개별난방,50253.32,6,364.0,한신공영(주),요선지구 주택재건축조합,0332513727,,아파트,강원특별자치도 춘천시 서부대성로 34,위탁관리,계단식,20070730,0332533727,364,38945.992,18.0,288.0,58.0,0.0,32975.5947,15,15,0,12,24271,37.8837004587724,127.726487280144
A10027103,미도파파크타워,5111010800,강원특별자치도,춘천시,조양동,,강원특별자치도 춘천시 조양동 34 미도파파크타워,분양,개별난방,10770.0,1,99.0,미도파건설,미도파건설,0332433887,,주상복합,강원특별자치도 춘천시 금강로 68-9,자치관리,복도식,19960910,0332433887,99,2460.6,9.0,90.0,0.0,0.0,8135.55,14,14,3,0,24353,37.8785314177646,127.728564969368
A10023808,호수마을아파트,5111010900,강원특별자치도,춘천시,죽림동,,강원특별자치도 춘천시 죽림동 188 호수마을아파트,분양,개별난방,39734.45,1,135.0,경남기업,INF,0332525679,,주상복합,,자치관리,복도식,20020603,0332523937,135,15560.66,38.0,78.0,19.0,0.0,11093.28,16,16,0,3,,37.8770460084334,127.727610926918
A10023722,롯데캐슬위너클래스,5111011100,강원특별자치도,춘천시,약사동,,강원특별자치도 춘천시 약사동 156-1 롯데캐슬위너클래스,분양,지역난방,123397.0,7,873.0,롯데건설,약사촉진3구역제개발정비사업조합,0332431118,https://롯데캐슬위너클래스.apti.co.kr/aptHome/,아파트,강원특별자치도 춘천시 방송길 41,위탁관리,계단식,20240603,0332436667,873,87311.195,255.0,618.0,0.0,0.0,64679.3496,27,27,2,21,24362,37.8719750931743,127.720981418038
A10024074,모아엘가센텀뷰아파트,5111011100,강원특별자치도,춘천시,약사동,,강원특별자치도 춘천시 약사동 77 모아엘가센텀뷰아파트,분양,지역난방,76388.6,5,567.0,혜림건설,약사촉진5구역 주택재건축정비사업조합,0332510567,https://moacentum.com/,아파트,강원특별자치도 춘천시 공지로 400,위탁관리,계단식,20220308,0332560568,567,53670.54,276.0,291.0,0.0,0.0,39835.5019,34,34,3,10,24357,37.8732806462766,127.724047385418
A10025340,코아루웰라움아파트,5111011200,강원특별자치도,춘천시,효자동,,강원특별자치도 춘천시 효자동 823 코아루웰라움아파트,분양,개별난방,20356.436,3,155.0,동서건설,한국토지신탁,0332623328,,아파트,강원특별자치도 춘천시 공지로218번길 26,위탁관리,계단식,20190710,0332623329,155,14625.36,0.0,155.0,0.0,0.0,11196.3325,20,20,2,6,24345,37.8641052238028,127.741357919817
A20009203,동보아파트,5111011200,강원특별자치도,춘천시,효자동,,강원특별자치도 춘천시 효자동 821 동보아파트,분양,개별난방,36529.0,3,687.0,동보건설,동보건설,0332625441,,아파트,강원특별자치도 춘천시 공지로200번길 13,위탁관리,복도식,19990519,0332625442,687,32036.691,687.0,0.0,0.0,0.0,21164.04,13,13,1,8,24343,37.863656118117,127.740382929209
A20009301,일성1차아파트,5111011200,강원특별자치도,춘천시,효자동,,강원특별자치도 춘천시 효자동 819 일성1차아파트,분양,개별난방,21505.0,3,199.0,일성건설,일성건설,0332515335,,아파트,강원특별자치도 춘천시 두하길 22,위탁관리,계단식,19950527,0332515336,199,19271.16,93.0,91.0,15.0,0.0,15175.68,15,15,0,8,24295,37.8760705475911,127.742420067077
A20082901,현진에버빌3차아파트,5111011200,강원특별자치도,춘천시,효자동,,강원특별자치도 춘천시 효자동 462-3 현진에버빌3차아파트,분양,개별난방,99897.26,10,641.0,현진건설,효일재건축,0332543465,hyunjinevervill3.co.kr,아파트,강원특별자치도 춘천시 춘천로 120,위탁관리,계단식,20141030,0332573465,641,74763.98,0.0,523.0,118.0,0.0,57215.018,20,20,2,17,24335,37.874445315838,127.730618404645
A20094802,춘천효자주공8차,5111011200,강원특별자치도,춘천시,효자동,,강원특별자치도 춘천시 효자동 333 춘천효자주공8차,임대,개별난방,31551.0,12,610.0,한국토지주택공사,한국토지주택공사,0332613892,www.kohom.or.kr,아파트,강원특별자치도 춘천시 공지로 234-16,위탁관리,계단식,19910503,0332623891,610,29427.16,610.0,0.0,0.0,0.0,22850.7,5,5,1,0,24344,37.8639481601474,127.739055681651
