kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020351,궁전아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 49-82 궁전아파트,혼합,개별난방,0.0,,170.0,,,033-552-4571,,아파트,강원특별자치도 태백시 문예1길 13,,,19891204,,0,0.0,170.0,0.0,0.0,0.0,6752.4,0,5,0,0,,37.1702922967321,128.988359723187
A10020444,대윤아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 49-87 대윤아파트,분양,개별난방,7295.28,3,130.0,확인안됨,확인안됨,0335527133,,아파트,강원 태백시 고원로167 대윤아파트,자치관리,계단식,19881025,0335527139,130,7292.7,130.0,0.0,0.0,0.0,6289.2,5,5,0,0,,37.1701183074723,128.98994915
A10020502,선명5차아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 621-277 선명5차아파트,분양,개별난방,12454.52,1,130.0,선명주택,선명주택,0335528182,,아파트,강원특별자치도 태백시 장수길 47,위탁관리,복도식,20011030,0335532004,130,11154.0,130.0,0.0,0.0,0.0,7736.807,1,15,0,2,,37.1804666897987,128.985094881164
A10021042,유진3차아트빌아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 676- 유진3차아트빌아파트,분양,개별난방,14158.684,1,124.0,유진건설,유진주택,0335529456,,아파트,강원특별자치도 태백시 번영로 150,위탁관리,계단식,20061220,0335539456,124,12899.19,66.0,43.0,15.0,0.0,9360.3592,1,15,0,4,,37.1571521418873,128.987378894516
A10021314,태백상장청록아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 136-1 태백상장청록아파트,분양,개별난방,5175.0,2,100.0,함태탄광,함태탄광,0335533747,,아파트,강원특별자치도 태백시 태백산로 5134,자치관리,계단식,19911028,,101,5126.76,100.0,0.0,0.0,0.0,4491,1,5,0,0,,37.1455769106964,128.99371501602
A10021506,태백남청아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 74-3 태백남청아파트,분양,개별난방,11646.0,1,116.0,남청주택,신명종합건설(주),0335539112,,아파트,강원특별자치도 태백시 황지남1길 17,자치관리,복도식,19971230,0335539112,116,10758.0,86.0,30.0,0.0,0.0,7662.64,15,15,0,2,,37.1679888876357,128.993979858901
A10021768,태백에코빌아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 847- 태백에코빌아파트,분양,개별난방,17391.0,4,139.0,해밀씨앤디,해밀씨앤디,0335544902,,아파트,강원특별자치도 태백시 대학길 87,위탁관리,계단식,20140603,0335544903,139,15599.79,0.0,139.0,0.0,0.0,11811.908,1,15,0,0,,37.1603483270193,128.976332337586
A10023047,태백 포레스트 애시앙 1단지,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 848 태백 포레스트 애시앙 1단지,임대,개별난방,90428.0,7,650.0,부영건설,부영건설,0335545553,www.booyoung.co.kr,아파트,강원특별자치도 태백시 태붐로 54,위탁관리,계단식,20230808,0335545554,650,90118.04,334.0,316.0,0.0,0.0,46850.8738,28,28,2,16,26019,37.1652080840957,128.988978220356
A10023052,태백 포레스트 애시앙 2단지 사랑으로 부영아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 849 태백 포레스트 애시앙 2단지 사랑으로 부영아파트,임대,개별난방,69541.625,6,576.0,(주)부영주택,(주)부영주택,0335545585,,아파트,강원특별자치도 태백시 고원로 119,위탁관리,계단식,20230808,0335545586,576,45281.26,576.0,0.0,0.0,0.0,34532.064,28,28,2,13,26019,37.1656380804736,128.989949610916
A10028121,대산2차하이츠빌아파트,5119010100,강원특별자치도,태백시,황지동,,강원특별자치도 태백시 황지동 846 대산2차하이츠빌아파트,분양,개별난방,52229.86,6,397.0,대산종합건설,대산주택,0335533901,,아파트,강원특별자치도 태백시 번영로 289,위탁관리,계단식,20140304,0335533902,397,29045.473,186.0,211.0,0.0,0.0,29064.2838,15,15,3,16,26031,37.16898609693,128.985559831439
