kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022809,홍천금호어울림더퍼스트,5172025023,강원특별자치도,홍천군,홍천읍,희망리,강원특별자치도 홍천군 홍천읍 희망리 61-6 홍천금호어울림더퍼스트,분양,개별난방,88995.0,9,580.0,금호건설,한국자산신탁,0334343301,"금호어울림더퍼스트,apti.co.kr/",아파트,강원특별자치도 홍천군 마지기로 141,위탁관리,계단식,20231228,0334343302,580,61948.1,43.0,460.0,77.0,0.0,48666.7026,20,20,6,19,25121,37.6920829750491,127.88741835867
A25080001,홍천 미진1차,5172025023,강원특별자치도,홍천군,홍천읍,희망리,강원특별자치도 홍천군 홍천읍 희망리 43-1 홍천 미진1차,분양,개별난방,17036.75,2,158.0,미진건설,미진건설,07075847653,https://미진1차아파트.apti.co.kt,아파트,강원특별자치도 홍천군 석화로 116,자치관리,복도식,19920526,0334347653,158,17007.602,0.0,158.0,0.0,0.0,12615.09,13,13,0,3,25124,37.6959369038936,127.891224984357
A25080903,미진동백,5172025023,강원특별자치도,홍천군,홍천읍,희망리,강원특별자치도 홍천군 홍천읍 희망리 261-3 미진동백,분양,개별난방,23993.66,2,252.0,주식회사 미진건설,미진건설,0334346792,,아파트,강원특별자치도 홍천군 마지기로 101,위탁관리,복도식,19940416,0334356792,252,23856.34,184.0,57.0,11.0,0.0,16962.08,12,12,1,4,25121,37.6983965205358,127.884509046653
A25092102,홍천신아1차,5172025023,강원특별자치도,홍천군,홍천읍,희망리,강원특별자치도 홍천군 홍천읍 희망리 424 홍천신아1차,분양,개별난방,16339.82,2,287.0,신아건설,신아건설,0334355066,,아파트,강원특별자치도 홍천군 마지기로 110,위탁관리,복도식,19980522,0334355065,287,15042.33,287.0,0.0,0.0,0.0,11172.63,15,15,1,4,25121,37.6993189916464,127.885338670696
A25092103,홍천신아2차아파트,5172025023,강원특별자치도,홍천군,홍천읍,희망리,강원특별자치도 홍천군 홍천읍 희망리 425 홍천신아2차아파트,분양,개별난방,13902.0,2,190.0,(주)신아,(주)신아,0334355063,,아파트,강원특별자치도 홍천군 마지기로 107,자치관리,복도식,19990115,0334365063,190,13454.537,190.0,0.0,0.0,0.0,9877.1,15,15,1,3,25121,37.6992757712035,127.884062539361
A25092104,안정스위트타워,5172025023,강원특별자치도,홍천군,홍천읍,희망리,강원특별자치도 홍천군 홍천읍 희망리 369 안정스위트타워,분양,개별난방,14760.442,1,87.0,스페이스대건종합건설(주),안정실업(주),0334369697,,아파트,강원특별자치도 홍천군 홍천로 321,위탁관리,계단식,20121227,0334369698,100,1037256.9,0.0,86.0,1.0,0.0,6340.785,20,20,3,3,25136,37.6889196781318,127.880757443662
A10020490,LH행복샘마을,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 376-12 LH행복샘마을,임대,개별난방,5528.28,2,100.0,신풍건설,LH,0334338810,,아파트,강원특별자치도 홍천군 큰골길 67,위탁관리,복도식,20241211,0334338809,100,4789.379,100.0,0.0,0.0,0.0,3212.51,9,9,1,2,,37.7021952252083,127.895176465621
A10021717,태림아파트,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 449- 태림아파트,분양,개별난방,14664.0,1,128.0,서울 우진토건(주),서울태림건설(주),0334347491,,아파트,강원특별자치도 홍천군 홍천로 462,자치관리,복도식,19920708,0334347491,128,12834.0,56.0,72.0,0.0,0.0,9437.04,14,14,1,2,,37.6946847062526,127.894801682927
A10022592,극동스타클래스1차,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 559 극동스타클래스1차,분양,개별난방,29832.0,3,210.0,극동건설,야킨과보아스,0334345407,,아파트,강원특별자치도 홍천군 소옥개로 138,위탁관리,혼합식,20240208,0334335408,210,22230.67,0.0,210.0,0.0,0.0,16548.322,20,20,0,6,25128,37.6990248738582,127.906334014362
A10027279,홍천오드카운티아파트,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 549 홍천오드카운티아파트,분양,개별난방,83138.11,8,604.0,동광종합토건(주),동광종합토건(주),0334360048,,아파트,강원특별자치도 홍천군 갈마로11길 33,위탁관리,계단식,20161111,0334360047,604,55387.387,432.0,172.0,0.0,0.0,40526.4381,18,18,2,19,25129,37.6979100529004,127.901608460742
A25080106,홍천갈마곡주공2차,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 222 홍천갈마곡주공2차,분양,개별난방,34193.465,6,464.0,남양,대한주택공사,0334356630,,아파트,강원특별자치도 홍천군 갈마로 26,위탁관리,계단식,20040504,0334356650,464,34026.58,464.0,0.0,0.0,0.0,25440.48,15,15,1,16,25130,37.6924471223274,127.901047073477
A25080109,홍천신성미소지움아파트,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 73 홍천신성미소지움아파트,분양,개별난방,59812.0,8,480.0,신성건설(주),(주)모던하우징,0334329694,,아파트,강원특별자치도 홍천군 갈마로8길 15,위탁관리,계단식,20070514,0334329696,480,58898.1,0.0,360.0,120.0,0.0,44425.08,15,15,0,0,25129,37.694327873516,127.904492111755
A25080113,홍천주공1단지아파트,5172025024,강원특별자치도,홍천군,홍천읍,갈마곡리,강원특별자치도 홍천군 홍천읍 갈마곡리 200 홍천주공1단지아파트,분양,개별난방,56097.37,10,802.0,금호건설,LH,0334336457,"www.kohom.co,kr",아파트,강원특별자치도 홍천군 갈마로 14,위탁관리,혼합식,20010803,0334336458,802,56097.066,802.0,0.0,0.0,0.0,39817.08,15,15,0,12,25130,37.6917586493763,127.899367117165
A25080710,홍천연봉현대아파트,5172025029,강원특별자치도,홍천군,홍천읍,연봉리,강원특별자치도 홍천군 홍천읍 연봉리 468 홍천연봉현대아파트,분양,개별난방,48129.426,5,525.0,현대산업개발(주),현대산업개발(주),0334350886,연봉현대.apti.co.kr,아파트,강원특별자치도 홍천군 연봉중앙로 18,위탁관리,계단식,19960918,0334354321,525,48127.71,285.0,240.0,0.0,0.0,37197.345,15,15,0,18,25144,37.6809301584377,127.874131146851
A25080712,홍천청솔아파트,5172025029,강원특별자치도,홍천군,홍천읍,연봉리,강원특별자치도 홍천군 홍천읍 연봉리 468-1 홍천청솔아파트,분양,개별난방,48764.02,4,627.0,한국토지신탁,한국토지신탁,0334357856,홍천청솔.apti.co.kr,아파트,강원특별자치도 홍천군 연봉서로 46,위탁관리,복도식,20000823,0334357859,627,48761.79,627.0,0.0,0.0,0.0,37500.87,15,15,1,8,25144,37.6800357808639,127.874568986521
A25093004,세영the-조은,5172025029,강원특별자치도,홍천군,홍천읍,연봉리,강원특별자치도 홍천군 홍천읍 연봉리 496 세영the-조은,분양,개별난방,31486.0,5,320.0,세영,홍인씨엔씨,0334330275,,아파트,강원특별자치도 홍천군 남산마을길 13,위탁관리,계단식,20070329,0334330278,320,26446.271,320.0,0.0,0.0,0.0,19192.992,15,15,0,12,25148,37.6850794913125,127.883692664062
A25093011,연봉아이파크,5172025029,강원특별자치도,홍천군,홍천읍,연봉리,강원특별자치도 홍천군 홍천읍 연봉리 497 연봉아이파크,분양,개별난방,53634.992,5,401.0,현대산업개발,현대산업개발,0334329685,,아파트,강원특별자치도 홍천군 남산마을길 13-1,위탁관리,계단식,20061109,0334329684,401,34009.492,0.0,401.0,0.0,0.0,34009.4917,15,15,0,14,25148,37.6846814570183,127.884905378714
A25092101,홍천삼호아파트,5172025030,강원특별자치도,홍천군,홍천읍,하오안리,강원특별자치도 홍천군 홍천읍 하오안리 155 홍천삼호아파트,분양,개별난방,36482.0,4,465.0,삼호건설,삼호건설,0334356390,,아파트,강원특별자치도 홍천군 구시울1길 25,위탁관리,복도식,20001009,0334356391,465,31112.4,465.0,0.0,0.0,0.0,22719.21,15,15,1,4,25117,37.6715956848655,127.855078873972
A25087101,화랑마을,5172036026,강원특별자치도,홍천군,남면,월천리,강원특별자치도 홍천군 남면 월천리 393 화랑마을,사택 및 관사 등,개별난방,31082.21,4,250.0,고려개발,,0334327447,,아파트,강원특별자치도 홍천군 가작골길 6-1,위탁관리,복도식,20130115,0334327704,250,17970.0,30.0,220.0,0.0,0.0,23140.53,15,0,0,9,25108,37.6226715402064,127.772970053277
A10021989,홍천북방 고령자복지주택,5172038037,강원특별자치도,홍천군,북방면,하화계리,강원특별자치도 홍천군 북방면 하화계리 938- 홍천북방 고령자복지주택,임대,개별난방,9065.0,2,128.0,개성건설,한국토지주택공사,0339569919,,아파트,강원특별자치도 홍천군 홍천로 211,위탁관리,계단식,20231206,0339569918,128,3909.92,128.0,0.0,0.0,0.0,3909.92,15,15,1,0,,37.6910238056984,127.869558362451
