kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021070,대동피렌체,4128110100,경기도,고양덕양구,주교동,,경기도 고양덕양구 주교동 615- 대동피렌체,분양,개별난방,20793.023,1,126.0,(주)대동종합건설,KB부동산신탁,0319681331,,주상복합,경기도 고양시 덕양구 호국로 797,위탁관리,복도식,20060228,0319653331,126,20793.023,0.0,124.0,2.0,0.0,10741.68,1,18,5,0,,37.657501694153,126.836497433356
A10021453,세창짜임주상복합아파트,4128110100,경기도,고양덕양구,주교동,,경기도 고양덕양구 주교동 620-5 세창짜임주상복합아파트,분양,개별난방,24007.33,1,109.0,세창짜임주상복합아파트,세창짜임주상복합아파트,0319674452,,주상복합,경기도 고양시 덕양구 호국로 803,위탁관리,복도식,20060919,0318190254,109,16749.89,0.0,76.0,33.0,0.0,9039.87,1,13,0,5,,37.6576875800785,126.837028081906
A10024451,고양원당줌시티,4128110100,경기도,고양덕양구,주교동,,경기도 고양덕양구 주교동 611-1 고양원당줌시티,분양,개별난방,21114.607,1,264.0,대창기업주식회사,한강종합건설(주),0319633300,,주상복합,경기도 고양시 덕양구 마상로126번길 91,위탁관리,계단식,20201021,0319638800,264,6397.3286,264.0,0.0,0.0,0.0,3712.764,15,15,5,3,10461,37.65660941447,126.833890611446
A41201003,주교우인아파트,4128110100,경기도,고양덕양구,주교동,,경기도 고양덕양구 주교동 1633 주교우인아파트,분양,개별난방,42955.1,3,299.0,(주)상우종합건설,"주교동1,2지역주택조합",0318180001,주교우인아크리움3차.ma-um.co.kr,아파트,경기도 고양시 덕양구 마상로57번길 114,위탁관리,계단식,20050517,0319698555,299,33787.0,0.0,299.0,0.0,0.0,25274.8909,20,20,0,9,10297,37.6654304052577,126.834553829241
A41280902,주교벽산,4128110100,경기도,고양덕양구,주교동,,경기도 고양덕양구 주교동 350-1 주교벽산,분양,개별난방,40085.19,3,283.0,벽산건설,벽산건설,0319665643,주교벽산.ma-um.co.kr,아파트,경기도 고양시 덕양구 마상로57번길 58,위탁관리,계단식,19991127,0319665653,283,30684.56,70.0,163.0,50.0,0.0,23743.65,25,25,2,7,10297,37.6646768539797,126.832721338844
A41281001,주교우림루미아트,4128110100,경기도,고양덕양구,주교동,,경기도 고양덕양구 주교동 555 주교우림루미아트,분양,개별난방,23490.68,3,163.0,우림건설,우림건설,0319694311,,아파트,경기도 고양시 덕양구 원당로125번길 6,위탁관리,계단식,20040116,0319694312,163,13815.929,0.0,163.0,0.0,0.0,13816.2712,19,19,1,5,10298,37.6632384133356,126.839247093228
A10020250,힐스테이트 삼송더카운티,4128110300,경기도,고양덕양구,신원동,,경기도 고양덕양구 신원동 591- 힐스테이트 삼송더카운티,분양,개별난방,16831.006,21,107.0,현대건설(주),(주)아산탕정삼송주택개발위탁관리부동산투자회사,0220384204,,도시형 생활주택(연립주택),경기도 고양시 덕양구 신원로 109 (신원동) 힐스테이트 삼송더카운티,위탁관리,기타,20251028,0220384205,107,15458.482,0.0,107.0,0.0,0.0,9094.251,3,2,1,0,,37.6702942561561,126.882658003481
A10026357,신원마을10단지 삼송 동일스위트,4128110300,경기도,고양덕양구,신원동,,경기도 고양덕양구 신원동 661 신원마을10단지 삼송 동일스위트,분양,지역난방,118478.0,7,834.0,(주)동일건설,(주)동일스위트,023813301,신원마을10삼송동일스위트.apti.co.kr,아파트,경기도 고양시 덕양구 신원1로 70,위탁관리,계단식,20180324,023813302,834,80971.12,0.0,834.0,0.0,0.0,60406.2118,25,25,2,19,10570,37.6599941090525,126.886474459749
A10026855,신원마을7단지 동일스위트1차,4128110300,경기도,고양덕양구,신원동,,경기도 고양덕양구 신원동 595 신원마을7단지 동일스위트1차,분양,지역난방,136455.56,8,968.0,(주)동일스위트,(주)동일스위트,023812601,삼송동일스위트1차.apti.co.kr,아파트,경기도 고양시 덕양구 신원2로 50,위탁관리,계단식,20170602,023812603,968,98452.34,0.0,968.0,0.0,0.0,148666.7452,29,29,2,19,10567,37.6666165398033,126.883743148407
A10027395,고양 삼송A 4블럭 신원마을 4단지,4128110300,경기도,고양덕양구,신원동,,경기도 고양덕양구 신원동 616 고양 삼송A 4블럭 신원마을 4단지,임대,지역난방,101698.14,12,1302.0,풍림개발,한국토지주택공사,023810084,,아파트,경기도 고양시 덕양구 신원로 60,위탁관리,복도식,20160901,023810086,1302,101184.195,1302.0,0.0,0.0,0.0,47944.92,18,18,1,0,10568,37.6644491359831,126.888306367056
