kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023864,일산자이 더 헤리티지,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동  일산자이 더 헤리티지,분양,지역난방,224024.83,10,1333.0,GS건설,디에스디삼호(주),0319947223,,아파트,경기도 고양시 일산동구 위시티3로 111,위탁관리,계단식,20220228,0319947224,1333,146434.78,67.0,1149.0,117.0,0.0,225153.32,32,32,2,29,10324,37.6724492157877,126.81003681887
A10024545,일산자이 센트리지아파트,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 852 일산자이 센트리지아파트,분양,지역난방,120788.0,6,802.0,지에스건설(주),디에스디삼호(주),0319943448,,아파트,경기도 고양시 일산동구 위시티3로 110,위탁관리,계단식,20201127,0319943449,802,78138.74,94.0,708.0,0.0,0.0,59105.0355,32,32,2,0,10324,37.6733650280891,126.810240671608
A41077301,위시티일산자이4단지,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1504 위시티일산자이4단지,분양,지역난방,341076.47,12,1288.0,GS건설,삼호DSD,0319697480,cafe.naver.com/ilsanxi4u,아파트,경기도 고양시 일산동구 위시티4로 45,위탁관리,계단식,20100823,0319697483,1288,234312.2,0.0,0.0,644.0,644.0,194822.4082,30,30,2,23,10323,37.6788190237907,126.815878134466
A41077302,위시티일산자이2단지,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1498 위시티일산자이2단지,분양,지역난방,484171.0,18,1975.0,GS건설,DSD삼호,0319671140,isxi2.xisnd.co.kr/,아파트,경기도 고양시 일산동구 위시티4로 46,위탁관리,계단식,20100924,0319690147,1975,342267.3,0.0,0.0,1401.0,574.0,278315.8433,30,30,3,37,10322,37.6841360946767,126.814583702057
A41077303,일산자이주상복합,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1528 일산자이주상복합,분양,지역난방,55010.0,2,176.0,gs,삼호DSD,0319690174,wicityxi.aptner.com,주상복합,경기도 고양시 일산동구 위시티2로11번길 45,위탁관리,계단식,20100920,0319690190,176,27961.307,0.0,0.0,86.0,90.0,23227.6,25,25,3,0,10323,37.6787931966924,126.812636886841
A41077304,위시티블루밍5단지,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1565 위시티블루밍5단지,분양,지역난방,211535.0,8,915.0,(주) 벽산건설,(주)청원건설외,0319620818,http://위시티블루밍5단지.apti.co.kr/,아파트,경기도 고양시 일산동구 위시티1로 7,위탁관리,계단식,20101029,0319620813,915,142856.6,0.0,0.0,685.0,230.0,112884,30,30,3,17,10324,37.6764673836664,126.810868702184
A41077305,위시티일산자이1단지,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1487 위시티일산자이1단지,분양,지역난방,276997.4,11,1244.0,GS건설,DSD삼호,0319697430,,아파트,경기도 고양시 일산동구 위시티4로 80,위탁관리,계단식,20100823,0319697434,1244,199521.47,0.0,304.0,290.0,650.0,161474.9802,30,30,2,23,10321,37.6843795284273,126.810945317628
A41077306,위시티블루밍3단지,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1510 위시티블루밍3단지,분양,지역난방,341425.44,16,1435.0,(주)벽산건설,"(주)청원건설, (주)대양산업개발",0319620224,wicity3.aptner.co.kr/,아파트,경기도 고양시 일산동구 위시티4로 79,위탁관리,계단식,20101029,0319699224,1435,231834.84,0.0,0.0,983.0,452.0,183115.74,30,30,3,34,10325,37.6815962052547,126.807697457933
A41077307,위시티휴먼빌,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 1533 위시티휴먼빌,분양,지역난방,48515.0,2,192.0,일신건영주식회사,일신건영주식회사,0319686554,,주상복합,경기도 고양시 일산동구 위시티2로11번길 11,위탁관리,계단식,20140829,0319686555,192,22846.55,0.0,0.0,188.0,4.0,22846.55,28,28,3,4,10323,37.6774656803409,126.811834587907
A41082001,식사은행마을2단지동문,4128510100,경기도,고양일산동구,식사동,,경기도 고양일산동구 식사동 910 식사은행마을2단지동문,분양,지역난방,79067.44,9,533.0,동문건설(주),우인산업개발(주),0318120013,cafe.naver.com/dmapt2bl,아파트,경기도 고양시 일산동구 은행마을로 62,위탁관리,계단식,20020530,0318120018,533,67892.46,0.0,353.0,180.0,0.0,52912.6628,15,15,0,20,10304,37.6679241118795,126.805978971597
