kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022542,과천리오포레데시앙,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동 41 과천리오포레데시앙,혼합,지역난방,77935.0,7,547.0,태영건설,한국토지주택공사,025047490,https;//glhforet.aptner.com,아파트,경기도 과천시 과천대로12길 86,위탁관리,계단식,20240215,025047491,547,76285.04,547.0,0.0,0.0,0.0,30638.82,36,36,36,12,,37.4148092237096,126.989678602787
A10022631,과천린파밀리에아파트,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동  과천린파밀리에아파트,혼합,지역난방,98516.86,5,659.0,우미건설(주),한국토지주택공사,0236791101,,아파트,경기도 과천시 과천대로2길 11,위탁관리,계단식,20240415,0236791102,659,45521.47,341.0,318.0,0.0,0.0,45521.47,29,29,2,14,13824,37.4077753684919,126.98125004586
A10022791,과천포레드림아파트,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동 599 과천포레드림아파트,임대,지역난방,49537.76,6,605.0,금강종합건설,한국토지주택공사,0234187081,,아파트,경기도 과천시 과천대로1길 15,위탁관리,복도식,20240116,0234187083,609,49227.77,605.0,0.0,0.0,0.0,21173.4,21,21,2,11,13840,37.4074616687394,126.977336845235
A10022794,과천수자인아파트,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동 641 과천수자인아파트,분양,지역난방,28864.4,4,174.0,한양건설,과천개발,0234181044,,아파트,경기도 과천시 중앙로 37,위탁관리(직영+위탁),계단식,20240130,0234181047,174,12558.479,88.0,86.0,0.0,0.0,12558.4781,20,20,5,5,13841,37.4205407502229,126.988346803412
A10023171,과천그랑레브데시앙,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동  과천그랑레브데시앙,혼합,지역난방,61559.0,8,472.0,태영 데시앙,LH,025040127,,아파트,경기도 과천시 과천대로8길 68,위탁관리,계단식,20230616,025040128,472,38688.285,420.0,52.0,0.0,0.0,27910.29,20,20,2,14,13824,37.4096415232188,126.987855223276
A10023180,과천푸르지오오르투스,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동  과천푸르지오오르투스,분양,지역난방,77036.0,4,435.0,대우건설컨소시엄,대우건설,025040435,,아파트,경기도 과천시 과천대로12가길 33,위탁관리,계단식,20230726,025040436,435,45210.1,0.0,435.0,0.0,0.0,33800.8958,29,29,3,10,13824,37.4171209366618,126.987487331634
A10023264,르센토데시앙 아파트,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동  르센토데시앙 아파트,분양,지역난방,102594.0,6,584.0,태영건설(주),태영건설(주),025040584,,아파트,경기도 과천시 과천대로8길 35,위탁관리,계단식,20230417,025040585,584,69190.484,0.0,334.0,250.0,0.0,53705.5544,28,28,2,16,13824,37.4126184791402,126.986888272977
A10023570,과천푸르지오벨라르테,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동 135 과천푸르지오벨라르테,분양,지역난방,95812.16,5,504.0,대우건설컨소시엄,대우건설,0234188890,gcbellarte.aptner.com,아파트,경기도 과천시 과천대로8길 65,위탁관리,계단식,20221026,0234188891,504,57300.582,0.0,369.0,135.0,0.0,44305.157,29,29,0,12,13824,37.4108600916584,126.989078334424
A10023998,과천제이드자이,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동 254-1 과천제이드자이,분양,지역난방,74907.0,7,647.0,GS건설,토지주택공사(LH),0269511612,gcjade@naver.com,아파트,경기도 과천시 과천대로2길 34,위탁관리,계단식,20211224,0269511613,647,49325.23,647.0,0.0,0.0,0.0,36500.99,25,25,2,18,13824,37.4066560811154,126.980999690585
A10024002,과천푸르지오라비엔오아파트,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동  과천푸르지오라비엔오아파트,분양,지역난방,81611.68,7,679.0,대우건설,대우건설,025040678,v2admin.aptner.com/,아파트,경기도 과천시 과천대로8길 15,위탁관리,계단식,20211210,025040679,679,80954.54,0.0,388.0,291.0,0.0,62278.3243,35,35,2,17,13824,37.4125597807189,126.983657344574
A10024885,센트레빌 아스테리움,4129010300,경기도,과천시,갈현동,,경기도 과천시 갈현동 639 센트레빌 아스테리움,분양,개별난방,24904.72,3,100.0,동부건설(주),과천12단지재건축조합,025040430,,아파트,경기도 과천시 중앙로 59,위탁관리,계단식,20200811,025040431,100,12631.54,0.0,62.0,35.0,3.0,9969.62,15,14,3,0,13841,37.4218597065355,126.987906911991
A10024935,과천푸르지오써밋,4129010700,경기도,과천시,중앙동,,경기도 과천시 중앙동 37 과천푸르지오써밋,분양,지역난방,312634.1,32,1571.0,대우건설(주),과천주공1단지재건축사업조합,025041571,https://gcsummit.aptner.com/v2,아파트,경기도 과천시 관문로 106,위탁관리,계단식,20200331,025041572,1571,180157.0,462.0,581.0,473.0,55.0,142759.1703,28,28,3,58,13804,37.4306715013131,126.991256297971
A42780601,과천주공10단지,4129010700,경기도,과천시,중앙동,,경기도 과천시 중앙동 65 과천주공10단지,분양,지역난방,72865.95,26,632.0,삼성종합건설,삼성종합건설,025020001,과천주공10단지.ma-um.co.kr,아파트,경기도 과천시 관문로 166,자치관리,계단식,19840630,025026434,632,72865.95,0.0,132.0,500.0,0.0,68455.43,5,5,0,0,13803,37.4348796052282,126.996356247884
A42780602,과천래미안에코팰리스,4129010700,경기도,과천시,중앙동,,경기도 과천시 중앙동 71 과천래미안에코팰리스,분양,지역난방,101784.02,12,659.0,삼성물산건설부분,과천주공11단지 재건축조합,025070011,래미안에코팰리스.ma-um.co.kr,아파트,경기도 과천시 관문로 151,위탁관리,계단식,20070426,025070069,659,72290.36,172.0,383.0,104.0,0.0,55787.847,15,15,2,25,13802,37.4347065021222,126.993769998212
A10024433,과천위버필드아파트,4129010800,경기도,과천시,원문동,,경기도 과천시 원문동 10 과천위버필드아파트,분양,지역난방,348311.44,21,2128.0,sk건설,과천2단지 주택재건축 정비사업,025027600,www.gcuberfield.com,아파트,경기도 과천시 별양로 11,위탁관리,계단식,20210128,025027070,2128,224354.34,868.0,1011.0,249.0,0.0,224354.34,35,35,3,50,13839,37.4247002030681,126.990268224085
A42703002,과천래미안슈르,4129010800,경기도,과천시,원문동,,경기도 과천시 원문동 4 과천래미안슈르,분양,지역난방,354057.97,48,3143.0,삼성물산,재건축조합,025040551,www.raemiansur.com,아파트,경기도 과천시 별양로 12,위탁관리,계단식,20080812,025040554,3143,354057.97,798.0,1678.0,456.0,211.0,272565.394,25,25,0,89,13835,37.4230461575258,126.993521744239
A10024059,과천자이아파트,4129010900,경기도,과천시,별양동,,경기도 과천시 별양동 52 과천자이아파트,분양,지역난방,380635.28,27,2099.0,GS건설,과천주공6단지주택재건축정비사업조합,0269568108,myapt.xi.co.kr,아파트,경기도 과천시 별양로 110,위탁관리,계단식,20220318,0269568109,2099,229957.19,706.0,845.0,504.0,44.0,173375.4,35,35,3,0,13833,37.4299668603307,126.998554819294
A10025670,과천래미안센트럴스위트,4129010900,경기도,과천시,별양동,,경기도 과천시 별양동 3 과천래미안센트럴스위트,분양,지역난방,93207.82,9,543.0,삼성물산,과천주공7의2단지 주택재건축정비사업조합,025077795,,아파트,경기도 과천시 별양로 163,위탁관리,계단식,20180725,025077796,543,57209.13,224.0,274.0,45.0,0.0,41590.39,25,25,0,19,13836,37.4319228449029,126.996872403408
A42780002,과천주공5단지,4129010900,경기도,과천시,별양동,,경기도 과천시 별양동 6 과천주공5단지,분양,지역난방,109715.55,7,800.0,삼호,대한주택공사,025024911,www.과천5단지.com,아파트,경기도 과천시 별양로 111,자치관리,복도식,19831028,025040813,806,109715.48,0.0,0.0,800.0,0.0,91068,15,15,0,14,13836,37.4298757712223,126.99525478298
A10024479,과천센트럴파크푸르지오써밋,4129011000,경기도,과천시,부림동,,경기도 과천시 부림동 96 과천센트럴파크푸르지오써밋,분양,지역난방,233792.81,15,1317.0,대우건설,과천주공7단지1구역주택재건축정비사업조합,025078801,,아파트,경기도 과천시 별양로 164,위탁관리,계단식,20201221,025078804,1317,147521.27,316.0,752.0,247.0,2.0,109599.45,32,32,2,38,13832,37.4328052462288,126.998862432277
