kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020377,광명센트럴아이파크,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 88-14 광명센트럴아이파크,혼합,개별난방,302415.72,11,1957.0,현대산업개발,광명4R구역 주택재개발정비사업조합,0220606004,,아파트,경기도 광명시 광이로 49,위탁관리,계단식,20251024,0220606005,1957,174093.88,1157.0,792.0,8.0,0.0,128044.8944,36,36,3,0,,37.4817514533933,126.858338072611
A10020862,트리우스광명 아파트,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 790-2 트리우스광명 아파트,혼합,개별난방,472742.62,26,3344.0,"대우건설, 현대엔지니어, 롯데건설",광명재정비촉진지구 2R구역 주택재개발 정비사업 조합,0220608820,홈노크타운,아파트,경기도 광명시 광이로 95,위탁관리,혼합식,20241226,0220608821,3344,301324.03,1982.0,1225.0,137.0,0.0,224388.31,35,35,3,70,,37.4848370853814,126.857173991727
A10021456,중앙하이츠3차아파트,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 374-101 중앙하이츠3차아파트,분양,개별난방,17775.0,1,127.0,중앙산업개발,중앙산업개발(주),0226859679,,아파트,경기도 광명시 광명로848번길 54,위탁관리,복도식,19990902,0226809679,127,13034.123,60.0,67.0,0.0,0.0,9122.62,17,17,2,2,,37.4708965485706,126.851370755633
A10021702,호반써밋그랜드에비뉴아파트,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 373-3 호반써밋그랜드에비뉴아파트,혼합,개별난방,94541.766,11,1051.0,호반건설,광명 10R구역 조합,0221356366,,아파트,경기도 광명시 광화로13번길 9,위탁관리,계단식,20241029,0221356466,1051,94541.766,599.0,452.0,0.0,0.0,69131.58,29,29,3,25,,37.4721724235419,126.850549425676
A10021882,상우3차아파트,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 757- 상우3차아파트,분양,개별난방,0.0,1,128.0,상우건설(주),상우건설(주),0226145274,,아파트,경기도 광명시 광명로775번길 13,자치관리,복도식,19970530,0226145272,128,13306.359,60.0,59.0,9.0,0.0,9203.2,20,20,2,2,,37.4700603227036,126.846716903863
A10022961,광명푸르지오포레나,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 42-42 광명푸르지오포레나,혼합,개별난방,111835.1,14,1187.0,대우건설,광명14R구역 주택재개발조합,0226150967,,아파트,경기도 광명시 새터로 90,위탁관리,계단식,20230919,0226150968,1187,111835.09,558.0,629.0,0.0,0.0,81791.2251,27,27,3,32,14269,37.474260257271,126.855486715882
A10023536,광명푸르지오센트베르아파트,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 322 광명푸르지오센트베르아파트,혼합,개별난방,168059.0,12,1335.0,대우건설,광명제15구역재개발정비사업조합,0220669985,kmprugiocentver,아파트,경기도 광명시 새터로 27,위탁관리,계단식,20221027,0220669986,1335,110562.17,1113.0,222.0,0.0,0.0,81926.3072,37,37,3,0,14275,37.4718443297949,126.85310731712
A10024531,광명아크포레자이위브아파트,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 787-4 광명아크포레자이위브아파트,혼합,,258575.56,19,2104.0,두산위브/GS자이,광명제16R구역주택재개발,0220602715,http://arkfore.aptner.com/,아파트,경기도 광명시 새터로 44-7,위탁관리,혼합식,20210416,0220602716,2104,166690.06,1490.0,614.0,0.0,0.0,126104.6455,29,29,3,44,14272,37.4733596405263,126.85507163685
A42301001,광명팰리스필2차,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 782 광명팰리스필2차,분양,개별난방,22947.67,3,157.0,필건축,럭키재건축주택정비사업조합,0226858041,,아파트,경기도 광명시 새터안로12번길 9,위탁관리,계단식,20070516,0226858042,157,13002.14,0.0,146.0,11.0,0.0,13002.14,15,15,2,8,14271,37.4743159679781,126.857065589385
A42301002,광명현진에버빌,4121010100,경기도,광명시,광명동,,경기도 광명시 광명동 779 광명현진에버빌,분양,개별난방,84095.9,7,657.0,(주)현진,(주)현진,0220605381,광명현진에버빌.apti.co.kr,아파트,경기도 광명시 목감로 88,위탁관리,계단식,20051111,0220605382,657,65031.48,261.0,333.0,63.0,0.0,51248.979,26,26,1,16,14293,37.4758750660431,126.847823689741
