kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021104,김포동양파라곤2차아파트,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 904- 김포동양파라곤2차아파트,분양,개별난방,16537.49,4,133.0,(주)동양건설산업,에이원 플러스개발(주),0319810109,,아파트,경기도 김포시 봉화로 90-13,위탁관리,혼합식,20090625,0319810109,133,16537.26,0.0,97.0,36.0,0.0,12442.4513,9,9,1,0,,37.6241185974121,126.708487651069
A10021336,김포동양파라곤1차,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 902- 김포동양파라곤1차,분양,개별난방,21913.97,3,143.0,(주)신웅주택,동양파라곤,0319882347,,아파트,경기도 김포시 봉화로 90-3,위탁관리,계단식,20060224,0319882348,143,18199.71,0.0,68.0,75.0,0.0,14704.34,9,9,0,0,,37.6227794219032,126.709273798226
A10021460,현대아파트,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 267- 현대아파트,분양,개별난방,12720.0,1,130.0,(주)현대산업개발,(주)남향주택,0319832816,,아파트,경기도 김포시 중구로 93,위탁관리,복도식,19950211,,130,11086.6,60.0,70.0,0.0,0.0,8762.4,10,10,0,0,,37.6287843948847,126.710632135147
A41503002,북변풍년마을영풍,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 832 북변풍년마을영풍,분양,개별난방,49993.0,5,288.0,영풍산업(주),영풍산업(주),0319980311,풍년마을영풍.ma-um.co.kr,아파트,경기도 김포시 김포대로926번길 137,자치관리,계단식,19990503,0319980312,288,40361.7,0.0,0.0,288.0,0.0,34246.18,20,20,1,8,10097,37.6235064006791,126.721324903212
A41503003,북변풍년마을동남,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 816 북변풍년마을동남,분양,개별난방,35570.0,4,292.0,동남건설,동남건설,0319851220,,아파트,경기도 김포시 사우중로73번길 39,위탁관리,계단식,19990304,0319923500,292,30049.72,0.0,292.0,0.0,0.0,24803.6772,20,20,0,8,10097,37.6228664546154,126.720040599804
A41503004,북변풍년마을신일,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 812 북변풍년마을신일,분양,개별난방,66612.87,5,396.0,신일건업,신일건업,0319833836,풍년마을신일.ma-um.co.kr,아파트,경기도 김포시 김포대로926번길 88-27,위탁관리,계단식,19990429,0319843836,396,52047.14,0.0,0.0,396.0,0.0,45822.26,20,20,1,10,10097,37.6231956954354,126.718194784619
A41503005,북변풍년마을삼성,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 806 북변풍년마을삼성,분양,개별난방,84947.0,5,450.0,삼성중공업,삼성중공업,0319844210,풍년마을삼성.ma-um.co.kr,아파트,경기도 김포시 김포대로926번길 46,위탁관리,계단식,20001128,0319844205,450,66240.0,0.0,0.0,210.0,240.0,58651.35,20,20,1,12,10097,37.6248654841357,126.715489175613
A41503007,김포북변대우,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 688 김포북변대우,분양,개별난방,47209.0,6,543.0,대우건설,대우건설,0319823582,북변대우.ma-um.co.kr,아파트,경기도 김포시 봉화로182번길 33,위탁관리,혼합식,19950330,0319823581,543,42815.348,543.0,0.0,0.0,0.0,31601.316,13,13,1,18,10101,37.6292692792486,126.70272116205
A41503008,풍년마을서광신안아파트,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 802 풍년마을서광신안아파트,분양,개별난방,79441.8,8,624.0,신안,(주)서광건설산업,0319825251,,아파트,경기도 김포시 김포대로926번길 15,위탁관리,계단식,19990703,0319825241,624,63947.52,0.0,624.0,0.0,0.0,52877.76,20,20,1,16,10097,37.6256211398982,126.714966683256
A41503009,풍년마을청구한라,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 815 풍년마을청구한라,분양,개별난방,81195.24,15,900.0,한라건설.청구주택,한라건설.청구주택,0319988032,풍년마을청구한라.ma-um.co.kr,아파트,경기도 김포시 사우중로73번길 11,위탁관리,계단식,19981217,0319988033,900,65952.0,900.0,0.0,0.0,0.0,53979,15,15,1,0,10097,37.6208027739377,126.719481978531
A41503010,북변산호,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 690 북변산호,분양,개별난방,84275.0,9,909.0,산호종합건설(주),도일건설(주),0319829268,https://경기김포산호.apti.co.kr,아파트,경기도 김포시 북변1로16번길 34,위탁관리,혼합식,19950603,0319829269,909,72110.97,909.0,0.0,0.0,0.0,54301.19,13,13,1,21,10101,37.6288722746885,126.704106623269
A41571206,북변풍년마을대림,4157010100,경기도,김포시,북변동,,경기도 김포시 북변동 808 북변풍년마을대림,분양,개별난방,54973.0,4,468.0,고려개발(주),고려개발(주),0319826212,풍년대림.apti.co.kr,아파트,경기도 김포시 김포대로926번길 88-36,위탁관리,계단식,19990415,0319826213,468,46357.8,0.0,468.0,0.0,0.0,38467.92,20,20,1,12,10097,37.6230594634349,126.716763497505
A10024689,한강메트로자이 1단지,4157010200,경기도,김포시,걸포동,,경기도 김포시 걸포동 1595 한강메트로자이 1단지,분양,지역난방,223173.8,6,1142.0,GS건설,(주)큰솔,0319889690,,주상복합,경기도 김포시 걸포2로 83,위탁관리,계단식,20200811,0319889691,1142,125781.484,72.0,958.0,112.0,0.0,92620.0238,44,44,4,25,10099,37.6331163992723,126.701050320851
A10024755,한강메트로자이3단지,4157010200,경기도,김포시,걸포동,,경기도 김포시 걸포동 191 한강메트로자이3단지,분양,지역난방,73877.086,4,431.0,GS건설,(주)큰솔,0319960352,hgmetro3.xisnd.co.kr,아파트,경기도 김포시 걸포2로 60,위탁관리,계단식,20200714,0319960353,431,50945.86,0.0,294.0,137.0,0.0,38754.7245,29,29,2,17,10099,37.6371112849879,126.701734715853
A10024763,한강메트로자이2단지 아파트,4157010200,경기도,김포시,걸포동,,경기도 김포시 걸포동 180 한강메트로자이2단지 아파트,분양,지역난방,393938.25,22,2456.0,GS건설,(주)생보부동산신탁,0319965397,v2admin.aptner.com/,아파트,경기도 김포시 걸포2로 74,위탁관리,계단식,20200714,0319965398,2458,263114.38,502.0,1757.0,197.0,0.0,195055.7499,36,36,2,78,10099,37.6368390850699,126.700662208211
