kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020553,힐스테이트 소사역아파트,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 65-2 힐스테이트 소사역아파트,분양,개별난방,111605.195,4,629.0,현대엔지니어링,(주)엠케이개발,0323434502,,주상복합,경기도 부천시 소사구 경인옛로 37,위탁관리,계단식,20250627,0323434503,629,71468.02,0.0,629.0,0.0,0.0,53048.8297,49,49,6,10,,37.4816616139654,126.795997639138
A10021536,현대프라힐스소사역더프라임,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 70-6 현대프라힐스소사역더프라임,분양,개별난방,21259.0,2,160.0,현대아산,한송건설산업,0323499970,,주상복합,경기도 부천시 소사구 경인로348번길 12,위탁관리,기타,20240628,0323499971,160,16204.313,0.0,160.0,0.0,0.0,11911.738,29,29,5,2,,37.481771739706,126.794192305646
A10022436,소새울역신일해피트리아파트,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 427 소새울역신일해피트리아파트,분양,개별난방,15368.0,2,118.0,(주)신일,로얄연립가로주택정비사업조합,07073577121,,아파트,경기도 부천시 소사구 소사로134번길 14,위탁관리,계단식,20211119,07073577121,119,15159.94,90.0,28.0,0.0,0.0,6972.48,15,15,2,0,,37.4701871101786,126.79700168748
A10022807,소사역 한라비발디 프레스티지,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 70-12 소사역 한라비발디 프레스티지,분양,개별난방,28187.4,2,166.0,HL디앤아이한라(주),HL디앤아이한라(주),0323417781,,주상복합,경기도 부천시 소사구 경인로348번길 15,위탁관리,계단식,20240115,0323417782,166,11874.3,0.0,166.0,0.0,0.0,11874.3,36,36,5,3,14704,37.4817441910187,126.794515625209
A10023377,부천소사현진에버빌아파트,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 212-4 부천소사현진에버빌아파트,분양,개별난방,24039.082,4,170.0,"현진에버빌(주),(주)미동이앤씨",신한자산신탁(주),0327107626,,아파트,경기도 부천시 소사구 호현로 385,위탁관리,계단식,20230213,0327107627,170,14776.307,48.0,115.0,7.0,0.0,11711.9367,19,19,2,8,14757,37.4717056812348,126.791063189631
A10024871,부천한신더휴메트로,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 70-16 부천한신더휴메트로,분양,개별난방,41551.992,2,299.0,한신공영(주),한국자산신탁(주),0323427285,,주상복합,경기도 부천시 경인옛로 25,위탁관리,계단식,20200429,0323427286,299,41551.91,223.0,76.0,0.0,0.0,18302.222,41,41,6,4,14704,37.4818347927871,126.794907702402
A42223002,소사주공3단지,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 407-1 소사주공3단지,분양,개별난방+기타,31735.0,4,348.0,양우건설,한국토지주택공사 인천지역본부,0323422692,,아파트,경기도 부천시 소사동로 100,위탁관리,계단식,20060608,0323422693,348,20688.6,348.0,0.0,0.0,0.0,20688.6,20,20,1,10,14776,37.4736716724124,126.804972785405
A42223003,부천소사역푸르지오,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 133-12 부천소사역푸르지오,분양,개별난방,131821.1,9,797.0,대우건설,골드c&d,0323461197,소사역prugio.apti.co.kr,아파트,경기도 부천시 소삼로 47,위탁관리,계단식,20121105,0323461198,798,89151.664,166.0,462.0,169.0,0.0,69959.556,30,30,2,19,14694,37.4798214720907,126.797350757508
A42270606,소사양우,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 323 소사양우,분양,개별난방,25866.246,3,244.0,양우건설,양우지역조합,0323513500,소사양우아파트.ma-um.co.kr,아파트,경기도 부천시 소사로126번길 18,자치관리,계단식,20030822,0323513509,244,25812.76,0.0,244.0,0.0,0.0,20685.53,23,23,1,0,14770,37.4699791915308,126.797915307693
A42270607,소사풍림,4119410100,경기도,부천소사구,소사본동,,경기도 부천소사구 소사본동 401-7 소사풍림,분양,개별난방,87023.0,7,714.0,풍림산업(주),풍림산업(주),0323466612,풍림아파트.ma-um.co.kr,아파트,경기도 부천시 소사로78번길 42,위탁관리,계단식,19960916,0323466613,714,78097.32,0.0,714.0,0.0,0.0,60525.78,19,19,0,20,14774,37.4645300477695,126.802003340112
