kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025569,효행복마을아파트,4119610100,경기도,부천오정구,오정동,,경기도 부천오정구 오정동 415-4 효행복마을아파트,분양,개별난방,4928.0,1,150.0,효종합건설,소망건설,0326745540,,아파트,경기도 부천시 오정로211번길 73,위탁관리,복도식,20130613,0326745541,154,4311.82,149.0,1.0,0.0,0.0,2668.607,10,10,1,2,14441,37.5298178020608,126.780794451272
A42117003,오정휴먼시아2단지,4119610100,경기도,부천오정구,오정동,,경기도 부천오정구 오정동 726 오정휴먼시아2단지,분양,지역난방,70391.74,9,501.0,이수건설,대한주택공사,0326710756,오정휴먼시아2단지.aptgate.co.kr,아파트,경기도 부천시 오정로 253,위탁관리,계단식,20061017,0326710757,501,70036.27,0.0,334.0,165.0,2.0,46822.65,15,15,1,18,14442,37.5316163545072,126.78818790355
A42117004,오정휴먼시아3단지,4119610100,경기도,부천오정구,오정동,,경기도 부천오정구 오정동 732 오정휴먼시아3단지,분양,지역난방,52283.996,8,550.0,이수건설,LH한국토지공사,0326818537,오정휴먼시아3단지.ma-um.co.kr,아파트,경기도 부천시 오정로 289,위탁관리,계단식,20060706,0326818538,550,52283.617,550.0,0.0,0.0,0.0,32030.32,15,15,1,19,14402,37.5333732983313,126.787482825767
A42117005,오정휴먼시아1단지,4119610100,경기도,부천오정구,오정동,,경기도 부천오정구 오정동 717 오정휴먼시아1단지,분양,지역난방,72670.63,9,612.0,LH,주공,0326760163,오정휴먼시아1단지.ma-um.co.kr,아파트,경기도 부천시 오정로251번길 39,위탁관리,계단식,20061017,0326760164,612,72244.46,174.0,438.0,0.0,0.0,47540.82,15,15,1,21,14442,37.5301372161497,126.781382949297
A42181401,오정창보,4119610100,경기도,부천오정구,오정동,,경기도 부천오정구 오정동 373 오정창보,분양,개별난방,34717.0,5,290.0,창보종합건설,창보종합건설,0326765364,창보.ma-um.co.kr,아파트,경기도 부천시 오정로 245,위탁관리,복도식,19991113,0326765365,290,28237.586,66.0,224.0,0.0,0.0,21717.57,6,6,1,5,14442,37.5298461718551,126.784755884332
A42181402,오정세종2차,4119610100,경기도,부천오정구,오정동,,경기도 부천오정구 오정동 179 오정세종2차,분양,개별난방,40525.55,5,384.0,세종건설(주),세종건설(주),0326766594,,아파트,경기도 부천시 오정로252번길 41,위탁관리,복도식,19950822,0322186594,384,35801.84,162.0,222.0,0.0,0.0,28011.87,6,6,1,8,14434,37.529510152552,126.788425444661
A10020981,여월동 영화아파트,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 2-15 여월동 영화아파트,분양,개별난방,10077458.0,2,105.0,영화건설,영화건설,0212341234,,아파트,경기도 부천시 오정구 삼작로339번길 6,자치관리,복도식,19901206,0212341234,105,9226.53,55.0,50.0,0.0,0.0,6621.75,5,5,1,0,,37.5205895717912,126.799717889878
A10021051,브라운스톤 여월,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 9-28 브라운스톤 여월,분양,개별난방,19216.7,3,142.0,이수건설(주),LH참여형가로주택정비조합,0326721533,LH참여형가로주택정비조합,아파트,경기도 부천시 오정구 성곡로28번길 43,위탁관리,계단식,20231228,0326721566,142,15462.341,85.0,57.0,0.0,0.0,8608.91,13,13,2,6,,37.5177453928529,126.802723863227
A10021980,월산장미아파트,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 2-16 월산장미아파트,분양,개별난방,9914.0,2,105.0,월산장미,월산장미,0326788812,,아파트,경기도 부천시 오정구 삼작로 349,자치관리,복도식,19920711,0326788812,105,6969.15,37.0,68.0,0.0,0.0,6969.15,5,5,1,0,,37.5202132959309,126.80066616202
A42122001,여월휴먼시아3단지,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 340 여월휴먼시아3단지,분양,지역난방,122728.0,13,899.0,"진흥, 풍림",LH공사,0326843138,여월휴먼시아3단지.ma-um.co.kr,아파트,경기도 부천시 길주로573번길 37,위탁관리,계단식,20071120,0326843139,899,122044.8,0.0,899.0,0.0,0.0,75679.77,15,15,1,34,14479,37.5098147341067,126.804219955682
A42122002,여월휴먼시아1단지,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 296 여월휴먼시아1단지,임대,지역난방,88764.0,13,1044.0,경남건설,LH,0326739127,여월휴먼시아1단지.apti.co.kr,아파트,경기도 부천시 소사로 639,위탁관리,혼합식,20071123,0326739129,1044,46674.0,1044.0,0.0,0.0,0.0,47549.93,13,13,1,27,14485,37.5149186483517,126.798753722482
A42182801,여월휴먼시아2단지,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 320 여월휴먼시아2단지,임대,지역난방,66435.0,12,781.0,한국토지주택공사,(주)신일건업,0326843384,여월휴먼시아2단지.apti.co.kr/,아파트,경기도 부천시 여월로 65,위탁관리,혼합식,20071123,0326843385,781,35766.46,781.0,0.0,0.0,0.0,35766.46,13,13,1,0,14474,37.5137247722969,126.803758885278
A42182802,여월휴먼시아4단지,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 313 여월휴먼시아4단지,분양,지역난방,36430.54,6,244.0,(주)대방건설,한국토지주택공사,0326742386,,아파트,경기도 부천시 길주로561번길 124,위탁관리,계단식,20100630,0326742387,244,36260.434,0.0,244.0,0.0,0.0,20706.22,13,13,2,12,14479,37.5101306284191,126.801897769153
A42182803,여월휴먼시아5단지,4119610200,경기도,부천오정구,여월동,,경기도 부천오정구 여월동 316 여월휴먼시아5단지,분양,지역난방,72016.33,11,334.0,요진건설외 다수,LH(토지주택공사),0326783278,cafe.naver.com/yw5,아파트,경기도 부천시 여월로 27,위탁관리,계단식,20100630,0326783279,334,71671.055,0.0,0.0,222.0,112.0,41000.56,12,12,1,0,14474,37.5109356295922,126.80138802216
A10021587,로얄아파트,4119610300,경기도,부천오정구,작동,,경기도 부천오정구 작동 5- 로얄아파트,분양,개별난방,15461.0,4,220.0,유림주택,유림주택,0326840372,,아파트,경기도 부천시 오정구 성지로 8,자치관리,계단식,19901231,0326840371,220,14720.0,220.0,0.0,0.0,0.0,11204.2,5,5,0,0,,37.5206206406061,126.81300788984
A10024280,동도센트리움까치울숲,4119610300,경기도,부천오정구,작동,,경기도 부천오정구 작동 5-1 동도센트리움까치울숲,분양,개별난방,22654.79,8,238.0,동도건설(주),동도디엔씨(주),0326750103,,아파트,경기도 부천시 삼작로 465,위탁관리,계단식,20210524,0326750304,238,22654.79,0.0,238.0,0.0,0.0,17849.89,13,13,1,10,14468,37.5195884260097,126.813389640691
A10020187,원종휴튼3단지,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 105-4 원종휴튼3단지,임대,개별난방,21988.51,2,323.0,(주)남양건설,한국토지주택공사,0326711236,,아파트,경기도 부천시 오정구 원일로 28,위탁관리,복도식,20260324,0326711237,323,21596.139,228.0,0.0,95.0,0.0,21596.139,14,0,2,0,,37.5303719055265,126.800669338013
A10021022,승윤노블리안아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 474- 승윤노블리안아파트,분양,개별난방,17365.6,1,136.0,(주)승윤종합건설,(주)승윤종합건설,0326733350,,아파트,경기도 부천시 오정구 소사로 809,위탁관리,계단식,20220530,,0,0.0,64.0,72.0,0.0,0.0,7938.09,1,14,0,0,,37.5283615366662,126.804570622977
A10021247,동진아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 180-3 동진아파트,분양,개별난방,14704.0,3,250.0,동진주택,동진주택,0326739040,,아파트,경기도 부천시 오정구 고강로24번길 14,자치관리,계단식,19871103,0326739040,250,14600.55,250.0,0.0,0.0,0.0,9911.7,5,5,1,0,,37.5310038682682,126.807182380506
A10021258,삼덕진주아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 336-2 삼덕진주아파트,분양,개별난방,6724040200.0,1,110.0,삼덕건설,삼덕건설,0326731543,,아파트,경기도 부천시 오정구 고강로56번길 16-16,자치관리,계단식,19860823,0326731543,110,6943.465,110.0,0.0,0.0,0.0,4522.5,5,5,1,0,,37.5298182449055,126.809851446099
A10021360,동문굿모닝힐아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 121 동문굿모닝힐아파트,분양,개별난방,26189.0,6,216.0,동문건설(주),동문건설(주),0326765930,,아파트,경기도 부천시 오정구 상오정로182번길 21,자치관리,계단식,19980730,0326765940,216,20538.0,72.0,120.0,24.0,0.0,16991.04,6,6,1,0,,37.5290012678489,126.798735466027
A10021474,부천해주2차아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 171- 부천해주2차아파트,분양,개별난방,11627.0,2,119.0,(주)에코프랜드,주은부동산 신탁,0326735754,,아파트,경기도 부천시 오정구 소사로 828,자치관리(직영),혼합식,20030623,0326735754,119,11551.47,14.0,105.0,0.0,0.0,9413.25,10,10,1,0,,37.5295137479788,126.805724751382
A10021476,브라운스톤 원종,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 475- 브라운스톤 원종,혼합,개별난방,15142.0,2,137.0,(주)이수건설,부천원종엘에이치참여형가로주택정비사업조합,0326823455,,아파트,경기도 부천시 오정구 원종로93번길 39,위탁관리,혼합식,20221021,,137,14940.59,104.0,33.0,0.0,0.0,8027.47,1,13,1,0,,37.5261406484242,126.809694481468
A10021986,원종동 해주아파트 1차,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 262-3 원종동 해주아파트 1차,분양,개별난방,16088.0,3,118.0,해주건설산업(주),해주건설산업(주),0326819092,,아파트,경기도 부천시 오정구 소사로 814,위탁관리,혼합식,19980702,0326825325,118,13012.4,40.0,60.0,18.0,0.0,9524.16,6,6,1,5,,37.5286418566433,126.805893204577
A10022070,미성아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 352- 미성아파트,분양,개별난방,11623.0,7,296.0,미성건축,미성건축,0326740361,,,경기도 부천시 오정구 까치로124번길 50,자치관리,계단식,19830209,,296,4624.0,296.0,0.0,0.0,0.0,11622.72,4,4,1,0,,37.5168705114034,126.808355555824
A10022251,더원 루미에르,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 476- 더원 루미에르,분양,개별난방,0.0,2,110.0,(주)더원종합건설,명신아파트가로주택,07047945051,,아파트,경기도 부천시 오정구 성오로 74,위탁관리,계단식,20221114,07047915051,116,13111.82,70.0,40.0,0.0,0.0,6042.3,11,11,2,4,,37.520449534359,126.801305341982
A10024797,원종길성그랑프리텔,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 284-3 원종길성그랑프리텔,분양,개별난방,18452.24,3,155.0,(주)길성종합건설,(주)길성종합건설,0326738881,,도시형 생활주택(주상복합),경기도 부천시 소사로748번길 29,위탁관리,혼합식,20200305,0326738882,155,15673.46,90.0,65.0,0.0,0.0,9550.38,14,14,0,6,14424,37.5232731876783,126.806408256254
A10026107,동문아파트,4119610400,경기도,부천오정구,원종동,,경기도 부천오정구 원종동 70-1 동문아파트,분양,개별난방,32730.0,6,280.0,동문건설(주),동문건설(주),0326748464,,아파트,경기도 부천시 소사로 835,자치관리(직영),혼합식,19900707,0326738464,280,31404.98,0.0,280.0,0.0,0.0,21799.5,5,5,1,0,14425,37.5300190774874,126.803792117305
