kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022953,노루마을 건영빌라,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 113 노루마을 건영빌라,분양,지역난방,13978.12,7,144.0,건영건설,건영건설,0316024413,,아파트,경기도 성남시 분당구 서현로 471,위탁관리,계단식,19950116,0317024413,144,13978.12,24.0,120.0,0.0,0.0,11620.32,4,4,1,0,13580,37.3719572973759,127.14767763946
A10026832,풍림아이원빌라,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 92 풍림아이원빌라,분양,지역난방,8398.119,3,35.0,동삼건영(주),동삼건영(주),0317036903,,연립주택,경기도 성남시 분당구 장안로51번길 6,위탁관리,계단식,20021028,0317036903,35,8389.85,0.0,0.0,35.0,0.0,4591.3735,3,3,0,6,13583,37.3714392557621,127.144796979257
A46374703,분당샛별마을동성,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 35 분당샛별마을동성,분양,지역난방,72940.25,9,582.0,동성건설,동성건설,0317016001,샛별마을동성.ma-um.co.kr,아파트,경기도 성남시 분당구 분당로 212,위탁관리,혼합식,19920630,0317046004,582,59998.32,120.0,360.0,102.0,0.0,49115.28,20,20,0,18,13581,37.3716222594686,127.132494092241
A46374805,분당샛별마을라이프,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 34 분당샛별마을라이프,분양,지역난방,99465.7,9,796.0,라이프주택개발(주),라이프주택개발(주),0317014724,,아파트,경기도 성남시 분당구 분당로 190,위탁관리,혼합식,19920609,0317029881,796,71767.02,112.0,490.0,154.0,40.0,71765.08,25,25,1,21,13581,37.3746641082189,127.130396320607
A46374904,분당샛별마을삼부,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 39 분당샛별마을삼부,분양,지역난방,64048.094,14,588.0,삼부토건(주),삼부토건(주),0317014717,apti.co.kr,아파트,경기도 성남시 분당구 수내로 201,위탁관리,계단식,19920709,0317023190,588,49730.48,130.0,358.0,100.0,0.0,49730.48,25,25,1,18,13581,37.3714677127351,127.129749649729
A46375006,분당샛별마을우방,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 38 분당샛별마을우방,분양,지역난방,112679.0,12,811.0,주식회사 우방,우방주택,0317026976,샛별마을우방.apti.co.kr,아파트,경기도 성남시 분당구 수내로 181,자치관리,혼합식,19940321,0317015809,811,97605.43,147.0,316.0,312.0,36.0,78746.72,20,20,0,22,13581,37.3729528580888,127.127859802276
A46383201,분당건영두산빌라,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 95 분당건영두산빌라,분양,지역난방,30249.0,10,224.0,(주)건영두산빌라,(주)건영두산빌라,0317034137,건영두산빌라.ma-um.co.kr,연립주택,경기도 성남시 분당구 장안로 67,위탁관리,계단식,19941228,0317043334,224,20577.031,80.0,144.0,0.0,0.0,17010.4,4,4,0,0,13583,37.3723901832315,127.145249494523
A46383202,분당장안타운한신라이프,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 96 분당장안타운한신라이프,분양,지역난방,27506.0,10,264.0,한신 라이프,한신라이프,0317022355,,연립주택,경기도 성남시 분당구 분당로263번길 68,위탁관리,계단식,19941130,0317081245,264,24859.633,0.0,264.0,0.0,0.0,20749.08,4,4,0,0,13583,37.3738034229316,127.142673136459
A46390707,분당장안타운건영2차,4113510100,경기도,성남분당구,분당동,,경기도 성남분당구 분당동 68 분당장안타운건영2차,분양,지역난방,237073.33,27,1688.0,건영,건영,0317024017,bdk2.apti.co.kr,아파트,경기도 성남시 분당구 분당로263번길 24,위탁관리,혼합식,19931227,0317024019,1688,200746.14,208.0,846.0,522.0,112.0,161033.96,20,20,1,50,13583,37.3706450074757,127.139545493411
A10023883,분당지웰푸르지오,4113510200,경기도,성남분당구,수내동,,경기도 성남분당구 수내동 1-1 분당지웰푸르지오,분양,지역난방,65032.97,2,166.0,대우건설,(주)대농,0317182101,,주상복합,경기도 성남시 분당구 수내로 39,위탁관리,계단식,20220223,0317182102,166,23190.389,0.0,20.0,146.0,0.0,17601.6122,28,28,3,4,13594,37.3817905431019,127.117264032306
