kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020887,한빛 스위티 아파트,4113310100,경기도,성남중원구,성남동,,경기도 성남중원구 성남동 4031- 한빛 스위티 아파트,분양,개별난방,26270.3,1,123.0,hb건설(주),hb건설(주),0317215611,무,주상복합,경기도 성남시 중원구 성남대로1130번길 26,위탁관리,복도식,20050119,0317215611,123,11788.798,7.0,116.0,0.0,0.0,9548.27,1,12,5,3,,37.4305492308754,127.132455179228
A10024340,성남 금오아파트,4113310100,경기도,성남중원구,성남동,,경기도 성남중원구 성남동 3747 성남 금오아파트,분양,개별난방,11353.344,1,90.0,금오건설(주),이노건설(주),0317586697,,아파트,경기도 성남시 중원구 광명로42번길 23,위탁관리,계단식,20010925,0317586697,90,8836.34,7.0,83.0,0.0,0.0,6957.379,12,12,1,4,13368,37.4319028434225,127.134752669519
A10026737,성남여수 LH1단지,4113310100,경기도,성남중원구,성남동,,경기도 성남중원구 성남동  성남여수 LH1단지,임대,지역난방,41846.56,7,658.0,남양건설,한국토지공사,0317238866,,아파트,경기도 성남시 중원구 둔촌대로63번길 11,위탁관리,복도식,20170801,0317238822,659,41754.42,658.0,0.0,0.0,0.0,21602.7,14,14,1,16,13374,37.4323526881447,127.125194717025
A46270703,성남동어울림아파트,4113310100,경기도,성남중원구,성남동,,경기도 성남중원구 성남동 3126 성남동어울림아파트,분양,개별난방,71200.05,11,507.0,금호건설(주),금호건설(주),0317588005,,아파트,경기도 성남시 중원구 둔촌대로171번길 6,위탁관리,계단식,20060829,0317588009,507,54575.7,108.0,312.0,87.0,0.0,42962.88,15,15,1,18,13371,37.4309630912986,127.137716969875
A46273302,성남현대,4113310100,경기도,성남중원구,성남동,,경기도 성남중원구 성남동 3121 성남현대,분양,지역난방,32457.64,2,375.0,현대산업개발,동양전자조합,0317589834,,아파트,경기도 성남시 중원구 둔촌대로 193,위탁관리,혼합식,19921010,0317589835,375,32456.1,135.0,240.0,0.0,0.0,24699.6,15,15,1,7,13371,37.4292535271696,127.140983340882
A46282401,보미리전빌,4113310100,경기도,성남중원구,성남동,,경기도 성남중원구 성남동 2508 보미리전빌,분양,개별난방,8843.0,1,150.0,(주)보미,(주)알파종합건축사사무소,0317217979,,주상복합,경기도 성남시 중원구 광명로 114,자치관리,복도식,20030513,0317557999,150,7707.73,146.0,4.0,0.0,0.0,5409.35,12,12,1,1,13361,37.4360128529784,127.141363811673
A10023496,이편한세상 금빛그랑메종2단지,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 1003 이편한세상 금빛그랑메종2단지,분양,지역난방,61208.0,4,443.0,대림,LH,03180397366,https://smarthome.apt.co.kr,아파트,경기도 성남시 중원구 금광로 26,위탁관리,계단식,20230629,03180397367,443,36786.844,316.0,127.0,0.0,0.0,27736.79,22,22,5,0,13190,37.4431024996503,127.16265170113
A10023498,e편한세상금빛그랑메종3단지,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 1008 e편한세상금빛그랑메종3단지,분양,지역난방,110136.0,6,784.0,대림건설,LH경기지역본부,0317318548,,아파트,경기도 성남시 중원구 금광로 40,위탁관리,계단식,20230629,0317318549,784,65386.8,609.0,175.0,0.0,0.0,48344.9,25,25,7,3,13194,37.4435880362709,127.164294595138
A10023503,e편한세상금빛그랑메종1단지아파트,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 1001 e편한세상금빛그랑메종1단지아파트,분양,지역난방,163319.7,9,1135.0,디엘이앤씨,한국토지주택공사,0317311100,,아파트,경기도 성남시 중원구 금광로 11,위탁관리,계단식,20230629,0317311101,1135,103529.88,466.0,669.0,0.0,0.0,79995.09,29,29,7,29,13191,37.442960644558,127.159571028887
A10023504,e편한세상금빛그랑메종4단지아파트,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 1016 e편한세상금빛그랑메종4단지아파트,분양,지역난방,135399.72,8,948.0,DLE&C,한국토지주택공사,0317314400,금빛그랑메종.apt.co.kr,아파트,경기도 성남시 중원구 금광로 71,위탁관리,계단식,20230629,0317314401,948,85718.77,477.0,471.0,0.0,0.0,66688.6,29,29,6,0,13188,37.4449952439451,127.166480621712
A10023514,이편한세상 금빛그랑메종 6단지,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 1009 이편한세상 금빛그랑메종 6단지,임대,지역난방,94161.94,4,908.0,DL이앤씨,한국토지주택공사,0317330222,,아파트,,위탁관리,복도식,20230629,0317330223,908,93525.734,908.0,0.0,0.0,0.0,41672.01,24,24,6,8,13189,37.4442146662575,127.162945888787
A10023525,e편한세상 금빛 그랑메종5단지 아파트,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 1020 e편한세상 금빛 그랑메종5단지 아파트,분양,지역난방,150909.14,8,1102.0,대림건설,광인산업(주),0317345500,,아파트,경기도 성남시 중원구 금광로 72,위탁관리,계단식,20230629,0317345501,1102,99238.22,541.0,561.0,0.0,0.0,77392.49,29,29,3,25,13187,37.4444973311329,127.167890962221
A10023752,성남 중원구 금광동현대아파트,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 2627 성남 중원구 금광동현대아파트,분양,개별난방,12575.0,2,124.0,현대건설,현대건설,0317450725,,아파트,,위탁관리,혼합식,19941004,0317470726,124,11854.518,52.0,72.0,0.0,0.0,8655.12,13,13,0,4,,37.4480640921456,127.170464966536
A10024360,한양수자인 성남마크뷰,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 2600 한양수자인 성남마크뷰,분양,개별난방,80412.61,7,711.0,한양건설,금광3구역주택재건축정비사업조합,0317362622,,아파트,경기도 성남시 중원구 광명로 411,위탁관리,계단식,20210217,0317362623,711,53574.355,665.0,46.0,0.0,0.0,38855.7237,25,25,4,22,13175,37.4475990749112,127.170530474638
A46270102,황송마을아파트,4113310300,경기도,성남중원구,금광동,,경기도 성남중원구 금광동 2450-1 황송마을아파트,분양,개별난방,70391.44,11,990.0,삼익주택,성남시,0317346415,,아파트,경기도 성남시 중원구 황송로 6,위탁관리,복도식,19931019,0317346426,990,70203.87,990.0,0.0,0.0,0.0,49480.2,15,15,1,3,13186,37.4446993752825,127.169694766708
