kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10027871,수원역센트럴어반시티,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1280 수원역센트럴어반시티,분양,지역난방,149022.77,17,1019.0,삼호건설,LH,0312351877,www.swct3.net,아파트,경기도 수원시 권선구 세권로 1,위탁관리,계단식,20150729,0312351977,1019,117901.78,56.0,857.0,106.0,0.0,88793.02,15,15,2,34,16593,37.2606419230684,127.00670206966
A10027921,수원역센트럴타운아파트,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1270 수원역센트럴타운아파트,혼합,지역난방,79628.0,8,800.0,한신공영(주),한국토지주택공사,0312240027,https://suwonct.aptner.com/v2,아파트,경기도 수원시 권선구 세류로 39,위탁관리,혼합식,20150729,0312370027,800,55296.53,800.0,0.0,0.0,0.0,38959.58,15,15,3,17,16592,37.262817137928,127.006557060998
A10027961,수원역해모로아파트,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1260 수원역해모로아파트,분양,지역난방,119595.28,15,863.0,한국토지주택공사,한국토지주택공사,0312674471,수원역해모로.apti.co.kr,아파트,경기도 수원시 권선구 세류로 60,위탁관리,계단식,20150729,0312674472,863,91758.89,180.0,627.0,56.0,0.0,70687.8,15,15,3,28,16459,37.2645645102515,127.009493663104
A44111001,세류한라녹턴,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1248 세류한라녹턴,분양,개별난방,26534.77,3,195.0,한라산업개발,한라산업개발,0318920001,,아파트,경기도 수원시 권선구 세지로 35,위탁관리,계단식,20060727,0318928830,195,18780.014,0.0,176.0,19.0,0.0,15052.47,10,10,2,10,16578,37.2554183006616,127.015434481908
A44174403,세류성원,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 141 세류성원,분양,개별난방,45745.02,3,366.0,성원건설,성원건설,0312241736,세류성원.ma-um.co.kr,아파트,경기도 수원시 권선구 정조로 618,위탁관리,혼합식,19960429,0312247801,366,37428.0,180.0,114.0,72.0,0.0,30070.668,12,12,0,10,16574,37.2634818820092,127.015673434484
A44175402,세류미영,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1147 세류미영,분양,개별난방,38736.8,9,600.0,미영건설,미영건설,0312383443,,아파트,경기도 수원시 권선구 정조로 432,자치관리,계단식,19880620,0312347939,600,38736.8,528.0,72.0,0.0,0.0,28742.4,4,4,0,0,16658,37.2481961056222,127.014457371737
A44175403,권선데시앙,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1249 권선데시앙,분양,개별난방,35981.0,4,222.0,태영건설,삼능개발,0312382557,,아파트,경기도 수원시 권선구 세권로36번길 17,위탁관리,계단식,20090909,0312382555,222,26841.0,0.0,171.0,51.0,0.0,20768.8686,13,13,1,8,,37.2581569901048,127.008660256802
A44175501,세류현대,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 846-1 세류현대,분양,개별난방,28102.92,4,276.0,현대산업개발,현대산업개발,0312373389,,아파트,경기도 수원시 권선구 세지로 97,위탁관리,계단식,19900430,0312373387,276,28102.92,0.0,276.0,0.0,0.0,22042.44,10,10,0,14,16577,37.2604790224291,127.01729421538
A44175502,세류삼익,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 840 세류삼익,분양,개별난방,44619.05,6,344.0,주식회사 삼익주택,"영진,삼양연립 재건축조합",0312231933,세류삼익.ma-um.co.kr,아파트,경기도 수원시 권선구 세지로 99,위탁관리,계단식,19990715,0312231934,344,27809.049,136.0,138.0,70.0,0.0,27809.22,12,12,0,15,16577,37.2611804664404,127.017414885806
A44175503,수원권선어울림아파트,4111312600,경기도,수원권선구,세류동,,경기도 수원권선구 세류동 1255 수원권선어울림아파트,분양,개별난방,32310.0,3,160.0,금호건설,세류종합시장 조합,0312243101,,주상복합,경기도 수원시 권선구 세권로43번길 26-6,위탁관리,계단식,20100422,0312243102,160,15616.31,0.0,103.0,57.0,0.0,15616.31,15,15,2,5,16575,37.2598166201677,127.009826182965
