kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A44337202,매탄극동,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 50 매탄극동,분양,개별난방,27993.32,6,210.0,극동건설(주),극동건설(주),0312157641,,아파트,경기도 수원시 영통구 매봉로27번길 11,위탁관리,계단식,19981030,0312167642,210,22056.297,60.0,96.0,54.0,0.0,18050.34,10,10,0,11,16526,37.2693958898203,127.051701719978
A44370501,매탄이편한세상,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 1209 매탄이편한세상,분양,지역난방,104594.6,6,580.0,(주)삼호,(주)삼호,0312114303,mteph.aptner.co.kr,아파트,경기도 수원시 영통구 매봉로 20,위탁관리,계단식,20100528,0312114304,580,71397.48,118.0,180.0,282.0,0.0,54850.827,25,25,2,14,16527,37.2693936820941,127.052622384357
A44370903,매탄주공5단지,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 897 매탄주공5단지,분양,중앙난방,117419.0,25,1240.0,대한주택공사,대한주택공사,0312151901,매탄주공5단지.apti.co.kr,아파트,경기도 수원시 영통구 인계로 165,위탁관리,혼합식,19851211,0312154263,1240,115483.52,72.0,1168.0,0.0,0.0,94987,12,12,1,21,16535,37.2678423861134,127.037093982775
A44371004,매탄현대힐스테이트,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 176 매탄현대힐스테이트,분양,지역난방,330109.0,33,2328.0,현대건설,현대건설,0312179502,www.aptner.com,아파트,경기도 수원시 영통구 권광로260번길 36,위탁관리,계단식,20060227,0312179458,2328,255741.66,468.0,1500.0,360.0,0.0,196844.144,25,25,0,80,16532,37.2721364915926,127.041914258026
A44371204,매탄한국1차,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 1211 매탄한국1차,분양,개별난방,66373.125,6,496.0,한국건종합건설(주),한국건종합건설(주),0312155467,https://수원한국1차.apti.co.kr,아파트,경기도 수원시 영통구 동탄원천로1109번길 37,위탁관리,계단식,19940117,0313085467,496,66373.125,0.0,0.0,496.0,0.0,55563.48,10,10,1,25,16527,37.2695708055158,127.056951879716
A44371303,매탄현대,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 810-1 매탄현대,분양,지역난방,72892.0,6,690.0,현대산업개발(주),현대건설,0312121114,,아파트,경기도 수원시 영통구 동수원로 448,위탁관리,계단식,19890706,0312114472,690,72891.6,0.0,630.0,60.0,0.0,59349.6,15,15,0,23,16538,37.2688209818321,127.042778624303
A44371607,매탄동남,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 810-2 매탄동남,분양,개별난방+기타,63398.0,4,892.0,동남주택산업(주),동남주택산업(주),0312132288,,아파트,경기도 수원시 영통구 동수원로 432,위탁관리,복도식,19890705,0312135618,892,63332.0,892.0,0.0,0.0,0.0,44314.56,15,15,0,8,16537,37.2673116306787,127.042574611717
A44371608,매탄성일,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 810-4 매탄성일,분양,개별난방,71576.47,6,990.0,성일건설,성일건설,0312138883,,아파트,경기도 수원시 영통구 인계로 239,위탁관리,복도식,19880825,0312131223,990,69222.9,990.0,0.0,0.0,0.0,47148.3,15,15,0,12,16537,37.2650653259133,127.043340637561
A44371706,매탄원천성일,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 1199 매탄원천성일,분양,개별난방,60724.9,7,850.0,수원시,수원시,0312153663,원천성일.ma-um.co.kr,아파트,경기도 수원시 영통구 동탄원천로1109번길 42,위탁관리,복도식,19921217,0312159121,850,58212.12,850.0,0.0,0.0,0.0,40956.6,10,10,0,14,16528,37.2702667286743,127.056094188163
A44371808,매탄삼성1차아파트,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 810-3 매탄삼성1차아파트,분양,지역난방,78408.0,6,930.0,삼성종합건설(주),삼성종합건설(주),0312122650,,아파트,경기도 수원시 영통구 인계로 219,위탁관리,혼합식,19881027,0312162305,930,74469.0,675.0,255.0,0.0,0.0,54519.75,15,15,1,14,16537,37.265588639214,127.04135855012
A44371902,매탄삼성2차,4111710100,경기도,수원영통구,매탄동,,경기도 수원영통구 매탄동 810 매탄삼성2차,분양,지역난방,60679.32,6,624.0,삼성종합건설(주),삼성종합건설(주),0312114265,매탄삼성2차.ma-um.co.kr,아파트,경기도 수원시 영통구 매영로 10,위탁관리,혼합식,19890725,0312152885,624,60679.32,130.0,494.0,0.0,0.0,47119.8,13,13,0,21,16538,37.2701204955403,127.043433167106
