kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022164,북수원하우스토리 아파트,4111112900,경기도,수원장안구,파장동,,경기도 수원장안구 파장동 635- 북수원하우스토리 아파트,분양,,16492.0,2,135.0,주식회사남광토건,주식회사남광토건,0312487277,,아파트,경기도 수원시 장안구 경수대로1044번길 20,위탁관리,복도식,20230908,0312487278,135,10907.19,67.0,68.0,0.0,0.0,9633.259,1,14,0,4,,37.3085236827095,126.998957820343
A10022987,포레나북수원,4111112900,경기도,수원장안구,파장동,,경기도 수원장안구 파장동 640 포레나북수원,분양,개별난방,76213000.0,11,1063.0,(주)한화,(주)하나자산신탁,0312690654,,아파트,경기도 수원시 장안구 경수대로 1110-39,위탁관리,계단식,20230927,0312690655,1063,109563.57,0.0,1063.0,0.0,0.0,83855.0062,27,27,2,34,16206,37.3135563816089,126.994522861821
A44077501,북수원I-PARK,4111112900,경기도,수원장안구,파장동,,경기도 수원장안구 파장동 632 북수원I-PARK,분양,,17825.0,2,143.0,(주)SL개발,(주)SL)개발,0312410849,,아파트,경기도 수원시 장안구 경수대로 1110-15,위탁관리,계단식,20050822,0312410367,143,15355.34,0.0,143.0,0.0,0.0,12152.14,15,15,1,5,16205,37.3114848838425,126.991218792865
A44077502,파장현대아파트,4111112900,경기도,수원장안구,파장동,,경기도 수원장안구 파장동 622 파장현대아파트,분양,개별난방,21369.0,6,225.0,(주)현대건설,현대해상화재보험,01023381363,,아파트,경기도 수원시 장안구 파장천로44번길 87,위탁관리,계단식,19920430,0312433261,225,21067.85,83.0,142.0,0.0,0.0,16611.3,6,6,0,0,16203,37.3078230406757,127.000590175709
A44085102,파장삼익,4111112900,경기도,수원장안구,파장동,,경기도 수원장안구 파장동 212-5 파장삼익,분양,개별난방,20351.12,2,220.0,삼익토건,삼익토건,0312558552,,아파트,경기도 수원시 장안구 경수대로 1102,위탁관리,복도식,19781109,0312688553,220,19853.68,22.0,132.0,66.0,0.0,18336.58,11,11,0,2,16205,37.3106878513116,126.992905214193
A44085201,파장화남2차,4111112900,경기도,수원장안구,파장동,,경기도 수원장안구 파장동 470 파장화남2차,분양,개별난방,17076.4,1,203.0,화남주택(주),화남주택(주),0312518188,화남2차.ma-um.co.kr,아파트,경기도 수원시 장안구 파장천로44번길 33,위탁관리,복도식,19910524,0312528189,203,16651.48,159.0,44.0,0.0,0.0,12323.66,11,11,1,2,16204,37.309109432602,126.99794935264
A10021764,정자동 송학아파트,4111113000,경기도,수원장안구,정자동,,경기도 수원장안구 정자동 36-23 정자동 송학아파트,분양,개별난방,6642.0,1,138.0,?,?,0312070329,,아파트,경기도 수원시 장안구 송정로 82,자치관리,복도식,19821021,0312070329,138,5149.09,114.0,24.0,0.0,0.0,5149.09,1,6,0,0,,37.2954879777663,127.005879251793
A10022266,기산아파트,4111113000,경기도,수원장안구,정자동,,경기도 수원장안구 정자동 13- 기산아파트,분양,개별난방,11498.0,1,134.0,기산건설,기산건설,0312541372,,주상복합,경기도 수원시 장안구 송정로76번길 45,위탁관리,복도식,19920331,0312541374,134,11497.35,57.0,77.0,0.0,0.0,8776.61,12,12,1,2,,37.2943688927958,127.007419979759
A10022677,북수원자이렉스비아,4111113000,경기도,수원장안구,정자동,,경기도 수원장안구 정자동 530-6 북수원자이렉스비아,혼합,지역난방,372760.88,21,2607.0,지에스건설,111-1구역(정자지구)주택재개발정비사업조합,03180199912,,아파트,경기도 수원시 장안구 장안로 271,위탁관리,계단식,20240328,03180199913,2607,233916.67,1507.0,992.0,108.0,0.0,175813.02,29,29,2,56,16336,37.3051829390016,126.989923147217
A10022938,화서역푸르지오브리시엘,4111113000,경기도,수원장안구,정자동,,경기도 수원장안구 정자동 961 화서역푸르지오브리시엘,분양,지역난방,87180.85,3,665.0,(주)대우건설,주식회사 케이티앤지,0312710665,,아파트,경기도 수원시 장안구 수성로157번길 60,위탁관리,계단식,20230926,0312710666,665,87180.85,0.0,443.0,217.0,5.0,61217.6379,41,41,3,18,16318,37.2884678559336,126.990620053862
