kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A44213001,교동풍림아이원,4111513200,경기도,수원팔달구,교동,,경기도 수원팔달구 교동 185-7 교동풍림아이원,분양,개별난방,25531.09,1,156.0,풍림산업(주),신세대 건설(주),0312246033,,주상복합,경기도 수원시 팔달구 매산로104번길 10,위탁관리,복도식,20050407,0312247033,157,14321.78,49.0,107.0,0.0,0.0,10512.97,10,10,4,3,16464,37.270146651047,127.012343090241
A10023630,힐스테이트푸르지오수원아파트,4111513300,경기도,수원팔달구,매교동,,경기도 수원팔달구 매교동 287-110 힐스테이트푸르지오수원아파트,혼합,지역난방,375852.0,33,2586.0,"현대건설,대우건설",주택재개발정비사업조합,0312332586,,아파트,경기도 수원시 팔달구 효원로93번길 33,위탁관리,혼합식,20230525,022670856,2586,232301.4,1650.0,908.0,28.0,0.0,165386.95,15,15,3,91,16464,37.2669191419831,127.012135121602
A10023717,매교역 푸르지오 SK VIEW 아파트,4111513300,경기도,수원팔달구,매교동,,경기도 수원팔달구 매교동 209-14 매교역 푸르지오 SK VIEW 아파트,혼합,지역난방,533995.2,52,3603.0,"대우건설, sk건설",팔달8구역주택재개발 정비사업조합,0312383601,,아파트,경기도 수원시 팔달구 인계로 20,위탁관리,혼합식,20230907,0312383604,3603,358291.3,1429.0,1996.0,178.0,0.0,262705.42,20,20,2,115,16469,37.2701758081618,127.018212598653
A10026819,건영캐스빌,4111513300,경기도,수원팔달구,매교동,,경기도 수원팔달구 매교동 25-4 건영캐스빌,분양,개별난방+기타,24771.74,1,129.0,건영,건영,0312349431,,아파트,경기도 수원시 팔달구 매산로130번길 15,위탁관리,복도식,20010419,0312381190,129,14411.702,0.0,129.0,0.0,0.0,10348.64,15,15,3,2,16465,37.2713335857813,127.015468960942
A44222001,매교문화맨션,4111513300,경기도,수원팔달구,매교동,,경기도 수원팔달구 매교동 158-6 매교문화맨션,분양,개별난방,17419.426,2,175.0,삼익,삼익,0312323783,,아파트,경기도 수원시 팔달구 정조로 659,자치관리,복도식,19790530,0312323783,176,16805.74,0.0,163.0,12.0,0.0,12156.37,12,12,1,2,16467,37.267677707283,127.016095618152
A44278301,대한대우,4111513500,경기도,수원팔달구,매산로2가,,경기도 수원팔달구 매산로2가 90 대한대우,분양,개별난방,212758.81,28,1293.0,대우건설,"대한방직,대우건설",0313099983,dwgood.apti.co.kr,아파트,경기도 수원시 팔달구 권선로 477,위탁관리,계단식,19991214,0313099982,1293,159853.8,264.0,533.0,352.0,144.0,130795.77,12,12,2,55,16461,37.264571420974,127.003354365559
A10022094,kcc파크타운,4111513600,경기도,수원팔달구,매산로3가,,경기도 수원팔달구 매산로3가 32-1 kcc파크타운,분양,개별난방,19707.0,1,143.0,(주)KCC건설,(주)금정디앤씨,0312411705,,주상복합,경기도 수원시 팔달구 매산로 75,위탁관리,계단식,20050729,0312411706,143,14269.87,6.0,137.0,0.0,0.0,11852.85,15,15,2,7,,37.2700917949444,127.009178784182
A10023795,수원역 푸르지오 더 스마트,4111513700,경기도,수원팔달구,고등동,,경기도 수원팔달구 고등동 201-38 수원역 푸르지오 더 스마트,임대,개별난방,45058.96,5,285.0,대우건설,메리츠화재해상보험주식회사,0315462974,,아파트,경기도 수원시 팔달구 고등로 13,위탁관리,계단식,20220503,0315462975,285,43591.59,0.0,285.0,0.0,0.0,21714.1875,15,15,2,9,16452,37.2733865956433,126.997277769582
A10024429,수원역푸르지오자이,4111513700,경기도,수원팔달구,고등동,,경기도 수원팔달구 고등동 1-1 수원역푸르지오자이,혼합,지역난방,571410.7,43,4086.0,대우건설컨소시엄,"LH, 대우건설컨소시엄",0312424086,swpx.aptner.com/v2,아파트,경기도 수원시 팔달구 고등로 15,위탁관리,계단식,20210129,0312454086,4086,398391.97,1266.0,2820.0,0.0,0.0,590110.72,20,20,2,112,16452,37.273356890459,126.999288436489
A10024465,수원고등LH2단지,4111513700,경기도,수원팔달구,고등동,,경기도 수원팔달구 고등동 272-50 수원고등LH2단지,임대,지역난방,33174.89,2,500.0,한국주택토지공사,경남기업,0312562201,,아파트,경기도 수원시 팔달구 고등로 8,위탁관리,복도식,20210115,0312562202,500,33000.547,500.0,0.0,0.0,0.0,13833.9,15,15,2,8,16453,37.2725419845065,126.998732481259
A10024604,루체스타 도시형생활주택,4111513700,경기도,수원팔달구,고등동,,경기도 수원팔달구 고등동 305-10 루체스타 도시형생활주택,분양,개별난방,13826.36,1,275.0,코렘시스,우리자산신탁(주),0312589818,,아파트,경기도 수원시 팔달구 갓매산로76번길 10,위탁관리,혼합식,20200917,0312589819,275,12154.103,275.0,0.0,0.0,0.0,4451.59,13,13,4,2,16454,37.2705039814538,127.002888989931
A10021568,화서맨션,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 212-6 화서맨션,분양,개별난방,10410.0,3,115.0,개인 사업자,개인사업자,0312551058,,아파트,경기도 수원시 팔달구 화양로 41,자치관리,계단식,19800121,0312551058,115,7957.6,0.0,115.0,0.0,0.0,7957.6,5,5,1,0,,37.2817736323097,126.996355861431
A10023237,민영루이스아파트,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 213-27 민영루이스아파트,분양,개별난방,8179.613,1,59.0,민영자이안트종합건설(주),네오아트빌주택건설,0312573006,,아파트,,자치관리,계단식,20050121,022573006,59,6174.94,1.0,58.0,0.0,0.0,4870.216,11,11,2,3,16443,37.2815043883469,126.99594485737
A44215213,화서위브하늘채,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 743 화서위브하늘채,분양,지역난방,122530.0,10,807.0,"코오롱건설,두산건설","코오롱건설,두산건설",0312413641,화서위브하늘채아파트.apti.co.kr,아파트,경기도 수원시 팔달구 수성로244번길 25,위탁관리,계단식,20090525,0312413643,807,92897.82,166.0,496.0,145.0,0.0,69159.3408,25,25,2,0,16433,37.2878894004571,126.999953087096
A44270401,화서벽산,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 11-41 화서벽산,분양,개별난방,55039.0,3,238.0,벽산건설,(주)삼호주택,0312519979,,아파트,경기도 수원시 팔달구 팔달로165번길 39,자치관리,혼합식,19911120,0312525504,238,25659.383,0.0,200.0,38.0,0.0,19758.12,15,15,0,8,16438,37.2834189265882,127.003757546456
A44270402,화서역 블루밍푸른숲아파트,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 250-4 화서역 블루밍푸른숲아파트,혼합,지역난방,258171.28,31,1744.0,벽산건설,화서주공2단지재건축정비조합,0312583494,prunsup.kr,아파트,경기도 수원시 팔달구 화양로50번길 30,위탁관리,혼합식,20090623,0312583496,1744,188727.2,417.0,1122.0,205.0,0.0,143831.555,18,18,2,59,16438,37.2818662202937,127.001072596111
A44271801,화서꽃뫼양지마을대우,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 703 화서꽃뫼양지마을대우,분양,지역난방,40341.707,4,236.0,대우건설,대우건설,0312982021,https://xn--js0by4e1whg9a904ajtbt3al9l.apti.co.kr/aptHome/Default.asp?,아파트,경기도 수원시 팔달구 수성로101번길 20,위탁관리,계단식,20010626,0313052024,236,33001.16,0.0,56.0,180.0,0.0,25909.8204,15,15,1,8,16425,37.2848211142963,126.984845942916
A44271805,화서꽃뫼버들마을금강kcc,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 709 화서꽃뫼버들마을금강kcc,분양,지역난방,44687.0,3,312.0,금강건설,금강건설,0312274811,꽃뫼버들마을금강kcc.ma-um.co.kr,아파트,경기도 수원시 팔달구 정자천로32번길 27,위탁관리,계단식,20020419,0312274812,312,36012.6,0.0,312.0,0.0,0.0,26509.08,25,25,1,7,16423,37.2884645198146,126.982626756344
A44271806,신동아아파트,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 684-2 신동아아파트,분양,지역난방,34493.0,3,332.0,"신동아건설(주),(주)창보종합건설",신동아건설(주),0312985758,꽃뫼버들신동아.apti.co.kr,아파트,경기도 수원시 팔달구 화산로 24,위탁관리,계단식,19991029,0313070094,332,26340.88,332.0,0.0,0.0,0.0,19840.32,25,25,2,7,16425,37.2873531505271,126.986562593138
A44271810,꽃뫼버들마을 코오롱아파트,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 730 꽃뫼버들마을 코오롱아파트,분양,지역난방,69124.0,4,538.0,코오롱건설,코오롱건설,0313070033,,아파트,경기도 수원시 팔달구 일월로18번길 4-26,위탁관리,계단식,20020311,0313070032,538,62247.945,0.0,538.0,0.0,0.0,45584.202,24,24,1,12,16424,37.2847747860358,126.981565792823
A44271812,화서꽃뫼버들마을엘지,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 713 화서꽃뫼버들마을엘지,분양,지역난방,94833.61,8,665.0,LG,한독,0312984276,lg.hpti.co.kr,아파트,경기도 수원시 팔달구 정자천로32번길 20,위탁관리,계단식,20010512,0313044276,665,76942.164,0.0,665.0,0.0,0.0,56483.77,15,15,0,24,16422,37.2881417115202,126.979987858151
A44271814,화서꽃뫼버들마을진흥,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 706 화서꽃뫼버들마을진흥,분양,지역난방,89261.5,9,824.0,진흥기업(주),진흥기업(주),0312986885,,아파트,경기도 수원시 팔달구 화산로 57,위탁관리,계단식,20020117,0312986886,824,70823.13,824.0,0.0,0.0,0.0,49407.04,25,25,0,22,16423,37.2900445236585,126.983487991158
A44271815,화서동문굿모닝힐,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 761 화서동문굿모닝힐,분양,지역난방,47970.117,3,293.0,동문건설(주),경문도시개발(주),0312453180,,아파트,경기도 수원시 팔달구 화양로67번길 10,위탁관리,계단식,20100630,0312453179,293,34060.2,0.0,239.0,54.0,0.0,26608.799,28,28,1,6,16435,37.2845826678989,126.995123301236
A44271816,화서한신더휴,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 769 화서한신더휴,분양,지역난방,32282.92,3,198.0,(주)한신공영,재건축조합,0312468517,,아파트,경기도 수원시 팔달구 수성로258번길 52,위탁관리,복도식,20140627,0312468516,198,20862.777,0.0,198.0,0.0,0.0,15990.66,19,19,3,6,16434,37.2870172667651,127.002089742779
A44278207,화서주공5단지,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 650 화서주공5단지,분양,지역난방,37015.0,3,386.0,태영건설,LH공사,0312586345,,아파트,경기도 수원시 팔달구 덕영대로697번길 48,위탁관리,복도식,19970502,0312413267,386,27132.48,386.0,0.0,0.0,0.0,18406.14,20,20,2,6,16435,37.2845520424053,126.991992681743
A44278211,화서3단지주공아파트,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 646 화서3단지주공아파트,분양,지역난방,71586.484,8,582.0,(주)한양,대한주택공사,0312528533,,아파트,경기도 수원시 팔달구 덕영대로697번길 47,위탁관리,계단식,19970409,0313068534,582,59642.953,0.0,582.0,0.0,0.0,49364.28,18,18,1,17,16435,37.285901508471,126.993107480303
A44278215,화서주공4단지,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 650 화서주공4단지,분양,지역난방,122467.63,13,1314.0,태영(주),대한주택공사,0312554795,화서주공4단지.apti.co.kr,아파트,경기도 수원시 팔달구 덕영대로697번길 48,위탁관리,혼합식,19970502,0312554796,1314,122467.63,1314.0,0.0,0.0,0.0,76383.21,20,20,2,33,16435,37.2845520424053,126.991992681743
A44285708,화서성원상떼빌,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 11-11 화서성원상떼빌,분양,개별난방,63175.0,7,508.0,성원건설(주),화서아파트재건축주택조합,0313025577,cafe.daum.net/hsslaw,아파트,경기도 수원시 팔달구 장안로5번길 45,위탁관리,혼합식,20011204,0312685577,508,48648.8,211.0,297.0,0.0,0.0,36360.93,17,17,2,13,16434,37.2856059759161,127.004923112445
A44286501,화서영광아파트,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 220-4 화서영광아파트,분양,개별난방,50231.8,2,459.0,영광종합건설(주),영광종합건설(주),0312540703,,아파트,경기도 수원시 팔달구 덕영대로757번길 10,위탁관리,복도식,19930421,0312543471,459,50230.84,0.0,459.0,0.0,0.0,37750.58,20,20,0,6,16443,37.2790867064213,126.993622279462
A44287003,화서꽃뫼양지마을현대,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 700 화서꽃뫼양지마을현대,분양,지역난방,40629.277,3,260.0,고려산업개발(주),고려산업개발(주),0312276117,,아파트,경기도 수원시 팔달구 화산로17번길 6,위탁관리,계단식,20020712,0312276118,260,33324.56,0.0,0.0,260.0,0.0,25037.1156,23,23,0,6,16425,37.2873774434223,126.985501191558
A44287004,화서꽃뫼노을마을풍림,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 674-1 화서꽃뫼노을마을풍림,분양,지역난방,27309.48,2,275.0,풍림산업(주),홍익종합건설(주),0312693663,,아파트,경기도 수원시 팔달구 수성로157번길 75,위탁관리,계단식,19990917,03180013663,275,22192.49,275.0,0.0,0.0,0.0,16489,20,20,1,8,16321,37.2893729556583,126.987736545639
A44287009,화서한진현대,4111513800,경기도,수원팔달구,화서동,,경기도 수원팔달구 화서동 656 화서한진현대,분양,지역난방,88500.0,7,516.0,"한진건설,현대산업개발","한진중공업,현대산업개발",0312584910,,아파트,경기도 수원시 팔달구 덕영대로735번길 18,위탁관리,계단식,19971215,0312584913,516,72817.88,0.0,0.0,516.0,0.0,58453.08,20,20,0,0,16437,37.2813595187366,126.992586822878
A10020288,수원성 중흥S-클래스 아파트,4111513900,경기도,수원팔달구,지동,,경기도 수원팔달구 지동 349-1 수원성 중흥S-클래스 아파트,혼합,지역난방,188873.8,32,1154.0,중흥토건(주),115-10구역 주택재개발정비사업조합,0312460967,,아파트,경기도 수원시 팔달구 세지로 293,위탁관리,혼합식,20251202,0312460968,1154,121644.27,252.0,762.0,109.0,31.0,93109.131,15,15,3,0,,37.2787035290877,127.023332161173
A10022126,지동진우아파트,4111513900,경기도,수원팔달구,지동,,경기도 수원팔달구 지동 138-3 지동진우아파트,분양,개별난방,12297.0,1,111.0,진우건설(주),진우건설(주),0312349854,,아파트,경기도 수원시 팔달구 팔달문로 84,위탁관리,복도식,19950518,0312547842,111,10625.04,56.0,55.0,0.0,0.0,7994.76,14,14,1,2,,37.2802404601031,127.025804785584
A10023382,포레스트,4111513900,경기도,수원팔달구,지동,,경기도 수원팔달구 지동 365-20 포레스트,분양,개별난방,6737.55,1,184.0,신흥선건설,지우개발,0313060285,,주상복합,경기도 수원시 팔달구 세지로 279-1,위탁관리,혼합식,20140327,07082440286,184,5813.592,184.0,0.0,0.0,0.0,3076.48,10,10,0,2,16245,37.275992855101,127.023255441331
A10021326,신미주아파트,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 517- 신미주아파트,분양,개별난방,0.0,2,144.0,풍성주택,풍성주택,0312438365,,아파트,경기도 수원시 팔달구 월드컵로321번길 17,자치관리,계단식,19891228,0312438365,144,8326.8,72.0,72.0,0.0,0.0,7549.2,6,6,0,0,,37.2859721383649,127.033097905309
A10021469,보은맨션,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 479-1 보은맨션,분양,개별난방,9611.0,1,107.0,보은건설주식회사,보은건설주식회사,0312450540,,아파트,경기도 수원시 팔달구 월드컵로369번길 13,위탁관리,복도식,19860527,,107,8566.72,3.0,104.0,0.0,0.0,7606.44,1,10,0,2,,37.289733838855,127.029880527571
A10022084,동도센트리움아파트,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 533-1 동도센트리움아파트,분양,개별난방,16634.0,2,115.0,동도건설,동동디앤씨,0312436518,,,경기도 수원시 팔달구 팔달문로 183,자치관리,계단식,20070619,,115,12329.34,0.0,115.0,0.0,0.0,9764.144,15,15,1,0,,37.2840649382586,127.036082203447
A10023592,우만한일베라체에코플러스아파트,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 139-18 우만한일베라체에코플러스아파트,분양,개별난방,33183.33,2,202.0,(주)한일건설,무궁화신탁(주),0312132707,,아파트,경기도 수원시 팔달구 중부대로 203,위탁관리,계단식,20220620,0312129598,202,20189.883,0.0,202.0,0.0,0.0,15563.4821,36,36,3,5,16498,37.2770421488934,127.038363948317
A44219001,동수원신도브래뉴,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 606 동수원신도브래뉴,분양,개별난방,28577.0,4,200.0,신도종합건설,동수원신도브래뉴 지역주택조합,0312171448,https://동수원신도브래뉴.apti.co.kr,아파트,경기도 수원시 팔달구 중부대로183번길 27,위탁관리,계단식,20070821,0312171449,200,21818.18,0.0,200.0,0.0,0.0,16966.5646,15,15,1,0,16494,37.2784469053221,127.036835221096
A44219002,우만신성미소지움,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 138 우만신성미소지움,분양,개별난방,42101.805,3,272.0,신성건설,신성건설,0312122491,,아파트,경기도 수원시 팔달구 중부대로 193,자치관리,계단식,20021218,0312122492,272,32776.68,0.0,180.0,92.0,0.0,26145.28,25,25,0,6,16494,37.277618620273,127.03699267599
A44219003,우만풍림,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 496 우만풍림,분양,개별난방,21418.08,12,390.0,풍림,풍림산업,0312550930,,아파트,경기도 수원시 팔달구 세지로 433-13,자치관리,계단식,19871226,0312572997,390,20342.5,390.0,0.0,0.0,0.0,16257.6,5,5,0,0,16234,37.2871211661868,127.031357686936
A44219004,수원우만3,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 301 수원우만3,임대,지역난방,53754.0,6,1213.0,삼성종합건설,LH,0312412872,www.kohom.co.kr,아파트,경기도 수원시 팔달구 창룡대로210번길 13,위탁관리,복도식,19920328,0312529384,1246,49017.02,1213.0,0.0,0.0,0.0,33169.86,15,15,0,14,16230,37.2926004482273,127.034043862043
A44219005,로얄타워,4111514000,경기도,수원팔달구,우만동,,경기도 수원팔달구 우만동 85-3 로얄타워,분양,개별난방,12185.3,1,159.0,한아름건설(주),(주)하나로케이앤씨,0312165313,,주상복합,경기도 수원시 팔달구 중부대로239번길 5,위탁관리,복도식,20121017,0312165314,161,5402.81,159.0,0.0,0.0,0.0,2912.09,14,14,3,1,16498,37.2757247277997,127.042105447319
