kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021086,삼성중앙빌라,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 610- 삼성중앙빌라,분양,개별난방,1238832.0,14,246.0,삼성중앙개발,삼성중앙개발,0314860260,,연립주택,경기도 안산시 단원구 적금로5길 16,자치관리,계단식,19881230,07040097469,246,16674.432,228.0,18.0,0.0,0.0,12388.32,3,3,1,0,,37.3306937962934,126.826238367797
A10021165,대동15차,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 608- 대동15차,분양,개별난방,14961.18,1,191.0,대동건설,대동건설,0310000000,없음,연립주택,경기도 안산시 단원구 적금로5길 17,자치관리,계단식,19911231,,191,11264.791,191.0,0.0,0.0,0.0,10279.23,0,4,1,0,,37.3296538860097,126.826401776352
A10021188,광운연립 (9차),4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 660- 광운연립 (9차),분양,개별난방,8739.36,7,120.0,광원건설,광원건설,01029923609,,도시형 생활주택(연립주택),경기도 안산시 단원구 화정천동로 240,자치관리,계단식,19891110,00000000000,120,5826.0,120.0,0.0,0.0,0.0,6040.44,3,3,1,0,,37.3260559746391,126.819357045585
A10021276,창동연립,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 663- 창동연립,분양,개별난방,104414400.0,12,180.0,창동건설,창동건설,0314021118,,연립주택,경기도 안산시 단원구 인현3길 8,자치관리,계단식,19901212,,180,14220.0,162.0,18.0,0.0,0.0,10441.44,3,3,1,0,,37.3255617025877,126.819674597185
A10021333,상우연립,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 613- 상우연립,분양,개별난방,8817.0,7,126.0,확인할수없음,확인할수없음,0310000000,없음,연립주택,경기도 안산시 단원구 삼일로 467,자치관리,계단식,19891229,,126,6740.82,126.0,0.0,0.0,0.0,6740.82,3,3,1,0,,37.3301887762384,126.829714268107
A10021883,신유 5차 연립,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 603- 신유 5차 연립,분양,개별난방,0.0,8,111.0,-,-,0310000000,,연립주택,경기도 안산시 단원구 단원로 67,자치관리,계단식,19891116,031000000,111,6926.34,111.0,0.0,0.0,0.0,5064.66,3,3,0,0,,37.3265856071325,126.826342379041
A10022898,포레나안산고잔아파트,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 631 포레나안산고잔아파트,분양,지역난방,61017.777,3,449.0,한화건설,경기진흥주택관리(주),0314101311,,아파트,경기도 안산시 단원구 예술대학로1길 7,위탁관리,계단식,20231129,0314101312,449,36442.883,377.0,72.0,0.0,0.0,27002.5973,29,29,3,10,15262,37.3295877588056,126.835943022109
A10025832,힐스테이트중앙,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 853 힐스테이트중앙,분양,지역난방,167484.44,8,1152.0,현대건설,재건축조합,0314879273,www.hillja.co.kr,아파트,경기도 안산시 단원구 고잔로 81,위탁관리,계단식,20181114,0314879274,1152,112805.6,545.0,573.0,34.0,0.0,81243.8193,37,37,2,20,15351,37.3196415734797,126.835709108948
A10025963,고잔롯데캐슬골드파크아파트,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 586 고잔롯데캐슬골드파크아파트,혼합,개별난방,93984.47,9,1005.0,롯데건설,고잔연립1단지 주택재건축 정비사업조합,0314879664,고잔롯데캐슬.apti.co.kr,아파트,경기도 안산시 단원구 적금로 164,위탁관리,계단식,20181030,0314879662,1005,91675.62,625.0,380.0,0.0,0.0,66906.36,29,29,3,21,15347,37.3224613555043,126.826862505876
A10026224,안산센트럴푸르지오,4127310100,경기도,안산단원구,고잔동,,경기도 안산단원구 고잔동 538 안산센트럴푸르지오,분양,지역난방,180257.33,7,990.0,대우건설,중앙주공2단지주택재건축정비사업조합,0314142992,https://cafe.naver.com/acp2992,아파트,경기도 안산시 단원구 고잔로 115,위탁관리,계단식,20180427,0314142993,990,119788.59,0.0,658.0,332.0,0.0,90163.089,37,37,2,17,15350,37.3202807283884,126.838694392591
