kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A42685701,안산고잔주공그린빌10단지,4127110200,경기도,안산상록구,이동,,경기도 안산상록구 이동 664 안산고잔주공그린빌10단지,분양,지역난방,32072.518,5,267.0,삼협건설(주),대한토지주택공사,0315068010,,아파트,경기도 안산시 상록구 안산천남1로 100,위탁관리,계단식,20030310,0315069010,267,31977.295,0.0,267.0,0.0,0.0,21825.97,15,15,1,11,15491,37.310951350192,126.843807504905
A42685702,안산고잔푸르지오2차,4127110200,경기도,안산상록구,이동,,경기도 안산상록구 이동 664-1 안산고잔푸르지오2차,분양,지역난방,78376.31,9,443.0,주) 대우건설,주)대우건설,0314385688,안산고잔푸르지오2차.ma-um.co.kr,아파트,경기도 안산시 상록구 안산천남1로 70,위탁관리,계단식,20011205,0314385689,443,61391.605,0.0,0.0,393.0,50.0,47232.1414,25,25,1,13,15491,37.3081196736907,126.84319735346
A10020657,푸른마을3단지아파트,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1538-1 푸른마을3단지아파트,분양,지역난방,10704.0,3,106.0,lh,lh,0314195177,,아파트,경기도 안산시 상록구 삼리로 86,위탁관리,혼합식,20000503,0314195133,106,8167.02,106.0,0.0,0.0,0.0,6080.74,1,13,0,0,,37.3041827884445,126.849376463596
A10024584,그랑시티자이2차아파트,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1639 그랑시티자이2차아파트,분양,지역난방,478397.88,11,2872.0,GS건설,케이비부동산신탁(주),0315021457,grancxi2.aptner.co.kr,아파트,경기도 안산시 상록구 해양5로 17,위탁관리,계단식,20201029,0315021458,2872,348068.34,178.0,2026.0,658.0,10.0,250432.7745,49,49,2,60,15596,37.280484653644,126.830041907712
A10025014,그랑시티자이아파트,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1639-7 그랑시티자이아파트,분양,지역난방,600370.4,14,3728.0,GS건설(주),케이비부동산신탁(주),0315021844,grancxi1.xisnd.co.kr,아파트,경기도 안산시 상록구 해양4로 31,위탁관리,계단식,20200218,0315021845,3728,438974.16,276.0,2988.0,456.0,8.0,314900.0415,49,49,2,80,15596,37.2809028032773,126.828775903546
A10025108,e-편한세상 상록아파트,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1423 e-편한세상 상록아파트,분양,개별난방,102101.42,4,559.0,대림건설,대한토지신탁(주),0315021243,,주상복합,경기도 안산시 상록구 항가울로 28,위탁관리,기타,20191224,0315021244,559,62889.906,86.0,473.0,0.0,0.0,41314.142,46,46,5,5,15629,37.2846219757028,126.848086280328
A42617204,상록타운선경,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1345 상록타운선경,분양,개별난방,84459.31,12,550.0,선경건설(주),선경건설,0314069637,상록타운선경.apti.co.kr/,아파트,경기도 안산시 상록구 감골2로 58,위탁관리,계단식,19940728,0314083965,550,71228.234,40.0,284.0,140.0,86.0,57292.04,22,22,1,14,15621,37.2913647205356,126.849150641948
A42617206,본오2차,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1505 본오2차,분양,개별난방,42598.0,4,585.0,대아건설,안산시 도시개발사업소,0314095031,안산본오2차.apti.co.kr,아파트,경기도 안산시 상록구 선진로 114,위탁관리,복도식,19940818,0314188285,585,38871.26,585.0,0.0,0.0,0.0,26939.25,15,15,1,8,15631,37.2809097314952,126.854057890592
A42617209,본오1차,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1506 본오1차,분양,개별난방,61853.69,6,1000.0,대아공사,안산시청,0314077076,안산본오1차아파트.apti.co.kr,아파트,경기도 안산시 상록구 선진로 108,위탁관리,복도식,19921116,0314084603,1000,56198.6,1000.0,0.0,0.0,0.0,40320,15,15,0,12,15631,37.2802655821606,126.853841507661
A42673901,안산고잔1,4127110300,경기도,안산상록구,사동,,경기도 안산상록구 사동 1534 안산고잔1,임대,지역난방,43608.18,8,489.0,(주)삼호,한국토지주택공사,0314376334,www.kohom.or.kr,아파트,경기도 안산시 상록구 용하공원로 39,위탁관리,복도식,20000120,0314376335,489,43465.51,489.0,0.0,0.0,0.0,24048.94,15,15,0,2,15500,37.3063088253508,126.853067399065
