kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A45670701,한주아파트,4155010100,경기도,안성시,봉산동,,경기도 안성시 봉산동 42 한주아파트,분양,개별난방,46870.3,4,420.0,한주건설,한주,0316722482,cafe.daum.net,아파트,경기도 안성시 월덕천길 17,위탁관리,계단식,19921230,0316772353,420,35609.24,166.0,146.0,108.0,0.0,35609.24,18,18,1,13,17586,37.0101884863936,127.278026857339
A45670801,안성동신아파트,4155010200,경기도,안성시,숭인동,,경기도 안성시 숭인동 88 안성동신아파트,분양,개별난방,50082.0,5,496.0,(주)동신주택,(주) 동신주택,0316760181,,아파트,경기도 안성시 혜산로 37-24,위탁관리,계단식,19940628,0316775052,496,49996.08,188.0,248.0,60.0,0.0,39964.2,17,17,0,9,17588,37.0126514778484,127.275171918942
A10021089,서광맨션아파트,4155010900,경기도,안성시,낙원동,,경기도 안성시 낙원동 68-3 서광맨션아파트,분양,개별난방,16072.23,1,146.0,서광산업,서광산업,0316739440,서광산업,아파트,경기도 안성시 장기로 95,위탁관리,계단식,19920417,0316739430,146,15203.8125,0.0,146.0,0.0,0.0,12345.31,15,15,1,5,,37.0044979866009,127.273923183187
A10024022,안성골든캐슬타워,4155011300,경기도,안성시,인지동,,경기도 안성시 인지동 7 안성골든캐슬타워,분양,개별난방,19882.91,1,299.0,한창종합건설,신유,0316718494,,도시형 생활주택(아파트),,위탁관리,복도식,20160414,0316718495,299,14560.738,299.0,0.0,0.0,0.0,6756.98,13,13,3,3,17581,37.0059124058459,127.268084208057
A45631001,삼부,4155011400,경기도,안성시,금산동,,경기도 안성시 금산동 50-1 삼부,분양,개별난방,22385.0,2,226.0,삼부토건 (주),한주개발 (주),0316761966,,아파트,경기도 안성시 금산1길 13,위탁관리,계단식,19911004,0316751966,226,17968.0,0.0,226.0,0.0,0.0,17968,15,15,0,8,17587,37.0125695099993,127.269424707318
A45670302,금산주공,4155011400,경기도,안성시,금산동,,경기도 안성시 금산동 100 금산주공,분양,개별난방,19059.78,11,390.0,2022-11-01,주택공사,0316759029,금산주공.apti.co.kr,아파트,경기도 안성시 안성맞춤대로 1127,자치관리,계단식,19870331,0316738800,390,18351.0,390.0,0.0,0.0,0.0,16245,5,5,0,0,17569,37.0135915046689,127.268035220214
A45670403,금산주은청설,4155011400,경기도,안성시,금산동,,경기도 안성시 금산동 81-2 금산주은청설,분양,개별난방,49465.17,5,457.0,청설건설,주은산업,0316733777,금산주은청설아파트.apti.co.kr,아파트,경기도 안성시 대학로 64,위탁관리,계단식,19991201,0316733778,457,32850.72,217.0,224.0,16.0,0.0,32850.72,20,20,1,13,17569,37.014034671892,127.267108303491
A10024101,안성센트럴파밀리에,4155011800,경기도,안성시,석정동,,경기도 안성시 석정동 368 안성센트럴파밀리에,분양,개별난방,95201.0,5,644.0,신동아건설,LH  한국토지주택공사,0316731102,ayb1.aptner.com,아파트,경기도 안성시 아양4로 46,위탁관리,계단식,20211021,0316731106,644,73079.27,0.0,644.0,0.0,0.0,51917.24,25,25,1,16,17577,37.0105604751758,127.254268225123
A10024929,안성엘리시아,4155011800,경기도,안성시,석정동,,경기도 안성시 석정동 29-2 안성엘리시아,분양,개별난방,9987.86,1,192.0,(주)엘리시아,(주)엘리시아,0316777841,https://link.zigbang.com/79294/approve?filters=%257B%2522q%2522%253A%2522%2522%252C%2522statuses%252,주상복합,경기도 안성시 중앙로 360,위탁관리,계단식,20190705,0316777840,192,7964.68,192.0,0.0,0.0,0.0,4177.81,14,14,3,3,17581,37.0078571032082,127.266688946247
A45624001,한빛마을우남퍼스트빌,4155011800,경기도,안성시,석정동,,경기도 안성시 석정동 343 한빛마을우남퍼스트빌,분양,개별난방,92266.0,8,486.0,(주)우남건설,(주)다림C&C,0316750682,aswoonam.com,아파트,경기도 안성시 중앙로 274-7,위탁관리,계단식,20071129,0316750673,486,66701.75,0.0,251.0,157.0,78.0,51109.5049,20,20,0,14,17578,37.0117550896819,127.259117245613
A45624002,신원아침도시,4155011800,경기도,안성시,석정동,,경기도 안성시 석정동 355 신원아침도시,분양,개별난방,93116.75,8,614.0,신원종합개발(주),신원종합개발(주),0316779611,안성신원아침도시.apti.co.kr,아파트,경기도 안성시 석정2길 13-8,위탁관리,계단식,20091127,0316779612,614,72794.48,0.0,538.0,76.0,0.0,54826.38,20,20,1,17,17578,37.00879962854,127.260646510145
A10022636,안성아양   흥화하브 아파트,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동 417 안성아양   흥화하브 아파트,분양,개별난방,78289.0,4,474.0,흥화건설,흥화건설,0316764170,,아파트,경기도 안성시 아양로 51,위탁관리,계단식,20240417,0316764171,474,52454.516,0.0,474.0,0.0,0.0,40273.3702,25,25,1,12,17577,37.0058700556727,127.260845147702
A10024580,아양LH6단지주거행복지원센터,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동 414 아양LH6단지주거행복지원센터,임대,개별난방,40125.36,2,699.0,남양건설,한국토지주택공사,0316761983,,아파트,경기도 안성시 아양로 72,위탁관리,복도식,20200807,0316761984,703,39958.234,699.0,0.0,0.0,0.0,19259.93,25,25,1,9,17577,37.0061919304738,127.257415192955
A10024724,아양LH5단지,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동 415 아양LH5단지,임대,개별난방,33744.2,2,447.0,남양건설,LH,0316716200,,아파트,경기도 안성시 아양로 62,위탁관리,복도식,20200807,0316716300,454,33633.406,447.0,0.0,0.0,0.0,16990.56,23,23,1,6,17577,37.0062306765785,127.258244943093
A10025516,안성하우스디NHF아파트,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동 344-11 안성하우스디NHF아파트,임대,개별난방,67533.0,4,443.0,대보건설,LH,0316711106,,아파트,경기도 안성시 아양로 61-19,위탁관리,계단식,20190425,0316711107,443,67294.305,0.0,443.0,0.0,0.0,36242.27,25,25,2,12,17577,37.003481478855,127.261048429098
A10026595,안성아양서희스타힐스NHF아파트,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동  안성아양서희스타힐스NHF아파트,혼합,개별난방,135301.47,7,963.0,(주)서희건설,(주)NHF제3호공공임대위탁관리부동산투자회사,0316757273,,아파트,경기도 안성시 아양로 73,위탁관리,계단식,20171129,0316767273,963,106139.12,0.0,963.0,0.0,0.0,79967.14,25,25,1,22,17577,37.0043474278409,127.257370774608
A10027143,아양LH1단지아파트,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동  아양LH1단지아파트,임대,개별난방,36299.3,3,540.0,한국토지주택공사,한국토지주택공사,0316710540,,아파트,경기도 안성시 아양로 52,위탁관리,복도식,20161124,0316710541,540,36159.72,540.0,0.0,0.0,0.0,18759.14,20,20,0,3,17577,37.005933161893,127.259433307979
A45670902,아양주공1차,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동 300 아양주공1차,분양,개별난방,44861.85,17,936.0,한국주택공사,한국주택공사,0316742790,아양주공1차.ma-um.co.kr,아파트,경기도 안성시 아양로 23,위탁관리,계단식,19910920,0316742797,936,43862.76,936.0,0.0,0.0,0.0,38392.56,6,6,0,0,17582,37.0061880668841,127.264257626457
A45671001,아양주공2단지아파트,4155011900,경기도,안성시,아양동,,경기도 안성시 아양동 384 아양주공2단지아파트,분양,개별난방,43139.26,5,712.0,대한주택공사,대한주택공사,0316751903,없음,아파트,경기도 안성시 석정2길 5,위탁관리,복도식,19951026,0316722185,712,41997.367,712.0,0.0,0.0,0.0,32114.4,15,15,0,8,17578,37.0076450480251,127.260700543543
A45676301,동남타운,4155012000,경기도,안성시,금석동,,경기도 안성시 금석동 81 동남타운,분양,개별난방,45953.68,2,499.0,동남종합건설(주),동남종합건설(주),0316756249,,아파트,경기도 안성시 안성맞춤대로 1320-21,위탁관리,복도식,19981020,0316745375,499,29311.26,499.0,0.0,0.0,0.0,29311.26,18,18,0,0,17539,37.0300243293147,127.267282631318
A10026077,광신프로그레스아파트,4155012200,경기도,안성시,옥산동,,경기도 안성시 옥산동 557 광신프로그레스아파트,분양,개별난방,84068.0,6,545.0,광신건설,아람주택,0316765933,안성광신프로그레스.apti.co.kr,아파트,경기도 안성시 아양3로 56,위탁관리,계단식,20180831,0316775934,545,60303.2,0.0,545.0,0.0,0.0,45912.9168,24,24,1,12,17577,37.0061816211631,127.253581316213
A10026285,안성아양시티프라디움아파트,4155012200,경기도,안성시,옥산동,,경기도 안성시 옥산동  안성아양시티프라디움아파트,분양,개별난방,109095.0,8,688.0,(주)시티건설,(주)애드메이트,0316770661,https://ctp.aptner.com/,아파트,경기도 안성시 아양2로 49,위탁관리,계단식,20180502,0316770665,690,78233.81,0.0,643.0,45.0,0.0,59104.6502,26,26,1,16,17577,37.0059775856959,127.255235377968
A45671101,옥산주공,4155012200,경기도,안성시,옥산동,,경기도 안성시 옥산동 10 옥산주공,분양,개별난방,20285.1,11,440.0,대한주택공사,대한주택공사,0316721785,,아파트,경기도 안성시 중앙로 212,위탁관리,계단식,19880421,0316751428,440,20243.3,440.0,0.0,0.0,0.0,17909.1,5,5,0,0,17574,37.0127893499114,127.252298842054
A10020647,안성청사복합주택,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 588- 안성청사복합주택,임대,개별난방,29266.49,1,320.0,남광토건,경기주택도시공사,0316763363,,아파트,경기도 안성시 고수2로 19,위탁관리,복도식,20250218,0316766634,320,26074.16,320.0,0.0,0.0,0.0,10473.18,20,20,0,0,,37.0150203846069,127.257309116165
A10021038,e편한세상안성그랑루체,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 587- e편한세상안성그랑루체,분양,개별난방,223079.38,10,1370.0,D/L건설,한국자산신탁(주),0316777960,apti.co.kr/aptHome,아파트,경기도 안성시 안성맞춤대로 1196-23,위탁관리,계단식,20241030,0316777962,1370,158335.5,0.0,1030.0,340.0,0.0,123315.7065,29,29,2,33,,37.019920039038,127.268712812697
A10022806,금호어울림 더프라임아파트,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 121 금호어울림 더프라임아파트,임대,개별난방,166063.77,12,1240.0,금호건설,구건산업(주),0316777588,,아파트,,위탁관리,계단식,20240710,0316777589,1240,121673.66,288.0,952.0,0.0,0.0,92126.3318,29,29,2,32,,37.0166042484102,127.270698831373
A10025837,안성 삼정그린코아더베스트 아파트,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 584 안성 삼정그린코아더베스트 아파트,분양,개별난방,212996.12,16,1657.0,(주)삼정,(주)한국토지신탁,0316779294,없음,아파트,경기도 안성시 고수2로 70,위탁관리,계단식,20190311,0316779296,1657,163664.2,713.0,944.0,0.0,0.0,122677.3134,32,32,1,30,17568,37.0190635281857,127.260444009231
A45670503,당왕대우1차,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 534 당왕대우1차,분양,개별난방,75123.0,8,762.0,(주)대우건설,(주)대우건설,0316710295,대우1차.ma-um.co.kr,아파트,경기도 안성시 고수1로 19,위탁관리,계단식,19931110,0316710335,762,71527.734,0.0,762.0,0.0,0.0,57713.472,15,15,1,26,17572,37.0155820862211,127.257198305436
A45670504,대우경남,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 535 대우경남,분양,개별난방,76168.32,10,984.0,"(주)대우건설, 경남기업(주)",.,0316720226,대우경남apti.co.kr,아파트,경기도 안성시 고수2로 20,위탁관리,계단식,19970421,0316720227,984,74711.805,828.0,156.0,0.0,0.0,62395.26,15,15,0,34,17571,37.0137779483385,127.258566896232
A45676402,당왕쌍용,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 536 당왕쌍용,분양,개별난방,52758.17,5,498.0,쌍용건설,쌍용건설,0316751653,쌍용.ma-um.co.kr,아파트,경기도 안성시 비룡로 26,위탁관리,계단식,19931014,0316760249,498,49942.812,0.0,498.0,0.0,0.0,39791.88,15,15,1,17,17570,37.0147337796988,127.265075686641
A45676701,당왕태영,4155012500,경기도,안성시,당왕동,,경기도 안성시 당왕동 462-1 당왕태영,분양,개별난방,28502.0,1,234.0,(주)태영,(주)태영,0316726688,,아파트,경기도 안성시 고수2로 24,위탁관리,계단식,20000427,0316726685,234,22858.0,60.0,155.0,19.0,0.0,18945.78,22,22,1,6,17571,37.015086999298,127.258541441687
A10026585,안성푸르지오아파트,4155012600,경기도,안성시,가사동,,경기도 안성시 가사동 175 안성푸르지오아파트,분양,개별난방,96630.93,10,759.0,(주)대우건설,(주)청담리치,0316777205,anseongprugio.apti.co.kr,아파트,경기도 안성시 비봉로 37,위탁관리,계단식,20171221,0316777206,759,73067.23,455.0,304.0,0.0,0.0,50070.4335,23,23,1,20,17585,37.0108823213565,127.288705425083
A10023233,안성골든스테이,4155012900,경기도,안성시,신소현동,,경기도 안성시 신소현동 184 안성골든스테이,분양,개별난방,15179.0,1,299.0,일진종합건설(주),비에스디앤씨(주),0316710994,,아파트,경기도 안성시 공단2로 60,위탁관리,복도식,20230324,0316710996,347,7410.817,299.0,0.0,0.0,0.0,4282.1838,14,14,2,1,17568,37.0187475454321,127.255038844275
A45638001,안성신소현코아루,4155012900,경기도,안성시,신소현동,,경기도 안성시 신소현동 175 안성신소현코아루,분양,개별난방,121365.0,12,829.0,솔리드건설(주) 평창토건(주),한국토지신탁,0316712444,신소현코아루.apti.co.kr,아파트,경기도 안성시 남파로 73-9,위탁관리,계단식,20061201,0316712445,829,97435.93,0.0,695.0,134.0,0.0,74724.18,20,20,0,23,17568,37.0168563228203,127.256479840488
A45629001,안성동광1차아파트,4155013300,경기도,안성시,중리동,,경기도 안성시 중리동 616 안성동광1차아파트,분양,개별난방,102544.266,14,930.0,동광종합토건(주),동광종합토건(주),0316755308,www.asdg.kr,아파트,경기도 안성시 서운로 791-9,위탁관리,계단식,20070919,0316735305,930,83782.02,570.0,360.0,0.0,0.0,64690.5,15,15,1,31,17597,36.9802098215243,127.267195110719
