kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020889,안양어반포레 자연& e편한세상 1단지,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 710-72 안양어반포레 자연& e편한세상 1단지,혼합,지역난방,21290.258,1,194.0,DL ENC,92540387131,0314473334,(주)신대한관리,아파트,경기도 안양시 만안구 삼덕로 43,위탁관리,복도식,20231223,0314473335,194,8467.218,194.0,0.0,0.0,0.0,8467.2173,17,0,3,1,,37.3932748675143,126.920775055428
A10020899,안양어반포레자연앤e편한세상4단지,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 590-19 안양어반포레자연앤e편한세상4단지,분양,지역난방,43043.38,3,368.0,DL-이앤씨,경기주택도시공사,0314687774,,아파트,경기도 안양시 만안구 냉천로 93,위탁관리,혼합식,20250123,0314687775,368,27902.303,0.0,228.0,140.0,0.0,27902.302,29,0,2,0,,37.3896608433725,126.924881939173
A10020901,안양 어반포레 자연& e편한세상 3단지,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 618-12 안양 어반포레 자연& e편한세상 3단지,분양,지역난방,239320.45,12,1676.0,DL E&C,"경기주택도시공사, DL E&C 컨소씨엄",0314683351,https://xn--e3-235ig3otxfu3h1xac8vrua0s56lh5h0l0bwuaw6o.apti.co.kr/aptHome/,아파트,경기도 안양시 만안구 냉천로 125,위탁관리,계단식,20250122,0314683352,1676,167017.14,0.0,488.0,1188.0,0.0,167017.1384,29,0,2,41,,37.3914239415469,126.921925350735
A10020950,안양역푸르지오더샵,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 97-3 안양역푸르지오더샵,분양,지역난방,385245.4,21,2736.0,"대우건설, 포스코건설",안양1동 진흥아파트 주택재건축정비사업조합,0314412006,,아파트,경기도 안양시 만안구 안양천서로 249,위탁관리,계단식,20241018,0314412007,2736,252761.98,176.0,1352.0,1208.0,0.0,252761.98,37,0,2,77,,37.3985896825302,126.927594923946
A10021017,안양성원아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 164-12 안양성원아파트,분양,개별난방,14583.68,1,130.0,성원건설,연흥오공재건축조합,024688552,,아파트,경기도 안양시 만안구 태평로 76,위탁관리,복도식,19980318,0314698552,130,12065.6,90.0,40.0,0.0,0.0,8723.25,20,20,2,2,,37.3962848430735,126.928589036811
A10021746,우성1차아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 735- 우성1차아파트,분양,개별난방,13761.0,4,210.0,우성종합토건,우성종합토건,0314415662,,아파트,경기도 안양시 만안구 능곡로 36,자치관리,계단식,19881223,0314415663,210,13761.0,190.0,20.0,0.0,0.0,10341.6,1,5,1,0,,37.3914554340778,126.913572609179
A10022076,유일보노빌,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 782-15 유일보노빌,분양,,5829.0,1,135.0,유일산업개발,유경종합건설,0313462105,,도시형 생활주택(아파트),경기도 안양시 만안구 병목안로 16,위탁관리,복도식,20130726,,135,2189.7,135.0,0.0,0.0,0.0,2189.7,10,10,3,2,,37.3991005158808,126.918654840649
A10022915,뉴골든아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 1024-1 뉴골든아파트,분양,개별난방,16019.82,4,222.0,하나주택,하나주택,0314663619,,아파트,경기도 안양시 만안구 병목안로 129-27,자치관리,계단식,19880204,0314663619,222,15564.06,190.0,32.0,0.0,0.0,11718.96,5,5,1,0,14023,37.3901702824484,126.910394020597
A10023653,아르테자이,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 18-1 아르테자이,분양,개별난방,145557.22,12,1021.0,gs건설,예술공원주변지구주택재개발정비사업조합,0314719181,,주상복합,경기도 안양시 만안구 경수대로1166번길 10,위탁관리,계단식,20230427,0314719182,1021,89333.05,604.0,417.0,0.0,0.0,65169.23,28,28,3,2,13914,37.4171960420448,126.919154912318
A10023738,두산위브더아티움,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 1438 두산위브더아티움,혼합,개별난방,73007.0,6,558.0,두산건설(주),삼영아파트주변지구주택재개발정비사어조합,0314712822,,아파트,경기도 안양시 만안구 예술공원로 51,위탁관리,혼합식,20230103,0314712823,558,47376.727,331.0,227.0,0.0,0.0,35855.2201,25,25,2,15,13957,37.4123318154869,126.915439766732
A10024178,광신프로그레스리버뷰,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 1429 광신프로그레스리버뷰,분양,개별난방,29634.85,3,230.0,광신종합건설,동성2차아파트 주택재건축정비사업조합,0314472800,,아파트,경기도 안양시 만안구 전파로61번길 20,위탁관리,혼합식,20210614,024472801,230,19977.95,164.0,66.0,0.0,0.0,14600.02,34,34,2,4,14084,37.3910737157319,126.940160853731
A10024404,안양씨엘포레자이아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 19-1 안양씨엘포레자이아파트,혼합,개별난방,189008.0,13,1394.0,지에스건설(주),소곡지구주택재개발정비사업조합,0313603771,,아파트,경기도 안양시 만안구 소곡로 78,위탁관리,혼합식,20210225,0313603772,1394,122559.74,748.0,607.0,39.0,0.0,184123.4354,27,27,5,39,14090,37.388075927704,126.923173440837
A10024678,안양센트럴 헤센 1차,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 433-2 안양센트럴 헤센 1차,분양,개별난방,62207.42,2,188.0,신한종합건설,(주)케이엔비,0314699083,,주상복합,경기도 안양시 만안구 안양로 174,위탁관리,혼합식,20200730,0314699084,188,15691.44,188.0,0.0,0.0,0.0,11260.68,25,25,4,8,14033,37.3898265220824,126.929837551835
A10025045,안양 명학역유보라더스마트아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 576-1 안양 명학역유보라더스마트아파트,분양,개별난방,25795.0,2,200.0,반도건설,반도건설,0314699398,,주상복합,경기도 안양시 만안구 안양로 96,위탁관리,계단식,20200121,0314699399,200,16514.7,100.0,100.0,0.0,0.0,12196.01,26,26,3,4,14035,37.3839787532217,126.9343209889
A10025294,서희아리채,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 533-22 서희아리채,분양,개별난방,25762.19,4,138.0,서희건설,서희건설,0314656674,,주상복합,경기도 안양시 만안구 문예로52번길 19,위탁관리,계단식,20060630,0314656679,138,22772.873,0.0,138.0,0.0,0.0,11408.32,21,19,4,4,14035,37.385628161158,126.933986894967
A10025706,안양역 한양수자인 리버파크 아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 80-4 안양역 한양수자인 리버파크 아파트,혼합,개별난방,55938.25,4,419.0,(주)한양,청원아파트주택재건축정비사업조합,0314689912,,아파트,경기도 안양시 만안구 안양천서로 357,위탁관리,계단식,20190125,0314689914,419,38560.027,261.0,156.0,2.0,0.0,57944.0734,29,29,2,8,13993,37.4056732132744,126.920406669444
A10025811,영화아이닉스아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 817-15 영화아이닉스아파트,분양,개별난방,179870.0,1,136.0,영화건설,영화건설,0314744277,,아파트,경기도 안양시 만안구 만안로 368,자치관리,계단식,20030611,0314744278,136,15077.5,37.0,79.0,0.0,20.0,11772.508,20,20,1,4,13966,37.4112394201664,126.914563213437
A10026351,안양신성미소지움아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 752-20 안양신성미소지움아파트,혼합,개별난방,20695.01,3,115.0,신성건설주식회사,.,0314478335,,아파트,경기도 안양시 만안구 능곡로36번길 19,자치관리,계단식,20080929,0314478336,115,14111.15,0.0,81.0,34.0,0.0,10812.9866,14,14,2,6,14022,37.3922215907117,126.912615346786
A10027336,래미안안양메가트리아,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 1393 래미안안양메가트리아,분양,지역난방,593850.75,35,4250.0,"1/3공구:삼성물산, 2공구 : 동부",토지주택공사,0314414250,raemianmt.co.kr,아파트,경기도 안양시 만안구 안양천서로 177,위탁관리,혼합식,20161026,0314414254,4250,428956.16,2037.0,1634.0,384.0,195.0,317673.07,32,32,2,88,14038,37.3944297791971,126.932352069957
A43001001,명지캐럿 주상복합,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 534-5 명지캐럿 주상복합,분양,개별난방,27747.0,1,162.0,명지건설,동성아파트 재건축 조합,0314417667,명지캐럿162.apti.co.kr/Home/,주상복합,경기도 안양시 만안구 만안로 17,위탁관리,계단식,20060728,0314664643,180,24544.44,0.0,162.0,0.0,0.0,12962.3778,20,20,4,4,14035,37.3848666343527,126.934668787578
A43001002,미래엠피아,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 815-13 미래엠피아,분양,개별난방,25381.59,1,167.0,MID건설(주),미래부동산투자개발(주),0314660036,미래엠피아.ma-um.co.kr,주상복합,경기도 안양시 만안구 만안로 272,자치관리,복도식,20031030,0314410036,167,17376.639,14.0,138.0,15.0,0.0,12703.2,19,19,6,3,13991,37.4042504953521,126.919996262017
A43001003,안양경남아너스빌,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 78 안양경남아너스빌,분양,개별난방,30061.62,2,248.0,20231004,대아(경남아너스빌),0314642134,,아파트,경기도 안양시 만안구 태평로 214,위탁관리,계단식,20011110,0313428596,248,24335.688,96.0,152.0,0.0,0.0,18662.544,20,20,2,8,13993,37.4061315320541,126.92009467306
A43001004,세양청마루,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 435-9 세양청마루,분양,개별난방,38839.11,1,271.0,(주)세양건설,(주)세양건설,0314419661,,주상복합,경기도 안양시 만안구 만안로 91,위탁관리,복도식,20081121,0314419668,271,18824.64,101.0,170.0,0.0,0.0,18824.64,20,20,4,6,14033,37.3912491879848,126.931599565892
A43001005,안양우성3차,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 730-6 안양우성3차,,,0.0,1,71.0,,,,,아파트,경기도 안양시 만안구 능곡로 50,기타,,,,0,0.0,35.0,30.0,6.0,0.0,5451.21,1,6,0,0,14022,37.390371716736,126.913493902621
A43071005,안양동삼성래미안,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 90-1 안양동삼성래미안,분양,개별난방,226978.55,17,1998.0,삼성물산,삼성물산건설부분,0314662831,안양삼성래미안.apti.co.kr,아파트,경기도 안양시 만안구 안양천서로 311,위탁관리,계단식,20020125,0314662832,2012,198505.73,486.0,1512.0,0.0,0.0,146758.7322,27,27,2,37,13994,37.4023225723154,126.924082091639
A43071202,안양대우,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 70 안양대우,분양,개별난방,49441.0,5,498.0,(주)대우,(주)대우,0314733582,,아파트,경기도 안양시 만안구 경수대로1001번길 116,위탁관리,계단식,19910920,0313413582,498,48417.48,0.0,498.0,0.0,0.0,39588.02,15,15,0,18,13959,37.4058427830967,126.922988366618
A43071701,성원1차아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 767 성원1차아파트,분양,개별난방,115852.234,8,934.0,성원건설(주),성원건설(주),0314414668,성원1차.apti.co.kr,아파트,경기도 안양시 만안구 병목안로 81,자치관리,혼합식,19951113,0314645554,934,101147.016,384.0,358.0,192.0,0.0,75983.82,25,25,2,18,14021,37.3946188149945,126.914290719652
A43072401,안양동 삼성,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 32-1 안양동 삼성,분양,개별난방,42654.0,4,366.0,삼성종합건설주식회사,삼성종합건설주식회사,0314715898,삼성.ma-um.co.kr,아파트,경기도 안양시 만안구 예술공원로 59,위탁관리,혼합식,19941208,0313472593,366,39074.18,134.0,192.0,40.0,0.0,29664.72,25,25,1,8,13957,37.4132406771016,126.915444731886
A43073101,대안탐스빌산마루,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 398-35 대안탐스빌산마루,,,0.0,1,65.0,,,0314691283,,아파트,,기타,,,0314451281,0,0.0,0.0,65.0,0.0,0.0,4843.9269,1,9,0,0,,37.3804476254627,126.930052463745
A43075008,수리산현대홈타운2단지,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 1062-2 수리산현대홈타운2단지,분양,개별난방,25661.572,2,140.0,현대건설,현대건설,0314640356,수리산현대홈타운2단지.ma-um.co.kr,아파트,경기도 안양시 만안구 창박로 30,위탁관리,계단식,20011110,,140,21556.6,0.0,24.0,116.0,0.0,16264.956,16,16,1,5,14025,37.3847848260482,126.904358616253
A43075306,안양주공뜨란채,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 1380 안양주공뜨란채,분양,지역난방,122986.49,11,1093.0,LH주택공사,LH주택공사,0314416202,www.ayjg1apt.com,아파트,경기도 안양시 만안구 안양천서로 289,위탁관리,혼합식,20041115,0314416203,1093,122450.15,586.0,427.0,80.0,0.0,76675.48,25,25,1,24,13994,37.4003621013474,126.925881843475
A43075603,안양성원2차,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 714-27 안양성원2차,분양,개별난방,23245.535,2,171.0,성원산업개발,성원산업개발,0314498179,안양성원2차.ma-um.co.kr,아파트,경기도 안양시 만안구 병목안로 61,위탁관리,혼합식,19961213,0314498179,171,16894.98,75.0,96.0,0.0,0.0,12606.48,16,16,2,4,14003,37.395777964165,126.915773901573
A43075701,빌로채주상복합아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 533-6 빌로채주상복합아파트,분양,개별난방,23243.76,3,153.0,(주)에코솔루션,(주)에코솔루션 대표 황종식 외96명,0314425336,billoche.apti.co.kr,주상복합,경기도 안양시 만안구 만안로 35,위탁관리,계단식,20091130,0314425344,153,23243.76,0.0,153.0,0.0,0.0,12972.87,20,20,5,7,14035,37.3862354891882,126.934055468647
A43081502,준마,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 192-9 준마,임대,개별난방,34642.6,3,348.0,한일개발(주),한국마사회,0314447001,,아파트,경기도 안양시 만안구 덕천로 140,자치관리,혼합식,19890718,0314447003,348,33028.96,0.0,348.0,0.0,0.0,24457.88,12,12,0,7,14085,37.391997685783,126.937152982033
A43081601,한승미메이드,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 155-2 한승미메이드,분양,개별난방,26517.035,1,218.0,한승건설,한승건설,0314410818,한승미메이드.ma-um.co.kr,아파트,경기도 안양시 만안구 태평로60번길 16,위탁관리,계단식,20050330,0314416323,218,19249.688,152.0,66.0,0.0,0.0,14575.68,22,22,2,5,14037,37.3953927832363,126.929711639116
A43081801,삼호수정,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 377-1 삼호수정,분양,개별난방,29154.5,3,250.0,삼호건설,삼호건설,0314428073,,아파트,경기도 안양시 만안구 안양로13번길 11,위탁관리,혼합식,19961122,0314438073,250,17442.65,140.0,110.0,0.0,0.0,17442.65,22,22,2,3,14096,37.3767690421435,126.93994212087
A43082901,성원5차,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 618-77 성원5차,분양,개별난방,21851.95,1,192.0,성원건설,성원건설(주),0314491852,성원5차.ma-um.co.kr,아파트,경기도 안양시 만안구 현충로 102,위탁관리,혼합식,19970418,0314491851,192,19776.383,109.0,62.0,21.0,0.0,14107.235,21,21,1,4,14031,37.3901141890363,126.920132341584
A43083201,안양벽산,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 627-72 안양벽산,분양,개별난방,31743.0,3,275.0,벽산건설,한국건업(주),0314662167,벽산.ma-um.co.kr,아파트,경기도 안양시 만안구 장내로120번길 11,자치관리,복도식,19850923,0314693706,275,30545.746,0.0,275.0,0.0,0.0,21787.15,11,11,1,3,13997,37.3963902117128,126.922223765477
A43083401,냉천마을현대아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 708-9 냉천마을현대아파트,분양,개별난방,39345.7,2,314.0,현대건설,현대건설,0314471284,,아파트,경기도 안양시 만안구 삼덕로 57,위탁관리,복도식,19970605,0314641285,314,34733.96,126.0,156.0,32.0,0.0,24339.12,22,22,2,4,14027,37.3934852811091,126.919082022628
A43083402,수리산성원상떼빌2차,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 708-196 수리산성원상떼빌2차,분양,개별난방,44919.21,7,436.0,성원산업개발(주),동덕아파트재건축조합,0314420053,https://xn--2-h09ex4hm4fnpd6c10b49czzt8nn.apti.co.kr/,아파트,경기도 안양시 만안구 삼덕로63번길 32,위탁관리,계단식,20070213,0314420766,436,44919.21,95.0,297.0,44.0,0.0,35727.063,22,22,3,12,14027,37.3927614475675,126.917714900329
A43083502,수리산성원상떼빌1차,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 709-16 수리산성원상떼빌1차,분양,개별난방,70245.05,5,469.0,성원건설,성원건설,0314690076,,아파트,경기도 안양시 만안구 장내로 76,위탁관리,계단식,20061227,0314692112,469,49432.12,102.0,311.0,56.0,0.0,38691.736,23,23,3,14,14027,37.3938590660529,126.917060400837
A43083603,율목주공,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 969-1 율목주공,분양,개별난방,37061.965,4,339.0,대양건설(주),대한주택공사,0314692206,http://율목주공.apti.co.kr,아파트,경기도 안양시 만안구 병목안로110번길 12,위탁관리,혼합식,20000630,0313422206,339,30723.72,187.0,152.0,0.0,0.0,23024.25,20,20,2,0,14012,37.3938531840482,126.909647800089
A43083604,효성화운트빌,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 976-6 효성화운트빌,분양,개별난방,47952.0,4,350.0,효성건설(주),(주)효성,0313420200,효성화운트빌.apti.co.kr/aptHome/,아파트,경기도 안양시 만안구 병목안로130번길 83,위탁관리,계단식,20030730,0314640100,350,39200.0,0.0,350.0,0.0,0.0,29669.85,24,24,2,10,14019,37.3930786314698,126.905005663945
A43083607,안양프라자,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 762-2 안양프라자,분양,개별난방,56834.29,6,637.0,태평양건설(주),태평양건설(주),0314491994,안양프라자.apti.co.kr,아파트,경기도 안양시 만안구 병목안로 103,위탁관리,혼합식,19870423,0314686714,637,54788.008,341.0,296.0,0.0,0.0,41771.16,15,15,1,16,14020,37.393667929337,126.912152914866
A43084203,정우,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 911-1 정우,분양,개별난방,32452.0,2,351.0,정우개발,정우개발,0314473199,,아파트,경기도 안양시 만안구 양화로 53,위탁관리,혼합식,19851211,0314433199,351,31293.049,91.0,260.0,0.0,0.0,23500.49,13,13,1,7,14010,37.3982359416371,126.912290786854
A43084204,진흥5차아파트,4117110100,경기도,안양만안구,안양동,,경기도 안양만안구 안양동 908-4 진흥5차아파트,분양,개별난방,36423.65,5,432.0,진흥기업(주),진흥기업(주),0314432295,진흥5차.ma-um.co.kr,아파트,경기도 안양시 만안구 양화로71번길 24,위탁관리,혼합식,19870803,0314432291,432,36423.65,144.0,288.0,0.0,0.0,28823.76,12,12,1,12,14009,37.400544694528,126.91141269851
