kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021801,해모로아파트,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 652- 해모로아파트,분양,개별난방,18251.0,4,120.0,한진중공업,한진중공업,0317737778,,아파트,경기도 양평군 양근로137번길 11,위탁관리,계단식,20070809,0317737622,120,14104.543,0.0,97.0,23.0,0.0,11087.1846,1,12,1,6,,37.4937542432385,127.488151444359
A10022492,양평코아루리버팰리스아파트,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 655- 양평코아루리버팰리스아파트,분양,개별난방,26851.0,3,136.0,우남건설,한국토지신탁,0317741053,,아파트,경기도 양평군 양근로 133,위탁관리,혼합식,20100312,0317741054,136,19412.873,0.0,33.0,73.0,30.0,15953.853,15,15,2,6,,37.4937585112031,127.487576125488
A10022783,더샵양평리버포레,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 538-1 더샵양평리버포레,분양,개별난방,80384.0,6,453.0,(주)포스코,(주)양평유타워,03180797791,management.postown.net,아파트,경기도 양평군 마유산로 33,위탁관리(직영+위탁),계단식,20240403,03180797792,453,50066.516,0.0,453.0,0.0,0.0,37045.3427,23,23,4,5,12546,37.4986419061222,127.48567692375
A10022983,양평역 한라비발디아파트,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 24-41 양평역 한라비발디아파트,분양,개별난방,241324.0,16,1602.0,(주)한라건설,"(주)한라건설, (주)하나자산신탁",0317717012,aptner.com,아파트,경기도 양평군 중앙로 33,위탁관리,계단식,20231220,0317717013,1602,161524.02,346.0,1180.0,76.0,0.0,124984.2878,20,20,2,46,12551,37.4974433174286,127.49283217131
A10023294,양평역센트럴시티,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 664 양평역센트럴시티,분양,개별난방,37857.914,4,248.0,일신건영,일신건영,03180797117,,아파트,경기도 양평군 시민로24번길 33,위탁관리,계단식,20230228,03180797118,248,24654.732,77.0,171.0,0.0,0.0,18317.9576,20,20,2,6,12561,37.4877670644112,127.496399727848
A10023918,센트럴파크 써밋 아파트,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 128-2 센트럴파크 써밋 아파트,분양,개별난방,59785.02,5,486.0,일신건영,양평양근지역주택조합,0317717017,,아파트,경기도 양평군 역전길 55,위탁관리,계단식,20220225,0317717019,486,47003.695,0.0,486.0,0.0,0.0,36221.193,26,26,1,12,12553,37.4931063747072,127.489426706986
A47680107,양평일신건영휴먼빌,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 654 양평일신건영휴먼빌,분양,개별난방,23537.69,4,168.0,일신건영주식회사,일신건영주식회사,0317755980,,아파트,경기도 양평군 관문길 70,위탁관리,계단식,20090320,0317755981,168,18266.88,0.0,168.0,0.0,0.0,14212.47,15,15,1,6,12552,37.4957449733,127.49260728529
A47680110,현대성우오스타코아루,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 376-8 현대성우오스타코아루,분양,개별난방,52120.047,1,197.0,성우종합건설(주),(주)한국토지신탁,0317749961,없음,주상복합,경기도 양평군 역전길 22,자치관리,계단식,20120224,0317749893,197,36088.87,0.0,0.0,54.0,143.0,27958.545,38,38,5,5,12556,37.4920204306915,127.490852865642
A47680202,양평 에스케이뷰,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 651 양평 에스케이뷰,분양,개별난방,25266.01,4,168.0,에스케이건설(주),유국건설주식회사,0317729962,ypskview.apti.co.kr,아파트,경기도 양평군 양근로 119,위탁관리,혼합식,20060215,0317729963,168,18674.465,0.0,147.0,21.0,0.0,14542.08,14,14,1,6,12553,37.494835787346,127.486319903721
A47680203,양평그린1차아파트,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 91-5 양평그린1차아파트,분양,개별난방,24028.63,2,220.0,한국자원건설(주),한국자원건설(주),0317717061,,아파트,경기도 양평군 중앙로 14,자치관리,계단식,19920729,0317717066,220,24028.63,0.0,179.0,41.0,0.0,19509.6,15,15,0,8,12552,37.4966131552444,127.490663542876
A47680204,양평그린2차,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 137-48 양평그린2차,분양,개별난방,24998.61,1,252.0,한국자원건설(주),한국자원건설(주),0317728512,,아파트,경기도 양평군 중앙로 12,자치관리,계단식,19950612,0317721420,252,23219.836,104.0,148.0,0.0,0.0,18474.41,15,15,0,8,12552,37.4964481993136,127.490008277407
A47680205,현대,4183025021,경기도,양평군,양평읍,양근리,경기도 양평군 양평읍 양근리 140-5 현대,분양,개별난방,36270.7,4,358.0,현대건설,백운건설,0317734663,현대.ma-um.co.kr,아파트,경기도 양평군 관문길 68-9,자치관리,계단식,19960930,0317734644,358,33110.906,200.0,148.0,10.0,0.0,25811.46,22,22,1,11,12552,37.50151643578296,127.42178206227629
A10020813,양평 공흥3 휴먼빌 아틀리에,4183025025,경기도,양평군,양평읍,공흥리,경기도 양평군 양평읍 공흥리 418- 양평 공흥3 휴먼빌 아틀리에,분양,개별난방,59112.867,4,406.0,일신건영,코리아신탁,0317757815,,아파트,경기도 양평군 양평읍 시민로 116,위탁관리,계단식,20250226,0317757817,406,44126.688,0.0,406.0,0.0,0.0,33466.3643,26,26,1,0,,37.4896076272612,127.504249776542
A10027441,양평한신휴플러스,4183025025,경기도,양평군,양평읍,공흥리,경기도 양평군 양평읍 공흥리 885 양평한신휴플러스,분양,개별난방,43919.883,5,350.0,한신공영(주),대한토지신탁(주),0317737171,,아파트,경기도 양평군 중앙로167번길 8,위탁관리,계단식,20160701,0317735040,350,32714.406,128.0,222.0,0.0,0.0,24513.8553,18,18,1,0,12550,37.4928186238138,127.507737419075
A47680106,행복마을,4183025025,경기도,양평군,양평읍,공흥리,경기도 양평군 양평읍 공흥리 883 행복마을,분양,개별난방,33133.0,5,490.0,한국주택공사,한국주택공사,0317750883,,아파트,경기도 양평군 남북로 55-8,자치관리,복도식,20030521,0317750884,490,32343.803,490.0,0.0,0.0,0.0,21505.9,15,15,0,10,12561,37.4881975162404,127.500617060657
A47680108,벽산블루밍2단지,4183025026,경기도,양평군,양평읍,백안리,경기도 양평군 양평읍 백안리 876 벽산블루밍2단지,분양,개별난방,86535.38,7,441.0,벽산건설(주),쉐르빌CPI산업개발,0317718016,www.ypblooming2.com/,아파트,경기도 양평군 중앙로167번길 62,자치관리,계단식,20100826,0317718018,441,50272.414,0.0,65.0,370.0,6.0,50272.4124,19,19,2,0,12549,37.4963148612858,127.515310163098
A47680109,양평벽산블루밍1단지,4183025026,경기도,양평군,양평읍,백안리,경기도 양평군 양평읍 백안리 875 양평벽산블루밍1단지,분양,개별난방,84377.0,8,487.0,벽산건설,경기도시개발,0317734975,ypblooming.net,아파트,경기도 양평군 중앙로167번길 60,위탁관리,계단식,20100826,0317734976,495,61927.008,0.0,197.0,284.0,6.0,49742.4672,18,18,2,16,12549,37.4944556726813,127.510303433166
A10023310,리버파크어반입주자대표회의,4183025032,경기도,양평군,양평읍,창대리,경기도 양평군 양평읍 창대리 527-2 리버파크어반입주자대표회의,분양,개별난방,59952.367,5,420.0,(주)일신건영,더파인피엔씨,0317758940,,아파트,경기도 양평군 양근로 312,위탁관리,계단식,20230522,0317758941,420,45823.71,0.0,420.0,0.0,0.0,34306.1877,21,21,1,12,12562,37.4812583544258,127.498406448229
A10023413,포레나양평,4183025032,경기도,양평군,양평읍,창대리,경기도 양평군 양평읍 창대리 650-12 포레나양평,분양,개별난방,58507.29,7,438.0,(주)한화/건설,코리아신탁 / 에스와이피,03180797795,,아파트,경기도 양평군 남북로 53,위탁관리,계단식,20230417,03180797796,438,40573.836,171.0,267.0,0.0,0.0,31140.1008,24,24,2,13,12561,37.487301416642,127.500885386944
A10023849,양평까뮤이스테이트,4183025032,경기도,양평군,양평읍,창대리,경기도 양평군 양평읍 창대리 836 양평까뮤이스테이트,분양,개별난방,32631.0,16,233.0,까뮤이앤씨,탐스H&D,0317758684,,아파트,경기도 양평군 충신로 408,위탁관리,계단식,20220421,0317758685,234,26105.0,0.0,233.0,0.0,0.0,19298.91,3,3,1,59,12563,37.4765569591626,127.502167026607
A10022526,양평우방아이유쉘에코리버,4183031021,경기도,양평군,강상면,병산리,경기도 양평군 강상면 병산리 24-1 양평우방아이유쉘에코리버,분양,개별난방,31998.0,3,219.0,sm스틸건설부문,(주)레드씨플래닝,0317727785,,아파트,경기도 양평군 강남로913번길 10,위탁관리,계단식,20240514,0317727786,219,22639.855,0.0,216.0,3.0,0.0,34305.2614,18,18,2,7,,37.4888581918323,127.479422101546
A10027126,양평2차 휴먼빌아파트,4183031021,경기도,양평군,강상면,병산리,경기도 양평군 강상면 병산리 1208 양평2차 휴먼빌아파트,분양,개별난방,60580.28,7,487.0,일신건영(주),일신건영(주),0317757115,hu2.kr,아파트,경기도 양평군 강남로 922,위탁관리,계단식,20170215,0317757116,487,44188.848,228.0,259.0,0.0,0.0,32059.7037,20,20,0,13,12571,37.4869660238728,127.479905024958
A47691101,양평현대성우1단지,4183031021,경기도,양평군,강상면,병산리,경기도 양평군 강상면 병산리 1205 양평현대성우1단지,분양,개별난방,26370.0,2,168.0,성우종합건설,한국주택진흥,0317722192,,아파트,경기도 양평군 강남로 921,위탁관리,계단식,20100331,0317720244,168,19304.902,0.0,110.0,58.0,0.0,15417.5062,15,15,1,6,12571,37.4877226013216,127.480080487652
A47691102,양평현대성우2단지,4183031021,경기도,양평군,강상면,병산리,경기도 양평군 강상면 병산리 1206 양평현대성우2단지,분양,개별난방,42386.94,7,270.0,성우건설(주),한국주택진흥(주),0317722194,,아파트,경기도 양평군 강남로 867,위탁관리,계단식,20100331,0317720257,270,31233.057,0.0,156.0,114.0,0.0,24425.4092,15,15,1,10,12571,37.4901756242409,127.473324197978
A47691103,양평현대성우3단지,4183031021,경기도,양평군,강상면,병산리,경기도 양평군 강상면 병산리 1207 양평현대성우3단지,분양,개별난방,38738.38,6,250.0,성우 종합 건설(주),한국 주택 진흥,0317722196,http://양평현대성우3단지.apti.co.kr,아파트,경기도 양평군 강남로 868,위탁관리,계단식,20100421,0317720268,250,28529.025,0.0,190.0,60.0,0.0,22415.2,15,15,1,9,12571,37.4873210716341,127.47447102877
A10023298,아이파크아파트,4183033021,경기도,양평군,양서면,양수리,경기도 양평군 양서면 양수리 1185 아이파크아파트,분양,개별난방,9114.0,2,92.0,HDC현대산업,문앤실바,0317715915,,,,자치관리,계단식,20090824,0317715915,92,4212.0,0.0,22.0,64.0,6.0,10940.85,14,14,1,4,12585,37.5436230283294,127.317981983225
A47682301,양수삼익,4183033021,경기도,양평군,양서면,양수리,경기도 양평군 양서면 양수리 621-13 양수삼익,분양,개별난방,29324.82,6,299.0,(주)삼익,(주)삼익,0317740353,,아파트,경기도 양평군 두물머리길8번길 26-3,자치관리,계단식,20000426,0317710406,299,28839.672,122.0,153.0,24.0,0.0,23193.18,17,17,1,12,12585,37.5443910530514,127.316164109555
A10023069,용문역반도유보라아이비파크,4183040024,경기도,양평군,용문면,다문리,경기도 양평군 용문면 다문리 1107 용문역반도유보라아이비파크,분양,개별난방,108648.0,9,740.0,(주)반도건설,(주)반도건설,0317740331,https://apti.co.kr,아파트,경기도 양평군 두담길 10,위탁관리,기타,20230724,0317740332,740,69330.445,396.0,344.0,0.0,0.0,52985.7708,23,23,2,20,12519,37.4807767348407,127.596460021479
