kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021239,삼한아파트,4167010200,경기도,여주시,홍문동,,경기도 여주시 홍문동 8-1 삼한아파트,혼합,개별난방,32000.0,4,156.0,삼한건설,삼한건설,0318853630,,아파트,경기도 여주시 세종로 135,자치관리,계단식,19911130,0220987099,156,13377.48,4.0,140.0,12.0,0.0,12482.52,5,5,1,0,,37.2861968600523,127.636404267998
A46970717,홍문현대,4167010200,경기도,여주시,홍문동,,경기도 여주시 홍문동 181 홍문현대,분양,개별난방,71019.55,6,673.0,(주)아주종합건설,현대건설,0318864823,,아파트,경기도 여주시 세종로 61,위탁관리,계단식,19960530,0318864824,673,64487.035,383.0,254.0,36.0,0.0,48398.18,23,23,0,1,12631,37.2922978317693,127.63696405121
A46971915,여주동원아파트,4167010200,경기도,여주시,홍문동,,경기도 여주시 홍문동 353 여주동원아파트,분양,개별난방,43690.89,7,504.0,동원개발주식회사,동원개발주식회사,0318810183,여주동원.apti.co.kr/,아파트,경기도 여주시 세종로 173-69,위탁관리,계단식,20010525,0318810184,504,37145.36,504.0,0.0,0.0,0.0,26919.006,18,18,1,15,12633,37.2835053618254,127.641138508719
A46972008,상우1차,4167010200,경기도,여주시,홍문동,,경기도 여주시 홍문동 377-1 상우1차,분양,개별난방,34557.62,2,336.0,상우종합건설,상우종합건설,0318851318,,아파트,경기도 여주시 세종로 173-65,위탁관리,혼합식,19930605,0318861951,336,33859.36,128.0,160.0,48.0,0.0,27114.96,16,16,1,8,12633,37.2834183688154,127.638997193689
A46970606,하리현대아파트,4167010700,경기도,여주시,하동,,경기도 여주시 하동 123 하리현대아파트,분양,개별난방,28961.223,4,305.0,현대산업개발 주식회사,현대산업개발 주식회사,0318863485,,아파트,경기도 여주시 청심로 79,위탁관리,계단식,19951202,0318863487,305,26159.031,201.0,104.0,0.0,0.0,20892.825,19,19,0,4,12619,37.3005240925694,127.629568519535
A10022724,여주역센트레빌트리니체아파트,4167010800,경기도,여주시,교동,,경기도 여주시 교동 673 여주역센트레빌트리니체아파트,분양,개별난방,57569.785,6,404.0,(주)동부건설,여주교동향교마을 지역주택조합,0318857587,,아파트,경기도 여주시 향교로 92,위탁관리(직영+위탁),계단식,20240228,0318857588,404,39360.668,0.0,404.0,0.0,0.0,39360.6677,20,20,2,12,12644,37.287157296261,127.624693456568
A10023206,여주역휴먼빌아트라움,4167010800,경기도,여주시,교동,,경기도 여주시 교동 412 여주역휴먼빌아트라움,분양,개별난방,98787.42,8,640.0,일신건영,일신건영,0318835505,yeojuvill.aptner.com,아파트,경기도 여주시 교동로 120,위탁관리,계단식,20230526,0318835507,640,65719.95,216.0,424.0,0.0,0.0,48997.424,19,19,0,22,12650,37.2795216691073,127.627942697348
A10023246,여주역 LH 3단지,4167010800,경기도,여주시,교동,,경기도 여주시 교동 194 여주역 LH 3단지,임대,개별난방,60439.0,7,705.0,GS건설,LH공사,0318856105,,아파트,,위탁관리,혼합식,20230428,0318856106,705,60160.24,705.0,0.0,0.0,0.0,27008.06,18,18,1,15,12632,37.285268254213,127.628836751575
A10023274,여주역 우남퍼스트빌,4167010800,경기도,여주시,교동,,경기도 여주시 교동  여주역 우남퍼스트빌,분양,개별난방,89492.914,8,602.0,(주)우남건설,(주)우남건설,0318847701,여주역우남퍼스트빌.apti.co.kr,아파트,경기도 여주시 교동로 115,위탁관리,계단식,20230414,0318847702,602,58926.57,320.0,176.0,106.0,0.0,44724.3778,18,18,2,0,12650,37.280072744182,127.630382282733
A10023660,여주역 금호어울림 베르티스,4167010800,경기도,여주시,교동,,경기도 여주시 교동 572 여주역 금호어울림 베르티스,분양,개별난방,89981.15,7,605.0,(주)금호건설,하일건설(주),0318852203,,아파트,경기도 여주시 세종로 230,위탁관리,계단식,20220826,0318852206,605,68759.53,0.0,578.0,22.0,5.0,51951.0976,27,27,1,0,12652,37.2765696334587,127.634365485179
