kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020193,고현마을 에센스빌,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 160 고현마을 에센스빌,분양,지역난방,7760.629,5,72.0,고려개발(주),고려개발(주),0312846355,,연립주택,경기도 용인시 기흥구 용구대로2152번길 7,위탁관리,계단식,20030731,0312846355,72,7457.688,0.0,0.0,72.0,0.0,7457.688,4,0,0,0,,37.2797982680839,127.107109283408
A10025253,이안 두드림기흥역,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 68-6 이안 두드림기흥역,분양,지역난방,15013.13,1,297.0,(주)대우산업개발,(주)대도산업건설,0312876977,이안두드림기흥역.apti.co.kr/apthome/default.asp,주상복합,경기도 용인시 기흥구 중부대로 376,위탁관리,복도식,20190910,0312876976,297,15013.13,297.0,0.0,0.0,0.0,5436.75,13,13,5,2,17064,37.2714574421973,127.108875146108
A10025541,신흥덕 롯데캐슬레이시티,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 736 신흥덕 롯데캐슬레이시티,분양,개별난방,217243.52,11,1597.0,롯데건설,(주)자광,0316937253,,아파트,경기도 용인시 기흥구 신정로 25,위탁관리,계단식,20190429,0316937254,1597,146928.34,1092.0,505.0,0.0,0.0,104836.3122,34,34,3,26,17094,37.2730954778418,127.101431429455
A10026093,용인기흥 우방아이유쉘 아파트,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 407 용인기흥 우방아이유쉘 아파트,분양,개별난방,50715.043,7,400.0,SM상선(주),(주)남선알미늄,0316938754,,아파트,경기도 용인시 기흥구 신정로41번길 31,위탁관리,계단식,20180823,0316938755,400,34899.215,294.0,106.0,0.0,0.0,25574.946,20,20,3,13,17094,37.2764366237461,127.100799752645
A10026407,삼익리베리움,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 71-35 삼익리베리움,분양,개별난방,6792.363,1,171.0,(주)에스아이하우징,(주)에스아이하우징,0312850033,,도시형 생활주택(아파트),경기도 용인시 기흥구 갈천로7번길 47,위탁관리,복도식,20170608,0312850030,171,6792.363,171.0,0.0,0.0,0.0,3061.71,13,11,4,0,17064,37.2703384908712,127.104723385184
A44658412,갈현마을현대홈타운,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 159 갈현마을현대홈타운,분양,지역난방,56184.0,8,584.0,현대건설,현대건설,0312869102,https://갈현마을현대홈타운.apti.co.kr,아파트,경기도 용인시 기흥구 관곡로 16,위탁관리,계단식,20010621,0312869103,584,48845.76,584.0,0.0,0.0,0.0,35016.056,13,13,0,24,16964,37.2811569983481,127.106551123415
A44658413,새천년그린빌주공3단지,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 707 새천년그린빌주공3단지,임대,지역난방,57155.85,9,693.0,서희,LH,0312810795,새천년그린빌3단지apt,아파트,경기도 용인시 기흥구 새천년로16번길 16,위탁관리,복도식,20060320,0312810796,693,56680.64,693.0,0.0,0.0,0.0,27498.17,15,15,0,16,16959,37.2892514676663,127.109815597556
A44658414,기흥더샵프라임뷰,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 733 기흥더샵프라임뷰,분양,지역난방,98869.305,8,612.0,포스코건설,신갈주공주택재건축정비사업조합,0312748912,http://primeview.postown.net,아파트,경기도 용인시 기흥구 구갈로 71-18,위탁관리,계단식,20130903,0312744144,612,68891.77,52.0,463.0,97.0,0.0,53585.449,26,26,3,15,16964,37.2826672623871,127.110737118808
A44658415,기흥역롯데캐슬스카이,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 63 기흥역롯데캐슬스카이,분양,개별난방,144440.0,3,625.0,롯데건설,제일유나이티드 1,0312873805,http://khsky.aptner.com/,주상복합,경기도 용인시 기흥구 중부대로 375,위탁관리,복도식,20141223,0312823666,625,71844.03,0.0,625.0,0.0,0.0,53027.605,31,31,6,9,17064,37.2719404348259,127.107852657512
A44658506,새릉골풍림,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 166 새릉골풍림,분양,지역난방,42153.0,5,340.0,동삼건영,풍림산업,0312876766,새릉골 풍림.apti.co.kr,아파트,경기도 용인시 기흥구 기흥로116번길 7,위탁관리,계단식,20010317,0312876767,340,37147.04,0.0,340.0,0.0,0.0,28885.89,19,19,1,10,16959,37.2871501043852,127.111318703141
A44658601,새천년그린빌주공2단지,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 682 새천년그린빌주공2단지,분양,지역난방,22511.1,4,238.0,신성건설(주),한국토지주택공사,0313053688,,아파트,경기도 용인시 기흥구 새천년로 27,위탁관리,계단식,20040617,0313053689,238,22510.04,238.0,0.0,0.0,0.0,14163.38,18,18,1,7,16958,37.290213058126,127.111738001307
A44658609,플랫폼시티더퍼스트아파트,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 681 플랫폼시티더퍼스트아파트,분양,지역난방,37859.727,7,414.0,kcc건설,한국토지주택공사,0312811380,,아파트,경기도 용인시 기흥구 새천년로 13,위탁관리,계단식,20060315,0312811381,414,30267.766,414.0,0.0,0.0,0.0,22634.8,20,20,1,10,16958,37.2895852199866,127.110581366157
A44658715,파크시엘아파트,4146310100,경기도,용인기흥구,신갈동,,경기도 용인기흥구 신갈동 703 파크시엘아파트,분양,지역난방,119018.0,14,923.0,"송촌건설, 신성건설",LH공사,0313056864,www.apartz.com/homepage/4497391/index.html,아파트,경기도 용인시 기흥구 새천년로 40,위탁관리,계단식,20040716,0313056865,923,118377.53,0.0,923.0,0.0,0.0,76189,21,21,1,29,16960,37.2882245520391,127.114198561785
