kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022681,용인드마크데시앙,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 309-1 용인드마크데시앙,혼합,개별난방,176731.0,8,1308.0,태영건설,태영건설,0313398241,,아파트,경기도 용인시 처인구 금령로90번길 11,위탁관리,계단식,20240328,0313398242,1308,173447.62,976.0,332.0,0.0,0.0,82804.9504,37,37,3,0,17051,37.2340516597422,127.205457175056
A10025935,스위트홈아파트,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 329-2 스위트홈아파트,분양,개별난방,14906.08,2,168.0,주식회사 태진종합건설,.,0313399081,,주상복합,경기도 용인시 처인구 금령로12번길 12,위탁관리,복도식,20161226,0313399082,189,13132.19,168.0,0.0,0.0,0.0,7688.14,15,15,2,2,17049,37.2339512861635,127.198212347459
A10026022,웰메이드시티337,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 84-3 웰메이드시티337,분양,개별난방,12610.456,1,299.0,(주)세정건설,코리아신탁,0313231060,,주상복합,경기도 용인시 처인구 금령로106번길 14-8,위탁관리,복도식,20180814,0313231061,299,12610.456,299.0,0.0,0.0,0.0,5609.9144,20,20,3,2,17051,37.2345837683508,127.207243318428
A10026993,유메이드,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 254-158 유메이드,분양,개별난방,17877.81,1,299.0,대양종합건설,협신개발,0313227353,,주상복합,경기도 용인시 처인구 금령로 43,위탁관리,복도식,20170210,0313227355,299,7991.4517,299.0,0.0,0.0,0.0,4880.3757,14,14,4,2,17050,37.2350929624375,127.201120887894
A44902002,삼환,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 502-2 삼환,분양,개별난방,21061.633,2,180.0,삼환,삼환까뮈,0313215045,삼환.ma-um.co.kr,아파트,경기도 용인시 처인구 중부대로1388번길 6-4,위탁관리,계단식,19991130,0313215046,180,19042.2,0.0,180.0,0.0,0.0,15298.2,18,18,1,5,17061,37.2331357792242,127.197871580251
A44902003,용인삼환나우빌아파트,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 516 용인삼환나우빌아파트,분양,개별난방,69902.0,10,458.0,"삼환기업,인덕산업","삼환기업,인덕산업",0313335277,,아파트,경기도 용인시 처인구 중부대로 1348,위탁관리,계단식,20080808,0313330307,458,52370.242,0.0,402.0,56.0,0.0,41146.9572,15,15,2,17,17061,37.2347371362997,127.193993074884
A44970501,용인김량장주공2단지,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 502-1 용인김량장주공2단지,임대,개별난방,40954.56,6,495.0,(주)한양,LH공사,0313210578,www.kohom.go.kr,아파트,경기도 용인시 처인구 중부대로1388번길 6-14,위탁관리,복도식,19981110,0313210579,495,40811.918,495.0,0.0,0.0,0.0,21943.05,15,15,2,8,17061,37.2336070084302,127.196040016323
A44970502,금호어울림아파트,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 526 금호어울림아파트,분양,개별난방,68140.27,7,484.0,금호산업(주),김량장주공아파트주택재건축정비사업조합,0313340981,용인김량장금호어울림.apti.co.kr,아파트,경기도 용인시 처인구 금령로13번길 13,위탁관리,기타,20091124,0313340982,484,46468.78,270.0,178.0,36.0,0.0,34805.706,18,18,2,14,17048,37.2366019643714,127.197790934347
A44970503,용인에스원스마트빌,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 63-9 용인에스원스마트빌,분양,개별난방,12247.73,1,299.0,두손건설,(주)에스원디앤씨,0313349533,,주상복합,경기도 용인시 처인구 백옥대로 1104,,복도식,20140630,0313349534,299,9795.743,299.0,0.0,0.0,0.0,3754.9408,15,15,3,0,17051,37.2341415411794,127.209391465262
A44970904,김량장동현대아파트,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 4-2 김량장동현대아파트,분양,개별난방,76220.0,7,755.0,현대산업개발,현대산업개발,0313386366,,아파트,경기도 용인시 처인구 백옥대로1068번길 12,위탁관리,계단식,19951214,0313386365,755,69000.79,546.0,209.0,0.0,0.0,50383.05,21,21,0,18,17063,37.2292990888889,127.211752887497
A44992701,신우,4146110100,경기도,용인처인구,김량장동,,경기도 용인처인구 김량장동 503-3 신우,분양,개별난방,21528.32,3,176.0,신우,신우,0313210989,신우.ma-um.co.kr,아파트,경기도 용인시 처인구 중부대로1388번길 12,위탁관리,계단식,19991029,0313210949,176,21527.264,0.0,0.0,176.0,0.0,17598.24,18,18,1,5,17061,37.2326153723789,127.197687551642
A10023051,역북동 서희스타힐스 포레스트 아파트,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 233 역북동 서희스타힐스 포레스트 아파트,분양,개별난방,248641.45,21,1872.0,서희건설,용인역북지역주택조합외1,0313399774,,아파트,경기도 용인시 처인구 낙은로 100-30,위탁관리,계단식,20230330,0313399775,1872,176235.94,830.0,1042.0,0.0,0.0,130594.8652,28,28,6,45,17045,37.2457294469997,127.194859234676
A10025716,역북신원아침도시아파트,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 795 역북신원아침도시아파트,분양,개별난방,59966.207,5,452.0,신원종합건설,용인2구역 주택재건축정비사업조합,0313230295,ybswmorning.com,아파트,경기도 용인시 처인구 낙은로 11,위탁관리,계단식,20190201,0313230296,452,59768.38,282.0,170.0,0.0,0.0,29250.7048,25,25,2,12,17046,37.2385704552006,127.197317788422
A10026217,용인 명지대역 동원로얄듀크아파트,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 734 용인 명지대역 동원로얄듀크아파트,분양,개별난방,118857.02,10,842.0,(주)동원종합건설,(주)동원종합건설,0313236301,,아파트,경기도 용인시 처인구 명지로16번길 26,위탁관리,계단식,20180622,0313236302,844,77736.25,598.0,244.0,0.0,0.0,56618.803,29,29,2,22,17054,37.2356068835221,127.185291322676
A10026630,우미 린 센트럴파크,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 736 우미 린 센트럴파크,분양,개별난방,182336.05,10,1260.0,명선종합건설,명선종합건설,0313348580,wmlcp.xisnd.co.kr/,아파트,경기도 용인시 처인구 명지로16번길 25,위탁관리,기타,20171124,0313348581,1260,98365.2,378.0,882.0,0.0,0.0,96451.9458,34,34,2,1,17055,37.2332338175126,127.185165049744
A10026640,역북 푸르지오,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 809 역북 푸르지오,분양,개별난방,175738.33,11,1259.0,대우건설,신영에셋,0313347155,yeokbukprugio.aptner.com/,아파트,경기도 용인시 처인구 명지로40번길 35-16,위탁관리,계단식,20171124,0313347157,1260,126450.63,373.0,886.0,0.0,0.0,94058.9744,30,30,2,25,17056,37.2306803434491,127.18226097255
A10026765,용인역북골드클래스아파트,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 808 용인역북골드클래스아파트,분양,개별난방,88763.766,6,623.0,보광종합건설(주)외 1사,골드디움(주),0313323305,gold623.apti.co.kr,아파트,경기도 용인시 처인구 명지로40번길 35-29,위탁관리,계단식,20170929,0313323306,623,61380.008,246.0,377.0,0.0,0.0,46311.3136,29,29,2,0,17056,37.2308219194505,127.184400660885
A10027347,역북2단지 우남퍼스트빌아파트,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 282 역북2단지 우남퍼스트빌아파트,임대,개별난방,68001.87,7,505.0,(주)우남건설,(주)우남건설,0313332831,,아파트,경기도 용인시 처인구 낙은로 59,위탁관리,계단식,20161024,0313332832,505,49944.156,0.0,505.0,0.0,0.0,37141.3427,20,20,1,17,17045,37.2415236089635,127.196679365345
A10027349,역북1단지 우남퍼스트빌 아파트,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 291-8 역북1단지 우남퍼스트빌 아파트,임대,개별난방,54854.5,6,409.0,(주)우남건설,(주)우남건설,0313220168,,아파트,경기도 용인시 처인구 낙은로 60,위탁관리,계단식,20161024,0313220169,409,39146.44,0.0,409.0,0.0,0.0,29013.6831,20,20,2,13,17045,37.2427209713758,127.196863141001
A44972201,역북마을금강,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 721-2 역북마을금강,분양,개별난방,18830.646,2,150.0,금강종합건설,금강종합건설,0313388462,역북마을금강.ma-um.co.kr,아파트,경기도 용인시 처인구 명지로 15-29,위탁관리,계단식,19990414,0313388463,150,16340.7,0.0,150.0,0.0,0.0,12741.75,18,18,1,5,17057,37.2347450748545,127.190658312781
A44972202,역북마을보성,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 721-3 역북마을보성,분양,개별난방,28234.7,3,162.0,보성,보성,0313226109,역북마을보성.ma-um.co.kr,아파트,경기도 용인시 처인구 명지로 15-33,위탁관리,계단식,20001114,0313236109,162,22631.184,0.0,36.0,126.0,0.0,18016.74,18,18,1,5,17057,37.2350054175335,127.191644125489
A44972203,역북마을신성,4146110200,경기도,용인처인구,역북동,,경기도 용인처인구 역북동 721-1 역북마을신성,분양,개별난방,52237.77,8,475.0,(주)신성건설,(주)신성건설,0313359448,역북마을신성.ma-um.co.kr,아파트,경기도 용인시 처인구 명지로 15-5,위탁관리,계단식,19981218,0313359449,475,39107.68,475.0,0.0,0.0,0.0,28416.53,18,18,2,15,17057,37.2354205089921,127.189754074397
A10020302,힐스테이트 용인포레,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 447-15 힐스테이트 용인포레,임대,개별난방,294307.44,1,1950.0,현대엔지니어링(주),(주)동남현대카이트제십호기업형임대위탁관리부동산투자회사,0313343301,,아파트,경기도 용인시 처인구 중부대로 1168,위탁관리,계단식,20251231,0313343302,1950,200885.38,0.0,784.0,1166.0,0.0,200885.3743,38,0,4,40,,37.2340137251116,127.173281779566
A44971803,진우,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 265 진우,분양,개별난방,63097.33,5,582.0,진우건설,진우건설,0313362054,cafe.naver.com/jwapt1144,아파트,경기도 용인시 처인구 중부대로 1144,위탁관리,계단식,19990313,0313362052,582,57071.94,332.0,250.0,0.0,0.0,41116.72,25,25,1,12,17091,37.2388157946696,127.172143024956
A44971901,용인삼가풍림,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 117 용인삼가풍림,분양,개별난방,42162.0,5,377.0,풍림산업(주),풍림산업(주),0313354865,용인삼가풍림.ma-um.co.kr,아파트,경기도 용인시 처인구 금학로1번길 9,위탁관리,계단식,19981219,0313234865,377,30941.973,377.0,0.0,0.0,0.0,22571.73,20,20,2,10,17017,37.2452786266036,127.167046540248
A44978002,우남퍼스트빌,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 537 우남퍼스트빌,분양,개별난방,61945.426,7,451.0,우남건설,우남건설,0313229389,www.woonam.apti.kr,아파트,경기도 용인시 처인구 금학로 91,위탁관리,계단식,20031128,0313229329,451,49199.59,0.0,451.0,0.0,0.0,38246.0628,17,17,3,14,17017,37.2401835987824,127.173980330492
A44980404,행정타운늘푸른오스카빌,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 550 행정타운늘푸른오스카빌,분양,개별난방,98328.0,9,675.0,늘푸른주택,늘푸른주택,0313232450,,아파트,경기도 용인시 처인구 중부대로1158번길 12,위탁관리,계단식,20041210,0313052450,675,73914.29,46.0,629.0,0.0,0.0,55554.57,20,20,3,20,17091,37.2376115088833,127.170550930152
A44980405,용인행정타운두산위브2단지,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 563 용인행정타운두산위브2단지,분양,개별난방,112556.71,9,624.0,두산중공업,주)opa,0313386211,www.ealimi.com,아파트,경기도 용인시 처인구 지삼로590번길 9,위탁관리,계단식,20131129,0313386213,624,80580.0,0.0,408.0,144.0,72.0,62821.92,20,20,3,18,17090,37.2404522884643,127.167354380587
A44980406,용인행정타운두산위브1단지,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 562 용인행정타운두산위브1단지,분양,개별난방,40535.96,3,199.0,두산중공업,한국자산신탁,0313227671,,아파트,경기도 용인시 처인구 지삼로590번길 24,위탁관리,계단식,20131129,0313227672,199,25793.65,0.0,0.0,199.0,0.0,20754.66,18,18,3,0,17090,37.2385122249144,127.164671831216
A44980407,용인행정타운두산위브3단지,4146110300,경기도,용인처인구,삼가동,,경기도 용인처인구 삼가동 564 용인행정타운두산위브3단지,분양,개별난방,91104.66,7,470.0,두산중공업,오피에이,0313396313,용인행정타운두산위브3단지.apti.co.kr,아파트,경기도 용인시 처인구 지삼로590번길 29,위탁관리,계단식,20131129,0313396315,470,63252.98,0.0,254.0,140.0,76.0,49805.27,20,20,3,15,17091,37.23981823994,127.169118531027
A44903001,삼라마이다스빌,4146110400,경기도,용인처인구,남동,,경기도 용인처인구 남동 684 삼라마이다스빌,분양,개별난방,19075.79,3,159.0,(주)삼라건설,(주)삼라건설,0313392834,,아파트,경기도 용인시 처인구 명지로 307,위탁관리,계단식,20040102,0313392835,159,17238.48,0.0,159.0,0.0,0.0,13496.9241,12,12,0,7,17063,37.2281701147784,127.20980855426
A10022690,용인보평역서희스타힐스리버파크,4146110500,경기도,용인처인구,유방동,,경기도 용인처인구 유방동 330-1 용인보평역서희스타힐스리버파크,분양,개별난방,256322.4,21,1963.0,(주)서희건설,용인보평역지역주택조합,0313398086,,아파트,경기도 용인시 처인구 한터로 55-30,위탁관리,계단식,20240329,0313398087,1963,252628.11,1423.0,536.0,4.0,0.0,122196.2204,36,36,2,40,17041,37.2554902333234,127.215617494666
A44972402,용인인정프린스2차,4146110500,경기도,용인처인구,유방동,,경기도 용인처인구 유방동 1007-50 용인인정프린스2차,분양,개별난방,31410.0,3,330.0,인정건설(주),인정건설(주),0313331514,,아파트,경기도 용인시 처인구 경안천로 378,위탁관리,계단식,19950602,0313380491,330,30401.38,178.0,152.0,0.0,0.0,23473.44,19,19,1,9,17038,37.2646120521987,127.216779994487
A44972403,인정프린스1차,4146110500,경기도,용인처인구,유방동,,경기도 용인처인구 유방동 1007-1 인정프린스1차,분양,개별난방,28934.78,4,375.0,인정건설,인정건설,0313360491,인정프린스1차.ma-um.co.kr,아파트,경기도 용인시 처인구 금어로 6,위탁관리,혼합식,19940422,0313370491,375,28934.25,375.0,0.0,0.0,0.0,21681,15,15,1,11,17038,37.2649107799949,127.216318629405
