kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021354,부성파인아파트,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 27-5 부성파인아파트,분양,개별난방,9505.0,1,136.0,부성종합건설,부성종합건설,0318232290,,주상복합,경기도 의정부시 호국로1332번길 55,위탁관리,복도식,20180821,,136,9505.646,136.0,0.0,0.0,0.0,7436.8812,20,20,1,0,,37.7416772850537,127.052351003342
A10021459,이든타워아파트,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 442- 이든타워아파트,분양,개별난방,5669.0,1,127.0,이든건설,이은건설,0318766028,,주상복합,경기도 의정부시 흥선로154번길 51,위탁관리,복도식,20180320,0328766029,143,4751.4355,126.0,0.0,1.0,0.0,3240.154,1,16,0,1,,37.7390453447938,127.044048868226
A10021609,태림 더끌리움씨티,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 492-1 태림 더끌리움씨티,분양,개별난방,0.0,1,130.0,(주)태림건설,(주)태림리더스,0318766071,,아파트,경기도 의정부시 시민로 46,위탁관리,복도식,20200929,0318766072,130,3457.6257,130.0,0.0,0.0,0.0,1926.6,1,16,2,1,,37.737948604251,127.04024183731
A10021618,베르우스,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 163-8 베르우스,분양,개별난방,81311504.0,1,126.0,시공종합건설주식회사,베르우스,0318373101,,아파트,경기도 의정부시 평화로 487,위탁관리,혼합식,20180518,0318373102,138,7191.171,126.0,0.0,0.0,0.0,4890.18,20,20,1,2,,37.7354609728428,127.047413732202
A10022396,의정부역 스카이자이아파트,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 238-10 의정부역 스카이자이아파트,분양,개별난방,56338.0,2,393.0,GS건설(주),해동시티개발(주),0319519217,,주상복합,경기도 의정부시 평화로 583,위탁관리,계단식,20240829,0319519218,393,39781.33,0.0,393.0,0.0,0.0,29611.11,49,49,6,3,,37.744006865155,127.046004565859
A10022673,이안더센트로의정부,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 146-1 이안더센트로의정부,분양,개별난방,31378.0,1,154.0,(주)부성종합건설,대신주택2,0318567331,,,경기도 의정부시 시민로 145,위탁관리,복도식,20240208,0318567332,154,17142.71,0.0,154.0,0.0,0.0,12985.5264,29,29,0,3,11695,37.737906442535,127.051362462742
A10022721,힐스테이트의정부역,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 240-130 힐스테이트의정부역,분양,개별난방,27024.27,1,172.0,현대건설,(주)클라우드라인,0318766399,,주상복합,경기도 의정부시 신흥로 316,위탁관리,계단식,20240214,0318766398,172,27024.27,32.0,138.0,2.0,0.0,13756.762,49,49,4,5,11664,37.7445313339051,127.043350592129
A10023034,의정부역푸르지오더센트럴,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 394-11 의정부역푸르지오더센트럴,혼합,개별난방,177998.0,9,926.0,대우건설,중앙생활권3구역주택재개발정비사업조합,0318798894,https://의정부역푸르지오더센트럴.apti.co.kr,아파트,경기도 의정부시 경의로132번길 69,위탁관리,계단식,20230830,0318798895,926,77997.66,44.0,604.0,278.0,0.0,77997.66,35,0,3,21,11701,37.7301192912845,127.050471581634
A10023719,의정부역센트럴자이앤위브캐슬,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 724 의정부역센트럴자이앤위브캐슬,혼합,개별난방,218917.0,17,2473.0,의정부 중앙생활권2구역 주택재개발 정비사업,"LG자이, 두산위브, 롯데캐슬",0318260822,,아파트,경기도 의정부시 경의로 132,위탁관리,혼합식,20220727,0318260823,2473,218916.84,1594.0,813.0,66.0,0.0,163318.409,36,36,2,58,11699,37.7318263028177,127.051644701855
A10023988,한양수자인파크뷰,4115010100,경기도,의정부시,의정부동,,경기도 의정부시 의정부동 369-2 한양수자인파크뷰,분양,개별난방+기타,11227.01,1,299.0,(주)한양,(주)한양글로벌디앤이,0318732227,,,경기도 의정부시 경의로 108,위탁관리,복도식,20201221,0318732228,299,7732.9478,299.0,0.0,0.0,0.0,8986.2022,25,25,2,2,11700,37.7328495685914,127.047493745807
