kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021703,청자아파트,4150010100,경기도,이천시,창전동,,경기도 이천시 창전동 417-2 청자아파트,분양,개별난방,8558.0,3,100.0,동산토건,OB맥주,03100000000,,아파트,경기도 이천시 향교로31번길 3,자치관리,계단식,19860703,0000000000,100,100.0,45.0,55.0,0.0,0.0,5933.125,1,5,0,0,,37.2853704514595,127.440849732736
A10023946,"창전현대아파트(1차, 2차, 직장조합)",4150010100,경기도,이천시,창전동,,"경기도 이천시 창전동 1-2 창전현대아파트(1차, 2차, 직장조합)",분양,개별난방,45804.29,5,481.0,현대건설,현대건설,0316352427,,아파트,경기도 이천시 향교로 144-11,자치관리,혼합식,19850813,0316362427,481,44666.703,122.0,359.0,0.0,0.0,34256.955,15,15,0,13,17362,37.2832430861656,127.45335734722
A46772601,산호2차,4150010100,경기도,이천시,창전동,,경기도 이천시 창전동 44-1 산호2차,분양,개별난방,16504.45,1,151.0,(주)산호건설,(주)산호건설,0316367808,산호2차.ma-um.co.kr,아파트,경기도 이천시 향교로107번길 12,자치관리,복도식,19911028,0316336808,151,16472.727,0.0,151.0,0.0,0.0,12826.695,13,13,0,3,17357,37.2845883247487,127.449933623514
A46780702,대호2차,4150010100,경기도,이천시,창전동,,경기도 이천시 창전동 456 대호2차,분양,개별난방+기타,18017.08,1,150.0,대호건영(주),대호건영(주),0316370554,대호2차.ma-um.co.kr,아파트,경기도 이천시 영창로227번길 30,자치관리,계단식,19930304,0316370554,150,17645.22,0.0,108.0,42.0,0.0,12779.9,15,15,0,6,17363,37.2821232513744,127.448112728638
A10021029,이천자이더파크,4150010200,경기도,이천시,관고동,,경기도 이천시 관고동 13-1 이천자이더파크,분양,개별난방,123358.12,11,706.0,GS건설,교보자산신탁(주),03180119051,,아파트,경기도 이천시 영창로 53,위탁관리,계단식,20241121,03180119052,706,76373.69,205.0,400.0,101.0,0.0,57113.4483,25,25,3,29,,37.2882008125867,127.432855445123
A46770301,관고동벽산블루밍,4150010200,경기도,이천시,관고동,,경기도 이천시 관고동 514 관고동벽산블루밍,분양,개별난방,39103.72,3,227.0,벽산,벽산,0316373997,lcbs3997.hanmail.net,아파트,경기도 이천시 영창로 108,위탁관리,계단식,20100428,0316373998,227,29075.33,0.0,111.0,116.0,0.0,22768.14,20,20,2,6,17366,37.2830069471407,127.435300736998
A46770403,두산,4150010200,경기도,이천시,관고동,,경기도 이천시 관고동 185-12 두산,분양,개별난방,62640.34,4,517.0,두산건설(주),두산건설(주),0316387967,두산.ma-um.co.kr,아파트,경기도 이천시 영창로 90,자치관리,계단식,19980629,0316380994,517,46988.7,209.0,260.0,48.0,0.0,38971.11,24,24,3,13,17366,37.2841486418119,127.432277431425
A46770502,산호1차,4150010200,경기도,이천시,관고동,,경기도 이천시 관고동 226-8 산호1차,분양,개별난방,18344.05,3,236.0,산호건설,산호건설,0316365518,산호1차.ma-um.co.kr,아파트,경기도 이천시 경충대로2716번길 19,위탁관리,복도식,19910614,0316365502,236,17997.85,0.0,236.0,0.0,0.0,16182.88,12,12,1,4,17367,37.2807521805685,127.435061892972
A10020231,이천중리 우미린 트리쉐이드아파트,4150010300,경기도,이천시,중리동,,경기도 이천시 중리동 498 이천중리 우미린 트리쉐이드아파트,분양,개별난방,145802.4,11,849.0,우미건설(주),이천중리비투피에프브이주식회사,0316362111,,아파트,경기도 이천시 신중리로 61,위탁관리,계단식,20260212,0316362113,849,94709.25,0.0,0.0,849.0,0.0,94709.2505,20,0,2,0,,37.274463650134,127.441763445187
A46771401,라온팰리스,4150010300,경기도,이천시,중리동,,경기도 이천시 중리동 213 라온팰리스,분양,개별난방,52703.31,1,194.0,라온건설(주),(주)이천중앙시장,0316320059,,주상복합,경기도 이천시 중리천로 76,위탁관리,계단식,20091021,0316339030,194,18277.357,0.0,121.0,73.0,0.0,18277.358,28,28,5,5,17374,37.2784472664647,127.445737709735
