kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020342,금촌역더트루엘센트리지,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 1313- 금촌역더트루엘센트리지,분양,개별난방,33743.86,2,300.0,일성건설,금촌역신일해피트리,0319413789,,주상복합,경기도 파주시 금정로 102,위탁관리,계단식,20251001,0319413790,303,22087.19,300.0,0.0,0.0,0.0,15816.3,26,26,4,6,,37.7641127102651,126.772361464299
A10021367,장안4차하나아파트,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 951-5 장안4차하나아파트,분양,개별난방,1105880.0,1,108.0,장안건설,장안건설,0319452470,장안건설,아파트,경기도 파주시 금정5길 20,위탁관리,복도식,19960613,,108,143016.0,78.0,30.0,0.0,0.0,7180.2,15,15,1,2,,37.7567792050858,126.77502822767
A10021532,장안밀레니엄아파트,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 792-1 장안밀레니엄아파트,분양,개별난방,0.0,1,139.0,(주)장안종합건설,(주)장안종합건설,0319435557,,주상복합,경기도 파주시 문화로 10,위탁관리,계단식,20000121,0319435558,139,16961.91,0.0,107.0,32.0,0.0,13409.87,1,21,2,0,,37.7561861217166,126.779328806118
A10021661,파주 금촌3차 동문아파트,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 17-16 파주 금촌3차 동문아파트,분양,개별난방,15207.0,3,123.0,동문건설,동문건설,0319457530,,아파트,경기도 파주시 정담길 85-9,위탁관리,혼합식,19990907,,123,12787.1,42.0,72.0,9.0,0.0,9752.13,13,13,1,5,,37.7704937052587,126.77546701538
A10021681,동문 2차 아파트,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 16- 동문 2차 아파트,분양,개별난방,11327.0,1,128.0,동문건설,동문건설,0319448979,,아파트,경기도 파주시 정담길 80,위탁관리,혼합식,19951129,,128,11246.0,82.0,46.0,0.0,0.0,8790.36,1,13,0,0,,37.7708361741769,126.775284719324
A10021906,한일유앤아이아파트 2단지,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 1014-1 한일유앤아이아파트 2단지,분양,,23949.0,3,148.0,한일건설(주),대한토지신탁(주),0319578067,,아파트,경기도 파주시 금신초교길 56,위탁관리,계단식,20070917,,148,18760.906,0.0,89.0,59.0,0.0,14922.8174,15,15,1,5,,37.768956149718,126.770801573036
A10023678,현대타워입주자대표회의,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 52-39 현대타워입주자대표회의,분양,,0.0,1,72.0,현대건설(주),해원개발,0319495254,,주상복합,,자치관리(직영),복도식,19971022,,0,0.0,4.0,0.0,40.0,28.0,10700.76,20,20,6,2,,37.7633869473936,126.775678482085
A10023949,천년가골든뷰,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 52-45 천년가골든뷰,분양,개별난방,10333.308,1,210.0,새천년건설,HB산업,0319494571,,아파트,경기도 파주시 마무리길 77,위탁관리,복도식,20210706,0319494572,210,10333.298,210.0,0.0,0.0,0.0,8284.836,26,26,2,2,10930,37.7626940788337,126.776280359647
A10023960,금촌에이스큐브,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 69 금촌에이스큐브,분양,개별난방+기타,11489.0,1,224.0,태룡건설,가인행복,0319439990,,아파트,경기도 파주시 금정18길 17,위탁관리,복도식,20201221,0319439910,224,2383.122,224.0,0.0,0.0,0.0,3599.12,10,10,2,3,10929,37.761245791083,126.774678895404
A41301001,한일유앤아이(1014-0),4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 1014 한일유앤아이(1014-0),분양,개별난방,20891.762,2,180.0,한일건설 (주),대한토지신탁(주),0319578067,,아파트,경기도 파주시 금신초교길 72,위탁관리,계단식,20060823,0319578069,180,17205.66,0.0,180.0,0.0,0.0,13478.292,15,15,1,0,10852,37.7694459497459,126.771005720513
A41301002,장안미래아파트,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 51-49 장안미래아파트,분양,개별난방,24959.0,3,208.0,장안건설(주),장안건설(주),0319451995,장안미래아파트,아파트,경기도 파주시 아동로 20,위탁관리,복도식,19930922,0319451949,208,21550.55,78.0,130.0,0.0,0.0,15282.54,15,15,1,4,10930,37.7638829170804,126.776478790932
A41301004,금촌대영장미1차,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 230-1 금촌대영장미1차,분양,개별난방,27412.0,2,244.0,대영,대영,0319457583,,아파트,경기도 파주시 황골로 26,위탁관리,복도식,19941129,0319436846,244,22524.502,114.0,130.0,0.0,0.0,17807.76,15,15,2,4,10921,37.7550382445834,126.771456040148
A41301005,금촌두보3차,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 234-22 금촌두보3차,분양,개별난방,30504.42,1,252.0,두보건설,두보건설,0319441935,금촌두보3차.ma-um.co.kr,아파트,경기도 파주시 황골로 40,위탁관리,계단식,19971014,0319391930,252,21985.74,180.0,36.0,36.0,0.0,17809.56,18,18,2,7,10921,37.754766444377,126.773333089354
A41301006,대영장미6차,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 228-4 대영장미6차,분양,개별난방,30734.0,1,259.0,대영주택건설,대영주택건설,0319482668,대영장미6차.ma-um.co.kr,아파트,경기도 파주시 황골로 6,위탁관리,계단식,20001027,0319482669,259,25175.955,110.0,130.0,19.0,0.0,19198.38,19,19,2,0,10921,37.7546896926085,126.76897675533
A41301007,금촌두보1차2차,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 234-17 금촌두보1차2차,분양,개별난방,27094.213,3,296.0,두보건설주식회사,두보건설주식회사,0319457473,없음,아파트,경기도 파주시 한마음2길 13,위탁관리,복도식,19941130,0319457476,296,27094.213,246.0,50.0,0.0,0.0,18878.53,15,15,0,6,10925,37.7560675448192,126.772220098873
A41301008,대영장미3차,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 233-6 대영장미3차,분양,개별난방,29325.0,2,298.0,대영주택건설(주),대영주택건설(주),0319417680,,아파트,경기도 파주시 황골로 22,위탁관리,계단식,19970522,0319419493,298,27064.56,129.0,169.0,0.0,0.0,22093.08,19,19,0,8,10921,37.7544671657731,126.77124605136
A41301010,금촌동현,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 781-2 금촌동현,분양,개별난방,34419.48,5,406.0,동현건설(주),동현건설(주),0319449694,금촌동현.ma-um.co.kr,아파트,경기도 파주시 중앙로 226,위탁관리,복도식,19901204,0319449693,406,33629.22,252.0,154.0,0.0,0.0,25814.58,15,15,0,6,10932,37.7578419808244,126.780280076528
A41301011,대방노블랜드2차,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 1015 대방노블랜드2차,분양,개별난방,72155.77,8,488.0,대방건설(주),대방건설(주),0319422816,,아파트,경기도 파주시 마음밭길 114,위탁관리,계단식,20061025,0319480373,488,52561.977,0.0,204.0,284.0,0.0,42923.2488,17,17,2,17,10852,37.7699796512871,126.770481410406
A41301012,풍림아이원,4148010100,경기도,파주시,금촌동,,경기도 파주시 금촌동 1008 풍림아이원,분양,개별난방,101388.0,9,563.0,풍림산업,풍림산업,0319390101,,아파트,경기도 파주시 후곡로 77,위탁관리,계단식,20051122,0319390102,563,62111.75,0.0,0.0,563.0,0.0,62114.639,20,20,1,14,10918,37.7495734219103,126.774159092716
