kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021388,은하아파트,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 167-4 은하아파트,분양,개별난방,0.0,2,120.0,알수없음,알수없음,0315351767,,아파트,경기도 포천시 포천로 1605-1,자치관리,계단식,19850819,,120,6108.0,120.0,0.0,0.0,0.0,6109.2,1,5,1,0,,37.8998317927545,127.200550890805
A10021897,포천골든아파트,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 9-4 포천골든아파트,분양,,4024.0,2,139.0,주식회사 골든주택,주식회사 골든주택,0315358917,,아파트,경기도 포천시 중앙로197번길 7,위탁관리,계단식,19930128,07040323412,139,4023.63,43.0,91.0,5.0,0.0,10186.98,20,20,1,2,,37.9023404969081,127.206834521785
A10024847,"포천신읍코아루더스카이 1,2단지",4165010100,경기도,포천시,신읍동,,"경기도 포천시 신읍동 205-1 포천신읍코아루더스카이 1,2단지",분양,개별난방,36958.0,3,254.0,동우개발(주),(주)한국토지신탁,0315332626,,주상복합,경기도 포천시 원앙로 56-8,위탁관리,계단식,20200207,0315332627,308,24306.596,0.0,254.0,0.0,0.0,19239.5407,26,26,1,8,11144,37.9008570067562,127.204408900237
A48770307,유한,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 143-4 유한,분양,개별난방,32985.273,3,354.0,유한주택,대광종합건설(주),0315340110,유한.ma-um.co.kr,아파트,경기도 포천시 왕방로 159,위탁관리,계단식,19991009,0315340224,354,31891.62,150.0,204.0,0.0,0.0,26313.09,25,25,0,8,11141,37.89719053245,127.194461641551
A48770408,포천일신,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 307 포천일신,분양,개별난방,31841.67,2,483.0,(주)일신,(주)일신 제네콘,0315332582,,아파트,경기도 포천시 호병골길 41-5,위탁관리,복도식,19990409,0315332583,483,31841.67,483.0,0.0,0.0,0.0,21658.74,22,22,1,6,11141,37.8969539293877,127.19016963684
A48770603,한국,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 295-23 한국,분양,개별난방,26125.814,2,264.0,한국건설(주),한국건설(주),0315353512,cafe.daum.net/hankugapt,아파트,경기도 포천시 호병골길 16,위탁관리,복도식,19930317,0315333512,264,24566.04,99.0,150.0,15.0,0.0,18346.62,15,15,1,3,11141,37.8975971250183,127.192820727396
A48770704,포천한신아파트,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 227-8 포천한신아파트,분양,개별난방,28655.0,2,269.0,세한주택,한신공영,0315364666,http://cafe.daum.net/hansin.apt.,아파트,경기도 포천시 학동로 47,위탁관리,계단식,19970617,0315314667,269,24628.86,140.0,129.0,0.0,0.0,19231.54,23,23,1,8,11142,37.9030622241492,127.201600271162
A48770801,현대,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 235-11 현대,분양,개별난방,18657.047,2,170.0,고려산업개발(주),고려산업개발(주),0315359964,,아파트,경기도 포천시 포천로 1642,자치관리,계단식,19961018,0315329964,170,16003.3,80.0,90.0,0.0,0.0,12442.1,15,15,1,7,11142,37.9025886860135,127.198847601092
A48771901,포천신읍휴먼시아1단지,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 700 포천신읍휴먼시아1단지,임대,개별난방,28112.0,4,360.0,일광실업(주),한국토지주택공사,0315338425,,아파트,경기도 포천시 왕방로118번길 7,위탁관리,복도식,20100827,0315338426,360,27852.436,360.0,0.0,0.0,0.0,15667.56,14,14,1,7,11148,37.8946609635992,127.192866161885
A48772202,백자,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 315-4 백자,분양,개별난방,21553.0,2,179.0,창현건설,창현건설,0315362026,포천백자타운.apti.co.kr,아파트,경기도 포천시 왕방로130번길 5,위탁관리,계단식,20040316,0315362026,179,17974.92,75.0,90.0,14.0,0.0,13694.09,15,15,2,7,11148,37.8951794572799,127.193469965016
A48780505,포천극동1차스타클래스,4165010100,경기도,포천시,신읍동,,경기도 포천시 신읍동 697-1 포천극동1차스타클래스,분양,개별난방,34575.59,6,280.0,극동건설(주),(주)알렌시솔루션,0315340220,포천극동1차스타클래스.ma-um.co.kr,아파트,경기도 포천시 왕방로130번길 29,위탁관리,계단식,20050805,0315340235,280,31729.646,0.0,232.0,48.0,0.0,25279.7746,15,15,1,11,11148,37.892993899655,127.195407172493
