kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A46512001,창우마을,4145010300,경기도,하남시,창우동,,경기도 하남시 창우동 537 창우마을,분양,개별난방,18918.62,1,154.0,정송종합건설,등촌연립재건축조합,0317912110,창우마을.ma-um.co.kr,아파트,경기도 하남시 대청로116번길 25,자치관리,계단식,20040918,0317912109,154,10590.22,94.0,60.0,0.0,0.0,10590.0378,20,20,2,0,12955,37.5379683808526,127.22473942467
A46512002,하남은행,4145010300,경기도,하남시,창우동,,경기도 하남시 창우동 520 하남은행,분양,개별난방,210405.0,20,1360.0,"뉴서울주택, 한신공영, 동부건설, 남강토건, 쌍용건설","뉴서울주택, 한신공영, 동부건설, 남강토건, 쌍용건설",0317940593,하남은행.apti.co.kr,아파트,경기도 하남시 대청로116번길 30,위탁관리,계단식,19940530,0317940592,1360,189040.0,0.0,0.0,1360.0,0.0,157190.4,18,18,1,40,12954,37.5395106476699,127.221577916983
A46571004,부영,4145010300,경기도,하남시,창우동,,경기도 하남시 창우동 518 부영,분양,개별난방,186160.27,15,2055.0,동광주택산업(주),동광주택산업(주),0317938073,hanambooyoung.com,아파트,경기도 하남시 대청로 119,자치관리,복도식,19941209,0317938072,2055,152423.17,2055.0,0.0,0.0,0.0,111393.75,15,15,0,30,12944,37.5396041257891,127.227384330767
A46571103,꿈동산 신안아파트,4145010300,경기도,하남시,창우동,,경기도 하남시 창우동 521 꿈동산 신안아파트,분양,개별난방,210750.84,21,1704.0,신안종합건설,신안종합건설,0317937828,http://하남꿈동산신안.apti.co.kr,아파트,경기도 하남시 대청로116번길 59,위탁관리,계단식,19941220,0317944125,1704,184778.83,0.0,1704.0,0.0,0.0,144743.01,18,18,0,48,12955,37.5355941643526,127.225492960742
A10022293,동신아파트,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 452-1 동신아파트,분양,개별난방,0.0,1,149.0,(주)동신,(주)동신,0317947787,우리네,,,자치관리,계단식,20010504,0317947826,149,16555.39,0.0,149.0,0.0,0.0,12660.53,20,20,2,4,,37.5371122921749,127.210337741538
A10022435,명지캐럿108,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 415-10 명지캐럿108,분양,개별난방,16532.0,1,108.0,명지건설(주),명지건설(주),0317915686,,,경기도 하남시 하남대로 815,위탁관리,복도식,20060213,,108,16531.92,0.0,90.0,18.0,0.0,9128.7,20,20,0,3,,37.5412043665665,127.206967021151
A10024119,하남호반써밋에듀파크,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 577 하남호반써밋에듀파크,분양,지역난방,81984.805,6,999.0,호반건설,에이원프로젝트,0317963756,,아파트,경기도 하남시 하남유니온로 10,위탁관리,계단식,20210806,0317963757,999,81984.805,999.0,0.0,0.0,0.0,59754.2292,25,25,3,25,12948,37.545775545283,127.211913823232
A10025930,하남유시티대명루첸리버파크,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 593 하남유시티대명루첸리버파크,분양,지역난방,130800.0,8,854.0,(주)대명종합건설,(주)대명종합건설,0317953530,dmluceen.com,아파트,경기도 하남시 하남유니온로 30,위탁관리,계단식,20180928,0317953531,854,85869.84,0.0,854.0,0.0,0.0,63489.96,25,25,2,22,12948,37.5456730133242,127.21296466117
A10026837,하남유니온시티에일린의뜰아파트,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 602 하남유니온시티에일린의뜰아파트,분양,지역난방,114049.79,8,754.0,아이에스동서(주),아이에스동서(주),0317967868,www.hneileen.com,아파트,경기도 하남시 하남유니온로 70,위탁관리,계단식,20170818,0317967869,754,81919.5,0.0,754.0,0.0,0.0,62180.59,25,25,1,17,12942,37.5440430759785,127.220155269212
A46503001,동일하이빌,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 100 동일하이빌,분양,개별난방,70417.36,5,438.0,동일토건,동일토건,0317943840,하남신장동일.apti.co.kr,아파트,경기도 하남시 대청로59번길 20,위탁관리,혼합식,19990908,0317933840,438,52390.91,131.0,147.0,80.0,80.0,44315.29,20,20,2,11,12946,37.5412738223844,127.219448867118
A46503002,에코타운2단지아파트,4145010600,경기도,하남시,신장동,,경기도 하남시 신장동 561 에코타운2단지아파트,분양,개별난방,64543.59,5,488.0,현대산업개발(주),도시개발공사,0317770520,없음,아파트,경기도 하남시 하남대로802번길 55,위탁관리,계단식,20041118,0317770522,488,54346.74,0.0,488.0,0.0,0.0,40791.9,23,23,1,12,12949,37.5421750406978,127.210518638148
