kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024147,송산그린시티 대방노블랜드5차 리버파크,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 6 송산그린시티 대방노블랜드5차 리버파크,분양,지역난방,102152.0,8,608.0,대방건설,디비종합건설 주식회사,0313574133,,아파트,경기도 화성시 수노을1로 81,위탁관리,기타,20210726,0313574134,608,67897.87,0.0,548.0,60.0,0.0,52049.2466,20,20,1,17,18236,37.2911981566669,126.814432141017
A10024167,송산그린시티대방노블랜드6차,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 5 송산그린시티대방노블랜드6차,분양,지역난방,65537.0,5,390.0,대방건설,디비주택(주),0313557791,송산그린시티대방노블랜드6차.apti.co.kr,아파트,경기도 화성시 수노을1로 82,위탁관리,계단식,20210726,0313557792,390,43948.07,0.0,390.0,0.0,0.0,33147.5926,20,20,1,11,18236,37.2892149750707,126.813915999234
A10024717,송산모아미래도,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동  송산모아미래도,분양,지역난방,95487.34,8,585.0,(주)미래도건설,(주)미래도건설,0313565392,,아파트,경기도 화성시 수노을중앙로 293,위탁관리,계단식,20200630,0313565393,585,66279.15,0.0,509.0,76.0,0.0,50858.5052,20,20,1,16,18239,37.2758208809911,126.827676907474
A10025264,송산그린시티 금강펜테리움센트럴파크,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 19 송산그린시티 금강펜테리움센트럴파크,분양,지역난방,109538.79,9,692.0,금강주택,금강주택,0313572841,https://송산금강펜테리움센트럴파크.apti.co.kr,아파트,경기도 화성시 수노을1로 192,위탁관리,계단식,20190930,0313572847,692,77486.88,0.0,692.0,0.0,0.0,58336.02,20,20,1,0,18237,37.2839256895427,126.8207967706
A10025272,송산화성대방노블랜드리버스위트아파트,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 11 송산화성대방노블랜드리버스위트아파트,분양,지역난방,71761.0,6,426.0,대방건설,대방개발주식회사,0313653168,,아파트,경기도 화성시 수노을1로 107,위탁관리,계단식,20190812,0313653169,426,46826.74,0.0,386.0,40.0,0.0,35749.7442,20,20,1,12,18237,37.2897957807443,126.817794674327
A10025305,송산대방노블랜드더센트럴,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 13 송산대방노블랜드더센트럴,분양,지역난방,142844.0,9,872.0,대방건설주식회사,디비개발,0313653278,,아파트,경기도 화성시 수노을1로 108,위탁관리,계단식,20190816,0313653279,872,97596.484,0.0,788.0,84.0,0.0,74546.7957,25,25,1,19,18237,37.2880467374251,126.816601822473
A10025384,송산 세영리첼 에듀파크아파트,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 26 송산 세영리첼 에듀파크아파트,분양,지역난방,87346.01,9,533.0,(주)세영종합건설,(주)세영개발,0313558740,,아파트,경기도 화성시 수노을중앙로 257,위탁관리,계단식,20190730,0313558741,533,61428.32,0.0,455.0,78.0,0.0,47485.2144,20,20,0,17,18239,37.2762620086449,126.826306054571
A10025988,송산요진와이시티,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동  송산요진와이시티,분양,지역난방,110301.0,9,680.0,요진건설(주),요진건설(주),0313564025,movill.net/18237,아파트,경기도 화성시 수노을1로 147,위탁관리,계단식,20181011,0313564092,680,76291.2,0.0,680.0,0.0,0.0,57212.8,20,20,1,18,18237,37.2872051724544,126.820186800724
A10026203,송산대방1차,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 14 송산대방1차,분양,지역난방,118582.62,8,731.0,(주)대방건설,대방이엔씨(주),0313577670,,아파트,경기도 화성시 수노을1로 148,위탁관리,기타,20180621,0313577671,731,82277.3,0.0,731.0,0.0,0.0,62114.7872,25,25,1,17,18237,37.2860901787007,126.819089621941
A10026260,송산이지더원레이크뷰아파트,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동  송산이지더원레이크뷰아파트,분양,지역난방,127537.0,11,782.0,라인건설(주),(주)이지아산산업,0313551095,송산이지더원레이크뷰.apti.co.kr,아파트,경기도 화성시 수노을1로 191,위탁관리,계단식,20180126,0313552691,782,85520.82,0.0,782.0,0.0,0.0,64494.9612,20,20,1,20,18237,37.2853300104831,126.822266521655
A10026352,송산그린시티반도유보라아이비파크,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 22 송산그린시티반도유보라아이비파크,분양,지역난방,153622.67,12,980.0,반도건설,제니스개발,0313550597,cafe.naver.com/songsanubora,아파트,경기도 화성시 수노을1로 236,위탁관리,계단식,20180125,0313560628,980,105476.086,0.0,980.0,0.0,0.0,80831.451,25,25,1,24,18238,37.2800889621264,126.821860395194
A10026527,더 펠리체 휴먼빌아파트,4159110100,경기도,화성만세구,새솔동,,경기도 화성만세구 새솔동 23 더 펠리체 휴먼빌아파트,분양,지역난방,114264.0,12,750.0,일신건영(주),일신건영(주),0313570392,더펠리체휴먼빌.apti.co.kr,아파트,경기도 화성시 수노을1로 235,위탁관리,계단식,20180118,0313570397,750,81175.1,0.0,750.0,0.0,0.0,60593.2608,20,20,1,0,18238,37.2799150734128,126.824522602503
A44571201,기아사원1차,4159125031,경기도,화성만세구,우정읍,화산리,경기도 화성만세구 우정읍 화산리 617-7 기아사원1차,임대,개별난방,19563.13,4,296.0,(주)기산,기아자동차,0313582629,,아파트,경기도 화성시 기아자동차로 561-6,자치관리,복도식,19920525,0313512629,296,18565.283,296.0,0.0,0.0,0.0,13433.04,12,12,0,4,18569,37.0653654069464,126.795956441323
A44571302,기아사원2차,4159125031,경기도,화성만세구,우정읍,화산리,경기도 화성만세구 우정읍 화산리 694-7 기아사원2차,임대,개별난방,17688.02,3,240.0,(주)기산,기아자동차,0313587588,,아파트,경기도 화성시 남양만로 867-10,자치관리,복도식,19940901,0313512629,240,15840.0,240.0,0.0,0.0,0.0,11592,10,10,0,3,18569,37.0592001447139,126.791168514877
A10020863,화성조암스위트엠,4159125032,경기도,화성만세구,우정읍,조암리,경기도 화성만세구 우정읍 조암리 840- 화성조암스위트엠,분양,개별난방,25937.76,4,224.0,군장종합건설,대한토지신탁,03180558121,,아파트,경기도 화성시 조암죽말길 228,위탁관리,계단식,20250124,03180558122,224,19886.6,182.0,42.0,0.0,0.0,14275.2506,17,17,2,8,,37.0827966035723,126.810459773777
A44595701,조암금광아파트,4159125032,경기도,화성만세구,우정읍,조암리,경기도 화성만세구 우정읍 조암리 484-1 조암금광아파트,분양,개별난방,24751.0,3,297.0,(주)금광건업,(주)금광건업,0313518211,,아파트,경기도 화성시 조암죽말길 236-6,위탁관리,혼합식,20001130,0313518212,297,22712.16,297.0,0.0,0.0,0.0,16248.18,20,20,1,5,18563,37.0822767718775,126.809668745403
A44595702,화성조암한라비발디,4159125032,경기도,화성만세구,우정읍,조암리,경기도 화성만세구 우정읍 조암리 791 화성조암한라비발디,분양,개별난방,104083.0,11,635.0,한라건설주식회사,조암공동주택개발주식회사,0313514275,조암한라비발디아파트.apti.co.kr/apthome/default.asp,아파트,경기도 화성시 조암동로 58,위탁관리,계단식,20121214,0313584276,635,72465.51,59.0,513.0,63.0,0.0,54955.1839,18,18,1,22,18564,37.0892613223952,126.823969173189
A44575111,발안마을주공,4159125322,경기도,화성만세구,향남읍,발안리,경기도 화성만세구 향남읍 발안리 295 발안마을주공,분양,개별난방,65620.8,14,882.0,lh,lh,0313598701,,아파트,경기도 화성시 발안서로 11,위탁관리,계단식,20031016,0313598702,882,65346.66,882.0,0.0,0.0,0.0,49364.76,15,15,0,31,18596,37.131086273596,126.900785232456
A44592312,발안우림필유,4159125322,경기도,화성만세구,향남읍,발안리,경기도 화성만세구 향남읍 발안리 305 발안우림필유,분양,개별난방,115368.0,11,940.0,우림건설,(주)우림,0313660807,발안우림필유.ma-um.co.kr,아파트,경기도 화성시 발안남로 66,위탁관리,계단식,20060530,0313660806,940,98293.0,0.0,940.0,0.0,0.0,75961.419,19,19,0,27,18596,37.1293317911759,126.903042962543
A10022689,향남역한양수자인디에스티지,4159125324,경기도,화성만세구,향남읍,상신리,경기도 화성만세구 향남읍 상신리 619-57 향남역한양수자인디에스티지,분양,지역난방,94825.94,11,945.0,한양수자인,트리플에이치,03180470211,,아파트,경기도 화성시 향남로39번길 19,위탁관리,계단식,20240131,03180470213,945,94825.94,0.0,908.0,37.0,0.0,71563.9121,27,27,2,26,18614,37.1022127915254,126.903123433583
