kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023807,화성우방아이유쉘메가시티2단지,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 373-4 화성우방아이유쉘메가시티2단지,분양,개별난방,114316.84,9,737.0,(주)우방,(주)코리아신탁,0318988575,,아파트,경기도 화성시 기배로 29,위탁관리,계단식,20220502,0318988576,737,80938.586,0.0,737.0,0.0,0.0,60729.7404,25,25,1,24,18338,37.2217580961802,126.978704150931
A10023831,화성우방아이유쉘메가시티1단지,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 935 화성우방아이유쉘메가시티1단지,분양,개별난방,66796.0,5,420.0,(주)우방,코리아신탁(주),03180435137,화성우방아이유쉘메가시티1단지.apti.co.kr/aptHome/,아파트,경기도 화성시 기배로30번길 7-30,위탁관리,계단식,20220502,03180435138,424,47637.605,0.0,420.0,0.0,0.0,35528.5395,25,25,2,10,18343,37.2200166525295,126.978777876189
A44531002,우림그린빌리지,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 349 우림그린빌리지,분양,개별난방,74487.41,7,642.0,우림건설,우림건설,0312250880,,아파트,경기도 화성시 효행로265번길 17,위탁관리,계단식,20010611,0312254538,642,66803.23,0.0,642.0,0.0,0.0,53549.7,15,15,1,23,18337,37.225943696619,126.974409449704
A44577204,신일해피트리1차,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 910 신일해피트리1차,분양,개별난방,125740.0,13,901.0,(주)신일,(주)일등건설,0312210995,,아파트,경기도 화성시 효행로291번길 26,위탁관리,계단식,20041223,0312210996,901,95316.79,0.0,901.0,0.0,0.0,76562.0245,15,15,0,33,18338,37.2233567608176,126.977854693452
A44577705,기안마을풍성신미주,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 895 기안마을풍성신미주,분양,개별난방,159288.98,20,1164.0,풍성주택,풍성주택,0312330723,cafe.daum.net/sinmijoo1164,아파트,경기도 화성시 융건로 99,위탁관리,계단식,20040623,0312330724,1164,121130.56,0.0,1164.0,0.0,0.0,97845.6316,13,13,0,45,18342,37.2211731371558,126.987579376346
A44599101,평생플러스빌,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 358 평생플러스빌,분양,개별난방,35020.0,4,259.0,평생기업,평생기업,0312319004,,아파트,경기도 화성시 효행로 275,위탁관리,계단식,20010912,0312319005,259,28997.64,0.0,259.0,0.0,0.0,21736.6268,15,15,2,11,18337,37.2237854911493,126.974759361481
A44599103,광도와이드빌,4159310200,경기도,화성효행구,기안동,,경기도 화성효행구 기안동 290 광도와이드빌,분양,개별난방,89761.0,15,812.0,(주)광도건설,(주)광도건설,0312322825,,아파트,경기도 화성시 효행로 229-11,위탁관리,계단식,20020411,0312322839,812,82703.91,404.0,408.0,0.0,0.0,58738.8992,18,18,1,25,18337,37.22684812052,126.975028999217
A10022799,중흥에스클래스에듀시티,4159325021,경기도,화성효행구,봉담읍,상리,경기도 화성효행구 봉담읍 상리 667 중흥에스클래스에듀시티,분양,지역난방,65845.195,8,808.0,중흥건설(주),세흥산업개발(주),0312789517,https://중흥에스클래스에듀시티.apti.co.kr,아파트,경기도 화성시 상리1길 143,위탁관리,계단식,20231208,0312789518,808,64742.793,808.0,0.0,0.0,0.0,48434.9749,25,25,2,23,18307,37.2310496861877,126.940401811233
A10022810,중흥S클래스에듀포레,4159325021,경기도,화성효행구,봉담읍,상리,경기도 화성효행구 봉담읍 상리 666 중흥S클래스에듀포레,분양,지역난방,88297.0,9,707.0,중흥건설,(주)세종이엔지,0312989067,,아파트,경기도 화성시 상리1길 167,위탁관리,계단식,20231208,0312989068,707,87772.02,0.0,0.0,707.0,0.0,70343.9798,25,25,2,16,18307,37.2332473468723,126.941318617231
A10023061,봉담 중흥S-클래스 에듀파크,4159325021,경기도,화성효행구,봉담읍,상리,경기도 화성효행구 봉담읍 상리 678 봉담 중흥S-클래스 에듀파크,분양,지역난방,169368688.0,13,1050.0,(주)중흥건설,(주)세종이엔지,0312938806,,아파트,경기도 화성시 수영로 161,위탁관리,계단식,20230728,0312938809,1050,113683.49,0.0,1050.0,0.0,0.0,88869.2345,25,25,2,27,18306,37.2316445062059,126.944756379505
