kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021041,라데팡스아파트,4831010100,경상남도,거제시,능포동,,경상남도 거제시 능포동 219-7 라데팡스아파트,분양,개별난방,17472.0,2,137.0,(주)라인건설,(주)라인건설,0556811101,,아파트,경상남도 거제시 능포로4길 23,위탁관리,계단식,20050419,0556810611,137,17324.55,45.0,92.0,0.0,0.0,10511.1675,15,15,2,6,,34.8725206665629,128.733082698169
A65675001,능포아파트,4831010100,경상남도,거제시,능포동,,경상남도 거제시 능포동 449 능포아파트,사택 및 관사 등,개별난방,29271.17,17,680.0,대한주택공사,대한주택공사,0556813274,,아파트,경상남도 거제시 능포로 199,위탁관리,계단식,19800315,0556813270,680,29271.145,680.0,0.0,0.0,0.0,24238.8,5,5,0,0,53312,34.8837193738103,128.734450921324
A65677003,옥명대우아파트,4831010100,경상남도,거제시,능포동,,경상남도 거제시 능포동 224 옥명대우아파트,분양,개별난방,98841.34,13,930.0,대우건설,대우조선해양,0556822475,,아파트,경상남도 거제시 능포로2길 38,위탁관리,계단식,19990225,0556822473,930,94027.0,0.0,870.0,60.0,0.0,78496.414,15,15,0,32,53315,34.8761951825682,128.734940347456
A65690001,성수아파트,4831010100,경상남도,거제시,능포동,,경상남도 거제시 능포동 633-230 성수아파트,분양,개별난방,16818.75,3,169.0,성수종합건설(주),성수종합건설(주),0556821211,,아파트,경상남도 거제시 옥수로8길 31,위탁관리,혼합식,19931221,0556821210,169,16818.658,25.0,144.0,0.0,0.0,13634.23,12,12,1,6,53316,34.8773469491688,128.728909025478
A65690102,롯데캐슬아일랜드,4831010100,경상남도,거제시,능포동,,경상남도 거제시 능포동 335 롯데캐슬아일랜드,분양,개별난방,44428.67,5,408.0,롯데건설(주),대우조선해양(주),0556821794,,아파트,경상남도 거제시 능포로2길 62,위탁관리,계단식,20060905,0556821798,408,44428.67,0.0,408.0,0.0,0.0,34059.83,15,15,0,14,53314,34.8756740072003,128.73308141964
A10020274,거제유림노르웨이숲디오션,4831010200,경상남도,거제시,장승포동,,경상남도 거제시 장승포동 499 거제유림노르웨이숲디오션,분양,개별난방,51134.91,2,299.0,유림이엔씨,금재디앤씨,0556812700,,주상복합,경상남도 거제시 능포로 40,위탁관리,계단식,20251224,0556812800,299,36019.13,0.0,0.0,295.0,4.0,36019.13,47,0,2,4,,34.8685602093496,128.726499626835
A65691001,영승한마음아파트,4831010200,경상남도,거제시,장승포동,,경상남도 거제시 장승포동 578-1 영승한마음아파트,분양,개별난방,14180.1,1,176.0,영승종합건설,영승종합건설,0556821971,,아파트,경상남도 거제시 마전5길 8-2,자치관리(직영),혼합식,19970421,0556821972,176,14172.4,71.0,105.0,0.0,0.0,11176.025,18,18,0,4,53322,34.8624765666939,128.722531766437
A65691002,장승포주공아파트,4831010200,경상남도,거제시,장승포동,,경상남도 거제시 장승포동 631 장승포주공아파트,분양,개별난방,45845.13,8,598.0,주택공사,주택공사,0556823548,,아파트,경상남도 거제시 장승로 26,위탁관리,혼합식,19980616,0556823549,598,42756.57,598.0,0.0,0.0,0.0,34163.14,18,18,0,17,53323,34.858422661647,128.721235655741
A10021863,씨앤스타빌,4831010500,경상남도,거제시,아주동,,경상남도 거제시 아주동 1680-7 씨앤스타빌,분양,,9359.0,2,117.0,(주)무지개종합건설,"(주)무지개종합건설,서전주택",0556811150,,아파트,경상남도 거제시 아주로 116-15,위탁관리,복도식,20130516,,117,7347.6,117.0,0.0,0.0,0.0,5366.0997,10,10,0,2,,34.8669762374368,128.682573136494
A10026374,거제아주코오롱하늘채아파트,4831010500,경상남도,거제시,아주동,,경상남도 거제시 아주동 1719 거제아주코오롱하늘채아파트,분양,개별난방,50173.246,7,358.0,코오롱글로벌(주),코리아신탁(주),0556827020,,아파트,경상남도 거제시 아주2로2길 10,위탁관리,계단식,20180822,0556827021,358,35566.016,72.0,286.0,0.0,0.0,26602.3337,19,19,2,12,53306,34.8684155609101,128.686040269042
