kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022101,고성남외행복마을1단지,4882025022,경상남도,고성군,고성읍,서외리,경상남도 고성군 고성읍 서외리 278- 고성남외행복마을1단지,임대,개별난방,6457.0,2,110.0,덕재건설(주),한국토지주택공사,0556720583,,아파트,경상남도 고성군 남포로79번길 48,위탁관리,복도식,20230825,0556730583,110,6456.44,110.0,0.0,0.0,0.0,3518.3,0,8,0,2,,34.9708632356328,128.318321430057
A10024357,고성서외LH아파트및실버주택,4882025022,경상남도,고성군,고성읍,서외리,경상남도 고성군 고성읍 서외리 228 고성서외LH아파트및실버주택,임대,개별난방,16577.377,2,300.0,LH,수안종합건설,0556723166,,아파트,경상남도 고성군 송학로 47-3,위탁관리,복도식,20201103,0556723167,302,14668.151,300.0,0.0,0.0,0.0,8963.562,15,15,2,5,52936,34.9775632412582,128.31535702136
A63880401,태영아파트,4882025022,경상남도,고성군,고성읍,서외리,경상남도 고성군 고성읍 서외리 72-5 태영아파트,분양,개별난방,12952.0,2,150.0,주)태영건설,주)태영건설,07089373228,,아파트,경상남도 고성군 성내로 71-12,위탁관리,혼합식,19970324,0556743238,150,12951.6,126.0,24.0,0.0,0.0,9586.68,15,15,1,3,52936,34.9769619458751,128.317355353722
A63880407,덕진5차휴먼빌,4882025022,경상남도,고성군,고성읍,서외리,경상남도 고성군 고성읍 서외리 217-4 덕진5차휴먼빌,분양,개별난방,28466.89,3,293.0,덕진종합건설,덕진종합건설,0556723888,,아파트,경상남도 고성군 성내로 56,위탁관리,혼합식,20090326,0556723889,293,20543.44,293.0,0.0,0.0,0.0,15035.5164,15,15,2,7,52935,34.9755685932187,128.315437472287
A10027333,고성코아루더파크,4882025023,경상남도,고성군,고성읍,수남리,경상남도 고성군 고성읍 수남리 486 고성코아루더파크,분양,개별난방,53366.34,5,411.0,영동건설(주),(주)한국토지신탁,0556739690,,아파트,경상남도 고성군 남포로 10,위탁관리,계단식,20161031,0556739691,411,43118.45,78.0,333.0,0.0,0.0,31407.6,20,20,2,9,52934,34.9636203842868,128.320631791772
A63880001,동외주공아파트,4882025024,경상남도,고성군,고성읍,동외리,경상남도 고성군 고성읍 동외리 567 동외주공아파트,임대,개별난방,26002.06,5,409.0,"새미래건설,(주)서한",대한토지주택공사,0556740793,,아파트,경상남도 고성군 동외로47번길 12,위탁관리,복도식,20090528,0556740794,409,24255.0,409.0,0.0,0.0,0.0,16632.04,15,15,1,10,52946,34.9675129042137,128.329448194708
A63880002,고성아이존빌2차,4882025024,경상남도,고성군,고성읍,동외리,경상남도 고성군 고성읍 동외리 144-2 고성아이존빌2차,분양,개별난방,53545.668,6,394.0,(주)동부토건,(주)DS종합건설,055-673-9105,,아파트,경상남도 고성군 동외로168번길 99,위탁관리,계단식,20110321,0556739106,394,38910.676,0.0,394.0,0.0,0.0,30374.0018,15,15,1,16,52940,34.9770573998376,128.331713432665
A63880302,대동남산아파트,4882025024,경상남도,고성군,고성읍,동외리,경상남도 고성군 고성읍 동외리 580-1 대동남산아파트,분양,개별난방,11103.5,1,155.0,대동주택건설(주),대동주택건설(주),0556740315,없음,아파트,경상남도 고성군 동외로 37-3,위탁관리,복도식,19960903,0556740315,155,9961.385,155.0,0.0,0.0,0.0,7676.375,12,12,1,2,52946,34.9659713085299,128.331217352972
A63880306,정림무지개아파트,4882025024,경상남도,고성군,고성읍,동외리,경상남도 고성군 고성읍 동외리 162-1 정림무지개아파트,분양,개별난방,26043.447,2,269.0,(주)정림건설,(주)정림건설,0556743037,,아파트,경상남도 고성군 중앙로 87,위탁관리,복도식,19921216,0556743037,269,25200.986,0.0,269.0,0.0,0.0,19299.178,15,15,0,4,52941,34.9756678503401,128.329024705562
A10020561,고성더리브스위트엠,4882025027,경상남도,고성군,고성읍,교사리,경상남도 고성군 고성읍 교사리 222- 고성더리브스위트엠,분양,개별난방,67958.4,6,435.0,에스지시이테크건설(주),대한토지신탁(주),0556720331,,아파트,경상남도 고성군 송학고분로 140,위탁관리,계단식,20250624,0556720332,435,50788.098,0.0,358.0,77.0,0.0,39433.4993,20,20,2,17,,34.9761497033133,128.307230865117
A63880103,대동타운아파트,4882025027,경상남도,고성군,고성읍,교사리,경상남도 고성군 고성읍 교사리 312 대동타운아파트,분양,개별난방,11398.12,1,158.0,대동주택,대동주택,0556743292,,아파트,경상남도 고성군 교사대독길 24,자치관리,복도식,19911007,0556743293,158,10968.676,158.0,0.0,0.0,0.0,8987.04,14,14,0,2,52932,34.975722785395,128.310129580226
A63880104,협동그린타운,4882025027,경상남도,고성군,고성읍,교사리,경상남도 고성군 고성읍 교사리 20 협동그린타운,분양,개별난방,19585.69,2,194.0,협동건설,협동건설,0556730536,,아파트,경상남도 고성군 성내로 27,자치관리,계단식,19971230,0556730537,194,19166.6,138.0,56.0,0.0,0.0,13005.375,15,15,0,8,52936,34.9769823589748,128.312724706644
