kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A66026001,망경한보타운,4817010100,경상남도,진주시,망경동,,경상남도 진주시 망경동 253 망경한보타운,분양,개별난방,99424.67,6,886.0,(주)한보종합건설,(주)한보종합건설,0557625488,,아파트,경상남도 진주시 망경로 234-5,위탁관리,계단식,19971018,0557625487,886,85208.62,389.0,429.0,68.0,0.0,66795.7,23,23,0,23,52712,35.1824122398265,128.079483118937
A10020310,철도문화공원극동스타클래스,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 183-1 철도문화공원극동스타클래스,분양,개별난방,36401.344,1,166.0,극동건설,터울,0557588884,,주상복합,경상남도 진주시 진주대로 871,위탁관리,계단식,20251114,0557588885,166,19684.668,0.0,145.0,21.0,0.0,14810.6209,1,25,4,0,,35.1782196095835,128.091014773071
A66029001,현대성우트리팰리스,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 156-1 현대성우트리팰리스,분양,개별난방,37419.08,1,160.0,현대성우종합건설(주),현대성우종합건설(주),0557630560,,주상복합,경상남도 진주시 진주대로879번길 19,위탁관리,복도식,20060822,0557630561,198,24164.08,0.0,0.0,160.0,0.0,19248,15,15,4,6,52716,35.1780213104314,128.089905044613
A66029003,금호석류마을,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 407-1 금호석류마을,분양,개별난방,108558.7,15,782.0,금호개발,금호개발,0557633325,,아파트,경상남도 진주시 강남로 45,위탁관리,계단식,19991217,0557633326,782,69904.05,134.0,532.0,78.0,38.0,68664.5,21,21,0,20,52728,35.1717590995064,128.09523667232
A66077001,삼환나우빌,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 133-130 삼환나우빌,분양,개별난방,48595.285,3,220.0,삼환까뮤,한국자산신탁(주),07089881333,,아파트,경상남도 진주시 진주대로829번길 21,위탁관리,계단식,20091208,0557557033,220,37207.156,0.0,0.0,146.0,74.0,29951.706,25,25,1,6,52717,35.1744199529988,128.091419218336
A66077104,주약현대아파트,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 360 주약현대아파트,분양,개별난방,120869.58,18,835.0,현대산업개발(주),현대산업개발(주),0557595115,,아파트,경상남도 진주시 진주대로815번길 11,위탁관리,계단식,20001127,0557595519,835,89389.58,245.0,416.0,174.0,0.0,69566.54,21,21,2,26,52718,35.1710966119639,128.091825827722
A66077202,한보은빛마을,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 360-2 한보은빛마을,분양,개별난방,87568.02,7,516.0,한보종합건설,한보종합건설,0557555142,https://www.joyapt.com/home/user/3508/,아파트,경상남도 진주시 천수로 30,위탁관리,계단식,20020328,0557555140,516,66201.945,0.0,154.0,362.0,0.0,54980.48,15,15,2,19,52718,35.1708529706782,128.092397739552
A66077305,한주럭키타운,4817010200,경상남도,진주시,주약동,,경상남도 진주시 주약동 156 한주럭키타운,분양,개별난방,103261.66,13,936.0,한주건설(주),럭키개발(주),0557575815,,아파트,경상남도 진주시 진주대로 859,자치관리,계단식,19900430,0557575688,936,102069.96,0.0,768.0,108.0,60.0,85092.48,15,15,1,35,52716,35.1776517644875,128.090557220247
A10022106,일진스위트포레강남,4817010300,경상남도,진주시,강남동,,경상남도 진주시 강남동 141-1 일진스위트포레강남,분양,,18369.0,1,115.0,(주)일진테크,(주)조은파트너스,0557611910,,주상복합,경상남도 진주시 망경로 308,위탁관리,계단식,20211012,0557611911,135,8500.476,23.0,92.0,0.0,0.0,8508.6476,26,26,4,4,,35.1855137208542,128.086858099217
A10024438,진주 일동미라주 아파트,4817010300,경상남도,진주시,강남동,,경상남도 진주시 강남동 181-1 진주 일동미라주 아파트,분양,개별난방,45991.69,3,394.0,(주)일동,태하건설(주),0557610571,,주상복합,경상남도 진주시 진주대로 881,위탁관리,계단식,20210129,0557610572,394,45991.69,0.0,328.0,66.0,0.0,34250.8546,35,35,3,0,52709,35.1790848483188,128.0907257684
