kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A63580101,현대맨션1차,4874025022,경상남도,창녕군,창녕읍,교리,경상남도 창녕군 창녕읍 교리 981-2 현대맨션1차,분양,개별난방,15389.325,2,151.0,(주)삼산종합건설,"(주)현대주택,(주)청학건설",0555329467,,아파트,경상남도 창녕군 우포2로 1199-1,자치관리,혼합식,19921224,0555329467,151,15173.619,75.0,46.0,30.0,0.0,11926.155,15,15,1,6,50317,35.5447866025661,128.488749445613
A10022837,창녕삼평마을아파트,4874025023,경상남도,창녕군,창녕읍,말흘리,경상남도 창녕군 창녕읍 말흘리 921 창녕삼평마을아파트,임대,개별난방,9137.83,3,150.0,디케이(주),한국토지주택공사,0555339101,,아파트,경상남도 창녕군 창녕읍 창녕대로 196,위탁관리,복도식,20231017,0555339102,150,9134.58,150.0,0.0,0.0,0.0,5229.04,8,8,0,3,,35.5294704736211,128.502090928348
A10025459,창녕 코아루더파크 아파트,4874025023,경상남도,창녕군,창녕읍,말흘리,경상남도 창녕군 창녕읍 말흘리 344 창녕 코아루더파크 아파트,분양,개별난방,48754.9,6,391.0,오렌지이앤씨,한국토지신탁,0558068004,,아파트,경상남도 창녕군 말흘5길 62,위탁관리,계단식,20190528,0558068005,391,31425.68,59.0,332.0,0.0,0.0,31277.18,20,20,2,9,50331,35.5353478097446,128.506067436682
A63580503,창녕창녕,4874025023,경상남도,창녕군,창녕읍,말흘리,경상남도 창녕군 창녕읍 말흘리 289 창녕창녕,임대,개별난방,20472.97,4,338.0,남진건설,한국토지주택공사,0555329373,kohom.or.kr,아파트,경상남도 창녕군 말흘5길 33,위탁관리,복도식,20071011,0555329374,338,20345.123,338.0,0.0,0.0,0.0,13544.1,14,14,0,5,50331,35.5319573161975,128.453037540778
A10025781,넥센타이어사원아파트,4874025025,경상남도,창녕군,창녕읍,술정리,경상남도 창녕군 창녕읍 술정리 400 넥센타이어사원아파트,임대,개별난방,21721.81,6,179.0,(주)에버건설,넥센타이어,0555336605,,아파트,경상남도 창녕군 조산1길 23,위탁관리,계단식,20170228,0555336637,179,13992.248,179.0,0.0,0.0,0.0,10498.8141,9,9,1,11,50322,35.5386923874206,128.485293871816
A10027382,창녕신우희가로아파트,4874025025,경상남도,창녕군,창녕읍,술정리,경상남도 창녕군 창녕읍 술정리 283-3 창녕신우희가로아파트,분양,개별난방,52205.44,10,374.0,신우종합토건,신우산업개발,0555337016,,아파트,경상남도 창녕군 조산서재골로 69-3,위탁관리,계단식,20160628,0555337017,374,39454.31,0.0,339.0,35.0,0.0,31012.7027,9,9,1,0,50322,35.5378202019848,128.492438897608
A63590102,동아더프라임,4874025321,경상남도,창녕군,남지읍,남지리,경상남도 창녕군 남지읍 남지리 817-1 동아더프라임,분양,개별난방,55283.0,7,443.0,동아건설산업(주),kb부동산신탁,0555211028,172.20.200.201,아파트,경상남도 창녕군 남고길 47,자치관리,계단식,20101209,0555211029,443,47143.42,0.0,409.0,34.0,0.0,36693.7893,20,20,1,13,50355,35.3868600216657,128.469485796164
A63590301,남지대경아파트,4874025321,경상남도,창녕군,남지읍,남지리,경상남도 창녕군 남지읍 남지리 276-1 남지대경아파트,분양,개별난방,12668.54,2,168.0,(주)대경종합건설,(주)대경종합건설,0555360700,,아파트,경상남도 창녕군 낙동로 540,위탁관리,복도식,20020425,0555360700,168,12379.248,168.0,0.0,0.0,0.0,9079.8288,9,9,1,1,50357,35.3898973638075,128.483462399714
A63590302,남지 덕진6차휴먼빌,4874025321,경상남도,창녕군,남지읍,남지리,경상남도 창녕군 남지읍 남지리 795-6 남지 덕진6차휴먼빌,분양,개별난방,15577.0,2,168.0,덕진 종합건설(주),덕진 종합건설(주),0555216900,,아파트,경상남도 창녕군 남포길 23,위탁관리,복도식,20081029,0555216900,168,12000.054,168.0,0.0,0.0,0.0,8604.7602,14,14,0,4,50361,35.3869951577451,128.480082165826
A63590303,푸른마을아파트,4874025321,경상남도,창녕군,남지읍,남지리,경상남도 창녕군 남지읍 남지리 293-1 푸른마을아파트,분양,개별난방,19062.8,2,182.0,(주)이오비 코리아,성준종합건설(주),0555265025,,아파트,경상남도 창녕군 동포로 46,자치관리,혼합식,20050316,0555265025,182,18871.346,0.0,143.0,39.0,0.0,14762.28,13,13,1,5,50357,35.3934721364007,128.481393805218
