kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021937,건화그린맨션,4812510100,경상남도,창원마산합포구,가포동,,경상남도 창원마산합포구 가포동 508-47 건화그린맨션,분양,개별난방,12736200.0,1,114.0,(주)신사회건설,안동종합건설(주),022470797,,아파트,경상남도 창원시 마산합포구 가포로 176-45,관리방식미정,계단식,19920812,,114,12763.581,0.0,101.0,13.0,0.0,9551.35,13,13,1,5,,35.1699233920864,128.563089354045
A10022759,마창대교 반도유보라 아이비파크,4812510100,경상남도,창원마산합포구,가포동,,경상남도 창원마산합포구 가포동 747 마창대교 반도유보라 아이비파크,분양,개별난방,134545.0,9,847.0,(주) 반도건설,(주) 반도건설,0552456006,aptree.co.kr/home/user/6290/,아파트,경상남도 창원시 마산합포구 가포본동1길 18,위탁관리,계단식,20240221,0552456008,847,88210.71,0.0,847.0,0.0,0.0,67749.4702,25,25,3,18,51755,35.1579344312701,128.574131273515
A10023019,창원가포 안단테,4812510100,경상남도,창원마산합포구,가포동,,경상남도 창원마산합포구 가포동 788 창원가포 안단테,분양,개별난방,50578.0,4,402.0,화성산업(주),한국토지주택공사,0552430203,,아파트,경상남도 창원시 마산합포구 가포본동5길 23,위탁관리,계단식,20230901,0552430204,402,33300.16,402.0,0.0,0.0,0.0,24111.82,20,20,2,12,51755,35.1573468566645,128.581483149562
A10024212,가포금호어울림NHF아파트,4812510100,경상남도,창원마산합포구,가포동,,경상남도 창원마산합포구 가포동 755 가포금호어울림NHF아파트,임대,개별난방,81766.37,8,706.0,금호건설(주),(주)NHF제16호공공임대위탁관리부동산투자회사,0552439003,,아파트,경상남도 창원시 마산합포구 가포본동1길 50,위탁관리,계단식,20210803,0552439004,706,81766.26,575.0,131.0,0.0,0.0,44317.94,25,25,2,0,51755,35.1562651346038,128.578260052117
A10024554,창원가포LH아파트1단지,4812510100,경상남도,창원마산합포구,가포동,,경상남도 창원마산합포구 가포동 789 창원가포LH아파트1단지,임대,개별난방,42736.69,5,670.0,삼환기업,LH,0552477112,,아파트,경상남도 창원시 마산합포구 가포본동5길 37,위탁관리,복도식,20201120,0552477113,670,42547.242,670.0,0.0,0.0,0.0,21636.46,17,17,1,11,51755,35.158944101097,128.584306007809
A10022949,창원푸르지오더플래티넘,4812510200,경상남도,창원마산합포구,교방동,,경상남도 창원마산합포구 교방동 535- 창원푸르지오더플래티넘,혼합,개별난방,238061.9,17,1538.0,대우건설,교방동주택조합,0552431245,,아파트,경상남도 창원시 마산합포구 노산서9길 20,위탁관리,계단식,20241008,0552431246,1538,160859.73,220.0,1224.0,94.0,0.0,122108.02,26,26,2,32,51275,35.2128961910641,128.569560569906
A10024694,롯데캐슬프리미어아파트,4812510200,경상남도,창원마산합포구,교방동,,경상남도 창원마산합포구 교방동 525 롯데캐슬프리미어아파트,혼합,개별난방,151383.33,12,999.0,롯데건설,회원1구역주택재개발정비사업조합,0552439956,,아파트,경상남도 창원시 마산합포구 노산서18길 80,위탁관리,계단식,20200728,0552439957,999,104610.82,223.0,776.0,0.0,0.0,76588.4342,25,25,2,28,51271,35.2153855778953,128.564779365099
A63175001,무학산벽산블루밍,4812510200,경상남도,창원마산합포구,교방동,,경상남도 창원마산합포구 교방동 355-1 무학산벽산블루밍,분양,개별난방,124912.89,9,793.0,벽산건설,재건축조합,0552476969,,아파트,경상남도 창원시 마산합포구 노산서18길 142,위탁관리,계단식,20090604,0552476776,793,76323.41,107.0,461.0,225.0,0.0,72757.5379,23,23,2,21,51270,35.2160780521696,128.562577719698
A63185101,교방상록아파트,4812510200,경상남도,창원마산합포구,교방동,,경상남도 창원마산합포구 교방동 367-1 교방상록아파트,임대,개별난방,49520.0,4,395.0,쌍용건설,공무원연금공단,0552459070,,아파트,경상남도 창원시 마산합포구 노산서18길 141,위탁관리,계단식,20080522,0552459071,395,34403.4,347.0,48.0,0.0,0.0,24885.5151,21,21,2,12,51277,35.21397054518,128.562337349112
A63110001,마산무학자이,4812510300,경상남도,창원마산합포구,교원동,,경상남도 창원마산합포구 교원동 46 마산무학자이,분양,개별난방,111235.805,8,705.0,GS건설(주),교원지구주택재건축정비사업조합,0552461536,,아파트,경상남도 창원시 마산합포구 노산서18길 19,위탁관리,계단식,20110422,0552461538,705,84928.92,88.0,321.0,296.0,0.0,66852.9965,27,27,2,17,51274,35.2150188245066,128.569550591223
