kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022086,신우아파트,4812710100,경상남도,창원마산회원구,구암동,,경상남도 창원마산회원구 구암동 1212- 신우아파트,분양,개별난방,14145.0,1,147.0,신우종합건설(주),신우건설,0552511189,,,경상남도 창원시 마산회원구 구암남21길 3,자치관리,복도식,20010111,0552511189,147,11926.53,147.0,0.0,0.0,0.0,8026.137,15,15,2,2,,35.2526693390514,128.60217487384
A63075101,구암중앙하이츠,4812710100,경상남도,창원마산회원구,구암동,,경상남도 창원마산회원구 구암동 51-1 구암중앙하이츠,분양,개별난방,38614.0,6,266.0,(주)중앙건설,(주)중앙건설,0552550037,,아파트,경상남도 창원시 마산회원구 팔용로 215,위탁관리,계단식,20060922,0552550047,266,23485.082,0.0,236.0,30.0,0.0,23483.1714,16,16,1,9,51354,35.2469856267709,128.594666263911
A63080101,구암대동2차,4812710100,경상남도,창원마산회원구,구암동,,경상남도 창원마산회원구 구암동 28-1 구암대동2차,분양,개별난방,23189.88,2,190.0,(주)대동주택,(주)대동주택,0552956995,,아파트,경상남도 창원시 마산회원구 구암남6길 50,위탁관리,계단식,20000811,0552956995,190,19334.232,67.0,95.0,28.0,0.0,15176.235,21,21,0,6,51354,35.2459349324951,128.593239605936
A63080102,구암대동타운,4812710100,경상남도,창원마산회원구,구암동,,경상남도 창원마산회원구 구암동 87 구암대동타운,분양,개별난방,89549.6,10,862.0,대동주택,대동주택,0552525370,,아파트,경상남도 창원시 마산회원구 구암남16길 54,위탁관리,계단식,19980105,0552525377,863,80263.17,468.0,394.0,0.0,0.0,61450.57,23,23,1,21,51350,35.2489338900078,128.59982830591
A10021813,푸르내아파트,4812710300,경상남도,창원마산회원구,봉암동,,경상남도 창원마산회원구 봉암동 660-15 푸르내아파트,분양,개별난방,4433.0,2,100.0,모름,모름,0552732080,,아파트,경상남도 창원시 마산회원구 봉암공단5길 47,위탁관리(직영+위탁),계단식,19911130,,100,4433.0,100.0,0.0,0.0,0.0,3517,1,5,0,0,,35.2161128295974,128.597375859279
A63078901,봉암서광아파트,4812710300,경상남도,창원마산회원구,봉암동,,경상남도 창원마산회원구 봉암동 277 봉암서광아파트,분양,개별난방,33888.58,3,364.0,(주)라온건설,(주)라온건설,0552966630,,아파트,경상남도 창원시 마산회원구 봉양로 241,위탁관리,계단식,20001212,0552966040,364,21599.76,364.0,0.0,0.0,0.0,21599.76,21,21,0,9,51349,35.2168709072785,128.612914103181
A10025125,메트로시티석전,4812710400,경상남도,창원마산회원구,석전동,,경상남도 창원마산회원구 석전동 300 메트로시티석전,혼합,개별난방,244500.0,13,1763.0,"태영건설, 효성중공업",석전1구역주택재개발정비시업조합,0552538906,,아파트,경상남도 창원시 마산회원구 석전남8길 40,위탁관리,혼합식,20191223,0552538908,1763,169268.97,825.0,883.0,55.0,0.0,122453.179,33,33,2,0,51314,35.2298010847479,128.570731134756
A10026658,다움아파트,4812710400,경상남도,창원마산회원구,석전동,,경상남도 창원마산회원구 석전동 223-2 다움아파트,분양,개별난방,10582.29,1,68.0,비엠산업개박주식회사,(주)엠엔디,0552932525,,주상복합,경상남도 창원시 마산회원구 석전동15길 40,위탁관리,계단식,20171027,0552932626,76,5974.15,15.0,53.0,0.0,0.0,4469.0309,23,23,1,2,51302,35.2366152034795,128.580264824561
A63001001,동도센트리움,4812710400,경상남도,창원마산회원구,석전동,,경상남도 창원마산회원구 석전동 232-1 동도센트리움,분양,개별난방,31177.916,2,170.0,동도건설,규형디앤씨,0552512787,,주상복합,경상남도 창원시 마산회원구 양덕옛2길 129,위탁관리,계단식,20130208,0559010181,189,27776.154,0.0,157.0,13.0,0.0,14446.817,23,23,3,4,51316,35.2336681356203,128.579922503991
A63080501,대동피렌체아파트,4812710400,경상남도,창원마산회원구,석전동,,경상남도 창원마산회원구 석전동 260-14 대동피렌체아파트,분양,개별난방,22948.53,2,160.0,(주)대동,(주)조광주택,0552551107,,아파트,경상남도 창원시 마산회원구 양덕옛1길 37,위탁관리,계단식,20040221,0552951107,160,18122.69,0.0,140.0,20.0,0.0,14193.9153,20,20,2,4,51322,35.2271975442468,128.574799052612
A63080802,일우근주아파트,4812710400,경상남도,창원마산회원구,석전동,,경상남도 창원마산회원구 석전동 203-10 일우근주아파트,분양,개별난방,24633.75,2,269.0,일우건설,일우건설,0552512881,,아파트,경상남도 창원시 마산회원구 석전북2길 64,자치관리,계단식,19941228,0552567570,269,24454.1,146.0,108.0,15.0,0.0,19650.4,17,17,0,11,51305,35.2320332137937,128.568914682013
A10020598,양덕신우빌리지,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 12-20 양덕신우빌리지,분양,개별난방,12514.22,1,84.0,신우건설(주),신우건설(주),0552910199,,아파트,경상남도 창원시 마산회원구 합성옛길 35,자치관리,계단식,20030130,0552910199,84,8436.96,0.0,84.0,0.0,0.0,6956.9024,15,15,2,3,,35.2334973912652,128.582457753279
A10020882,창원롯데캐슬 하버팰리스,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 165-7 창원롯데캐슬 하버팰리스,혼합,개별난방,157996.12,7,981.0,롯데견설(주),마산양덕4구역 재개발정비사업조함,0552934888,,아파트,경상남도 창원시 마산회원구 양덕동2길 20,위탁관리,계단식,20250115,0552935888,981,107596.664,53.0,0.0,858.0,70.0,107596.6668,36,0,2,17,,35.2220271776522,128.590682864277
A10021992,타워맨션,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 53-4 타워맨션,분양,개별난방,13096.0,1,119.0,모름,모름,0552939682,,아파트,경상남도 창원시 마산회원구 양덕동9길 43,자치관리,혼합식,19790803,0552939682,119,13088.0,0.0,119.0,0.0,0.0,9433.81,1,15,0,2,,35.2296481331398,128.586532844253
A10022860,창원롯데캐슬센텀골드,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 166-44 창원롯데캐슬센텀골드,분양,개별난방,156360.73,7,956.0,양덕2동지구 주택재건축정비조합,롯데건설,0552980956,,아파트,경상남도 창원시 마산회원구 양덕로 48,위탁관리,계단식,20231228,0552980957,956,106531.64,142.0,743.0,71.0,0.0,154526.828,39,39,3,16,51346,35.2246437503717,128.590873091606
A10026432,마산 양덕 동아위드필하임,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 77-8 마산 양덕 동아위드필하임,분양,개별난방,18035.793,2,153.0,영일개발(주),(주)동아 디엔씨,0552947237,,아파트,경상남도 창원시 마산회원구 양덕서로 45-1,위탁관리,계단식,20171228,0552947238,153,14776.44,0.0,153.0,0.0,0.0,11266.8743,22,22,1,0,51317,35.2298564859617,128.580762433424
A10027419,양덕코오롱하늘채아파트,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 535 양덕코오롱하늘채아파트,분양,개별난방,83390.0,6,535.0,코오롱글로벌,율림지구주택재개발정비사업조합,0552930535,,아파트,경상남도 창원시 마산회원구 양덕서5길 15,위탁관리,혼합식,20160325,0552970536,535,43354.277,46.0,489.0,0.0,0.0,43354.2767,30,30,2,12,51318,35.2272598184407,128.578838733618
A10027837,메트로시티2차아파트,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 84-14 메트로시티2차아파트,분양,중앙난방,352751.56,7,1915.0,"(주)태영건설, 한림건설(주)","(주)태영건설, 한림건설(주)",0552539636,metrocity2.com,아파트,경상남도 창원시 마산회원구 삼호로 80,위탁관리,계단식,20151023,0552539638,1968,245768.58,0.0,1268.0,647.0,0.0,172274.358,55,55,3,46,51319,35.2236728605877,128.584565894733
A63049001,삼성버킹궁,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 148-3 삼성버킹궁,분양,개별난방,24727.0,2,170.0,(주)삼성건설,(주)삼성건설,0552943050,,주상복합,경상남도 창원시 마산회원구 용마로 142,위탁관리,계단식,20020723,0552943050,170,19107.49,0.0,170.0,0.0,0.0,14388.8706,15,15,2,6,51320,35.2247206341242,128.586993965
A63049002,유한미소안,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 49-1 유한미소안,분양,개별난방,21668.0,2,170.0,512691,대동재건축조합,0552551480,apthome.co.kr/3119,아파트,경상남도 창원시 마산회원구 양덕천길 47,위탁관리,계단식,20080919,07082881480,170,21664.05,82.0,88.0,0.0,0.0,12370.2934,19,19,1,0,51364,35.2313260408898,128.587090109625
A63049003,양덕대상,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 96-13 양덕대상,분양,개별난방,18239.322,2,212.0,대상건설,대상건설,0552556556,,아파트,경상남도 창원시 마산회원구 양덕북17길 48,자치관리,혼합식,19990212,0552556556,212,18239.322,104.0,108.0,0.0,0.0,14236.02,14,14,0,7,51361,35.2356737964244,128.583517306744
A63049004,신성미소지움,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 102-1 신성미소지움,분양,개별난방,29771.625,4,227.0,신성건설(주),신성건설(주),0552956710,,아파트,경상남도 창원시 마산회원구 양덕북17길 73,위탁관리,계단식,20031217,0552956717,227,20325.615,0.0,179.0,48.0,0.0,20442.0223,17,17,1,0,51364,35.2335819803974,128.58428585205
A63049005,비전스카이,4812710500,경상남도,창원마산회원구,양덕동,,경상남도 창원마산회원구 양덕동 153-5 비전스카이,분양,개별난방,31145.65,3,227.0,(주)비전건설,(주)비전건설,0552553963,,주상복합,경상남도 창원시 마산회원구 해안대로 607,자치관리,계단식,20050822,0552551550,288,28079.37,0.0,227.0,0.0,0.0,16661.6,20,20,2,7,51321,35.221958384157,128.58867466418
