kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023881,성산 반도유보라아이비파크,4812310200,경상남도,창원성산구,사파정동,,경상남도 창원성산구 사파정동 1127 성산 반도유보라아이비파크,혼합,개별난방,156653.0,17,1045.0,반도건설(주),반도건설,0552621045,,아파트,경상남도 창원시 성산구 비음로 191,위탁관리,계단식,20220328,0552621046,1045,92692.516,380.0,644.0,21.0,0.0,70669.6157,15,15,0,44,51460,35.2178319780537,128.70991152913
A64111001,소라아파트,4812310300,경상남도,창원성산구,가음정동,,경상남도 창원성산구 가음정동 391-10 소라아파트,분양,개별난방,31082.7,3,348.0,성수종합건설,성수종합건설(주),0552829092,,아파트,경상남도 창원시 성산구 성산패총로178번길 51,위탁관리,혼합식,19900118,0552675184,350,23249.52,252.0,96.0,0.0,0.0,23249.52,12,12,0,8,51532,35.2073968569484,128.687481485946
A10021158,경남아파트,4812310400,경상남도,창원성산구,외동,,경상남도 창원성산구 외동 853-20 경남아파트,분양,개별난방,7488.0,2,110.0,경남건설,경남건설,0552849215,,아파트,경상남도 창원시 성산구 창원대로780번길 48,위탁관리,계단식,19831130,0552849215,110,7461.0,50.0,60.0,0.0,0.0,6652.5,5,5,0,0,,35.2116307855359,128.678803584227
A10021255,두산아파트,4812310400,경상남도,창원성산구,외동,,경상남도 창원성산구 외동 853-33 두산아파트,분양,개별난방,9879.12,1,132.0,두산건설,두산건설,0552878864,,아파트,경상남도 창원시 성산구 창원대로780번길 23,자치관리,복도식,19931103,,132,8264.52,132.0,0.0,0.0,0.0,6470.64,12,12,1,2,,35.2134212569294,128.676917075603
A10021262,창원외동대동아파트,4812310400,경상남도,창원성산구,외동,,경상남도 창원성산구 외동 853-35 창원외동대동아파트,분양,개별난방,13706.0,1,120.0,(주)대동주택,(주)대동주택,07077611115,,아파트,경상남도 창원시 성산구 창원대로780번길 47,자치관리,계단식,19971129,0552851115,120,11843.52,24.0,96.0,0.0,0.0,9596.4,12,12,1,0,,35.2120864979527,128.678897083719
A10021387,한일유앤아이오르젠아파트,4812310400,경상남도,창원성산구,외동,,경상남도 창원성산구 외동 853-36 한일유앤아이오르젠아파트,분양,개별난방,13732.0,1,120.0,한일건설,한일건설,0552874002,,아파트,경상남도 창원시 성산구 창원대로780번길 93,자치관리,계단식,20031121,,120,11187.12,72.0,48.0,0.0,0.0,8072.88,13,13,1,5,,35.2100728128415,128.682739001432
A64102001,월드메르디앙이스턴애비뉴,4812310400,경상남도,창원성산구,외동,,경상남도 창원성산구 외동 853-16 월드메르디앙이스턴애비뉴,분양,개별난방,60735.0,10,439.0,월드건설,외동주공아파트정비사업조합,0552649120,없음,아파트,경상남도 창원시 성산구 창원대로780번길 34,위탁관리,계단식,20090116,0552649122,439,45867.594,150.0,205.0,84.0,0.0,36045.2111,15,15,1,13,51531,35.2138421195499,128.675160365433
A64175307,개나리1차아파트,4812310500,경상남도,창원성산구,대방동,,경상남도 창원성산구 대방동 357 개나리1차아파트,분양,개별난방,67450.0,7,1005.0,(주)장복건설,창원시,0552663814,,아파트,경상남도 창원시 성산구 대정로 149,위탁관리(직영+위탁),복도식,19920917,0552673816,1005,65065.77,1005.0,0.0,0.0,0.0,45319.05,15,15,0,13,51463,35.2128567995496,128.707799810397
A64176001,대방동성아파트,4812310500,경상남도,창원성산구,대방동,,경상남도 창원성산구 대방동 374 대방동성아파트,분양,개별난방,61176.5,4,556.0,(주)동성종합건설,(주)동성종합건설,0552875996,,아파트,경상남도 창원시 성산구 대암로 282,위탁관리,계단식,19960518,0552875997,556,55506.35,238.0,198.0,120.0,0.0,43326.06,20,20,0,14,51468,35.2035792069096,128.706880608511
A64176109,대방성원3차아파트,4812310500,경상남도,창원성산구,대방동,,경상남도 창원성산구 대방동 355 대방성원3차아파트,분양,개별난방,131968.0,8,1397.0,성원토건(합),성원토건(합),0552662451,,아파트,경상남도 창원시 성산구 대암로 82,위탁관리,혼합식,19921130,0552662782,1397,131708.14,638.0,759.0,0.0,0.0,100807.62,20,20,1,27,51462,35.2148401938952,128.706240813652
