kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022111,성신아트빌라,4812911000,경상남도,창원진해구,인의동,,경상남도 창원진해구 인의동 28- 성신아트빌라,분양,개별난방,13470.0,1,115.0,성신건설(주),성신건설(주),0555460656,,,경상남도 창원시 진해구 태평로34번길 11,위탁관리,계단식,19950118,0555460656,115,10089.21,68.0,47.0,0.0,0.0,8044.74,8,8,1,0,,35.1450444856599,128.661963569723
A64524001,대암그린비치아파트,4812911500,경상남도,창원진해구,제황산동,,경상남도 창원진해구 제황산동 25-52 대암그린비치아파트,분양,개별난방,16758.0,1,150.0,서안건설,(주)대암,0555425689,,아파트,경상남도 창원시 진해구 속천로23번길 9,위탁관리,계단식,19911017,07049626890,150,16677.52,0.0,120.0,30.0,0.0,13531.65,15,15,1,5,51684,35.1441975854456,128.671318984787
A64524002,평화그린파크,4812911500,경상남도,창원진해구,제황산동,,경상남도 창원진해구 제황산동 26-4 평화그린파크,분양,개별난방,18187.33,1,167.0,평화종합건설,평화종합건설,0555474383,없음,아파트,경상남도 창원시 진해구 제황로 10,위탁관리,계단식,19960824,0555474384,167,15391.73,95.0,72.0,0.0,0.0,11799.24,18,18,0,5,51684,35.1461353382812,128.669487836582
A10022205,진해 수창블루안아파트,4812911600,경상남도,창원진해구,속천동,,경상남도 창원진해구 속천동 1-3 진해 수창블루안아파트,분양,개별난방,13080.692,1,124.0,수창건설(주),수창건설(주),0555420542,,아파트,경상남도 창원시 진해구 속천로 58,자치관리,계단식,20040617,0555460558,124,9828.24,124.0,0.0,0.0,0.0,7417.68,14,14,1,5,,35.1419282361887,128.669753877849
A10027971,진해유진에코블루스카이아파트,4812911600,경상남도,창원진해구,속천동,,경상남도 창원진해구 속천동 7 진해유진에코블루스카이아파트,분양,개별난방,24088.0,2,158.0,유진건설,(주)유진디엔씨,0555516679,,주상복합,경상남도 창원시 진해구 속천로 7,위탁관리,계단식,20150522,0555516679,203,13805.032,158.0,0.0,0.0,0.0,9463.6585,25,25,2,5,51684,35.1442725083272,128.671800104245
A64508001,미진이지비아,4812912400,경상남도,창원진해구,광화동,,경상남도 창원진해구 광화동 26 미진이지비아,분양,개별난방,22572.988,2,164.0,미진건설,미진이앤씨,0555419085,,주상복합,경상남도 창원시 진해구 중원동로 33,위탁관리,계단식,20140520,0555419087,206,14625.493,124.0,40.0,0.0,0.0,10486.4488,15,15,3,7,51678,35.1475591630529,128.660414918517
A64517001,태영데시앙,4812912700,경상남도,창원진해구,부흥동,,경상남도 창원진해구 부흥동 1-1 태영데시앙,분양,개별난방,34379.89,4,204.0,태영데시앙,태영데시앙,0555438831,nambu8801.com,주상복합,경상남도 창원시 진해구 중원동로 38,위탁관리,계단식,20070124,0555438832,204,24767.28,0.0,156.0,48.0,0.0,19328.6472,13,13,2,6,51681,35.1474534170137,128.661810553819
A64580601,대광아파트,4812913700,경상남도,창원진해구,여좌동,,경상남도 창원진해구 여좌동 760-24 대광아파트,분양,개별난방,19670.23,3,174.0,대광건설,대광건설,0555421721,,아파트,경상남도 창원시 진해구 여명로16번길 22,자치관리,계단식,19961026,0555421721,174,15617.5,70.0,104.0,0.0,0.0,12588.68,8,8,1,9,51691,35.1542970954552,128.657733321146
A10025934,경화베스티움,4812913900,경상남도,창원진해구,경화동,,경상남도 창원진해구 경화동 1316 경화베스티움,분양,개별난방,42930.0,7,285.0,동부토건,경화베스티움주택조합,0555470664,,아파트,경상남도 창원시 진해구 조천북로 131,위탁관리,계단식,20181231,0555470065,285,31642.543,0.0,279.0,0.0,6.0,24098.9495,15,15,2,10,51580,35.1616045150052,128.685391038635
A10027134,경화동 두산위브아파트,4812913900,경상남도,창원진해구,경화동,,경상남도 창원진해구 경화동 1334 경화동 두산위브아파트,분양,개별난방,70753.055,10,462.0,두산중공업,창원 두산중공업 경화동 직장주택조합,0555420031,,아파트,경상남도 창원시 진해구 조천로 30,위탁관리,계단식,20170217,0555420032,462,47490.023,71.0,391.0,0.0,0.0,35687.1127,15,15,3,17,51584,35.1609316532612,128.685313723902
