kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021063,만복도천비치맨션 2차 아파트,4822010100,경상남도,통영시,도천동,,경상남도 통영시 도천동 150-2 만복도천비치맨션 2차 아파트,분양,개별난방,8235.76,1,104.0,만복건설,만복건설,0556446260,,아파트,경상남도 통영시 중앙로 34,자치관리,계단식,19910917,0556438811,104,8235.76,0.0,104.0,0.0,0.0,7116.72,1,13,0,4,,34.8382021367396,128.414351218707
A65011001,영생비치2차맨션,4822010100,경상남도,통영시,도천동,,경상남도 통영시 도천동 1002 영생비치2차맨션,분양,개별난방,21932.3,3,180.0,영생건설(주),영생건설(주),0556416002,,아파트,경상남도 통영시 도천상가안길 9,자치관리,혼합식,19980711,0556496003,180,18729.0,48.0,94.0,38.0,0.0,14533.3,16,16,1,3,53067,34.837443041052,128.413770774964
A65075601,주영라이프,4822010700,경상남도,통영시,태평동,,경상남도 통영시 태평동 10 주영라이프,분양,개별난방,19614.06,3,176.0,(주)주영건설,(주)주영건설.진우건설,0556482305,,아파트,경상남도 통영시 비석1길 49,자치관리,계단식,19970506,0556482305,176,16775.693,59.0,117.0,0.0,0.0,13466.23,10,10,1,10,53049,34.8489330340087,128.427803562156
A10021179,만복동호비취맨션,4822010800,경상남도,통영시,동호동,,경상남도 통영시 동호동 361- 만복동호비취맨션,분양,개별난방,8691.0,1,122.0,만복건설,만복건설,0556465344,,아파트,경상남도 통영시 장좌로 131-7,자치관리(직영),혼합식,19930121,,122,8598.0,44.0,78.0,0.0,0.0,8691.26,1,14,0,4,,34.8405747963645,128.434210935679
A65007001,동원비치맨션,4822010800,경상남도,통영시,동호동,,경상남도 통영시 동호동 359 동원비치맨션,분양,개별난방,15256.0,2,152.0,동원건설,동원건설,0556419028,,아파트,경상남도 통영시 동호안길 86,자치관리,혼합식,19950527,0556499029,152,10737.84,72.0,80.0,0.0,0.0,10737.84,12,12,0,5,,34.8390572220499,128.435253516004
A65007002,동원비치2차,4822010800,경상남도,통영시,동호동,,경상남도 통영시 동호동 360 동원비치2차,분양,개별난방,22543.0,2,202.0,동원건설,동원건설,0556449098,,아파트,경상남도 통영시 장좌로 145,자치관리,혼합식,20010604,0556491098,202,17586.316,86.0,116.0,0.0,0.0,14504.48,13,13,1,10,53050,34.8398373166539,128.434801798984
A10020990,대도아파트,4822010900,경상남도,통영시,정량동,,경상남도 통영시 정량동 272-1 대도아파트,분양,개별난방,7248.25,2,125.0,대도건설,대도건설,0556429900,,아파트,경상남도 통영시 장대4길 2,자치관리(직영),계단식,19861222,0556429900,125,7125.0,125.0,0.0,0.0,0.0,6238.78,6,6,0,0,,34.8493074890858,128.432190933605
A10021264,삼성타워,4822010900,경상남도,통영시,정량동,,경상남도 통영시 정량동 1158-35 삼성타워,분양,개별난방,24971.0,1,106.0,삼성건설주식회사,삼성건설주식회사,0556468694,,주상복합,경상남도 통영시 통영해안로 398,자치관리,계단식,19930128,,106,3955.65,8.0,82.0,16.0,0.0,8830.08,1,20,0,2,,34.8450301360629,128.430737564339
A10027807,정량동 동원로얄듀크,4822010900,경상남도,통영시,정량동,,경상남도 통영시 정량동 1427 정량동 동원로얄듀크,분양,개별난방,31951.86,5,248.0,(주)동원개발,(주)남양개발,0556426816,,아파트,경상남도 통영시 비석1길 28,위탁관리,계단식,20150827,0556424106,248,22412.55,92.0,156.0,0.0,0.0,16758.21,20,20,1,7,53047,34.8497013623864,128.429931422101
A65080601,대우정우협동빌라,4822010900,경상남도,통영시,정량동,,경상남도 통영시 정량동 267-1 대우정우협동빌라,분양,개별난방,15878.0,1,196.0,대우개발,대우개발,0556470401,,아파트,경상남도 통영시 정량안길 1,자치관리,복도식,19931227,0556470402,197,15629.743,196.0,0.0,0.0,0.0,11666.91,14,14,1,2,53049,34.8480812930221,128.431192933995
A65080602,삼익비치맨션,4822010900,경상남도,통영시,정량동,,경상남도 통영시 정량동 1127 삼익비치맨션,분양,개별난방,22887.0,2,225.0,삼익건설,삼익건설,0556457215,,아파트,경상남도 통영시 항북길 12-27,자치관리,혼합식,19870807,0556457211,225,17982.0,0.0,210.0,15.0,0.0,17982,15,15,3,6,53049,34.8471144095031,128.430446533726
A10020447,광우화목맨션,4822011000,경상남도,통영시,북신동,,경상남도 통영시 북신동 691- 광우화목맨션,분양,개별난방,14104.47,1,132.0,(주)광우주택,(주)광우주택,0556416716,,아파트,경상남도 통영시 원문로 52,자치관리,계단식,19950511,,132,9407.28,57.0,75.0,0.0,0.0,9772.32,15,15,1,4,,34.8581821487097,128.422760521141
A10025951,통영해모로오션힐아파트,4822011000,경상남도,통영시,북신동,,경상남도 통영시 북신동 100-1 통영해모로오션힐아파트,혼합,개별난방,170492.0,14,1023.0,(주)한진중공업 건설부문,북신지구 주택재개발정비사업조합,0556438715,,아파트,경상남도 통영시 북신로 22,위탁관리,계단식,20181023,0556438717,1023,113317.95,155.0,683.0,185.0,0.0,85111.1117,27,27,4,27,53059,34.8530979140131,128.426995039243
