kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A63770502,함안 태완 노블리안,4873025021,경상남도,함안군,가야읍,말산리,경상남도 함안군 가야읍 말산리 23 함안 태완 노블리안,분양,개별난방,28945.0,4,295.0,태완건설,(주)태완,0555855083,,아파트,경상남도 함안군 가야18길 22,위탁관리,계단식,20140730,0555855727,295,28944.61,145.0,150.0,0.0,0.0,21402.468,22,22,1,8,52039,35.2801928544903,128.414752780421
A63780403,남경타운,4873025021,경상남도,함안군,가야읍,말산리,경상남도 함안군 가야읍 말산리 33-3 남경타운,분양,개별난방,35697.0,2,355.0,(주)남경건설,(주)남경건설,0555845810,,아파트,경상남도 함안군 가야15길 26,자치관리,혼합식,19970628,0555845811,355,30922.31,216.0,139.0,0.0,0.0,24741.04,18,18,1,9,52040,35.2793031014548,128.413098592723
A63780502,해동아파트,4873025021,경상남도,함안군,가야읍,말산리,경상남도 함안군 가야읍 말산리 448 해동아파트,분양,개별난방,17612.43,1,174.0,해동건설,해동건설,0555836007,,아파트,경상남도 함안군 해동길 22,위탁관리,계단식,19921010,0555826008,174,16563.39,0.0,174.0,0.0,0.0,14615.34,15,15,1,6,52044,35.2762288057459,128.403045352592
A10022413,은하아파트,4873025022,경상남도,함안군,가야읍,검암리,경상남도 함안군 가야읍 검암리 587- 은하아파트,분양,개별난방,9151.0,2,132.0,은하산업(주),은하산업(주),0555824888,,아파트,경상남도 함안군 하검길 136,자치관리,계단식,19950324,,132,8755.56,132.0,0.0,0.0,0.0,7880.4,0,6,0,0,,35.2740935762529,128.421692144275
A10022446,한국아파트,4873025022,경상남도,함안군,가야읍,검암리,경상남도 함안군 가야읍 검암리 934-5 한국아파트,분양,개별난방,8978.76,1,112.0,(주)한국주택건설,(주)한국주택건설,0555853033,,아파트,경상남도 함안군 남경길 186,자치관리,복도식,20001209,0555853033,112,7392.0,112.0,0.0,0.0,0.0,5547.36,1,18,1,1,,35.2805724737343,128.417615026061
A63770501,함안가야대경파미르,4873025022,경상남도,함안군,가야읍,검암리,경상남도 함안군 가야읍 검암리 770 함안가야대경파미르,분양,개별난방,28396.0,2,245.0,(주)대경종합건설,(주)대경건설,0555838900,,아파트,경상남도 함안군 가야로 155,위탁관리,계단식,20120914,0555838811,245,18288.865,3.0,242.0,0.0,0.0,18288.8659,21,21,1,6,52039,35.2805674044442,128.418324176827
A10027380,함안도항LH3단지,4873025024,경상남도,함안군,가야읍,도항리,경상남도 함안군 가야읍 도항리 306 함안도항LH3단지,임대,개별난방,10559.907,3,190.0,(주)  신 일,대한토지주택공사,0555835501,,아파트,경상남도 함안군 성내북길 77,위탁관리,복도식,20160802,0555835502,190,10559.907,190.0,0.0,0.0,0.0,6640.22,9,9,0,3,52042,35.2784543653008,128.399419262943
A63770503,함안도항대경파미르,4873025024,경상남도,함안군,가야읍,도항리,경상남도 함안군 가야읍 도항리 320 함안도항대경파미르,분양,개별난방,24090.0,5,189.0,대경건설,서문알앤디,0555858801,,아파트,경상남도 함안군 성내북길 70,위탁관리,계단식,20141128,0555828803,189,13278.42,111.0,78.0,0.0,0.0,13280.2935,15,15,0,5,52042,35.2768828352525,128.400316295054
A63780301,남선하이츠,4873025024,경상남도,함안군,가야읍,도항리,경상남도 함안군 가야읍 도항리 214-2 남선하이츠,분양,개별난방,13840.0,1,150.0,남선건설,남선건설,0555843368,,아파트,경상남도 함안군 도항2길 6,위탁관리,계단식,19960722,0555843368,150,12672.0,90.0,60.0,0.0,0.0,10489.95,15,15,0,5,52038,35.2838619687175,128.403587567905
A63780304,함안도항주공1단지아파트,4873025024,경상남도,함안군,가야읍,도항리,경상남도 함안군 가야읍 도항리 310-2 함안도항주공1단지아파트,분양,개별난방,25833.111,13,364.0,대우조선해양,LH공사,0555820385,,아파트,경상남도 함안군 성내북길 25,위탁관리,계단식,20040719,0555820386,364,25162.143,364.0,0.0,0.0,0.0,20173.74,5,5,0,0,52042,35.2755004388011,128.397289537468
A63780305,함안도항2주공아파트,4873025024,경상남도,함안군,가야읍,도항리,경상남도 함안군 가야읍 도항리 307 함안도항2주공아파트,임대,개별난방,29132.39,17,431.0,삼광기업(주),한국토지주택공사,0555835568,,아파트,경상남도 함안군 성내북길 57,위탁관리,복도식,20060504,0555835569,431,28989.02,431.0,0.0,0.0,0.0,21348.56,5,5,0,0,52042,35.2773267404043,128.397718215076
A63780306,함안동신,4873025024,경상남도,함안군,가야읍,도항리,경상남도 함안군 가야읍 도항리 224-4 함안동신,분양,개별난방,37866.86,3,458.0,(주)동신주택,(주)동신주택,0555836552,hebibi.com/332,아파트,경상남도 함안군 도항2길 65,위탁관리,혼합식,19911231,0555824817,458,37474.08,285.0,173.0,0.0,0.0,28717.8,15,15,1,6,52037,35.2836636582028,128.406120053771
A63792101,칠원동성아파트,4873025321,경상남도,함안군,칠원읍,구성리,경상남도 함안군 칠원읍 구성리 950-4 칠원동성아파트,분양,개별난방,42009.0,7,450.0,동성종합건설(주),동성종합건설(주),0555868001,,아파트,경상남도 함안군 원서로 89-21,위탁관리,계단식,20031114,0555868002,450,39933.0,270.0,180.0,0.0,0.0,31258.35,15,15,0,16,52022,35.299463268205,128.515479735547
A63792102,함안칠원LH,4873025321,경상남도,함안군,칠원읍,구성리,경상남도 함안군 칠원읍 구성리 141 함안칠원LH,임대,개별난방,44482.0,8,656.0,주식회사 삼환까뮤,한국토지주택공사,0555862541,www.lh.or.kr/,아파트,경상남도 함안군 구성길 141-1,위탁관리,복도식,20120817,0555862543,656,44343.08,656.0,0.0,0.0,0.0,26575.76,15,15,0,16,52024,35.3035877612536,128.523025289295
A63792103,광려천벽산블루밍2차아파트,4873025325,경상남도,함안군,칠원읍,오곡리,경상남도 함안군 칠원읍 오곡리 113 광려천벽산블루밍2차아파트,분양,개별난방,69933.0,9,530.0,(주)벽산건설,(주)부영건설,0555875516,,아파트,경상남도 함안군 호암길 6,위탁관리,계단식,20140617,0555875518,530,53647.18,119.0,411.0,0.0,0.0,39610.1786,20,20,1,0,52029,35.275970145517,128.522584364049
A63792403,광려천벽산블루밍아파트,4873025325,경상남도,함안군,칠원읍,오곡리,경상남도 함안군 칠원읍 오곡리 87 광려천벽산블루밍아파트,분양,개별난방,105132.16,12,726.0,벽산건설,LNP,0555878620,,아파트,경상남도 함안군 오곡로 103,위탁관리,계단식,20080613,0555878619,738,91251.99,0.0,420.0,267.0,39.0,70135.5501,20,20,1,0,52029,35.2743949705297,128.519617075569
A63792404,메트로자이,4873025325,경상남도,함안군,칠원읍,오곡리,경상남도 함안군 칠원읍 오곡리 1-1 메트로자이,분양,개별난방,223910.0,22,1794.0,GS건설,계림산업개발 주식회사,0555875807,,아파트,경상남도 함안군 삼호길 181,위탁관리,계단식,20060918,0555875809,1806,192967.03,386.0,1230.0,178.0,0.0,144978.3234,20,20,1,43,52028,35.274552688044,128.523750450555
A63792301,수정그린아파트,4873025326,경상남도,함안군,칠원읍,예곡리,경상남도 함안군 칠원읍 예곡리 409 수정그린아파트,분양,개별난방,14351.22,1,150.0,백제건설,백제건설,0555872359,,아파트,경상남도 함안군 경남대로 1504-1,자치관리,계단식,19931120,0555870130,150,13975.2,0.0,150.0,0.0,0.0,12094.8,15,15,0,5,52027,35.2746029040012,128.532565913986
A63792202,칠원대동,4873025328,경상남도,함안군,칠원읍,무기리,경상남도 함안군 칠원읍 무기리 878-2 칠원대동,분양,개별난방,42835.156,9,498.0,(주)대동주택,(주)대동주택,0555871885,,아파트,경상남도 함안군 갈티길 18-3,위탁관리,계단식,19980421,0555871883,498,42835.156,198.0,300.0,0.0,0.0,36076.66,15,15,0,18,52025,35.2932880760498,128.538024739014
A10022039,칠서기공아파트,4873035022,경상남도,함안군,칠서면,무릉리,경상남도 함안군 칠서면 무릉리 1058-1 칠서기공아파트,분양,개별난방,10555.0,1,107.0,중원종합건설,(주) 기공,0555874831,,아파트,경상남도 함안군 함의로 7,자치관리(직영),계단식,19970802,07073134831,107,9012.3,77.0,30.0,0.0,0.0,7135.09,0,15,0,4,,35.315533782639,128.509550082775
A63794101,칠서에이스아파트,4873035022,경상남도,함안군,칠서면,무릉리,경상남도 함안군 칠서면 무릉리 1122 칠서에이스아파트,분양,개별난방,100053.82,12,1252.0,(주)한국자산신탁,(주)부국건설,0555860038,,아파트,경상남도 함안군 칠평로 63,위탁관리,혼합식,20010416,0555860039,1252,100003.06,1252.0,0.0,0.0,0.0,66348.48,15,15,0,40,52018,35.3167091880709,128.505508509931
