kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A78006001,경주우방명사마을,4713010200,경상북도,경주시,서부동,,경상북도 경주시 서부동 19 경주우방명사마을,분양,개별난방,42681.0,10,260.0,우방건설,우방건설,0547454411,,아파트,경상북도 경주시 북성로 61,자치관리,계단식,20020401,0547464412,260,41547.0,0.0,0.0,120.0,140.0,37566.24,5,5,0,26,38141,35.8476114959554,129.208472354789
A78094701,장미동산타워아파트,4713010400,경상북도,경주시,성동동,,경상북도 경주시 성동동 228-2 장미동산타워아파트,분양,개별난방,34800.68,4,294.0,신흥주택,신흥주택,0547712100,,아파트,경상북도 경주시 동문로 64,위탁관리,혼합식,19920618,0547712100,294,33831.98,0.0,203.0,77.0,14.0,27582.9,7,7,0,8,38138,35.8501612822814,129.214295272722
A10023023,경주충효웰라움더테라스,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동  경주충효웰라움더테라스,분양,개별난방,41215.844,5,230.0,(주)대상건설,(주)대경이엔씨,0546249002,,아파트,경상북도 경주시 충효구획1길 53,위탁관리,계단식,20230609,0546249004,233,40463.24,0.0,220.0,10.0,0.0,19770.2478,10,10,2,13,,35.8495987137193,129.166576710614
A10028111,신원아침도시,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동 100-14 신원아침도시,분양,개별난방,30237.04,5,229.0,고현디엔씨,신원종합개발,0547775798,,아파트,경상북도 경주시 충효1길 8,위탁관리,계단식,20150227,0547775799,229,24432.77,0.0,229.0,0.0,0.0,19296.509,8,8,1,13,38062,35.8402743106445,129.190648568226
A78025001,삼보2차아파트,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동 273 삼보2차아파트,분양,개별난방,16426.0,2,176.0,삼보건설,삼보건설,0547413120,,아파트,경상북도 경주시 충효2길 33,자치관리,계단식,19970203,0547413120,176,16185.13,80.0,80.0,16.0,0.0,13751.52,8,8,0,11,38058,35.8433928825137,129.188506002702
A78025002,충효대신그린타운,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동 2935 충효대신그린타운,분양,개별난방,11567.34,1,179.0,대신건설(주),대신건설(주),0547722765,,아파트,경상북도 경주시 충효녹지길 134-9,위탁관리,혼합식,19960119,0547722765,179,11503.34,149.0,30.0,0.0,0.0,9332.85,15,15,1,5,38060,35.8454497169542,129.176932728757
A78025003,충효에덴타운,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동 371-2 충효에덴타운,분양,개별난방,22225.0,2,227.0,주식회사 에덴,주식회사 에덴,0547744355,,아파트,경상북도 경주시 충효5길 30,위탁관리,계단식,19960430,0547744355,227,19682.652,107.0,120.0,0.0,0.0,16577.88,15,15,1,8,38058,35.8461629358832,129.178953133119
A78025004,"삼정그린뷰 경주본가1,2단지",4713011400,경상북도,경주시,충효동,,"경상북도 경주시 충효동 44-3 삼정그린뷰 경주본가1,2단지",분양,개별난방,49808.797,11,428.0,삼정건설(주),삼주미다스그룹(주),0547467786,,아파트,경상북도 경주시 충효1길 22-5,자치관리,계단식,20041106,0547468871,428,43522.01,0.0,428.0,0.0,0.0,34809.4334,8,8,2,28,38062,35.8418222504739,129.19171887884
A78025005,삼보1차마을아파트,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동 57-1 삼보1차마을아파트,분양,개별난방,21273.0,4,283.0,(주)삼보건설,(주)삼보건설,0547746650,,아파트,경상북도 경주시 충효2길 32,자치관리,혼합식,19951230,0547746650,283,21112.5,237.0,46.0,0.0,0.0,16938.79,8,8,0,14,38058,35.8433186403474,129.189341366254
A78077206,충효대우2차아파트,4713011400,경상북도,경주시,충효동,,경상북도 경주시 충효동 2942 충효대우2차아파트,분양,개별난방,46477.9,6,420.0,(주)대우,(주)대우,0547412942,,아파트,경상북도 경주시 충효5길 13,위탁관리,계단식,19961217,0547742942,420,38380.18,180.0,210.0,30.0,0.0,32685.72,15,15,1,14,38060,35.8451814213018,129.179231274073
