kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022895,구미 아이파크 더샵 아파트,4719010100,경상북도,구미시,원평동,,경상북도 구미시 원평동 1134 구미 아이파크 더샵 아파트,분양,개별난방,244676.73,12,1610.0,"현대산업개발,포스코",원평1구역 주택재개발정비사업조합,0544522030,,아파트,경상북도 구미시 금오산로6길 12,위탁관리(직영+위탁),계단식,20231128,0544522031,1610,168243.38,672.0,775.0,163.0,0.0,120146.8944,42,42,2,0,39223,36.1299339994532,128.337117186554
A10023391,프로그레스구미아파트,4719010100,경상북도,구미시,원평동,,경상북도 구미시 원평동 937-86 프로그레스구미아파트,분양,개별난방,89356.0,7,581.0,(주)광신종합건설,(주)신미D앤D,0544612220,,아파트,경상북도 구미시 칠성로2길 12,위탁관리,혼합식,20230202,0544612221,581,65796.664,44.0,407.0,129.0,1.0,49705.0949,29,29,2,14,39236,36.1215470769615,128.358031594404
A73001002,원평두산맨션,4719010100,경상북도,구미시,원평동,,경상북도 구미시 원평동 1076-1 원평두산맨션,분양,개별난방,16554.78,1,174.0,(주) 두산주택,(주) 대원주택,0544565960,,아파트,경상북도 구미시 산업로 320-12,위탁관리,혼합식,19930701,0544565960,174,15483.01,70.0,104.0,0.0,0.0,12141.76,14,14,0,5,39234,36.1217505733523,128.353675459117
A73092101,대영파크에비앙,4719010100,경상북도,구미시,원평동,,경상북도 구미시 원평동 81-2 대영파크에비앙,분양,개별난방,9720.766,1,164.0,대영건설,대영건설,0544559795,,아파트,경상북도 구미시 원남로4길 13,위탁관리,복도식,20040810,0544559796,164,7507.06,164.0,0.0,0.0,0.0,4860.6552,15,15,1,2,39301,36.1278319111966,128.326997598496
A73092103,원평대동타운,4719010100,경상북도,구미시,원평동,,경상북도 구미시 원평동 83-13 원평대동타운,분양,개별난방,32245.0,1,289.0,대동주택건설(주),대동주택건설(주),0544550331,,아파트,경상북도 구미시 원남로4길 5,위탁관리,혼합식,19930709,0544570331,289,29778.05,119.0,136.0,34.0,0.0,23108.27,17,17,1,7,39301,36.1275519286132,128.328062468405
A73092401,원평궁전맨션,4719010100,경상북도,구미시,원평동,,경상북도 구미시 원평동 1035-7 원평궁전맨션,분양,개별난방,15266.0,1,169.0,삼우건설,삼우건설,0544557283,,아파트,경상북도 구미시 구미중앙로27길 24,위탁관리,복도식,19940426,0544557280,169,14601.588,169.0,0.0,0.0,0.0,10040.88,17,17,1,2,39229,36.1259540962389,128.343014729488
A10021429,도량아이센스,4719010300,경상북도,구미시,도량동,,경상북도 구미시 도량동 230- 도량아이센스,분양,개별난방,0.0,6,120.0,(주)제이엠지개발,(주)제이엠지개발,0544511253,,도시형 생활주택(연립주택),경상북도 구미시 도봉로5길 77,위탁관리,계단식,20160422,0544582209,120,11328.24,0.0,120.0,0.0,0.0,8690.6808,1,5,0,0,,36.1388778635398,128.318843454185
A10021827,미광아파트,4719010300,경상북도,구미시,도량동,,경상북도 구미시 도량동 759- 미광아파트,분양,개별난방,13737.0,2,122.0,미광건설,미광건설,0544565487,,아파트,경상북도 구미시 문장로14길 46,자치관리,계단식,19911219,07081075487,122,13298.0,0.0,122.0,0.0,0.0,10368.78,15,15,1,5,,36.1435118131495,128.336123268901
A10025498,도량롯데캐슬골드파크,4719010300,경상북도,구미시,도량동,,경상북도 구미시 도량동 639 도량롯데캐슬골드파크,분양,개별난방,198022.08,10,1260.0,롯데건설,도량일이주공아파트 주택재건축정비사업조합,0544546653,,아파트,경상북도 구미시 문장로 111,위탁관리,혼합식,20190426,0544546654,1260,138927.06,76.0,1042.0,142.0,0.0,103615.7962,29,29,3,30,39197,36.1417089039522,128.331893028149
A10027075,도량미소지움1.2단지,4719010300,경상북도,구미시,도량동,,경상북도 구미시 도량동 864 도량미소지움1.2단지,분양,개별난방,47554.0,23,530.0,sg신성건설,코람코자산신탁,0544569311,,연립주택,경상북도 구미시 송동로2길 43,위탁관리,계단식,20160802,0544569310,530,46388.176,430.0,100.0,0.0,0.0,33055.7,6,6,0,53,39215,36.1338690784048,128.324622425279
