kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A74010001,항도아파트,4715010400,경상북도,김천시,성내동,,경상북도 김천시 성내동 62 항도아파트,분양,개별난방,25369.0,2,222.0,대영건설주식회사,대영건설주식회사,0544363832,,아파트,경상북도 김천시 충효길 88,자치관리,계단식,19911129,0544332954,222,24846.0,0.0,192.0,30.0,0.0,19343.94,15,15,0,8,39584,36.1244269436273,128.119356910227
A74076101,한일장미타운,4715010500,경상북도,김천시,평화동,,경상북도 김천시 평화동 72-9 한일장미타운,분양,개별난방,25984.11,2,284.0,(주)한일주택건설,(주)한일주택건설,0544347651,,아파트,경상북도 김천시 평화장미3길 25,자치관리,복도식,19931030,0544367650,284,25294.14,176.0,108.0,0.0,0.0,18812.28,14,14,1,3,39574,36.1275961266109,128.115195675326
A74076201,동보수정맨션,4715010700,경상북도,김천시,황금동,,경상북도 김천시 황금동 129-3 동보수정맨션,분양,개별난방,31708.234,1,270.0,동보주택건설(주),동보주택건설(주),0544391125,,아파트,경상북도 김천시 양금로 196,자치관리,혼합식,19930618,0544391126,270,27757.719,105.0,105.0,60.0,0.0,22709.1,15,15,0,7,39618,36.1115016132489,128.123241000445
A74076302,한신아파트,4715010700,경상북도,김천시,황금동,,경상북도 김천시 황금동 27-4 한신아파트,분양,개별난방,31356.0,4,274.0,한신공영,한신공영,0544364883,,아파트,경상북도 김천시 김천로 248,자치관리,계단식,19901227,0544360343,274,29467.92,0.0,214.0,60.0,0.0,24594.58,15,15,0,10,39592,36.115732131823,128.125985479797
A10025304,김천삼도뷰엔빌W아파트 2단지,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 1319 김천삼도뷰엔빌W아파트 2단지,분양,개별난방,62169.234,6,417.0,삼도주택(주),삼도종합건설(주),0544366680,,아파트,경상북도 김천시 시청7길 60,위탁관리,계단식,20190830,0544366681,417,39360.273,97.0,320.0,0.0,0.0,29871.9416,20,20,4,11,39533,36.1367401473732,128.113711189493
A10025314,김천삼도뷰엔빌W1단지,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 1318 김천삼도뷰엔빌W1단지,분양,개별난방,84908.89,10,534.0,삼도주택건설주식회사,삼도종합건설주식회사,0546022230,김천삼도뷰엔빌w1단지.apti.co.kr/aptHome/,아파트,경상북도 김천시 시청7길 62,위탁관리,계단식,20190830,0546022231,534,58931.773,118.0,340.0,76.0,0.0,42623.711,20,20,3,17,39530,36.1372269376507,128.111802334223
A10025403,목련아파트,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 1276 목련아파트,분양,개별난방,5903.13,2,100.0,(주)미도파,김천시장,0544351997,,아파트,경상북도 김천시 시청4길 6,자치관리,계단식,19930925,0544550034,100,5592.0,100.0,0.0,0.0,0.0,4968,5,5,0,0,39532,36.142066350664,128.115900646084
A74075705,신음금류1차아파트,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 847-2 신음금류1차아파트,분양,개별난방,33101.19,3,325.0,금류건설(주),금류건설(주),0544337346,,아파트,경상북도 김천시 시청2길 30,위탁관리,혼합식,19940820,0544363038,325,27200.436,245.0,80.0,0.0,0.0,21358.3,20,20,2,7,39531,36.1378599112699,128.112869794029
A74075706,대신휴먼시아,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 1313 대신휴먼시아,임대,개별난방,30329.0,6,422.0,세운건설,한국토지주택공사,0544308185,www.kohom.co.kr,아파트,경상북도 김천시 시청로 93,자치관리(직영),복도식,20090929,0544308186,422,29610.635,422.0,0.0,0.0,0.0,16906.8,10,10,0,9,39546,36.1370764096652,128.116320354226
A74075802,김천우방1차아파트,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 1272 김천우방1차아파트,분양,개별난방,23865.17,2,180.0,(주) 우방,(주) 우방,0544391300,,아파트,경상북도 김천시 시청6길 43,자치관리,계단식,19931125,0544371310,180,20503.5,0.0,90.0,90.0,0.0,17685.6,15,15,0,6,39532,36.1423350974564,128.114040034181
A74075807,김천2차우방타운,4715010800,경상북도,김천시,신음동,,경상북도 김천시 신음동 470-6 김천2차우방타운,분양,개별난방,40529.0,2,374.0,(주)우방,(주)우방,0544302034,,아파트,경상북도 김천시 신음2길 42,위탁관리,혼합식,19960529,0544369994,374,34150.49,197.0,177.0,0.0,0.0,26757.77,23,23,0,6,39544,36.1366797444084,128.118500416625
