kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021287,흥덕주공아파트,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 330- 흥덕주공아파트,분양,개별난방,0.0,1,200.0,LH,LH,0545554495,,아파트,경상북도 문경시 돈달로 160,자치관리,계단식,19831105,,204,9164.0,200.0,0.0,0.0,0.0,8079.6,5,5,0,0,,36.6037043544401,128.201589132807
A10022011,대화2차비둘기주택,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 790- 대화2차비둘기주택,분양,개별난방,9865.0,1,156.0,대화주택,대화주택,0545532832,,연립주택,경상북도 문경시 흥덕로 17,자치관리,계단식,19900530,,156,8817.33,156.0,0.0,0.0,0.0,8817.12,1,3,0,0,,36.601892742482,128.205975794722
A10022119,시영아파트,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 577- 시영아파트,분양,개별난방,11597.0,4,180.0,(주)갑을,(주)갑을,0545554428,,아파트,경상북도 문경시 흥덕9길 13,자치관리(직영),계단식,19921103,0545553775,180,11407.7,180.0,0.0,0.0,0.0,10100.5,5,5,0,0,,36.6103962614506,128.205406957599
A10022169,창신그린연립주택,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 796- 창신그린연립주택,분양,개별난방,8166.0,4,135.0,주식회사  창신,주식회사  창신,025529006,,,경상북도 문경시 흥덕로 22,자치관리,계단식,19900203,,135,7694.28,135.0,0.0,0.0,0.0,6669.54,3,3,0,0,,36.6005409265778,128.205397760621
A10022211,황제맨션,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 776- 황제맨션,분양,개별난방,19466.0,5,198.0,(주)에덴주택,고려종합건설주식회사,0545556002,,아파트,경상북도 문경시 신흥6길 5,자치관리,계단식,19891228,0545560238,198,16611.75,0.0,198.0,0.0,0.0,16611.75,6,6,0,0,,36.6034069998992,128.205514219624
A10022737,e편한세상상무아파트,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 0 e편한세상상무아파트,사택 및 관사 등,개별난방,14500.478,2,83.0,"대림산업,한화건설,삼성엔지니어링","대림산업,한화건설,삼성엔지니어링",0549259905,,,경상북도 문경시 호서로 177,위탁관리,계단식,20130218,0549259906,83,6756.0,0.0,83.0,0.0,0.0,6756,12,0,1,4,36960,36.6099917901245,128.204058759483
A10023848,흥덕천년나무아파트,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 828 흥덕천년나무아파트,임대,개별난방,12490.5,2,200.0,대영종합건설,한국토지주택공사,0545555830,,아파트,,위탁관리,복도식,20211206,0545545830,200,12490.46,200.0,0.0,0.0,0.0,6360.58,15,15,1,0,36960,36.6087888143547,128.204061627982
A74588901,주은우방,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 337-21 주은우방,분양,개별난방,24312.135,3,240.0,주은건설 우방(주),주은건설 우방(주),0545557274,,아파트,경상북도 문경시 흥덕4길 35,위탁관리,계단식,19940902,0545527274,240,23372.1,0.0,210.0,30.0,0.0,19176.9,15,15,0,8,36965,36.6044014975605,128.200733573472
A74588902,푸른숲,4728010300,경상북도,문경시,흥덕동,,경상북도 문경시 흥덕동 631-1 푸른숲,분양,개별난방,34713.12,2,421.0,(주)에이블,(주)에이블,0545542262,,아파트,경상북도 문경시 돈달로 199,자치관리,복도식,20080401,0545542266,421,27870.07,421.0,0.0,0.0,0.0,21994.23,15,15,1,5,36960,36.6068213097442,128.203882058643
A10020493,성덕하이빌2차(모전동),4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 577-1 성덕하이빌2차(모전동),분양,개별난방,5502.68,1,48.0,성덕주택,성덕주택,0545539562,,아파트,경상북도 문경시 돈달산길 1,자치관리,계단식,20021226,0545569902,48,5502.24,0.0,48.0,0.0,0.0,4077.8448,1,12,0,2,,36.5976934077498,128.193373905864
A10022187,"모전주공아파트 101,102.",4728011000,경상북도,문경시,모전동,,"경상북도 문경시 모전동 870- 모전주공아파트 101,102.",분양,개별난방,9758.0,2,118.0,신태진건설,대한주택공사,0545525671,,아파트,경상북도 문경시 매봉4길 25,자치관리,복도식,19950523,0545545671,118,9636.52,118.0,0.0,0.0,0.0,6999.9,15,15,1,2,,36.5875773735308,128.184637723477
A10023394,문경코아루노블36,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 862-2 문경코아루노블36,분양,개별난방,30993.49,1,166.0,새천년건설,한국토지신탁,0545537725,,주상복합,경상북도 문경시 당교3길 16,위탁관리,계단식,20221228,0545537726,166,27527.68,0.0,150.0,14.0,2.0,13933.06,35,35,3,3,36986,36.5857230534065,128.190214992068
A10025202,문경점촌코아루아파트,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 948 문경점촌코아루아파트,분양,개별난방,19621.0,2,154.0,파인건설,한국토지신탁,0545553160,,아파트,경상북도 문경시 상신로 115,위탁관리,계단식,20191010,0545553161,159,16352.475,0.0,154.0,0.0,0.0,12828.8006,20,20,1,0,36957,36.5996206697113,128.187707910804
A74570301,문경코아루아파트,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 793 문경코아루아파트,분양,개별난방,66170.0,7,450.0,(주)인터불고건설,(주)한국토지신탁,0545567787,,아파트,경상북도 문경시 당교6길 25,위탁관리,계단식,20140530,0545551235,450,49401.562,0.0,450.0,0.0,0.0,36873.808,20,20,2,0,36985,36.5820048098388,128.183390803635
A74588201,모전현대아파트,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 264-1 모전현대아파트,분양,개별난방,24395.0,3,240.0,현대산업개발,현대산업개발,0545559283,,아파트,경상북도 문경시 시청3길 10,위탁관리,혼합식,19950425,07074269283,240,21421.488,120.0,120.0,0.0,0.0,17319.75,15,15,0,6,36980,36.5888737145479,128.188300007648
A74588302,대원양지마을,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 660 대원양지마을,분양,개별난방,25261.0,1,255.0,대원주택건설,대원주택건설,0545530536,,아파트,경상북도 문경시 양지4길 14,자치관리,계단식,20021212,0545530537,255,25134.506,119.0,136.0,0.0,0.0,18673.1635,17,17,0,8,36975,36.5926709628818,128.183702954724
A74588303,영풍마드레빌,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 868 영풍마드레빌,분양,개별난방,31869.68,3,299.0,(주)화송건설,영풍산업(주),0545567837,영풍.aptgate.co.kr,아파트,경상북도 문경시 매봉4길 9,자치관리,계단식,20040106,0545537838,299,30801.52,119.0,150.0,30.0,0.0,23565.4164,15,15,0,10,36979,36.587069725146,128.182175895816
A74588304,신원아침도시아파트,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 949 신원아침도시아파트,분양,개별난방,50984.61,4,343.0,신원종합개발,조은하우징,0545552331,,아파트,경상북도 문경시 여중1길 30,위탁관리,계단식,20081027,0545552332,343,42446.03,0.0,265.0,74.0,4.0,32367.5656,25,25,0,8,36957,36.5984566018492,128.188625101942
A74588305,문경대동타운,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 869 문경대동타운,분양,개별난방,46869.23,6,476.0,대동건설(주),새한주택(주),0545561448,,아파트,경상북도 문경시 매봉4길 15,위탁관리,계단식,19971112,0545561447,476,40172.105,224.0,252.0,0.0,0.0,34006.28,14,14,0,17,36979,36.5873172742603,128.183390563897
A74588306,매봉마을1단지,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 908 매봉마을1단지,분양,개별난방,41143.81,6,500.0,현대산업개발,LH공사,0545550538,,아파트,경상북도 문경시 매봉1길 35,위탁관리,혼합식,19980506,0545558042,501,37359.855,500.0,0.0,0.0,0.0,29072.92,18,18,0,12,36977,36.5886743938083,128.183273622633
A74588307,문경모전2,4728011000,경상북도,문경시,모전동,,경상북도 문경시 모전동 870 문경모전2,혼합,중앙난방,18009.0,2,388.0,신태진건설,신태진건설,0545557989,www.kohom.or.kr,아파트,경상북도 문경시 매봉4길 25,위탁관리,복도식,19950523,0545559379,388,16546.3,388.0,0.0,0.0,0.0,11414.61,15,15,0,5,36979,36.5875773735308,128.184637723477
