kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A74275601,성동경희아파트,4725010200,경상북도,상주시,성동동,,경상북도 상주시 성동동 63 성동경희아파트,분양,개별난방,15085.075,2,202.0,(합)경희주택,(합)경희주택,0545351153,,아파트,경상북도 상주시 성동1길 74,위탁관리,혼합식,19950227,0545351153,202,12209.254,202.0,0.0,0.0,0.0,9076.8,15,15,0,5,37232,36.4142420756624,128.16936156922
A10024786,상주한라하우젠트,4725010400,경상북도,상주시,복룡동,,경상북도 상주시 복룡동 511 상주한라하우젠트,분양,개별난방,23218.63,2,153.0,(주)한라공영,(주)한라개발,0547143525,,주상복합,경상북도 상주시 왕산로 308,위탁관리,계단식,20200610,0547143526,187,15432.397,34.0,119.0,0.0,0.0,12147.4826,18,18,2,5,37178,36.4193852172158,128.163307524137
A74275501,상주우방1.2차아파트,4725010400,경상북도,상주시,복룡동,,경상북도 상주시 복룡동 206-6 상주우방1.2차아파트,분양,개별난방,74083.0,8,750.0,(주)우방,주)우방,0545323126,상주우방타운.apti.co.kr,아파트,경상북도 상주시 복룡3길 29,위탁관리,계단식,19951010,0545323125,750,69291.35,383.0,310.0,57.0,0.0,56898.075,15,15,0,26,37234,36.4183286909486,128.172553042548
A74275503,복룡6주공아파트,4725010400,경상북도,상주시,복룡동,,경상북도 상주시 복룡동 245 복룡6주공아파트,분양,개별난방,27481.0,5,387.0,구산건설(주),6주공 입주자 대표회의,0545346325,,아파트,경상북도 상주시 삼백로 257,위탁관리,혼합식,20011127,0545346326,387,27314.93,387.0,0.0,0.0,0.0,19539.12,15,15,0,10,37235,36.4197340304641,128.170940974121
A10021141,냉림1주공아파트,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 172- 냉림1주공아파트,분양,개별난방,15663.64,11,247.0,한국토지주택공사,한국토지주택공사,0545334188,,연립주택,경상북도 상주시 상산로 366,위탁관리,계단식,19841207,0544711254,247,15568.24,195.0,52.0,0.0,0.0,14199.63,5,5,0,0,,36.4236657116662,128.159331439009
A10021143,냉림2주공아파트,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 119- 냉림2주공아파트,분양,개별난방,13603.0,7,290.0,한국토지주택공사,한국토지주택공사,0545356692,,아파트,경상북도 상주시 상산로 384,위탁관리,계단식,19890414,0544711254,294,13600.8,290.0,0.0,0.0,0.0,11904.3,5,5,0,0,,36.4253728438634,128.159297389786
A10021322,지엘리더스파크골드,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 111- 지엘리더스파크골드,분양,개별난방,0.0,4,109.0,안준한 지엘건설주식회사,안준한 지엘건설주식회사,0544511253,,아파트,경상북도 상주시 영남제일로 1651,위탁관리,혼합식,20111202,0544582209,109,12943.04,0.0,109.0,0.0,0.0,9146.9082,15,15,0,0,,36.4265558362459,128.160372392982
A10024032,상주미소지움더퍼스트,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 408 상주미소지움더퍼스트,분양,개별난방,53667.5,4,299.0,신성건설(주),한국토지신탁(주),0545369031,,아파트,경상북도 상주시 냉림3길 67-14,위탁관리,계단식,20211019,0545369032,299,32681.996,0.0,299.0,0.0,0.0,25408.8582,20,20,2,0,37175,36.4238040933962,128.163271644638
A10024538,북천 코아루 하트리움,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 407 북천 코아루 하트리움,분양,개별난방,22359.66,4,211.0,두진건설,한국토지신탁,0545007008,,아파트,경상북도 상주시 냉림1길 88-19,위탁관리,계단식,20201118,0545007009,211,18033.816,36.0,175.0,0.0,0.0,13223.14,18,18,1,0,37176,36.4229695131384,128.166666776752
A10024962,상주 북천대림다미아 아파트,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 406 상주 북천대림다미아 아파트,분양,개별난방,27575.0,4,187.0,(주)대림종합건설,(주)대림,0545335331,,아파트,경상북도 상주시 냉림4길 27-6,위탁관리,계단식,20200319,0545335331,187,20106.771,0.0,187.0,0.0,0.0,15640.9397,18,18,1,6,37174,36.4254949770302,128.161009576136
A74275301,냉림4주공아파트,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 78 냉림4주공아파트,분양,개별난방,18183.95,3,300.0,신림종합건설,대한주택공사,0545350149,,아파트,경상북도 상주시 냉림2길 111,위탁관리,복도식,19950901,0545357508,300,18062.7,300.0,0.0,0.0,0.0,13066.8,15,15,1,4,37177,36.4222038362876,128.164636280673
A74275302,상주냉림3,4725010500,경상북도,상주시,냉림동,,경상북도 상주시 냉림동 78 상주냉림3,임대,중앙난방,21462.828,2,478.0,신림종합건설,한국토지주택공사,0545361831,www.kohom.or.kr,아파트,경상북도 상주시 냉림2길 111,위탁관리,복도식,19950901,0545363083,483,19918.26,478.0,0.0,0.0,0.0,13787.91,15,15,1,6,37177,36.4222038362876,128.164636280673
