kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10026310,예천이테크코아루,4790025025,경상북도,예천군,예천읍,남본리,경상북도 예천군 예천읍 남본리 91 예천이테크코아루,분양,개별난방,36196.47,4,272.0,(주)이테크건설,(주)36한국토지신탁,0546543254,,아파트,경상북도 예천군 양궁로 60-20,위탁관리,계단식,20180305,0546533253,272,21121.57,0.0,266.0,6.0,0.0,21121.57,19,19,1,8,36829,36.6478310673825,128.460092772223
A10021492,덕흥장미아파트,4790025027,경상북도,예천군,예천읍,대심리,경상북도 예천군 예천읍 대심리 78-1 덕흥장미아파트,혼합,개별난방,10400.0,3,125.0,(주)덕흥건설,(주)덕흥건설,0546540663,,아파트,경상북도 예천군 대심1길 19,자치관리,혼합식,19970801,,125,7897.08,101.0,24.0,0.0,0.0,7897.08,6,6,0,0,,36.6486431369366,128.441270353936
A75780602,예천 대심 국민임대아파트,4790025027,경상북도,예천군,예천읍,대심리,경상북도 예천군 예천읍 대심리 430 예천 대심 국민임대아파트,임대,개별난방,26370.67,5,355.0,동산건설,한국토지주택공사,0546525100,,아파트,경상북도 예천군 봉덕로 52,위탁관리,혼합식,20070703,0546525100,355,26174.879,355.0,0.0,0.0,0.0,17539.71,13,13,1,0,36827,36.6533134531198,128.442075909552
A75780701,예천세아101,4790025032,경상북도,예천군,예천읍,청복리,경상북도 예천군 예천읍 청복리 383-2 예천세아101,분양,개별난방,21185.06,2,253.0,(주)세아,(주)세아,0546545303,,아파트,경상북도 예천군 양궁로 83,위탁관리,복도식,19970816,0546545304,253,18609.191,253.0,0.0,0.0,0.0,13948.78,18,18,0,4,36829,36.6456402064359,128.463598146896
A10023739,경북도청LH아파트,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1117 경북도청LH아파트,임대,개별난방,31921.83,3,500.0,한백종합건설,한국토지주택공사,0546558760,,아파트,경상북도 예천군 행복로 111,위탁관리,복도식,20220704,0546558761,503,22788.74,500.0,0.0,0.0,0.0,14786.88,25,25,1,8,36849,36.5781277945167,128.475007741674
A10025688,동일스위트더파크,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1393 동일스위트더파크,분양,개별난방,236106.14,23,1499.0,(주)동일,(주)동일,0546550995,,아파트,경상북도 예천군 행복로 177,위탁관리,계단식,20190228,0546550996,1499,163887.22,0.0,1499.0,0.0,0.0,123008.2162,25,25,3,50,36849,36.5785549670633,128.483908581643
A10026139,경북도청신도시 모아엘가에듀파크,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1120 경북도청신도시 모아엘가에듀파크,분양,개별난방,97601.56,7,593.0,혜림건설(주),한아건설(주),0546559066,,아파트,경상북도 예천군 양지로 55,위탁관리,계단식,20180718,0546559067,593,66005.875,0.0,593.0,0.0,0.0,50276.0233,26,26,2,16,36849,36.5797913559976,128.479817524269
A10026661,경북도청신도시 호반베르디움2차,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1381 경북도청신도시 호반베르디움2차,분양,개별난방,171047.08,22,1133.0,호반건설(주),(주)스카이주택,0546529151,,아파트,경상북도 예천군 양지로 14,위탁관리,계단식,20171129,0546529153,1133,124690.9,0.0,1133.0,0.0,0.0,93874.562,21,21,1,37,36849,36.5761286177575,128.481176025157
A10026880,경북도청신도시 우방아이유셀3차 센텀,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1400 경북도청신도시 우방아이유셀3차 센텀,분양,개별난방,163789.16,12,1086.0,(주)우방건설산업,(주)삼라,0546525950,,아파트,경상북도 예천군 검무로 27,위탁관리,계단식,20170731,0546525954,1086,120778.16,0.0,1086.0,0.0,0.0,92275.6598,25,25,2,31,36849,36.5783432329771,128.495506411727
A10026887,경북도청신도시 호반베르디움 1차,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1397 경북도청신도시 호반베르디움 1차,분양,개별난방,124366.96,13,830.0,(주)호반건설,(주)스카이주택,0546538765,,아파트,경상북도 예천군 행복로 215,위탁관리,계단식,20170809,0546548765,830,91044.54,0.0,830.0,0.0,0.0,68964.8846,22,22,1,23,36849,36.5796682196984,128.490443941437
A10026954,경북도청신도시 우방아이유쉘 센트럴,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1398 경북도청신도시 우방아이유쉘 센트럴,분양,개별난방,106734.46,10,677.0,(주)우방,(주)우방,0546527082,,아파트,경상북도 예천군 행복로 229,위탁관리,계단식,20170630,0546527092,677,75235.87,0.0,677.0,0.0,0.0,57524.5486,21,21,1,21,36849,36.5783530110214,128.489444124267
A10027630,경북도청우방아이유쉘1차,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1401 경북도청우방아이유쉘1차,분양,개별난방,49329.367,8,442.0,우방산업(주),(주)우방건설산업,0546527588,,아파트,경상북도 예천군 검무로 17,위탁관리,혼합식,20160331,0546528588,442,37549.395,0.0,442.0,0.0,0.0,37549.394,19,19,1,14,36849,36.5767097875507,128.492632030465
A10027660,경북도청우방아이유쉘2차,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1383 경북도청우방아이유쉘2차,분양,개별난방,55753.887,6,356.0,우방아이유쉘,(주)우방건설,0546523276,,아파트,경상북도 예천군 행복로 230,위탁관리,혼합식,20160304,0546523286,356,39631.16,0.0,356.0,0.0,0.0,30245.7448,18,18,1,0,36849,36.5765199901994,128.487698184264
A10027662,경북도청 아이파크,4790025330,경상북도,예천군,호명읍,산합리,경상북도 예천군 호명읍 산합리 1382 경북도청 아이파크,분양,개별난방,68468.0,9,489.0,(주)현대산업개발,경북smcd프로젝트 금융투자(주),0546558058,,아파트,경상북도 예천군 새움3로 7,위탁관리,계단식,20151221,0546558060,489,53956.26,0.0,489.0,0.0,0.0,41561.6259,15,15,0,18,36849,36.5759167108359,128.487230582471
