kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020491,로얄맨션1차,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 298-1 로얄맨션1차,분양,개별난방,10047.0,4,150.0,주식회사대흥주택건설,주식회사대흥주택건설,0549734065,,아파트,경상북도 칠곡군 중앙로 126,자치관리,계단식,19891115,,150,8490.1,80.0,70.0,0.0,0.0,8490.1,5,5,0,0,,35.9866083065516,128.399305288012
A10022236,왜관주공아파트,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 347-5 왜관주공아파트,분양,개별난방,12444.0,1,260.0,대한주택공사,대한주택공사,0549738582,,아파트,경상북도 칠곡군 평장2길 14,자치관리,계단식,19860819,0549738582,260,12444.0,260.0,0.0,0.0,0.0,12444,5,5,0,0,,35.9874378326537,128.404962584237
A10025856,왜관태왕아너스 센텀아파트,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 1463 왜관태왕아너스 센텀아파트,분양,개별난방,109364.516,6,728.0,(주)태왕이엔씨,한국토지신탁,0549779719,태왕아너스센텀.apti.co.kr,아파트,경상북도 칠곡군 달오2길 37,위탁관리,계단식,20181129,0549779720,728,79270.33,0.0,728.0,0.0,0.0,59326.0342,26,26,2,19,39906,35.9778175316854,128.4032580605
A10026693,협성휴포레 칠곡왜관,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 1571 협성휴포레 칠곡왜관,분양,개별난방,78093.67,6,606.0,(주)협성건설,(주)한빛이앤디,0549761661,,아파트,경상북도 칠곡군 평장길 20,위탁관리,계단식,20171102,0549771661,606,59280.004,57.0,549.0,0.0,0.0,45957.3811,26,26,1,0,39899,35.9857751256126,128.40130258652
A71880014,이원리버빌,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 208-16 이원리버빌,분양,개별난방,23517.8,3,207.0,이원종합건설,이원종합건설,0549722104,이원리버빌.apti.co.kr/,아파트,경상북도 칠곡군 2번도로길 105,위탁관리,계단식,20070917,0549722104,207,17350.49,0.0,192.0,15.0,0.0,17350.49,15,15,1,7,39884,35.9968918239987,128.396906096823
A71880015,칠곡왜관2,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 777-34 칠곡왜관2,임대,개별난방,37029.246,6,480.0,삼능건설,한국토지주택공사,0549720182,www.kohom.co.kr,아파트,경상북도 칠곡군 자조1길 10,위탁관리,계단식,20021023,0549720183,480,25749.12,480.0,0.0,0.0,0.0,25749.12,15,15,0,0,39904,35.9825025727791,128.397418543587
A71880109,왜관우방아파트,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 298-10 왜관우방아파트,분양,개별난방,76254.0,9,751.0,(주)우방주택,(주)우방주택,0549711569,,아파트,경상북도 칠곡군 중앙로 117,위탁관리,혼합식,19920514,0549732393,751,69045.04,149.0,582.0,20.0,0.0,57696.81,15,15,1,24,39898,35.9853932630569,128.39840289921
A71880503,오성빌라맨션,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 798 오성빌라맨션,분양,개별난방,30729.0,7,370.0,오성주택,오성주택,0549712395,,아파트,경상북도 칠곡군 구상길 156,위탁관리,계단식,19891220,0549712395,370,30316.0,44.0,326.0,0.0,0.0,25574.9,6,6,1,0,39905,35.9806698045885,128.394770642604
A71880507,대동다숲아파트,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 654-1 대동다숲아파트,분양,개별난방,81596.9,9,605.0,대동주택,한국토지신탁,0549758709,cafe.daum.net/wddsapt,아파트,경상북도 칠곡군 평장3길 47,위탁관리,계단식,20070809,0549758707,605,67355.375,0.0,547.0,58.0,0.0,52709.2825,15,15,2,22,39902,35.9845081220751,128.406590870285
A71880516,칠곡왜관3,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 590 칠곡왜관3,임대,개별난방,51591.93,9,631.0,(주)신일,대한주택공사,0549764545,kohom.co.kr,아파트,경상북도 칠곡군 평장7길 11,위탁관리,혼합식,20071101,0549764546,631,51188.195,631.0,0.0,0.0,0.0,35206.85,15,15,0,0,39901,35.9867607273089,128.411370663807
A71880704,왜관삼성아파트,4785025021,경상북도,칠곡군,왜관읍,왜관리,경상북도 칠곡군 왜관읍 왜관리 780-33 왜관삼성아파트,분양,개별난방,41894.88,4,400.0,삼성물산,삼성물산(주)건설부문,0549734152,없음,아파트,경상북도 칠곡군 구상길 180,자치관리,계단식,19970214,0549734750,400,35383.04,188.0,212.0,0.0,0.0,28577.024,19,19,1,11,39904,35.983461583526,128.395955372423
A10022129,풍국맨션,4785025022,경상북도,칠곡군,왜관읍,석전리,경상북도 칠곡군 왜관읍 석전리 729-1 풍국맨션,분양,개별난방,11688.0,4,113.0,1388277455,1388277455,0549725345,,아파트,경상북도 칠곡군 석전로2길 7,자치관리(직영),계단식,19920702,,116,8684.045,0.0,113.0,0.0,0.0,8684.045,6,6,1,0,,35.9977585132342,128.403894075342
A10024946,대화전원타운(대화주택),4785025022,경상북도,칠곡군,왜관읍,석전리,경상북도 칠곡군 왜관읍 석전리 410 대화전원타운(대화주택),분양,개별난방,23977.73,5,294.0,대화주택,대화주택,0549735445,,아파트,경상북도 칠곡군 석전로9길 7,위탁관리,계단식,19920514,0549719559,294,21762.0,104.0,190.0,0.0,0.0,18844.48,6,6,0,0,39874,36.000734204969,128.410628994763
A10027110,한양수자인,4785025022,경상북도,칠곡군,왜관읍,석전리,경상북도 칠곡군 왜관읍 석전리 892 한양수자인,분양,개별난방,35887.586,3,299.0,한양건설,한국토지신탁,0549737923,,아파트,경상북도 칠곡군 석전로7길 5,위탁관리,계단식,20170215,0549747923,299,29648.01,0.0,299.0,0.0,0.0,21612.1788,20,20,1,0,39878,36.0011814638831,128.407720609084
