kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020723,중흥프라임베르가 아파트,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 722-5 중흥프라임베르가 아파트,임대,개별난방,13310.934,1,107.0,(주)한주토건,(주)프라임글로벌,0625317795,,아파트,광주광역시 북구 경열로 240,위탁관리,계단식,20191001,0625317796,107,8969.577,107.0,0.0,0.0,0.0,6412.8527,20,20,2,3,,35.1604763651311,126.907573404934
A10022790,전남대모아미래도에듀파크아파트,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 262-1 전남대모아미래도에듀파크아파트,분양,개별난방,26353.0,3,199.0,(주)모아종합건설,중흥동평화맨션 소규모주택재건축정비조합,0622676086,www.gamis.or.kr,아파트,광주광역시 북구 호동로46번길 16,위탁관리,계단식,20231220,0622671764,200,19810.3,0.0,199.0,0.0,0.0,15246.9899,27,27,1,4,61190,35.1751539056741,126.917970629781
A10023935,제일풍경채 센트럴파크 2단지,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 847 제일풍경채 센트럴파크 2단지,혼합,개별난방,62364.0,4,486.0,제일건설(주),중흥3구역주택재개발정비사업조합,0625290975,,아파트,광주광역시 북구 서양로 125,위탁관리,혼합식,20220810,0625299064,486,36711.36,444.0,42.0,0.0,0.0,26242.47,25,25,2,10,61211,35.1691276334009,126.914998086288
A10023936,제일풍경채 센트럴파크 1단지,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 836 제일풍경채 센트럴파크 1단지,분양,개별난방,179912.3,13,1070.0,제일건설(주),중흥3구역 주택재개발정비사업조합,0625290974,제일풍경채센트럴파크1단지.apti.co.kr,아파트,광주광역시 북구 우치로40번길 25,위탁관리,계단식,20220810,0625299159,1070,122705.27,0.0,950.0,120.0,0.0,93831.56,25,25,2,26,61212,35.1724468276616,126.915304962905
A10025129,중흥동 동우아스트로아파트,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 822 중흥동 동우아스트로아파트,임대,개별난방,16306.605,2,158.0,(주)동우건설,(주)근홍주택,0625315838,gb378.gamis.or.kr,아파트,,위탁관리,계단식,20191129,0625315839,158,13305.459,158.0,0.0,0.0,0.0,9477.2374,20,20,1,4,61208,35.1719109567756,126.916846186314
A10025325,광주역다사로움아파트,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 611-10 광주역다사로움아파트,임대,개별난방,44467.52,5,700.0,한진중공업,광주광역시도시공사,0625269990,kohom.or.kr,아파트,광주광역시 북구 서암대로 268,위탁관리,복도식,20190624,0625269996,700,35065.86,700.0,0.0,0.0,0.0,20805.1,20,20,1,11,61226,35.1654434422031,126.913498803937
A10026420,중흥 프라임 아너팰리스,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 670-5 중흥 프라임 아너팰리스,분양,개별난방,18884.996,2,150.0,탑인프라(주),프라임디엔씨,0625315956,,주상복합,광주광역시 북구 제봉로 266,위탁관리,계단식,20171213,0625315957,164,10518.0,0.0,150.0,0.0,0.0,10649.4844,20,20,1,5,61236,35.1585045306706,126.911900979621
A10027860,중흥영무예다음아파트,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 252 중흥영무예다음아파트,분양,개별난방,45803.61,6,309.0,(주)영무토건,(주)영무건설,0625150016,gb335.gamis.or.kr,아파트,광주광역시 북구 서방로 40,위탁관리,계단식,20151027,0625150017,309,31352.918,0.0,309.0,0.0,0.0,25018.4523,15,15,2,0,61208,35.1727743813547,126.917261901141
A50004002,모아타운,2917010100,광주광역시,북구,중흥동,,광주광역시 북구 중흥동 323-1 모아타운,분양,개별난방,100139.04,7,690.0,주식회사 모아주택,(주)모아주택,0625295231,중흥모아타운.ma-um.co.kr/,아파트,광주광역시 북구 서암대로 199,자치관리,계단식,19910504,0625217900,690,95703.3,0.0,270.0,150.0,270.0,82560.6,15,16,0,23,61219,35.1686419395697,126.90545407951
A10023911,금남로 대광로제비앙,2917010200,광주광역시,북구,유동,,광주광역시 북구 유동 141 금남로 대광로제비앙,분양,개별난방,88873.766,4,519.0,대광건영,유동지역주택조합,0625299112,gb371.gamis.or.kr,주상복합,광주광역시 북구 서림로 153,위탁관리,계단식,20220224,0625299113,519,59809.402,0.0,519.0,0.0,0.0,43989.6694,37,37,3,16,61246,35.1596884909058,126.901293461827
A10022731,에스클래스더제니스 아파트,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 887 에스클래스더제니스 아파트,분양,개별난방,364220.62,13,2240.0,중흥건설+두산건설,임동 주택정비조합,0625234949,sclasszenith.aptner.com,아파트,광주광역시 북구 천변우로 227,위탁관리,계단식,20240425,0625234950,2240,238573.64,380.0,1634.0,226.0,0.0,177723.213,39,39,3,47,61247,35.158470098552,126.89950877775
A10024090,임동중흥S클래스센텀파크,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 637 임동중흥S클래스센텀파크,분양,개별난방,99551.62,9,654.0,(주)중흥건설,임동2구역주택재개발정비사업,0625247500,gb388.gamis.or.kr,아파트,광주광역시 북구 임동로 7,위탁관리,계단식,20210917,0625247501,654,67026.31,150.0,504.0,0.0,0.0,49406.8656,24,24,2,17,61242,35.1609285489752,126.894932008421
A10024455,서림마을다사로움아파트,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 46-4 서림마을다사로움아파트,임대,개별난방,34225.0,5,500.0,광주광역시도시공사,삼보건설/에이스건설,0624640561,,아파트,광주광역시 북구 서림로 119-5,위탁관리,복도식,20210128,0624640565,500,32878.8,500.0,0.0,0.0,0.0,10804.6176,18,18,1,8,61243,35.1616038620104,126.898437513459
A10026315,국제미소래2차아파트,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 632 국제미소래2차아파트,분양,개별난방,19068.14,1,161.0,국제건설산업,미소래,0625229866,"gb382.gamis.or,kr",주상복합,광주광역시 북구 태봉로 37,위탁관리,계단식,20180104,0625239866,175,12888.227,161.0,0.0,0.0,0.0,9582.2166,20,20,2,5,61244,35.1614758150715,126.902766247064
A50001002,임동리버파크,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 340 임동리버파크,분양,개별난방,47160.79,7,548.0,대한토지주택공사,남양건설(주),0625112255,gb250.gamis.or.kr,아파트,광주광역시 북구 천변우로 11,위탁관리,계단식,20051124,0625112269,548,41361.7,500.0,48.0,0.0,0.0,31888.19,15,15,1,19,61255,35.1700975881534,126.885740632332
A50074104,임동1차한국아델리움,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 104-7 임동1차한국아델리움,분양,개별난방,52558.67,4,340.0,한국건설,한국건설,0625151131,//gb246.gamis.or.kr,아파트,광주광역시 북구 천변우로79번길 77,위탁관리,계단식,20050823,0625111522,340,40439.68,0.0,339.0,1.0,0.0,28824.2287,20,20,1,10,61253,35.1662302376307,126.889646342705
A50074105,국제미소래,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 14-2 국제미소래,임대,개별난방,19115.0,1,168.0,국제건설산업,미소래주식회사,0625121120,,주상복합,광주광역시 북구 중가로3번길 25,위탁관리,계단식,20140729,0625121175,201,11088.0,168.0,0.0,0.0,0.0,8300.7792,15,15,2,0,61244,35.1620089779077,126.901107030106
A50086901,평화맨션,2917010500,광주광역시,북구,임동,,광주광역시 북구 임동 101-5 평화맨션,분양,개별난방,20050.8,2,196.0,평화건설,평화건설,0625229366,,아파트,광주광역시 북구 경양로 30,위탁관리,복도식,19831025,0625222068,196,20050.8,0.0,196.0,0.0,0.0,15981.84,14,14,1,4,61242,35.1628115779253,126.896186899245
