kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021600,교대역푸르지오트레힐즈,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 474-1 교대역푸르지오트레힐즈,혼합,개별난방,1470684160.0,10,924.0,대우건설,문화지구 주택재개발정비사업조합,0534776008,,아파트,대구광역시 남구 이천로19길 16,위탁관리,계단식,20241030,0534776009,924,93559.79,254.0,600.0,70.0,0.0,71838.3014,36,36,3,0,,35.8503355487027,128.598189157919
A10023044,대봉교역 금호어울림 에듀리버,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 281-1 대봉교역 금호어울림 에듀리버,혼합,개별난방,62827.35,6,433.0,금호건설(주),배나무골주택재개발정비조합,0532144851,,아파트,대구광역시 남구 대봉로30길 12,위탁관리,계단식,20230830,0532144852,433,40115.895,120.0,313.0,0.0,0.0,30895.0841,28,28,2,10,42436,35.8514997833434,128.603811484424
A10023312,대봉교역태왕아너스,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 1177 대봉교역태왕아너스,분양,개별난방,59469.0,6,412.0,태왕,이천동 한마음 주택재건축정비사업 조합,0534775101,,아파트,대구광역시 남구 대봉로 162,위탁관리,계단식,20230316,0534775102,412,40028.02,148.0,264.0,0.0,0.0,31286.8738,20,20,2,11,42433,35.852503719199,128.604245576405
A70501007,희망교대성유니드,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 361-16 희망교대성유니드,분양,개별난방,92877.49,6,635.0,(주)대성산업,(주)대성산업,0534749541,,아파트,대구광역시 남구 희망로5길 12,위탁관리,계단식,20060608,0534775803,635,56423.15,0.0,528.0,70.0,37.0,56424.7196,23,23,1,17,42437,35.8486496928323,128.601646314114
A70577201,이천뜨란채2단지,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 551-1 이천뜨란채2단지,분양,개별난방,37024.0,4,320.0,호반건설,한국토지주택공사,0534742010,,아파트,대구광역시 남구 희망로 57,위탁관리,계단식,20021128,0534742012,320,24135.8,120.0,200.0,0.0,0.0,24135.8,20,20,1,8,42435,35.8482432331559,128.604998614807
A70577204,이천강변타운,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 214-456 이천강변타운,분양,개별난방,39370.18,3,480.0,(주)서한,대구시 도시개발공사,0534755069,,아파트,대구광역시 남구 명덕로68길 19,자치관리,복도식,19940930,0534745069,480,38076.49,480.0,0.0,0.0,0.0,27127.8,15,15,0,8,42434,35.8539163276056,128.606560268864
A70577206,이천주공1단지,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 121-70 이천주공1단지,분양,개별난방,60347.0,6,576.0,(주) 서한,한국토지주택공사,0534768111,,아파트,대구광역시 남구 명덕로68길 77,위탁관리,혼합식,19990605,0534768112,576,59582.41,466.0,110.0,0.0,0.0,36172.62,20,20,2,14,42434,35.852154610691,128.606235378623
A70577305,보성상아맨션,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 650 보성상아맨션,분양,중앙난방,73419.31,5,510.0,(주)보성,(주)보성,0534739023,,아파트,대구광역시 남구 명덕로 236,위탁관리,계단식,19871110,0534739033,510,70566.055,0.0,264.0,193.0,53.0,54853.8,15,15,0,18,42422,35.8546568745603,128.595180814458
A70583603,"이천뜨란채3,4단지아파트",2720010100,대구광역시,남구,이천동,,"대구광역시 남구 이천동 239-2 이천뜨란채3,4단지아파트",분양,개별난방,48021.0,5,431.0,남양건설,한국토지주택공사,0534746611,,아파트,대구광역시 남구 대봉로26길 38,위탁관리,혼합식,20060719,0534746612,431,40267.805,238.0,193.0,0.0,0.0,30594.53,20,20,1,0,42435,35.850757393987,128.606039390471
A70583802,교대역월드메르디앙,2720010100,대구광역시,남구,이천동,,대구광역시 남구 이천동 452 교대역월드메르디앙,분양,개별난방,48380.816,4,361.0,(주)월드건설,이천동재건축정비사업조합,0534710961,.,아파트,대구광역시 남구 이천로19길 68,위탁관리,계단식,20060918,0534710962,361,39383.46,78.0,215.0,68.0,0.0,30728.0107,21,21,0,11,42427,35.8509793601955,128.59588195156
A10022601,힐스테이트앞산센트럴,2720010200,대구광역시,남구,봉덕동,,대구광역시 남구 봉덕동 1607-35 힐스테이트앞산센트럴,분양,개별난방,48940.0,4,345.0,현대산업개발,새길지구 재건축조합,0534722003,,아파트,대구광역시 남구 대덕로 162,위탁관리,계단식,20240820,0534722004,345,31867.21,146.0,199.0,0.0,0.0,24569.7,28,28,2,9,42510,35.8398041397121,128.600814476324
A10022885,앞산서한이다음,2720010200,대구광역시,남구,봉덕동,,대구광역시 남구 봉덕동 1637 앞산서한이다음,분양,개별난방,18262.1,2,128.0,(주)서한,(주)서한,0532682700,,아파트,대구광역시 남구 신촌길 94,위탁관리,계단식,20180420,0532682701,128,13030.967,0.0,128.0,0.0,0.0,9646.3232,20,20,1,0,42513,35.8380590264661,128.604209396991
A10023447,봉덕2차화성파크드림,2720010200,대구광역시,남구,봉덕동,,대구광역시 남구 봉덕동 1657 봉덕2차화성파크드림,분양,개별난방,83176.0,8,499.0,선주지구재건축 정비사업조합,화성산업(주),0534747888,,아파트,대구광역시 남구 대덕로 161,위탁관리,계단식,20221229,0534757888,499,50376.258,90.0,409.0,0.0,0.0,38856.5259,26,26,3,18,42444,35.8415643702921,128.601630994293
A10024350,앞산비스타동원,2720010200,대구광역시,남구,봉덕동,,대구광역시 남구 봉덕동 1064-22 앞산비스타동원,혼합,개별난방,68311.97,5,431.0,동원개발,신촌지구 주택재개발정비사업조합,0534769995,,아파트,대구광역시 남구 신촌길 57,위탁관리,계단식,20210324,0534769996,431,44309.527,117.0,314.0,0.0,0.0,33213.4303,29,29,2,12,42510,35.8393923249023,128.60228754095
A10024585,앞산봉덕영무예다음아파트,2720010200,대구광역시,남구,봉덕동,,대구광역시 남구 봉덕동 1650 앞산봉덕영무예다음아파트,혼합,개별난방,95925.836,10,622.0,영무토건,용두지구 주택재개발정비사업조합,0537190192,,아파트,대구광역시 남구 대봉로 12,위탁관리,계단식,20201028,0537190193,622,62458.312,180.0,442.0,0.0,0.0,47081.4452,18,18,2,17,42512,35.8396160017117,128.605095139593
A10025242,앞산태왕아너스,2720010200,대구광역시,남구,봉덕동,,대구광역시 남구 봉덕동 1642 앞산태왕아너스,분양,개별난방,76770.0,6,493.0,(주)태왕이앤씨,봉덕3-20 주택재건축정비사업조합,0535881921,,아파트,대구광역시 남구 효서길 53,위탁관리,계단식,20191011,0535881924,493,51815.39,88.0,405.0,0.0,0.0,39210.6913,21,21,3,0,42508,35.8371291362515,128.596042034385
