kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020214,호반써밋하이브파크,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 725 호반써밋하이브파크,임대,개별난방,52109.086,3,446.0,호반건설,대구칠성피에프브이,0533563006,,주상복합,대구광역시 북구 호암로 1,위탁관리,계단식,20260112,0533563007,446,52109.086,0.0,0.0,446.0,0.0,52109.0843,45,0,4,7,,35.8840645466961,128.590898176867
A10020590,대구역자이 더 스타,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 500-2 대구역자이 더 스타,분양,개별난방,91951.38,3,424.0,GS건설,한국신탁자산(주),0532635400,,주상복합,대구광역시 북구 칠성남로 150,위탁관리,계단식,20250331,0532635403,424,48939.78,0.0,421.0,3.0,0.0,35445.8813,48,47,5,6,,35.877092833488,128.596204266906
A10020671,빌리브루센트,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 740- 빌리브루센트,분양,개별난방,54087.242,2,258.0,신세계건설(주) 허병훈,코리아신탁(주),0533582006,https://villiv-lucent.hthomeservice.com/#/?_k=svbrfx,도시형 생활주택(주상복합),대구광역시 북구 칠성남로 130,위탁관리,혼합식,20250115,0533582007,258,35100.78,0.0,86.0,172.0,0.0,26327.0854,47,47,4,6,,35.8774176076613,128.594440295723
A10022463,칠성우방맨션,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 355-1 칠성우방맨션,분양,개별난방,16225.0,1,129.0,우방,우방,0533522820,,아파트,대구광역시 북구 중앙대로105길 22,위탁관리,혼합식,19981222,0533522820,129,12680.73,57.0,72.0,0.0,0.0,9518.4,18,18,2,0,,35.8807233408859,128.593511326339
A10024067,대구역한라하우젠트센텀,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 738 대구역한라하우젠트센텀,분양,개별난방,42259.0,2,256.0,(주)한라공영,잉꼬아파트주택재건축정비사업조합,0532131121,,주상복합,대구광역시 북구 칠성남로 100,위탁관리,계단식,20211027,0532131122,289,28907.814,0.0,256.0,0.0,0.0,21664.7168,36,36,3,8,41588,35.8780986173058,128.591429362889
A10026505,오페라삼정그린코아더베스트,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 733 오페라삼정그린코아더베스트,분양,개별난방,97982.0,6,578.0,(주)삼정,(주)삼정,0533526032,,주상복합,대구광역시 북구 침산로 100,위탁관리,계단식,20171024,0533536033,578,46212.793,0.0,509.0,69.0,0.0,46212.7936,39,39,4,14,41585,35.8851721867985,128.591255088917
A10026649,대구역 유림노르웨이숲,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 736 대구역 유림노르웨이숲,분양,개별난방,51279.52,3,296.0,유림e&c,경북아파트 재건축조합,0533417930,,주상복합,대구광역시 북구 칠성남로26길 11,위탁관리,계단식,20171129,0533417931,296,32805.184,56.0,240.0,0.0,0.0,23733.084,33,33,3,0,41588,35.8772016419531,128.59285515405
A10026896,대구역 서원프레시빌,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 302-105 대구역 서원프레시빌,분양,개별난방,11830.0,1,168.0,서원종합건설(주),(주)백향에스앤피,0534235511,,주상복합,대구광역시 북구 칠성남로 176,위탁관리,계단식,20170704,0534265200,168,11705.114,168.0,0.0,0.0,0.0,8318.2008,24,24,1,4,41581,35.8765803250432,128.599457558319
A70274601,대구역 서희스타힐스,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 715 대구역 서희스타힐스,분양,개별난방,183004.44,13,1250.0,서희건설,한국토지주택공사대구경북지역본부,0533557970,,아파트,대구광역시 북구 칠성남로 101,위탁관리,계단식,20120131,0533419460,1250,133462.36,312.0,814.0,124.0,0.0,100152.24,25,25,2,34,41587,35.8786256114632,128.591870853848
A70274602,오페라 코오롱하늘채,2723010200,대구광역시,북구,칠성동2가,,대구광역시 북구 칠성동2가 723 오페라 코오롱하늘채,분양,개별난방,80545.586,4,464.0,코오롱글로벌,(주)동재,0532565820,,주상복합,대구광역시 북구 중앙대로 540,위탁관리,계단식,20140620,0532565821,539,52785.99,0.0,464.0,0.0,0.0,39410.6676,34,34,2,0,41579,35.8803270538734,128.59706331674
