kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020241,어나드 범어,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 1 어나드 범어,분양,개별난방,220062.69,4,604.0,㈜포스코이앤씨,대구엠비씨부지복합개발피에프브이(주),0537566660,,주상복합,대구광역시 수성구 동대구로 400,위탁관리,계단식,20260130,0537566661,604,116219.1,0.0,0.0,0.0,604.0,116219.1036,33,0,5,0,,35.8662477078491,128.628424294203
A10021377,우방3차범어타운아파트,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 238-46 우방3차범어타운아파트,분양,개별난방,13483.0,1,145.0,우방주택,우방주택,0537556550,,아파트,대구광역시 수성구 달구벌대로492길 12,위탁관리,계단식,19841126,0537444378,145,13058.035,0.0,145.0,0.0,0.0,11845.475,1,5,0,0,,35.8576456737435,128.631129517895
A10021578,아진맨션,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 665-3 아진맨션,분양,개별난방,68020.0,4,144.0,아진주택,아진주택,0537521121,없음,아파트,대구광역시 수성구 동대구로38길 80-1,자치관리,계단식,19810522,0537524121,144,9034.56,144.0,0.0,0.0,0.0,6893.31,5,5,1,0,,35.849600538683,128.627876135051
A10021982,범어아이파크,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 2300- 범어아이파크,분양,개별난방,89241.18,4,418.0,HDC현대산업개발,범어우방1차아파트 주택재건축정비사업조합,0537411141,,아파트,대구광역시 수성구 동대구로 230,위탁관리,계단식,20240930,0537411142,418,48711.344,0.0,348.0,70.0,0.0,38069.258,25,25,3,0,,35.8511834089259,128.626278177695
A10022085,효성백년가약궁,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 63-100 효성백년가약궁,분양,개별난방,26280.0,1,114.0,효성건설,효성건설,0537431189,,아파트,대구광역시 수성구 청호로 466,위탁관리,계단식,20061222,,114,19963.06,0.0,0.0,0.0,114.0,15948.372,20,20,1,0,,35.8566640484845,128.643210260183
A10022285,범어목련아파트,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 341- 범어목련아파트,분양,기타,16485.0,5,250.0,대구시,대구시,0532167485,,,대구광역시 수성구 청호로 340,자치관리,계단식,19871114,0537447485,260,13872.0,250.0,0.0,0.0,0.0,13872,5,5,0,0,,35.8476888894671,128.639985363817
A10022571,청구빌라맨션,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 476 청구빌라맨션,분양,개별난방,10021.89,1,100.0,(주)청구주택,(주)청구주택,0537551784,,아파트,대구광역시 수성구 상록로11길 5,위탁관리,복도식,19790319,0537551784,105,9990.08,40.0,60.0,0.0,0.0,7435.62,10,10,1,1,42014,35.8644510276139,128.623510814322
A10022866,수성범어W아파트,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 2291 수성범어W아파트,분양,개별난방,225617.0,5,1340.0,아이에스동서,수성범어지역주택조합,0537411126,,주상복합,대구광역시 수성구 달구벌대로 2436,위탁관리,계단식,20231215,0537411127,1340,157897.38,0.0,1184.0,156.0,0.0,116700.0792,59,59,4,20,42085,35.8579241690404,128.628708968141
A10023068,쌍용 더 플래티넘 범어,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 2283 쌍용 더 플래티넘 범어,분양,개별난방,52962.59,2,207.0,쌍용건설,주식회사 에스엠디앤씨,0537512230,,주상복합,대구광역시 수성구 상록로 25,위탁관리,기타,20230817,0537512231,295,23658.928,0.0,207.0,0.0,0.0,17493.9082,39,39,5,0,42018,35.8620924251634,128.623534437071
A10023842,빌리브범어 120,2726010100,대구광역시,수성구,범어동,,대구광역시 수성구 범어동 2280 빌리브범어 120,분양,개별난방,37734.16,3,209.0,신세계 E&C,빌리브범어2차지역주택조합,0537431900,,아파트,대구광역시 수성구 범어로20길 120,위탁관리,계단식,20220317,0537431901,209,23416.498,0.0,193.0,15.0,1.0,17888.4888,19,19,2,7,42089,35.857574562198,128.641938115312
